,rand_1000_00,rand_1000_01,rand_1000_02,rand_1000_03,rand_1000_04,rand_1000_05,rand_1000_06,rand_1000_07,rand_1000_08,rand_1000_09,rand_1000_10,rand_1000_11,rand_1000_12,rand_1000_13,rand_1000_14,rand_1000_15,rand_1000_16,rand_1000_17,rand_1000_18,rand_1000_19,rand_1000_20,rand_1000_21,rand_1000_22,rand_1000_23,rand_1000_24,rand_1000_25,rand_1000_26,rand_1000_27,rand_1000_28,rand_1000_29,rand_1000_30,rand_1000_31,rand_1000_32,rand_1000_33,rand_1000_34,rand_1000_35,rand_1000_36,rand_1000_37,rand_1000_38,rand_1000_39,rand_1000_40,rand_1000_41,rand_1000_42,rand_1000_43,rand_1000_44,rand_1000_45,rand_1000_46,rand_1000_47,rand_1000_48,rand_1000_49
0,15.0,12.0,16.0,17.0,12.0,12.0,12.0,16.0,17.0,16.0,16.0,16.0,12.0,12.0,17.0,11.0,17.0,16.0,16.0,14.0,15.0,17.0,17.0,17.0,8.0,17.0,17.0,15.0,16.0,12.0,17.0,15.0,13.0,17.0,12.0,6.0,16.0,16.0,16.0,15.0,12.0,17.0,16.0,15.0,17.0,15.0,14.0,17.0,10.0,15.0
1,17.0,16.0,17.0,17.0,15.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,17.0,14.0,17.0,16.0,17.0,16.0,17.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,17.0,15.0,17.0,15.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,14.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,16.0,17.0
2,17.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,15.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
3,17.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
4,17.0,17.0,19.0,17.0,18.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,18.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0,18.0,18.0,17.0,17.0,18.0,18.0,18.0,17.0,18.0,17.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
5,18.0,17.0,19.0,17.0,18.0,17.0,17.0,18.0,19.0,19.0,18.0,18.0,17.0,17.0,19.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0,18.0,19.0,17.0,17.0,19.0,20.0,18.0,17.0,18.0,17.0,18.0,19.0,17.0,17.0,18.0,18.0,17.0,18.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,19.0,17.0,17.0
6,18.0,17.0,19.0,17.0,18.0,17.0,18.0,18.0,19.0,19.0,19.0,18.0,17.0,17.0,19.0,18.0,17.0,19.0,19.0,18.0,18.0,17.0,20.0,19.0,17.0,18.0,19.0,20.0,18.0,17.0,18.0,18.0,18.0,19.0,17.0,17.0,18.0,19.0,19.0,19.0,17.0,20.0,17.0,17.0,18.0,17.0,17.0,19.0,17.0,17.0
7,18.0,17.0,19.0,18.0,20.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,17.0,17.0,21.0,18.0,18.0,20.0,19.0,18.0,18.0,17.0,20.0,19.0,19.0,18.0,19.0,20.0,19.0,17.0,19.0,18.0,18.0,20.0,17.0,18.0,19.0,20.0,20.0,19.0,17.0,20.0,17.0,17.0,18.0,17.0,17.0,20.0,18.0,17.0
8,19.0,17.0,20.0,18.0,20.0,18.0,18.0,19.0,19.0,19.0,20.0,18.0,17.0,17.0,21.0,18.0,19.0,20.0,20.0,18.0,18.0,17.0,20.0,20.0,19.0,19.0,19.0,20.0,19.0,17.0,19.0,19.0,19.0,20.0,17.0,19.0,19.0,21.0,20.0,19.0,18.0,20.0,18.0,17.0,18.0,19.0,18.0,20.0,18.0,17.0
9,19.0,17.0,20.0,18.0,20.0,19.0,19.0,19.0,20.0,19.0,20.0,19.0,18.0,18.0,21.0,19.0,19.0,21.0,21.0,18.0,18.0,17.0,21.0,20.0,20.0,19.0,20.0,21.0,19.0,17.0,20.0,20.0,19.0,20.0,18.0,19.0,19.0,21.0,20.0,19.0,19.0,20.0,18.0,18.0,19.0,19.0,18.0,20.0,19.0,17.0
10,19.0,17.0,20.0,19.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,18.0,18.0,22.0,19.0,19.0,21.0,21.0,18.0,19.0,18.0,21.0,20.0,20.0,19.0,20.0,21.0,19.0,18.0,20.0,20.0,19.0,20.0,18.0,19.0,20.0,21.0,20.0,20.0,19.0,21.0,19.0,19.0,19.0,20.0,19.0,20.0,20.0,18.0
11,19.0,19.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,18.0,18.0,22.0,19.0,20.0,22.0,22.0,18.0,19.0,19.0,21.0,20.0,20.0,20.0,20.0,21.0,19.0,18.0,20.0,21.0,20.0,20.0,18.0,19.0,20.0,21.0,20.0,20.0,19.0,21.0,20.0,19.0,19.0,20.0,19.0,21.0,20.0,18.0
12,19.0,19.0,21.0,20.0,21.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,18.0,19.0,22.0,19.0,20.0,22.0,22.0,19.0,20.0,20.0,21.0,21.0,20.0,20.0,21.0,21.0,19.0,18.0,21.0,21.0,20.0,20.0,18.0,20.0,20.0,22.0,21.0,20.0,20.0,21.0,20.0,19.0,19.0,20.0,19.0,21.0,20.0,18.0
13,20.0,19.0,21.0,20.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,20.0,19.0,19.0,23.0,20.0,21.0,22.0,22.0,19.0,20.0,20.0,21.0,21.0,20.0,20.0,21.0,21.0,19.0,20.0,21.0,21.0,20.0,21.0,18.0,20.0,21.0,22.0,21.0,20.0,20.0,22.0,20.0,20.0,19.0,20.0,21.0,21.0,21.0,19.0
14,20.0,19.0,22.0,20.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,19.0,19.0,23.0,20.0,22.0,22.0,22.0,20.0,21.0,21.0,21.0,21.0,21.0,20.0,21.0,22.0,20.0,20.0,21.0,21.0,20.0,21.0,20.0,21.0,21.0,22.0,21.0,21.0,20.0,22.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,19.0
15,20.0,20.0,22.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,20.0,19.0,23.0,20.0,22.0,22.0,22.0,20.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,22.0,20.0,20.0,21.0,21.0,20.0,21.0,20.0,21.0,21.0,22.0,22.0,21.0,20.0,22.0,20.0,21.0,20.0,20.0,22.0,22.0,21.0,20.0
16,20.0,20.0,22.0,21.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,20.0,23.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,22.0,22.0,20.0,20.0,21.0,21.0,20.0,21.0,20.0,21.0,21.0,23.0,22.0,21.0,20.0,22.0,21.0,21.0,20.0,21.0,22.0,22.0,21.0,20.0
17,20.0,21.0,22.0,21.0,21.0,22.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,20.0,23.0,21.0,22.0,22.0,23.0,21.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,20.0,21.0,21.0,20.0,21.0,21.0,21.0,22.0,23.0,22.0,21.0,21.0,22.0,21.0,21.0,20.0,21.0,22.0,22.0,21.0,20.0
18,20.0,21.0,22.0,21.0,21.0,22.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0,20.0,23.0,21.0,22.0,22.0,23.0,21.0,21.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,22.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,21.0,20.0
