,rand_250_00,rand_250_01,rand_250_02,rand_250_03,rand_250_04,rand_250_05,rand_250_06,rand_250_07,rand_250_08,rand_250_09,rand_250_10,rand_250_11,rand_250_12,rand_250_13,rand_250_14,rand_250_15,rand_250_16,rand_250_17,rand_250_18,rand_250_19,rand_250_20,rand_250_21,rand_250_22,rand_250_23,rand_250_24,rand_250_25,rand_250_26,rand_250_27,rand_250_28,rand_250_29,rand_250_30,rand_250_31,rand_250_32,rand_250_33,rand_250_34,rand_250_35,rand_250_36,rand_250_37,rand_250_38,rand_250_39,rand_250_40,rand_250_41,rand_250_42,rand_250_43,rand_250_44,rand_250_45,rand_250_46,rand_250_47,rand_250_48,rand_250_49
0,17.0,12.0,17.0,17.0,18.0,12.0,16.0,17.0,18.0,18.0,20.0,18.0,18.0,17.0,19.0,17.0,17.0,18.0,18.0,14.0,15.0,17.0,17.0,17.0,8.0,19.0,19.0,17.0,17.0,15.0,17.0,15.0,13.0,19.0,17.0,17.0,16.0,16.0,17.0,19.0,12.0,20.0,17.0,17.0,17.0,17.0,17.0,17.0,10.0,15.0
1,17.0,19.0,19.0,20.0,20.0,17.0,17.0,17.0,19.0,21.0,21.0,19.0,21.0,18.0,21.0,17.0,17.0,21.0,21.0,16.0,19.0,17.0,20.0,18.0,17.0,20.0,21.0,20.0,18.0,17.0,17.0,17.0,18.0,20.0,18.0,18.0,20.0,19.0,20.0,20.0,17.0,22.0,17.0,17.0,17.0,21.0,17.0,19.0,16.0,17.0
2,18.0,22.0,20.0,23.0,20.0,20.0,19.0,17.0,20.0,21.0,21.0,22.0,22.0,18.0,22.0,19.0,19.0,23.0,23.0,17.0,21.0,18.0,21.0,19.0,17.0,21.0,22.0,21.0,19.0,18.0,18.0,19.0,20.0,21.0,21.0,19.0,20.0,20.0,21.0,20.0,17.0,22.0,17.0,17.0,17.0,22.0,17.0,20.0,17.0,19.0
3,19.0,22.0,22.0,23.0,20.0,21.0,20.0,18.0,20.0,23.0,22.0,22.0,22.0,20.0,23.0,21.0,20.0,23.0,23.0,17.0,22.0,20.0,21.0,20.0,19.0,21.0,23.0,22.0,20.0,20.0,20.0,20.0,20.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,18.0,23.0,19.0,18.0,18.0,22.0,18.0,20.0,19.0,20.0
4,20.0,23.0,22.0,23.0,21.0,21.0,21.0,18.0,21.0,23.0,22.0,22.0,22.0,20.0,23.0,21.0,22.0,23.0,23.0,18.0,22.0,21.0,23.0,21.0,20.0,21.0,23.0,22.0,21.0,20.0,21.0,21.0,20.0,23.0,22.0,22.0,21.0,22.0,22.0,23.0,19.0,23.0,20.0,20.0,19.0,23.0,19.0,21.0,20.0,21.0
5,21.0,23.0,23.0,23.0,22.0,23.0,22.0,20.0,21.0,23.0,22.0,23.0,23.0,20.0,23.0,22.0,23.0,23.0,23.0,18.0,22.0,22.0,25.0,22.0,23.0,22.0,23.0,23.0,22.0,21.0,22.0,21.0,22.0,23.0,22.0,22.0,22.0,23.0,23.0,23.0,20.0,25.0,20.0,20.0,20.0,23.0,22.0,23.0,21.0,22.0
6,21.0,23.0,23.0,24.0,22.0,23.0,22.0,20.0,23.0,24.0,23.0,23.0,23.0,21.0,24.0,22.0,23.0,24.0,23.0,18.0,23.0,23.0,25.0,22.0,23.0,23.0,23.0,23.0,22.0,23.0,22.0,21.0,23.0,23.0,22.0,24.0,23.0,23.0,23.0,23.0,20.0,25.0,22.0,21.0,20.0,23.0,23.0,23.0,21.0,22.0
7,21.0,23.0,23.0,24.0,22.0,23.0,22.0,20.0,23.0,24.0,23.0,23.0,23.0,21.0,25.0,22.0,23.0,25.0,23.0,21.0,23.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,22.0,21.0,24.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,21.0,26.0,23.0,22.0,20.0,23.0,23.0,24.0,22.0,23.0
8,22.0,23.0,23.0,24.0,23.0,23.0,23.0,21.0,23.0,24.0,23.0,23.0,25.0,22.0,25.0,23.0,23.0,25.0,23.0,23.0,23.0,28.0,25.0,23.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,22.0,24.0,24.0,24.0,25.0,23.0,23.0,24.0,23.0,21.0,26.0,23.0,22.0,22.0,23.0,23.0,24.0,22.0,23.0
9,22.0,23.0,23.0,25.0,23.0,23.0,23.0,21.0,24.0,24.0,25.0,23.0,26.0,23.0,26.0,23.0,23.0,25.0,23.0,23.0,25.0,28.0,26.0,23.0,24.0,24.0,25.0,24.0,24.0,25.0,23.0,22.0,25.0,24.0,25.0,25.0,23.0,23.0,25.0,24.0,22.0,26.0,24.0,22.0,22.0,24.0,23.0,25.0,23.0,23.0
