,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
121,-47.07574829,-22.9800188,20.0,255:0:0
122,-47.0260924,-22.15751623,11.0,255:55:55
123,-47.13764638,-22.5977401,4.0,255:183:183
124,-47.13994388,-22.92147958,17.0,255:0:0
125,-47.93005968,-22.69490031,1.0,236:236:255
126,-47.88281919,-22.23305457,6.0,255:146:146
127,-47.2958822,-22.27462369,7.0,127:127:255
128,-47.32009163,-22.87178288,8.0,255:110:110
129,-47.93070657,-22.32234939,0.0,255:255:255
130,-47.52567198,-22.98014568,4.0,255:183:183
131,-47.67043509,-22.71970673,2.0,255:219:219
132,-47.00400112,-22.5279752,18.0,255:0:0
133,-47.70182908,-22.52521124,3.0,200:200:255
134,-47.96374071,-22.02829577,4.0,182:182:255
135,-47.8987083,-22.37754876,1.0,255:237:237
136,-47.88988545,-22.82200253,3.0,255:201:201
137,-47.91042312,-22.5550859,4.0,182:182:255
138,-47.30340252,-22.82779484,3.0,255:201:201
139,-47.41419499,-22.41463875,5.0,255:164:164
140,-47.58240295,-22.66233425,10.0,255:73:73
141,-47.24416165,-22.35283992,6.0,255:146:146
142,-47.5660414,-22.48192384,3.0,255:201:201
143,-47.9914217,-22.95634344,8.0,109:109:255
144,-47.35409934,-22.66684943,5.0,255:164:164
145,-47.63066269,-22.27890958,6.0,145:145:255
146,-47.83069139,-22.75917783,3.0,255:201:201
147,-47.64193283,-22.44360618,9.0,91:91:255
148,-47.74008125,-22.72481385,7.0,255:128:128
149,-47.27379301,-22.99482066,17.0,255:0:0
150,-47.60268415,-22.11493405,1.0,255:237:237
151,-47.93326778,-22.19232828,8.0,109:109:255
152,-47.45278889,-22.73868363,3.0,255:201:201
153,-47.29582656,-22.78503181,2.0,255:219:219
154,-47.43919225,-22.17024568,5.0,255:164:164
155,-47.16183378,-22.04428419,10.0,72:72:255
156,-47.32787555,-22.09214628,7.0,255:128:128
157,-47.30067836,-22.70895775,1.0,255:237:237
158,-47.36389051,-22.06165517,10.0,255:73:73
159,-47.8523297,-22.09785955,9.0,255:92:92
160,-47.01069508,-22.27575483,13.0,255:19:19
161,-47.79523364,-22.64415262,1.0,255:237:237
162,-47.05881819,-22.34224422,4.0,182:182:255
163,-47.30534185,-22.23872435,3.0,255:201:201
164,-47.78468985,-22.01068667,9.0,91:91:255
165,-47.45209164,-22.15106015,5.0,255:164:164
166,-47.79929625,-22.33584368,2.0,218:218:255
167,-47.06720297,-22.15925359,4.0,182:182:255
168,-47.35638195,-22.55765147,1.0,236:236:255
169,-47.79381784,-22.9260221,8.0,109:109:255
170,-47.39919548,-22.13181519,1.0,255:237:237
171,-47.37034215,-22.38120291,1.0,255:237:237
172,-47.93439454,-22.92299312,4.0,182:182:255
173,-47.19890157,-22.07155883,0.0,255:255:255
174,-47.34509445,-22.06860912,2.0,218:218:255
175,-47.57819764,-22.86457883,4.0,182:182:255
176,-47.56903868,-22.19691494,8.0,255:110:110
177,-47.64277271,-22.80109991,0.0,255:255:255
178,-47.83941971,-22.85505078,1.0,236:236:255
179,-47.17822818,-22.9981785,14.0,255:0:0
180,-47.31093897,-22.42696673,3.0,255:201:201
181,-47.31004374,-22.19977969,2.0,218:218:255
182,-47.64940737,-22.38678054,3.0,200:200:255
183,-47.78343313,-22.29090653,6.0,255:146:146
184,-47.26775927,-22.46905156,7.0,127:127:255
185,-47.96008839,-22.11467562,2.0,218:218:255
186,-47.70992182,-22.25237308,4.0,255:183:183
187,-47.2327385,-22.10032153,8.0,109:109:255
188,-47.41252299,-22.22195195,9.0,255:92:92
189,-47.55749731,-22.86863665,3.0,200:200:255
190,-47.07744816,-22.51340935,8.0,255:110:110
191,-47.20116724,-22.19416599,8.0,109:109:255
192,-47.95987085,-22.17157348,7.0,127:127:255
193,-47.34908994,-22.64392953,1.0,255:237:237
194,-47.53794674,-22.16232059,2.0,255:219:219
195,-47.64129893,-22.30575711,2.0,218:218:255
196,-47.07180882,-22.20772148,8.0,255:110:110
197,-47.98411357,-22.81825234,1.0,236:236:255
198,-47.37510409,-22.99144019,4.0,255:183:183
199,-47.94942739,-22.84455468,11.0,54:54:255
200,-47.48538949,-22.267348,4.0,182:182:255
201,-47.93500036,-22.14978084,2.0,218:218:255
202,-47.18459251,-22.17978516,6.0,145:145:255
203,-47.47620803,-22.30409292,5.0,255:164:164
204,-47.63403704,-22.37004311,1.0,236:236:255
205,-47.93043282,-22.28400536,2.0,218:218:255
206,-47.33539324,-22.65716723,4.0,182:182:255
207,-47.04748889,-22.18150849,2.0,255:219:219
208,-47.83394026,-22.48843328,3.0,200:200:255
209,-47.20521553,-22.01798735,3.0,200:200:255
210,-47.62655332,-22.12795333,2.0,255:219:219
211,-47.61335479,-22.41248338,2.0,255:219:219
212,-47.85854374,-22.2105495,6.0,145:145:255
213,-47.49416529,-22.92274569,3.0,255:201:201
214,-47.74681681,-22.12192923,0.0,255:255:255
215,-47.26097134,-22.72454175,0.0,255:255:255
216,-47.56848586,-22.15372694,4.0,255:183:183
217,-47.03839226,-22.24782808,22.0,255:0:0
218,-47.429655,-22.6331673,8.0,109:109:255
219,-47.29025964,-22.227911,5.0,255:164:164
220,-47.40155837,-22.25890536,3.0,255:201:201
221,-47.66730043,-22.360412,13.0,255:19:19
222,-47.30594959,-22.05858278,2.0,255:219:219
223,-47.21330113,-22.06982169,8.0,109:109:255
224,-47.26696629,-22.68715227,2.0,218:218:255
225,-47.80061506,-22.79181703,12.0,255:37:37
226,-47.72396697,-22.45813153,1.0,255:237:237
227,-47.67308089,-22.66404538,3.0,255:201:201
228,-47.39929469,-22.64178966,0.0,255:255:255
229,-47.06084855,-22.1550264,1.0,255:237:237
230,-47.54868141,-22.53362877,1.0,236:236:255
231,-47.8310142,-22.7271464,2.0,255:219:219
232,-47.78845952,-22.71275543,5.0,255:164:164
233,-47.97382078,-22.77626403,5.0,163:163:255
234,-47.72171983,-22.52135181,0.0,255:255:255
235,-47.61383053,-22.97647035,4.0,182:182:255
236,-47.05023024,-22.77598437,10.0,255:73:73
237,-47.88600721,-22.76103498,6.0,145:145:255
238,-47.19534284,-22.97645347,8.0,255:110:110
239,-47.87885017,-22.50805028,2.0,255:219:219
240,-47.78473116,-22.14898543,1.0,255:237:237
241,-47.96232499,-22.94011541,7.0,255:128:128
242,-47.51945322,-22.70940492,2.0,255:219:219
243,-47.5143949,-22.7267491,12.0,255:37:37
244,-47.19410218,-22.00188421,5.0,163:163:255
245,-47.71308435,-22.6542041,2.0,218:218:255
246,-47.61451844,-22.13398124,4.0,182:182:255
247,-47.37281528,-22.66306544,5.0,255:164:164
248,-47.7110489,-22.42657683,5.0,163:163:255
249,-47.49770727,-22.71837451,6.0,255:146:146
250,-47.09476371,-22.67359748,12.0,255:37:37
251,-47.79305726,-22.01372688,3.0,255:201:201
252,-47.70253066,-22.37901567,0.0,255:255:255
253,-47.47579905,-22.13077497,9.0,255:92:92
254,-47.38867144,-22.52212189,1.0,255:237:237
255,-47.03536804,-22.48472238,4.0,255:183:183
256,-47.64189515,-22.81285404,0.0,255:255:255
257,-47.4304774,-22.7665194,4.0,255:183:183
258,-47.04571809,-22.79378396,1.0,255:237:237
259,-47.8720708,-22.70965083,6.0,145:145:255
260,-47.03231318,-22.92667687,19.0,255:0:0
261,-47.22861958,-22.43032097,3.0,200:200:255
262,-47.21177392,-22.45473181,12.0,255:37:37
263,-47.67660854,-22.14267787,6.0,145:145:255
264,-47.4677193,-22.8399241,3.0,200:200:255
265,-47.65885785,-22.37370205,2.0,255:219:219
266,-47.72744235,-22.38957449,1.0,255:237:237
267,-47.8714322,-22.87911578,4.0,182:182:255
268,-47.54731656,-22.3105832,1.0,236:236:255
269,-47.29858803,-22.74874461,2.0,255:219:219
270,-47.56495691,-22.70639367,0.0,255:255:255
271,-47.44882818,-22.09841257,2.0,255:219:219
272,-47.53812883,-22.00512339,7.0,255:128:128
273,-47.50068259,-22.14513072,0.0,255:255:255
274,-47.01559231,-22.06287399,4.0,255:183:183
275,-47.30435753,-22.03052484,3.0,255:201:201
276,-47.18852592,-22.35042726,3.0,255:201:201
277,-47.70061928,-22.40609302,6.0,145:145:255
278,-47.80076512,-22.24715564,3.0,200:200:255
279,-47.32900395,-22.5592459,3.0,200:200:255
280,-47.5249261,-22.23923231,7.0,127:127:255
281,-47.96382576,-22.54790429,1.0,236:236:255
282,-47.97035698,-22.76565553,2.0,218:218:255
283,-47.0240638,-22.35268315,11.0,255:55:55
284,-47.76419261,-22.7535349,8.0,109:109:255
285,-47.00655166,-22.91336309,17.0,255:0:0
286,-47.41992125,-22.27545688,4.0,255:183:183
287,-47.93479727,-22.07496995,1.0,236:236:255
288,-47.20515582,-22.12137021,3.0,255:201:201
289,-47.11373838,-22.40968455,28.0,255:0:0
290,-47.18734104,-22.80308105,6.0,255:146:146
291,-47.46931078,-22.62332289,8.0,109:109:255
292,-47.54315627,-22.16632283,1.0,255:237:237
293,-47.27326519,-22.94320964,7.0,255:128:128
294,-47.44657541,-22.96980216,2.0,255:219:219
295,-47.87434442,-22.55520925,13.0,255:19:19
296,-47.00983558,-22.45913136,18.0,255:0:0
297,-47.07358474,-22.23595959,21.0,255:0:0
298,-47.60311825,-22.50454425,6.0,145:145:255
