,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
0,-44.74087693,-23.10096031,5.0,255:140:140
1,-44.32313627,-22.001822,1.0,255:232:232
2,-44.01007276,-22.69124056,1.0,231:231:255
3,-44.27941309,-22.8165819,2.0,255:209:209
4,-44.37521394,-22.94233586,4.0,255:163:163
5,-44.71115983,-22.66019388,17.0,0:0:255
6,-44.96403197,-22.00081502,3.0,255:186:186
7,-44.67726494,-22.20890931,4.0,162:162:255
8,-44.84179757,-22.79332879,8.0,255:70:70
9,-44.62606468,-23.21702061,9.0,46:46:255
10,-44.21396511,-22.55630654,2.0,255:209:209
11,-44.52260455,-22.61443991,9.0,46:46:255
12,-44.54288525,-22.70587371,4.0,255:163:163
13,-44.22723109,-22.37640822,3.0,185:185:255
14,-44.24438428,-22.56705497,7.0,92:92:255
15,-44.41835928,-22.41827825,3.0,255:186:186
16,-44.14581055,-22.54875112,2.0,255:209:209
17,-44.18745508,-22.85177165,6.0,255:116:116
18,-44.18317038,-22.27560265,7.0,255:93:93
19,-44.18473224,-22.20196523,4.0,255:163:163
20,-44.55446968,-23.00841584,0.0,255:255:255
21,-44.25215916,-22.66352591,3.0,185:185:255
22,-44.8318844,-22.01088471,1.0,255:232:232
23,-44.73354048,-22.44901321,7.0,92:92:255
24,-44.54584023,-22.43950963,1.0,231:231:255
25,-44.8362279,-23.28493138,2.0,255:209:209
26,-44.12066354,-22.54405363,2.0,255:209:209
27,-44.97404907,-22.43418554,0.0,255:255:255
28,-44.1576194,-22.89677897,20.0,0:0:255
29,-44.54290418,-22.52399084,1.0,255:232:232
30,-44.10311057,-22.50157138,0.0,255:255:255
31,-44.35483711,-22.04756173,8.0,69:69:255
32,-44.40722432,-22.83748938,14.0,0:0:255
33,-44.39928826,-22.78468166,1.0,255:232:232
34,-44.52549322,-22.55893389,1.0,255:232:232
35,-44.50969946,-22.00022921,4.0,162:162:255
36,-44.21328205,-22.09513061,6.0,255:116:116
37,-44.61364109,-22.65101919,9.0,255:47:47
38,-44.19078754,-22.07273026,0.0,255:255:255
39,-44.67944511,-22.30004594,10.0,255:24:24
40,-44.54367695,-22.21400461,4.0,162:162:255
41,-44.94171618,-22.75488298,0.0,255:255:255
42,-44.04124513,-22.41405623,2.0,208:208:255
43,-44.42153601,-22.58144438,14.0,0:0:255
44,-44.21633001,-22.27311431,3.0,185:185:255
45,-44.90691166,-23.2185643,2.0,208:208:255
46,-44.24896337,-22.36601309,8.0,69:69:255
47,-44.29300442,-22.19489238,2.0,208:208:255
48,-44.28426088,-22.38978737,1.0,255:232:232
49,-44.63132935,-22.31784685,3.0,255:186:186
50,-44.19906138,-23.01045921,3.0,255:186:186
51,-44.53915652,-22.7982619,10.0,255:24:24
52,-44.42125075,-22.63366745,3.0,185:185:255
53,-44.59485042,-23.27480699,6.0,115:115:255
54,-44.81788429,-22.76142333,21.0,255:0:0
55,-44.64332651,-22.78589638,14.0,255:0:0
56,-44.14300741,-22.08962878,6.0,115:115:255
57,-44.13958011,-22.11705593,5.0,139:139:255
58,-44.45386255,-22.77934724,7.0,92:92:255
59,-44.23467633,-23.00494968,2.0,208:208:255
60,-44.83028603,-22.54033486,7.0,255:93:93
61,-44.32158903,-22.40565813,1.0,231:231:255
62,-44.72650808,-22.88797878,8.0,69:69:255
63,-44.88638444,-22.78642732,15.0,0:0:255
64,-44.65315006,-22.66921232,8.0,255:70:70
65,-44.15171324,-22.27818085,2.0,208:208:255
66,-44.1799505,-22.85874581,6.0,115:115:255
67,-44.9774082,-23.10742445,6.0,115:115:255
68,-44.96236607,-23.3606092,4.0,255:163:163
69,-44.14958346,-22.43112418,13.0,255:0:0
70,-44.70504737,-22.7920626,10.0,255:24:24
71,-44.23540296,-22.86834825,10.0,255:24:24
72,-44.9419151,-22.3581252,7.0,255:93:93
73,-44.15162212,-22.01939616,5.0,255:140:140
74,-44.98712656,-22.48996186,4.0,162:162:255
75,-44.66929929,-22.02423272,5.0,139:139:255
76,-44.62753871,-22.21149385,3.0,185:185:255
77,-44.40618286,-22.30849329,8.0,69:69:255
78,-44.65038699,-22.96370863,9.0,255:47:47
79,-44.25027147,-22.71428119,14.0,0:0:255
80,-44.35491551,-22.65361598,3.0,255:186:186
81,-44.75174283,-23.25053394,6.0,115:115:255
82,-44.47633999,-22.2267796,5.0,139:139:255
83,-44.8401881,-22.8968793,3.0,185:185:255
84,-44.28301832,-22.8856956,4.0,255:163:163
85,-44.27691909,-22.02623651,2.0,255:209:209
86,-44.8640015,-23.15700731,10.0,23:23:255
87,-44.40846064,-22.1207877,1.0,231:231:255
88,-44.12800326,-22.46144693,2.0,255:209:209
89,-44.03424202,-22.28822253,5.0,139:139:255
90,-44.28143522,-22.87227336,13.0,255:0:0
91,-44.91710265,-23.0953517,4.0,255:163:163
92,-44.30022991,-22.93626838,3.0,185:185:255
93,-44.52616883,-22.68753423,9.0,255:47:47
94,-44.88299165,-22.85932057,13.0,0:0:255
95,-44.87711419,-23.36041594,2.0,208:208:255
96,-44.82168814,-22.65276901,6.0,255:116:116
97,-44.58426306,-22.15308297,1.0,255:232:232
98,-44.8715908,-23.0389532,1.0,255:232:232
99,-44.71896242,-22.36337746,6.0,255:116:116
100,-44.85993492,-22.20010249,9.0,46:46:255
101,-44.36725039,-22.14288643,10.0,23:23:255
102,-44.0260924,-22.22078525,2.0,208:208:255
103,-44.13764638,-22.83783238,-9999,255:255:255
104,-44.93005968,-22.97401861,1.0,255:232:232
105,-44.88281919,-22.32666482,3.0,255:186:186
106,-44.2958822,-22.38493087,2.0,255:209:209
107,-44.93070657,-22.45182639,11.0,0:0:255
108,-44.67043509,-23.00878894,5.0,255:140:140
109,-44.00400112,-22.74004523,7.0,92:92:255
110,-44.70182908,-22.73617109,1.0,255:232:232
111,-44.96374071,-22.03966123,4.0,162:162:255
112,-44.8987083,-22.52919751,4.0,162:162:255
113,-44.88988545,-23.15217354,2.0,208:208:255
114,-44.91042312,-22.7780454,14.0,0:0:255
115,-44.30340252,-23.16029243,14.0,255:0:0
116,-44.41419499,-22.58118532,1.0,231:231:255
117,-44.58240295,-22.92837184,8.0,255:70:70
118,-44.24416165,-22.49456396,2.0,208:208:255
