,srtm30_wgs84_Araca,srtm30_slope_Araca
0,42.41514785,10.56422
1,1189.09141301,15.13235
2,38.67324596,9.571693
3,43.27292272,3.283962
4,36.52541526,2.198862
5,56.15534253,2.646444
6,79.45875175,0.4644427
7,67.90606376,1.353895
8,50.51313897,2.321308
9,36.20267437,2.210209
10,46.04505132,4.263452
11,47.71912866,3.107809
12,41.79823934,1.648555
13,92.01368905,11.55766
14,45.11183241,4.470315
15,50.4253998,1.92184
16,53.9026145,5.611719
17,49.36326555,1.774204
18,37.09300961,3.037599
19,33.24262225,2.557828
20,802.89166032,3.24136
21,162.87217683,25.26448
22,29.71766826,1.638703
23,53.94667717,3.753894
24,51.95088621,1.314953
25,33.0812548,6.225658
26,46.1610907,2.072505
27,52.95351505,2.300407
28,84.16917455,0.9253816
29,115.12162626,8.906631
30,23.42120466,3.302444
31,52.70540572,0.7338991
32,57.73249604,3.560771
33,59.8494784,9.014286
34,62.66604856,2.298819
35,52.10449265,3.814585
36,35.04689746,4.263745
37,46.72966614,5.341622
38,46.80020572,1.040621
39,1209.170723,11.22529
40,39.55363523,4.933918
41,54.51611947,4.544052
42,50.70507099,6.858062
43,115.47602917,NaN
44,842.89741745,12.31653
45,55.93326625,1.970199
46,557.84508526,33.85608
47,66.94470645,3.964177
48,75.62051456,2.074778
49,46.73267016,3.109594
50,67.64757325,5.728541
51,44.48912626,2.300377
52,496.95867771,20.62218
53,53.87060509,4.715735
54,106.05482732,15.7747
55,620.09087514,17.29186
56,48.13532371,0.9849915
57,55.84647144,1.648011
58,41.17617043,0.9253026
59,50.8263762,2.972364
60,46.81649785,2.833719
61,44.50734371,1.636476
62,49.15843571,4.570086
63,38.85962798,7.021413
64,45.94936783,6.531771
65,45.44330323,3.087031
66,44.05369056,2.394698
67,451.75353649,26.07925
68,33.82342045,3.224336
69,319.75502254,19.19283
70,38.63242905,1.970601
71,36.24961656,6.375367
72,74.37759639,3.298328
73,51.21842214,3.022076
74,45.28649646,2.974667
75,46.61476686,3.342396
76,51.02835187,8.088439
77,111.82871234,7.930932
78,33.07993095,1.648007
79,50.9882386,2.814649
80,53.08283428,1.853552
81,96.87208241,0.3292409
82,27.67649061,3.610996
83,50.5053446,3.241611
84,44.19578967,0.7367528
85,38.19898917,3.627024
86,73.5583213,0.9852939
87,388.74971971,39.51611
88,60.7212507,1.351548
89,201.82204512,13.40762
90,73.79939674,2.800754
91,68.3623766,2.110233
92,40.14475567,1.908952
93,50.17489462,2.976136
94,42.37381151,3.238185
95,58.51278527,6.603862
96,29.96038949,5.270161
97,80.48254487,0.3280816
98,42.55559758,2.555568
