,aw3d30_wgs84_Araca,aw3d30_slope_Araca
180,NaN,NaN
181,NaN,NaN
182,52.97055995,1.041036
183,73.21765737,1.642282
184,NaN,NaN
185,85.51697312,1.351646
186,59.03237126,6.19847
187,NaN,NaN
188,66.3774085,0.927538
189,51.04613809,1.040463
190,32.81994896,2.396241
191,NaN,NaN
192,75.55002052,3.302132
193,NaN,NaN
194,74.61357149,0.4665917
195,NaN,NaN
196,64.67201,0.4622273
197,42.02472949,5.578859
198,NaN,NaN
199,50.95756779,2.081642
200,64.55306957,2.65096
201,89.480723,3.939724
202,NaN,NaN
203,57.55154991,1.6725
204,52.92780754,2.298434
205,70.54903518,0.927636
206,NaN,NaN
207,NaN,NaN
208,45.44763874,6.983405
209,NaN,NaN
210,79.78611242,0.7339239
211,44.90508491,1.7736
212,68.34156615,1.038079
213,NaN,NaN
214,75.04421109,1.036058
215,42.30981295,0.932901
216,73.6745093,1.864989
217,NaN,NaN
218,NaN,NaN
219,NaN,NaN
220,61.37153937,0.3296035
221,59.99632566,3.956193
222,NaN,NaN
223,865.89837018,NaN
224,34.30232638,1.182284
225,49.56098528,1.313293
226,46.17760504,0.3276296
227,38.18261991,0.4644013
228,NaN,NaN
229,76.62814289,0.7319068
230,51.8281944,0.6562939
231,38.59018111,5.653402
232,43.48026213,2.209582
233,52.9695274,1.315038
234,54.20888807,1.351566
235,45.2473315,0.7341257
236,NaN,NaN
237,44.74460993,0.7367736
238,NaN,NaN
239,53.56399903,1.356091
240,65.14271197,0.9328954
241,53.05986283,1.674468
242,54.86320274,2.000098
243,52.861776,4.276093
244,NaN,NaN
245,38.26848265,1.472745
246,NaN,NaN
247,NaN,NaN
248,58.13020579,1.773597
249,NaN,NaN
250,35.93487976,NaN
251,82.08810585,0.00115761
252,54.0850718,4.469328
253,103.46673806,5.411712
254,NaN,NaN
255,NaN,NaN
256,57.20329204,0.3280567
257,NaN,NaN
258,33.89710414,1.03792
259,58.67681249,0.7339507
260,34.94473859,2.110776
261,56.09195007,0.9253513
262,37.06848488,0.9864703
263,70.90170197,1.764452
264,NaN,NaN
265,60.98443686,1.464609
266,63.14640041,1.357336
267,49.7913247,1.041053
268,61.70759636,2.507309
269,NaN,NaN
270,54.96274104,2.000928
271,941.39514691,37.10266
272,251.53840478,23.66296
273,87.52630941,2.555919
274,NaN,NaN
275,NaN,NaN
276,47.97157458,0.00108249
277,59.09563091,1.357828
278,66.23192851,2.300474
279,NaN,NaN
280,66.62347725,1.040579
281,60.79136926,3.678591
282,36.95391069,2.375842
283,48.63857477,0.00105998
284,NaN,NaN
285,34.88352679,1.353446
286,62.41796535,1.853495
287,77.4364547,1.182367
288,NaN,NaN
289,NaN,NaN
290,28.19776916,0.7319495
291,NaN,NaN
292,78.62671175,0.9275676
293,NaN,NaN
294,NaN,NaN
295,40.58287066,8.375648
296,42.65766228,1.970305
297,65.68744849,NaN
298,49.93262026,1.351601
299,80.33402243,4.71413
300,55.09318586,1.464175
301,91.83670294,5.252973
302,55.93182575,2.110602
303,33.30783166,3.678682
304,43.89148151,1.672422
305,NaN,NaN
306,58.93252366,1.763924
307,NaN,NaN
308,74.82134626,3.725301
309,57.41876255,2.811791
310,NaN,NaN
311,89.24716335,2.074639
312,74.4202561,2.507636
313,44.61149779,0.7316431
314,36.06762528,0.3296031
315,58.30912892,8.773396
316,NaN,NaN
317,NaN,NaN
318,34.92900501,0.7339829
319,NaN,NaN
320,NaN,NaN
321,56.43076085,1.398418
322,52.44585983,2.93019
323,NaN,NaN
324,57.69531796,4.63417
325,65.06286474,0.00116826
326,39.24317033,1.187947
327,56.63917078,2.944311
328,53.21560259,1.466759
329,NaN,NaN
330,NaN,NaN
331,NaN,NaN
332,NaN,NaN
333,NaN,NaN
334,44.99761914,0.7369394
335,114.76236274,3.224673
336,41.0737779,3.389458
337,20.42109256,0.9868823
338,53.91961022,3.030756
339,NaN,NaN
340,NaN,NaN
341,55.57169306,1.677133
342,39.99195498,1.356134
343,55.53114247,1.179937
344,42.13981907,1.922022
345,63.02061465,0.4643941
346,NaN,NaN
347,30.00601374,1.35154
348,NaN,NaN
349,NaN,NaN
350,90.90872061,12.31693
351,NaN,NaN
352,60.8985256,1.351952
353,NaN,NaN
354,33.95317705,9.1526
355,59.02754655,1.315058
356,63.68636419,1.188566
357,NaN,NaN
358,42.65583496,2.95594
359,54.20543527,1.677918
360,32.04551351,0.4660746
361,54.26852293,0.466031
362,NaN,NaN
363,55.65238317,3.85015
364,52.31804243,0.7367527
365,NaN,NaN
366,NaN,NaN
367,56.97904553,0.9865127
368,45.31881477,0.9852812
369,57.88631996,2.796224
370,59.85290064,3.371357
371,42.26457507,1.921293
372,60.44438306,2.324432
373,NaN,NaN
374,NaN,NaN
375,36.3228426,2.110166
376,62.7516923,1.766197
377,40.91485047,1.64225
378,50.96997552,2.082118
379,60.72458151,1.674423
380,72.55646245,0.7362556
381,NaN,NaN
382,NaN,NaN
383,51.5191048,4.387946
384,49.5105858,1.182427
385,49.40388496,3.663966
386,59.70608476,0.7368757
387,32.91762605,1.036278
388,44.36955497,0.9329674
389,55.03956094,1.638737
390,33.88682572,1.313849
391,NaN,NaN
392,50.13340868,0.6583554
393,1079.35183526,2.298551
394,NaN,NaN
395,95.83073096,0.9850315
396,49.2335919,0.9329195
397,143.76216484,9.124499
398,58.91679763,0.736896
399,53.65611111,1.038042
400,NaN,NaN
401,164.83067565,15.2553
402,72.46522311,1.997415
403,56.87443442,1.4728
404,57.83958729,1.398384
405,1173.3176049,1.970366
406,35.9525265,0.9849072
407,39.75691822,0.9853289
408,67.08017424,1.766522
409,69.34096936,0.7339525
410,50.72913268,0.00114839
411,52.85077522,0.9852894
412,NaN,NaN
413,58.46315043,0.3292848
414,77.70609985,0.9868836
415,128.81813067,18.70007
416,57.78337947,1.678489
417,59.19244338,1.357337
418,NaN,NaN
419,70.76822317,1.677934
420,24.04591675,1.187941
421,89.42982501,0.00111082
422,40.56750304,6.250855
423,NaN,NaN
424,NaN,NaN
425,NaN,NaN
426,66.36874451,0.984869
427,34.56835121,4.274339
428,NaN,NaN
429,49.689338,1.353521
430,45.39747003,2.508144
431,123.98239863,14.70731
432,35.77244815,2.95624
433,54.58494214,1.179862
434,88.13648019,0.6567312
435,58.88139726,2.956438
436,55.48500722,0.7341511
437,44.28321016,2.817139
438,34.92222792,1.472856
439,84.93925765,2.072601
440,NaN,NaN
441,42.18101881,4.903157
442,69.47392375,1.764366
443,69.49646127,3.27153
444,49.74383343,0.7369302
445,38.23731756,4.273994
446,NaN,NaN
447,53.86940971,0.9275306
448,102.80179042,1.038209
449,46.71264367,3.734402
450,NaN,NaN
451,NaN,NaN
452,NaN,NaN
453,NaN,NaN
454,42.99213406,0.00108588
455,39.12176778,3.298246
456,58.52740631,4.279896
457,52.38338336,NaN
458,55.43043088,1.179887
459,78.42128381,1.764178
460,83.54271875,3.622676
461,NaN,NaN
462,59.24653581,2.655455
463,NaN,NaN
464,53.70205139,2.639005
465,69.33679367,2.375892
466,56.33491884,1.970147
467,64.88865281,1.909101
468,55.47458058,0.3297671
469,33.84038996,1.314981
470,46.77422699,2.388298
471,83.15721016,3.302171
472,105.67613239,1.85143
473,35.82141658,1.464373
474,63.90557717,2.3199
475,51.12047249,5.316284
476,40.68219004,3.832048
477,65.26363343,2.776356
478,50.10548743,1.473339
479,NaN,NaN
480,33.24645011,2.000116
481,53.49072562,0.733944
482,64.89182185,0.9253321
483,NaN,NaN
484,55.8775833,2.386306
485,67.37042742,1.851114
486,57.72980748,3.29298
487,NaN,NaN
488,54.91356644,2.639059
489,NaN,NaN
490,43.64011815,0.00114234
491,NaN,NaN
492,NaN,NaN
493,36.28941975,3.109488
494,NaN,NaN
495,NaN,NaN
496,37.84629651,0.4644767
497,NaN,NaN
498,55.56077598,0.00112922
499,31.99879482,1.764111
500,47.47301353,1.042115
501,NaN,NaN
502,42.96222217,0.9253708
503,44.0631391,2.375885
504,74.84292707,5.198924
505,29.18089204,0.4660202
506,39.70577905,0.9274602
507,55.57656093,2.074445
508,32.96289,0.3296155
509,35.14349448,3.52629
510,36.44591593,0.3280392
511,48.22896247,1.674364
512,48.88491508,2.110779
513,NaN,NaN
514,NaN,NaN
515,41.34024351,5.287791
516,40.34672785,6.718353
517,47.74194559,4.688076
518,NaN,NaN
519,42.81056751,4.309432
520,52.40206359,1.766461
521,63.2546788,6.816993
522,45.14397216,1.677877
523,NaN,NaN
524,41.86248911,2.646397
525,24.23692556,0.00113091
526,72.25691236,4.918673
527,49.96323315,1.473359
528,78.07684493,2.628563
529,NaN,NaN
530,69.57131344,1.18228
531,66.4214096,1.35383
532,52.45766923,1.671976
533,873.92762782,12.4195
534,NaN,NaN
535,36.98201691,3.032345
536,NaN,NaN
537,NaN,NaN
538,NaN,NaN
539,NaN,NaN
540,312.85693737,9.74323
541,48.77401163,6.760932
542,NaN,NaN
543,57.75878651,3.622061
544,79.49983165,3.624424
545,NaN,NaN
546,77.82813184,1.853473
547,71.11830693,4.468854
548,38.89386906,0.00110503
549,55.58943566,0.3275223
550,47.56684201,1.908777
551,NaN,NaN
552,48.69335168,1.040555
553,39.92152043,3.993709
554,55.67984375,0.00129588
555,NaN,NaN
556,NaN,NaN
557,NaN,NaN
558,NaN,NaN
559,41.03075933,0.00119455
560,NaN,NaN
561,91.63181368,5.243222
