,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
0,-48.83286562,-28.32481787,2.0,255:192:192
1,-48.81369809,-27.79443069,0.0,255:255:255
2,-48.97680062,-27.00098074,9.0,0:0:255
3,-48.79183589,-27.25138671,2.0,255:192:192
4,-48.89795943,-27.95463583,2.0,191:191:255
5,-48.4930075,-27.66942,1.0,223:223:255
6,-48.69207993,-27.73937359,2.0,191:191:255
7,-48.70516099,-27.84939856,4.0,127:127:255
8,-48.50156405,-27.45294306,3.0,159:159:255
9,-48.51262786,-27.6823539,0.0,255:255:255
10,-48.71263294,-28.2134564,1.0,223:223:255
11,-48.70745679,-28.28309064,-9999,255:255:255
12,-48.89156544,-27.0130979,3.0,159:159:255
13,-48.82813361,-27.54031079,2.0,255:192:192
14,-48.70706695,-27.52887485,2.0,255:192:192
15,-48.98326165,-27.52246822,3.0,159:159:255
16,-48.7051732,-27.63053357,16.0,0:0:255
17,-48.69394313,-27.67258157,1.0,223:223:255
18,-48.68375615,-27.00027581,7.0,31:31:255
19,-48.7507985,-27.78339051,3.0,255:160:160
20,-48.7932421,-27.36105409,2.0,191:191:255
21,-48.70567163,-27.25751804,2.0,191:191:255
22,-48.96240694,-27.90837286,5.0,95:95:255
23,-48.93995802,-28.46633421,1.0,255:224:224
24,-48.51558137,-27.4404343,8.0,0:0:255
25,-48.76220743,-27.38247445,4.0,255:128:128
26,-48.70275595,-27.96057199,1.0,255:224:224
27,-48.62670673,-27.76251065,16.0,0:0:255
28,-48.88253537,-27.91624305,3.0,255:160:160
29,-48.7699456,-27.9456922,3.0,159:159:255
30,-48.89053449,-27.65020081,6.0,63:63:255
31,-48.82359771,-28.06853095,10.0,255:0:0
32,-48.92671797,-27.94633109,6.0,255:64:64
33,-48.77628179,-27.80528283,4.0,255:128:128
34,-48.98542829,-28.33259637,5.0,95:95:255
35,-48.97572611,-28.63726101,-9999,255:255:255
36,-48.45148133,-27.51878438,1.0,223:223:255
37,-48.80975555,-27.95311218,11.0,0:0:255
38,-48.96253524,-27.43094258,10.0,0:0:255
39,-48.99169663,-27.5895855,0.0,255:255:255
40,-48.78669804,-27.02915995,1.0,223:223:255
41,-48.75976247,-27.25449676,5.0,95:95:255
42,-48.61698794,-27.37121903,2.0,255:192:192
43,-48.77449961,-28.15965889,1.0,223:223:255
44,-48.6622393,-27.27289055,1.0,255:224:224
45,-48.89692132,-28.0792412,0.0,255:255:255
46,-48.91228097,-28.39226088,10.0,255:0:0
47,-48.61845711,-27.14534739,-9999,255:255:255
48,-48.4375621,-27.55527265,4.0,255:128:128
49,-48.94653121,-28.31806887,1.0,223:223:255
50,-48.69437889,-27.82733014,9.0,255:0:0
51,-48.92452961,-28.03404568,14.0,0:0:255
52,-48.92073865,-28.63702846,-9999,255:255:255
53,-48.88498885,-27.78549612,4.0,255:128:128
54,-48.73184967,-27.18420923,1.0,223:223:255
55,-48.91717607,-28.2502029,18.0,0:0:255
56,-48.81873076,-27.43726277,3.0,159:159:255
57,-48.90965802,-27.24078921,1.0,223:223:255
58,-48.5918765,-27.17193944,3.0,255:160:160
59,-48.9548885,-28.1720652,3.0,255:160:160
60,-48.92441838,-27.39308537,3.0,255:160:160
61,-48.95530574,-27.54369596,12.0,255:0:0
62,-48.78743063,-28.21390536,4.0,255:128:128
63,-48.80767976,-27.8858563,4.0,255:128:128
64,-48.97661276,-27.04772553,9.0,0:0:255
65,-48.93466686,-27.6367989,7.0,255:32:32
66,-48.92897611,-28.38644426,1.0,223:223:255
67,-48.94222291,-27.93624488,5.0,255:96:96
