,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca,srtm30_wgs84-tdx12,srtm30_wgs84-tdx30,srtm30_wgs84-aster30_wgs84,srtm30_wgs84-aw3d30_wgs84
23,-63.55446968,0.28055945,57.50402,56.01431,60.0,53.94667717,55.0,48.94667717,62.0,55.9473,-3.55734283,-2.06763283,5.0,-2.00062283
24,-63.07956421,0.23510795,50.4993,51.37289,59.0,51.95088621,53.0,45.95088621,NaN,NaN,1.45158621,0.57799621,6.0,NaN
25,-63.55209842,0.05940321,32.80306,34.62934,39.0,33.0812548,33.0,27.0812548,38.0,32.0812548,0.2781948,-1.5480852,6.0,1.0
26,-63.25215916,0.52661647,44.4585,43.85838,53.0,46.1610907,50.0,43.1610907,NaN,NaN,1.7025907,2.3027107,3.0,NaN
27,-63.54644464,0.23927433,48.44629,53.16021,59.0,52.95351505,62.0,55.95351505,61.0,54.95413898,4.50722505,-0.20669495,-3.0,-2.00062393
28,-63.8318844,0.99223445,82.66814,83.03522,90.0,84.16917455,81.0,75.16917455,90.0,84.16932638,1.50103455,1.13395455,9.0,-0.000151830000007
29,-63.73354048,0.67965764,111.0494,108.3224,121.0,115.12162626,120.0,114.12162626,120.0,114.12177895,4.07222626,6.79922626,1.0,0.99984731
30,-63.24666655,0.03350834,24.9302,24.76376,30.0,23.42120466,40.0,33.42120466,NaN,NaN,-1.50899534,-1.34255534,-10.0,NaN
31,-63.54584023,0.68643784,52.97334,52.82629,59.0,52.70540572,38.0,31.70540572,60.0,53.70600597,-0.26793428,-0.12088428,21.0,-1.00060025
32,-63.8362279,0.0832832,52.66631,54.27749,63.0,57.73249604,54.0,48.73249604,59.0,53.73249604,5.06618604,3.45500604,9.0,4.0
33,-63.12066354,0.61185234,57.29662,58.60607,67.0,59.8494784,68.0,60.8494784,NaN,NaN,2.5528584,1.2434084,-1.0,NaN
34,-63.97404907,0.69023624,64.27454,63.0559,68.0,62.66604856,63.0,57.66604856,72.0,66.6662186,-1.60849144,-0.38985144,5.0,-4.00017004
35,-63.96371262,0.00541007,51.62891,52.31295,57.0,52.10449265,48.0,43.10449265,57.0,52.10449265,0.47558265,-0.20845735,9.0,0.0
36,-63.1576194,0.36020526,33.19631,33.30724,42.0,35.04689746,40.0,33.04689746,42.0,35.04761755,1.85058746,1.73965746,2.0,-0.000720090000002
37,-63.54290418,0.62616587,46.33153,46.11932,53.0,46.72966614,43.0,36.72966614,56.0,49.73026935,0.39813614,0.61034614,10.0,-3.00060321
38,-63.10311057,0.64216072,46.78086,47.21162,54.0,46.80020572,47.0,39.80020572,55.0,47.80089425,0.01934572,-0.41141428,7.0,-1.00068853
39,-63.35483711,0.96606773,1205.702,1205.986,1216.0,1209.170723,1199.0,1192.170723,NaN,NaN,3.468723,3.184723,17.0,NaN
40,-63.40722432,0.40250461,35.43417,35.56103,46.0,39.55363523,31.0,24.55363523,NaN,NaN,4.11946523,3.99260523,15.0,NaN
41,-63.39928826,0.44017955,52.92775,52.25439,61.0,54.51611947,46.0,39.51611947,NaN,NaN,1.58836947,2.26172947,15.0,NaN
42,-63.52549322,0.60123622,39.07368,51.23503,57.0,50.70507099,56.0,49.70507099,53.0,46.70521482,11.63139099,-0.52995901,1.0,3.99985617
43,-63.50969946,0.99983647,114.5262,112.5894,122.0,115.47602917,103.0,96.47602917,124.0,117.47616007,0.94982917,2.88662917,19.0,-2.0001309
44,-63.21328205,0.93213036,836.6551,840.2361,850.0,842.89741745,846.0,838.89741745,NaN,NaN,6.24231745,2.66131745,4.0,NaN
45,-63.61364109,0.53553922,49.36884,49.17151,62.0,55.93326625,56.0,49.93326625,57.0,50.93403446,6.56442625,6.76175625,6.0,4.99923179
46,-63.19078754,0.94811158,562.6147,564.7357,565.0,557.84508526,532.0,524.84508526,NaN,NaN,-4.76961474,-6.89061474,33.0,NaN
47,-63.67944511,0.78593631,64.39076,66.089,73.0,66.94470645,70.0,63.94470645,73.0,66.94546019,2.55394645,0.85570645,3.0,-0.000753740000007
48,-63.54367695,0.84732132,74.67786,75.57509,82.0,75.62051456,55.0,48.62051456,85.0,78.62124136,0.94265456,0.04542456,27.0,-3.0007268
49,-63.94171618,0.46143901,46.86543,47.37466,52.0,46.73267016,51.0,45.73267016,52.0,46.73267016,-0.13275984,-0.64198984,1.0,0.0
50,-63.04124513,0.70459722,57.9996,58.94182,75.0,67.64757325,69.0,61.64757325,70.0,62.64825171,9.64797325,8.70575325,6.0,4.99932154
51,-63.42153601,0.58517643,41.19414,41.04961,51.0,44.48912626,35.0,28.48912626,NaN,NaN,3.29498626,3.43951626,16.0,NaN
52,-63.21633001,0.80515031,490.998,491.4636,504.0,496.95867771,495.0,487.95867771,NaN,NaN,5.96067771,5.49507771,9.0,NaN
53,-63.90691166,0.13063189,52.41514,53.41604,59.0,53.87060509,63.0,57.87060509,57.0,51.87060509,1.45546509,0.45456509,-4.0,2.0
54,-63.24896337,0.73887295,112.1019,111.9712,113.0,106.05482732,106.0,99.05482732,NaN,NaN,-6.04707268,-5.91637268,7.0,NaN
55,-63.29300442,0.86095668,626.9495,623.6975,627.0,620.09087514,622.0,615.09087514,NaN,NaN,-6.85862486,-3.60662486,5.0,NaN
56,-63.28426088,0.72191151,50.39279,50.38863,55.0,48.13532371,46.0,39.13532371,NaN,NaN,-2.25746629,-2.25330629,9.0,NaN
57,-63.63132935,0.77323649,55.07143,55.1791,62.0,55.84647144,61.0,54.84647144,64.0,57.84661428,0.77504144,0.66737144,1.0,-2.00014284
58,-63.19906138,0.27910163,40.12571,39.26646,48.0,41.17617043,45.0,38.17617043,NaN,NaN,1.05046043,1.90971043,3.0,NaN
59,-63.53915652,0.43049092,49.78727,48.73086,57.0,50.8263762,54.0,47.8263762,57.0,50.82653045,1.0391062,2.0955162,3.0,-0.000154249999994
60,-63.4304307,0.04401833,49.41037,47.93428,53.0,46.81649785,68.0,61.81649785,NaN,NaN,-2.59387215,-1.11778215,-15.0,NaN
61,-63.42125075,0.54791858,38.98611,39.2809,51.0,44.50734371,42.0,35.50734371,NaN,NaN,5.52123371,5.22644371,9.0,NaN
62,-63.59485042,0.09050631,48.97457,49.69418,55.0,49.15843571,49.0,43.15843571,55.0,49.15843571,0.18386571,-0.53574429,6.0,0.0
63,-63.50590424,0.2444192,42.62331,39.8751,45.0,38.85962798,35.0,28.85962798,NaN,NaN,-3.76368202,-1.01547202,10.0,NaN
64,-63.4879031,0.03789629,46.66704,48.2599,52.0,45.94936783,44.0,37.94936783,NaN,NaN,-0.71767217,-2.31053217,8.0,NaN
65,-63.81788429,0.45677289,43.96415,43.59978,51.0,45.44330323,53.0,47.44330323,48.0,42.44330323,1.47915323,1.84352323,-2.0,3.0
66,-63.64332651,0.43931292,41.48042,40.35232,50.0,44.05369056,45.0,39.05369056,51.0,45.05369056,2.57327056,3.70137056,5.0,-1.0
67,-63.14300741,0.93605557,453.3411,459.1938,459.0,451.75353649,459.0,451.75353649,NaN,NaN,-1.58756351,-7.44026351,0.0,NaN
68,-63.0073986,0.19550348,30.6447,31.01424,41.0,33.82342045,43.0,35.82342045,44.0,36.82414136,3.17872045,2.80918045,-2.0,-3.00072091
69,-63.13958011,0.91648804,321.56,314.1844,327.0,319.75502254,328.0,320.75502254,NaN,NaN,-1.80497746,5.57062254,-1.0,NaN
70,-63.45386255,0.44398532,36.97857,37.01181,45.0,38.63242905,33.0,26.63242905,NaN,NaN,1.65385905,1.62061905,12.0,NaN
71,-63.23467633,0.28303233,35.69042,34.87524,43.0,36.24961656,20.0,13.24961656,NaN,NaN,0.55919656,1.37437656,23.0,NaN
72,-63.83028603,0.61450545,66.78303,69.05907,80.0,74.37759639,67.0,61.37759639,74.0,68.37823404,7.59456639,5.31852639,13.0,5.99936235
73,-63.32158903,0.71058873,48.45103,49.20549,58.0,51.21842214,64.0,57.21842214,NaN,NaN,2.76739214,2.01293214,-6.0,NaN
74,-63.72650808,0.36648363,48.4651,48.11619,51.0,45.28649646,52.0,46.28649646,56.0,50.28649646,-3.17860354,-2.82969354,-1.0,-5.0
75,-63.88638444,0.43893414,47.00073,47.3613,52.0,46.61476686,50.0,44.61476686,54.0,48.61476686,-0.38596314,-0.74653314,2.0,-2.0
76,-63.65315006,0.52255958,45.30205,46.70673,57.0,51.02835187,52.0,46.02835187,58.0,52.0289734,5.72630187,4.32162187,5.0,-1.00062153
77,-63.15171324,0.80153566,111.4586,109.371,119.0,111.82871234,117.0,109.82871234,118.0,110.82939491,0.37011234,2.45771234,2.0,0.99931743
78,-63.1799505,0.38733949,30.55921,30.96087,40.0,33.07993095,35.0,28.07993095,38.0,31.07993095,2.52072095,2.11906095,5.0,2.0
79,-63.9774082,0.2099231,54.99242,50.26492,56.0,50.9882386,46.0,40.9882386,56.0,50.9882386,-4.0041814,0.7233186,10.0,0.0
80,-63.96236607,0.02929189,54.82015,56.93196,58.0,53.08283428,58.0,53.08283428,60.0,55.08283428,-1.73731572,-3.84912572,0.0,-2.0
81,-63.14958346,0.69242033,97.05477,97.80949,104.0,96.87208241,108.0,100.87208241,106.0,98.87277196,-0.18268759,-0.93740759,-4.0,-2.00068955
82,-63.36846015,0.04851276,24.34939,24.15541,34.0,27.67649061,11.0,4.67649061,NaN,NaN,3.32710061,3.52108061,23.0,NaN
83,-63.34446235,0.24497287,46.22055,45.96014,57.0,50.5053446,45.0,38.5053446,NaN,NaN,4.2847946,4.5452046,12.0,NaN
84,-63.70504737,0.43491372,48.4366,47.31488,50.0,44.19578967,56.0,50.19578967,57.0,51.19658625,-4.24081033,-3.11909033,-6.0,-7.00079658
85,-63.23540296,0.38048876,33.47352,33.66403,45.0,38.19898917,33.0,26.19898917,44.0,37.19971692,4.72546917,4.53495917,12.0,0.99927225
86,-63.9419151,0.74450045,72.19558,71.87069,79.0,73.5583213,76.0,70.5583213,81.0,75.5583213,1.3627413,1.6876313,3.0,-2.0
87,-63.15162212,0.98616207,360.9019,373.1327,396.0,388.74971971,377.0,369.74971971,NaN,NaN,27.84781971,15.61701971,19.0,NaN
88,-63.98712656,0.65044338,60.87658,60.17531,66.0,60.7212507,60.0,54.7212507,67.0,61.72142323,-0.1553293,0.5459407,6.0,-1.00017253
89,-63.66929929,0.98271149,200.3869,198.8225,208.0,201.82204512,194.0,187.82204512,216.0,209.82218561,1.43514512,2.99954512,14.0,-8.00014049
90,-63.62753871,0.84911259,71.48663,71.51127,80.0,73.79939674,73.0,66.79939674,NaN,NaN,2.31276674,2.28812674,7.0,NaN
91,-63.40618286,0.77990967,63.61327,65.07496,75.0,68.3623766,83.0,76.3623766,74.0,67.36308962,4.7491066,3.2874166,-8.0,0.99928698
92,-63.65038699,0.3124552,39.77437,39.35054,46.0,40.14475567,36.0,30.14475567,47.0,41.14492416,0.37038567,0.79421567,10.0,-1.00016849
93,-63.25027147,0.49040581,50.45877,48.22792,57.0,50.17489462,58.0,51.17489462,NaN,NaN,-0.28387538,1.94697462,-1.0,NaN
94,-63.35491551,0.53368657,NaN,NaN,49.0,42.37381151,41.0,34.37381151,NaN,NaN,NaN,NaN,8.0,NaN
95,-63.75174283,0.10782359,57.62724,54.93031,64.0,58.51278527,50.0,44.51278527,59.0,53.51278527,0.88554527,3.58247527,14.0,5.0
96,-63.08754248,0.2483418,28.17783,27.90474,37.0,29.96038949,32.0,24.96038949,37.0,29.96096457,1.78255949,2.05564949,5.0,-0.000575080000001
97,-63.47633999,0.83820718,81.22368,79.08554,87.0,80.48254487,80.0,73.48254487,88.0,81.48267715,-0.74113513,1.39700487,7.0,-1.00013228
98,-63.8401881,0.36013368,47.22696,47.20095,48.0,42.55559758,45.0,39.55559758,52.0,46.55559758,-4.67136242,-4.64535242,3.0,-4.0
99,-63.28301832,0.36811253,32.97403,33.3145,44.0,37.3063604,30.0,23.3063604,NaN,NaN,4.3323304,3.9918604,14.0,NaN
100,-63.27691909,0.98128192,842.3891,842.3149,865.0,858.0051932,838.0,831.0051932,NaN,NaN,15.6160932,15.6902932,27.0,NaN
101,-63.8640015,0.17454889,54.02387,54.81731,65.0,59.735635,62.0,56.735635,61.0,55.735635,5.711765,4.918325,3.0,4.0
102,-63.40846064,0.91382566,1135.084,1135.304,1144.0,1137.30494827,1165.0,1158.30494827,1141.0,1134.30565187,2.22094827,2.00094827,-21.0,2.9992964
103,-63.12800326,0.67078697,53.31384,54.83984,58.0,50.83764952,49.0,41.83764952,62.0,54.83833843,-2.47619048,-4.00219048,9.0,-4.00068891
104,-63.03424202,0.79437156,66.45915,65.76649,75.0,67.59535984,69.0,61.59535984,NaN,NaN,1.13620984,1.82886984,6.0,NaN
105,-63.28143522,0.37768845,32.57079,32.30436,43.0,36.29770675,42.0,35.29770675,NaN,NaN,3.72691675,3.99334675,1.0,NaN
106,-63.91710265,0.21853624,39.45667,38.98841,46.0,40.8341704,54.0,48.8341704,43.0,37.8341704,1.3775004,1.8457604,-8.0,3.0
107,-63.30022991,0.33203207,35.61164,35.78287,46.0,39.36225431,45.0,38.36225431,NaN,NaN,3.75061431,3.57938431,1.0,NaN
108,-63.52616883,0.50948806,39.02976,38.95341,54.0,47.75467808,52.0,45.75467808,49.0,42.7552857,8.72491808,8.80126808,2.0,4.99939238
109,-63.38895625,0.06403619,29.12199,28.91263,32.0,25.71182843,7.0,0.71182843,NaN,NaN,-3.41016157,-3.20080157,25.0,NaN
110,-63.88299165,0.38692944,53.05668,53.70132,54.0,48.63983285,58.0,52.63983285,57.0,51.64001067,-4.41684715,-5.06148715,-4.0,-3.00017782
111,-63.87711419,0.02942977,60.21304,59.57193,71.0,65.8712209,62.0,56.8712209,66.0,60.8712209,5.6581809,6.2992909,9.0,5.0
112,-63.41560784,0.00908051,51.78419,51.44907,57.0,50.80673314,57.0,50.80673314,NaN,NaN,-0.97745686,-0.64233686,0.0,NaN
113,-63.82168814,0.53429084,59.24954,59.8339,66.0,60.4050373,62.0,56.4050373,63.0,57.40567943,1.1554973,0.5711373,4.0,2.99935787
114,-63.58426306,0.89078504,79.71011,80.23706,88.0,81.68567206,80.0,73.68567206,NaN,NaN,1.97556206,1.44861206,8.0,NaN
115,-63.8715908,0.25877298,54.65201,54.6404,56.0,50.69652842,63.0,57.69652842,58.0,52.69652842,-3.95548158,-3.94387158,-7.0,-2.0
116,-63.71896242,0.7407533,71.23722,70.7393,82.0,76.05562248,82.0,76.05562248,78.0,72.0563875,4.81840248,5.31632248,0.0,3.99923498
117,-63.85993492,0.8572396,74.62949,74.53369,80.0,74.30639051,80.0,74.30639051,82.0,76.30639051,-0.32309949,-0.22729949,0.0,-2.0
118,-63.25673422,0.26749793,38.37675,37.76971,45.0,38.30465873,69.0,62.30465873,46.0,39.3054023,-0.07209127,0.53494873,-24.0,-1.00074357
119,-63.36725039,0.89805962,1103.828,1103.026,1110.0,1103.2270321,1118.0,1111.2270321,NaN,NaN,-0.6009679,0.2010321,-8.0,NaN
120,-63.76606898,0.01964807,55.55757,53.89535,60.0,54.60872514,61.0,55.60872514,58.0,52.60872514,-0.94884486,0.71337514,-1.0,2.0
121,-63.07574829,0.0199812,30.97438,31.05872,36.0,29.06640426,50.0,43.06640426,43.0,36.06698583,-1.90797574,-1.99231574,-14.0,-7.00058157
122,-63.0260924,0.84248377,77.89368,76.56012,88.0,80.55859831,87.0,79.55859831,NaN,NaN,2.66491831,3.99847831,1.0,NaN
123,-63.13764638,0.4022599,42.61619,42.27326,50.0,42.98417487,59.0,51.98417487,50.0,42.98474917,0.36798487,0.71091487,-9.0,-0.000574300000004
124,-63.13994388,0.07852042,32.97651,31.86252,36.0,29.16575505,42.0,35.16575505,NaN,NaN,-3.81075495,-2.69676495,-6.0,NaN
125,-63.93005968,0.30509969,47.7561,48.16107,54.0,48.80694907,54.0,48.80694907,54.0,48.80694907,1.05084907,0.64587907,0.0,0.0
126,-63.88281919,0.76694543,65.04552,64.91252,72.0,66.4099496,52.0,46.4099496,75.0,69.4099496,1.3644296,1.4974296,20.0,-3.0
127,-63.2958822,0.72537631,48.98318,49.35646,57.0,50.15782376,52.0,45.15782376,NaN,NaN,1.17464376,0.80136376,5.0,NaN
128,-63.32009163,0.12821712,37.09785,38.55273,42.0,35.52123289,40.0,33.52123289,43.0,36.52183528,-1.57661711,-3.03149711,2.0,-1.00060239
129,-63.93070657,0.67765061,59.06426,59.82096,65.0,59.57246608,54.0,48.57246608,65.0,59.57263309,0.50820608,-0.24849392,11.0,-0.000167009999998
130,-63.52567198,0.01985432,38.01726,38.76839,43.0,37.04702085,41.0,35.04702085,NaN,NaN,-0.97023915,-1.72136915,2.0,NaN
131,-63.67043509,0.28029327,32.03666,33.26608,32.0,26.21026169,43.0,37.21026169,39.0,33.21026169,-5.82639831,-7.05581831,-11.0,-7.0
132,-63.00400112,0.4720248,36.86908,36.82041,46.0,38.67721967,54.0,46.67721967,46.0,38.67778157,1.80813967,1.85680967,-8.0,-0.000561900000001
133,-63.70182908,0.47478876,48.53903,49.15477,59.0,53.16567206,53.0,47.16567206,57.0,51.16567206,4.62664206,4.01090206,6.0,2.0
134,-63.96374071,0.97170423,74.17376,75.50108,83.0,77.47423093,75.0,69.47423093,81.0,75.47439372,3.30047093,1.97315093,8.0,1.99983721
135,-63.8987083,0.62245124,61.41658,60.74156,70.0,64.53136219,60.0,54.53136219,69.0,63.5315289,3.11478219,3.78980219,10.0,0.99983329
136,-63.88988545,0.17799747,43.43111,46.95029,57.0,51.79597566,59.0,53.79597566,51.0,45.79597566,8.36486566,4.84568566,-2.0,6.0
137,-63.91042312,0.4449141,40.24734,39.89399,45.0,39.66825521,36.0,30.66825521,44.0,38.6684315,-0.57908479,-0.22573479,9.0,0.99982371
138,-63.30340252,0.17220516,47.56603,47.91821,56.0,49.45883232,72.0,65.45883232,57.0,50.45959457,1.89280232,1.54062232,-16.0,-1.00076225
139,-63.41419499,0.58536125,40.76326,40.85474,50.0,43.47371988,38.0,31.47371988,NaN,NaN,2.71045988,2.61897988,12.0,NaN
140,-63.58240295,0.33766575,49.68102,49.07807,53.0,46.97592104,40.0,33.97592104,56.0,49.97592104,-2.70509896,-2.10214896,13.0,-3.0
141,-63.24416165,0.64716008,40.231,40.7054,46.0,39.08704448,36.0,29.08704448,NaN,NaN,-1.14395552,-1.61835552,10.0,NaN
142,-63.5660414,0.51807616,50.21363,49.88556,64.0,57.83782458,57.0,50.83782458,57.0,50.83782458,7.62419458,7.95226458,7.0,7.0
143,-63.9914217,0.04365656,40.40521,43.01072,46.0,41.14521459,39.0,34.14521459,44.0,39.14521459,0.74000459,-1.86550541,7.0,2.0
144,-63.35409934,0.33315057,35.1033,35.63546,43.0,36.47701239,29.0,22.47701239,NaN,NaN,1.37371239,0.84155239,14.0,NaN
145,-63.63066269,0.72109042,59.24564,58.26428,67.0,60.87227717,65.0,58.87227717,NaN,NaN,1.62663717,2.60799717,2.0,NaN
146,-63.83069139,0.24082217,50.92464,50.20611,59.0,53.61060317,46.0,40.61060317,54.0,48.61078771,2.68596317,3.40449317,13.0,4.99981546
147,-63.64193283,0.55639382,53.15725,53.69312,64.0,57.98478996,49.0,42.98478996,63.0,56.98478996,4.82753996,4.29166996,15.0,1.0
148,-63.74008125,0.27518615,53.86617,54.99738,59.0,53.37486787,53.0,47.37486787,61.0,55.37486787,-0.49130213,-1.62251213,6.0,-2.0
149,-63.27379301,0.00517934,44.2024,43.65431,46.0,39.4974506,47.0,40.4974506,NaN,NaN,-4.7049494,-4.1568594,-1.0,NaN
150,-63.60268415,0.88506595,80.55275,79.31158,86.0,79.72818417,78.0,71.72818417,NaN,NaN,-0.82456583,0.41660417,8.0,NaN
151,-63.93326778,0.80767172,97.01168,96.42957,104.0,98.50102361,101.0,95.50102361,105.0,99.50118682,1.48934361,2.07145361,3.0,-1.00016321
152,-63.45278889,0.26131637,49.96795,49.3937,53.0,46.73212763,56.0,49.73212763,NaN,NaN,-3.23582237,-2.66157237,-3.0,NaN
153,-63.29582656,0.21496819,53.30785,52.06913,60.0,53.41784471,49.0,42.41784471,59.0,52.41800409,0.10999471,1.34871471,11.0,0.99984062
154,-63.43919225,0.82975432,278.0825,280.7094,285.0,278.40833174,295.0,288.40833174,289.0,282.40891461,0.32583174,-2.30106826,-10.0,-4.00058287
155,-63.16183378,0.95571581,104.6272,107.7754,125.0,117.78318674,100.0,92.78318674,NaN,NaN,13.15598674,10.00778674,25.0,NaN
156,-63.32787555,0.90785372,1233.824,1235.615,1242.0,1235.14127822,1235.0,1228.14127822,NaN,NaN,1.31727822,-0.47372178,7.0,NaN
157,-63.30067836,0.29104225,33.21789,33.53711,43.0,36.38514141,26.0,19.38514141,NaN,NaN,3.16725141,2.84803141,17.0,NaN
158,-63.36389051,0.93834483,1293.234,1291.967,1301.0,1294.20200097,1321.0,1314.20200097,1297.0,1290.20257294,0.96800097,2.23500097,-20.0,3.99942803
159,-63.8523297,0.90214045,75.8671,76.57378,80.0,74.2644353,75.0,69.2644353,82.0,76.26459003,-1.6026647,-2.3093447,5.0,-2.00015473
160,-63.01069508,0.72424517,54.14698,52.62715,63.0,55.57781428,65.0,57.57781428,NaN,NaN,1.43083428,2.95066428,-2.0,NaN
161,-63.79523364,0.35584738,41.03945,41.65209,47.0,41.45238606,42.0,36.45238606,48.0,42.45238606,0.41293606,-0.19970394,5.0,-1.0
162,-63.05881819,0.65775578,48.8256,48.51274,57.0,49.70332208,43.0,35.70332208,NaN,NaN,0.87772208,1.19058208,14.0,NaN
163,-63.30534185,0.76127565,53.63751,53.65953,64.0,57.16096264,55.0,48.16096264,NaN,NaN,3.52345264,3.50143264,9.0,NaN
164,-63.78468985,0.98931333,94.4654,94.72005,97.0,91.06754109,95.0,89.06754109,102.0,96.06768941,-3.39785891,-3.65250891,2.0,-5.00014832
165,-63.45209164,0.84893985,92.82914,92.05424,101.0,94.4259963,102.0,95.4259963,101.0,94.4267101,1.5968563,2.3717563,-1.0,-0.0007138
166,-63.79929625,0.66415632,73.94722,73.05998,86.0,80.27861089,89.0,83.27861089,80.0,74.27876868,6.33139089,7.21863089,-3.0,5.99984221
167,-63.06720297,0.84074641,82.79229,82.76913,89.0,81.64145085,89.0,81.64145085,91.0,83.64212375,-1.15083915,-1.12767915,0.0,-2.0006729
168,-63.35638195,0.44234853,36.93464,37.96658,49.0,42.42344846,34.0,27.42344846,NaN,NaN,5.48880846,4.45686846,15.0,NaN
169,-63.79381784,0.0739779,56.56808,56.672,63.0,57.63650735,69.0,63.63650735,59.0,53.63650735,1.06842735,0.96450735,-6.0,4.0
170,-63.39919548,0.86818481,1081.558,1081.979,1091.0,1084.3068121,1085.0,1078.3068121,1088.0,1081.30751767,2.7488121,2.3278121,6.0,2.99929443
171,-63.37034215,0.61879709,NaN,NaN,50.0,43.36400011,37.0,30.36400011,NaN,NaN,NaN,NaN,13.0,NaN
172,-63.93439454,0.07700688,58.3982,59.15377,64.0,58.97724205,61.0,55.97724205,64.0,58.97724205,0.57904205,-0.17652795,3.0,0.0
173,-63.19890157,0.92844117,769.4684,772.4071,775.0,767.86975196,781.0,773.86975196,NaN,NaN,-1.59864804,-4.53734804,-6.0,NaN
174,-63.34509445,0.93139088,1351.648,1351.258,1361.0,1354.16625492,1343.0,1336.16625492,NaN,NaN,2.51825492,2.90825492,18.0,NaN
175,-63.57819764,0.13542117,52.18034,52.42776,56.0,50.09085019,51.0,45.09085019,56.0,50.09085019,-2.08948981,-2.33690981,5.0,0.0
176,-63.56903868,0.80308506,70.56459,69.2909,78.0,71.69703287,64.0,57.69703287,78.0,71.69703287,1.13244287,2.40613287,14.0,0.0
177,-63.64277271,0.19890009,54.69606,54.32386,57.0,51.19757347,52.0,46.19757347,59.0,53.19757347,-3.49848653,-3.12628653,5.0,-2.0
178,-63.83941971,0.14494922,55.79779,59.12992,67.0,61.69651105,56.0,50.69651105,60.0,54.69651105,5.89872105,2.56659105,11.0,7.0
