,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca,srtm30_wgs84-tdx12,srtm30_wgs84-tdx30,srtm30_wgs84-aster30_wgs84,srtm30_wgs84-aw3d30_wgs84
0,-63.74087693,0.21453486,39.56873,42.91617,48.0,42.41514785,34.0,28.41514785,NaN,NaN,2.84641785,-0.50102215,14.0,NaN
1,-63.32313627,0.99870012,1190.614,1195.306,1196.0,1189.09141301,1176.0,1169.09141301,NaN,NaN,-1.52258699,-6.21458699,20.0,NaN
2,-63.01007276,0.50684383,35.65009,36.84766,46.0,38.67324596,50.0,42.67324596,NaN,NaN,3.02315596,1.82558596,-4.0,NaN
3,-63.27941309,0.41742076,35.4737,35.15806,50.0,43.27292272,40.0,33.27292272,NaN,NaN,7.79922272,8.11486272,10.0,NaN
4,-63.37521394,0.32770331,33.29939,33.49532,43.0,36.52541526,35.0,28.52541526,NaN,NaN,3.22602526,3.03009526,8.0,NaN
5,-63.71115983,0.52899366,53.19969,52.0788,62.0,56.15534253,67.0,61.15534253,61.0,55.15597077,2.95565253,4.07654253,-5.0,0.99937176
6,-63.96403197,0.99941853,78.3187,78.49097,85.0,79.45875175,75.0,69.45875175,85.0,79.4589143,1.14005175,0.96778175,10.0,-0.000162549999985
7,-63.67726494,0.8509565,69.34988,69.25905,74.0,67.90606376,68.0,61.90606376,76.0,69.90681117,-1.44381624,-1.35298624,6.0,-2.00074741
8,-63.84179757,0.43401038,49.92676,49.53484,56.0,50.51313897,56.0,50.51313897,54.0,48.51313897,0.58637897,0.97829897,0.0,2.0
9,-63.62606468,0.13173321,38.80584,38.63919,42.0,36.20267437,14.0,8.20267437,39.0,33.20267437,-2.60316563,-2.43651563,28.0,3.0
10,-63.21396511,0.60311067,42.45361,43.29218,53.0,46.04505132,58.0,51.04505132,51.0,44.04562498,3.59144132,2.75287132,-5.0,1.99942634
11,-63.52260455,0.56163621,46.88574,46.75529,54.0,47.71912866,40.0,33.71912866,57.0,50.71987884,0.83338866,0.96383866,14.0,-3.00075018
12,-63.54288525,0.49640401,39.99123,40.04409,48.0,41.79823934,43.0,36.79823934,50.0,43.7988495,1.80700934,1.75414934,5.0,-2.00061016
13,-63.22723109,0.73145668,94.12913,92.25086,99.0,92.01368905,81.0,74.01368905,NaN,NaN,-2.11544095,-0.23717095,18.0,NaN
14,-63.24438428,0.59544235,39.26244,38.86849,52.0,45.11183241,40.0,33.11183241,NaN,NaN,5.84939241,6.24334241,12.0,NaN
15,-63.41835928,0.70158508,48.17346,48.74832,57.0,50.4253998,50.0,43.4253998,58.0,51.42612096,2.2519398,1.6770798,7.0,-1.00072116
16,-63.14581055,0.60850098,58.63118,57.87301,61.0,53.9026145,54.0,46.9026145,63.0,55.90274185,-4.7285655,-3.9703955,7.0,-2.00012735
17,-63.66069461,0.01395877,50.98137,49.28957,55.0,49.36326555,56.0,50.36326555,57.0,51.36326555,-1.61810445,0.07369555,-1.0,-2.0
18,-63.18745508,0.39231511,34.00178,34.36811,44.0,37.09300961,32.0,25.09300961,47.0,40.09300961,3.09122961,2.72489961,12.0,-3.0
19,-63.21877489,0.23396146,31.45198,30.8644,40.0,33.24262225,39.0,32.24262225,NaN,NaN,1.79064225,2.37822225,1.0,NaN
20,-63.18317038,0.80337504,798.4504,800.5176,810.0,802.89166032,801.0,793.89166032,NaN,NaN,4.44126032,2.37406032,9.0,NaN
21,-63.18473224,0.85591066,159.7825,160.0179,170.0,162.87217683,142.0,134.87217683,NaN,NaN,3.08967683,2.85427683,28.0,NaN
22,-63.37863458,0.01985257,25.79719,26.16364,36.0,29.71766826,29.0,22.71766826,NaN,NaN,3.92047826,3.55402826,7.0,NaN
