,srtm30_wgs84_Iporanga,srtm30_slope_Iporanga
0,859.74479974,22.69886
1,724.08468663,4.572427
2,59.43832324,6.504486
3,146.9121493,14.22573
4,336.1544714,27.23858
5,916.20587197,8.536098
6,750.42852821,2.379895
7,936.59876536,19.22731
8,606.47878055,32.7224
9,755.73511221,17.41981
10,376.58117089,6.358843
11,354.97838131,20.98944
12,628.10217559,8.427914
13,738.41467613,26.2542
14,440.62753323,18.88207
15,620.65357025,23.10968
16,243.49155899,27.48207
17,627.93630572,11.53227
18,93.82183656,1.797452
19,237.05492155,25.96792
20,825.26347466,22.00134
21,788.18764023,10.25693
22,734.53805696,9.126016
23,280.439996,28.68436
24,108.84118027,23.26467
25,423.73722982,33.12842
26,81.73175589,17.31088
27,234.48915275,21.41836
28,696.39832105,3.833159
29,845.95546689,14.7969
30,686.31810922,8.867373
31,836.79487755,20.3795
32,944.04210035,19.28093
33,78.4559684,7.391003
34,1062.08084022,8.832082
35,1059.28564579,8.611907
36,57.81841314,3.432413
37,717.89291325,16.60254
38,39.39494648,0.6892305
39,700.16428866,3.670851
40,83.0916842,30.24221
41,111.02857289,16.81222
42,479.91733881,23.19583
43,700.21527345,NaN
44,736.09956255,5.936378
45,656.10796108,14.71766
46,699.05435547,10.66558
47,887.7216617,5.216478
48,725.51362351,6.0839
49,606.50341798,10.43712
50,35.23846603,5.62282
51,227.83876408,4.753414
52,787.29480405,14.08058
53,836.0396931,9.573574
54,803.42660348,9.733783
55,854.28317938,12.20997
56,843.48856142,7.63016
57,953.71114282,14.78067
58,253.97345094,24.35755
59,114.20045968,13.0388
60,792.58660999,19.31728
61,787.89508516,12.90733
62,539.75243852,26.91106
63,146.43222719,5.132984
64,705.67577408,8.789253
65,837.41974456,12.63609
66,448.29356473,33.34331
67,703.02818102,2.380426
68,133.76416928,14.64713
69,713.05375175,17.75887
70,74.08653294,7.577662
71,307.02051514,25.49298
72,1000.14357317,15.35361
73,860.54430003,9.112842
74,751.49168957,11.32274
75,698.50438134,20.16934
76,772.16581687,34.18413
77,840.23295255,12.89885
78,89.81760308,10.9528
79,464.97328653,7.620826
80,871.24836565,2.575073
81,74.38309627,1.860862
82,710.49035834,14.0402
83,729.22077493,21.16926
84,542.35892645,27.75338
85,390.90148236,12.96769
86,910.9557991,12.96111
87,655.96066562,4.829497
88,967.16703533,12.06773
89,757.34195737,5.237182
90,813.56993175,6.768006
91,876.51584566,11.11285
92,231.49990188,27.60388
93,226.77846547,23.41039
94,798.84325345,35.64064
95,990.91501783,15.41245
96,64.83975517,11.48146
97,780.47788364,13.20996
98,145.60489787,2.856222
99,152.98131254,24.11143
100,621.07666671,2.891233
101,471.93026641,14.34702
102,819.29468498,6.486919
103,157.38704118,7.701998
104,366.1134612,24.22998
105,105.96655194,20.19596
106,548.90812615,8.99694
107,176.05063873,8.282318
108,426.0646754,29.50784
109,688.50295021,5.800661
110,328.59361332,8.622706
111,906.1638336,11.58453
112,694.60552829,11.08508
113,910.2847183,1.724224
114,797.46410077,12.25623
115,486.80175331,26.90255
116,941.83248507,4.810746
117,741.68808094,9.632542
118,366.07046055,20.71268
119,676.28803877,1.930324
120,828.05594528,14.60497
121,258.04514059,5.392841
122,701.040191,17.26467
123,268.74022988,29.5967
124,314.09834541,10.06278
125,717.7733018,12.51522
126,816.88104182,12.81652
127,868.49515855,9.854416
128,796.3271074,12.2572
129,911.08337551,5.153865
130,798.75027207,25.67787
131,333.5703287,26.9142
132,101.46946915,11.20203
133,552.28994735,25.49181
134,666.48807315,8.674301
135,994.17258382,9.869665
136,709.9492846,19.44031
137,780.5112386,18.96696
138,737.25111336,15.43518
139,341.83119018,17.29146
140,356.38836018,23.43881
141,512.55441777,26.38128
142,205.09108568,23.75979
143,982.25327084,2.452593
144,196.12022178,20.13298
145,890.80431002,14.8418
146,486.79318235,22.80818
147,781.09892303,9.703323
148,424.65075442,26.18243
149,691.39068721,16.07374
150,841.48677479,28.91838
151,910.82272344,6.112547
152,536.34257769,25.38758
153,828.18946938,20.72072
154,889.46212832,13.33973
155,671.01628379,8.535193
156,724.23846929,13.50005
157,617.10273573,39.23284
158,759.21816566,3.039754
159,700.59300849,19.94295
160,46.17616168,2.746338
161,160.57255028,14.84147
162,25.31995979,1.391914
163,855.45010017,9.828196
164,760.38485428,2.062283
165,845.439692,12.60508
166,1036.02991428,14.53233
167,776.08739132,12.44764
168,409.97475609,34.31595
169,798.010164,22.96243
170,752.36405763,7.559711
171,918.73384808,15.07246
172,828.14885806,18.32846
173,689.09192702,12.25298
174,663.21447256,2.778151
175,266.67129079,26.0552
176,843.61167909,8.559103
177,680.66005154,31.04458
178,447.95228409,15.01787
179,337.23727395,13.89355
180,529.73605273,11.19929
181,817.39445992,28.0559
182,948.00818732,28.55348
183,973.93490059,25.56079
184,159.74492523,11.26448
185,757.67158437,14.93716
186,882.81352953,12.88042
187,649.16756224,4.283843
188,835.52475616,3.021405
189,231.65016729,8.862062
190,40.55553431,6.837301
191,781.27842365,32.09145
192,823.79101219,11.97092
193,445.08316479,35.56247
194,720.52670994,17.41329
195,932.8602945,11.59249
196,483.15885536,37.32929
197,646.02553089,24.45627
198,674.54529972,4.15616
199,695.03906535,10.29497
200,880.66411304,16.81103
201,815.73566629,3.710726
202,884.24017091,14.01396
203,856.71701653,7.111879
204,880.96659486,16.69043
205,928.00707858,4.468882
206,336.08284842,5.726159
207,719.09626895,36.45182
208,951.33462103,19.82297
209,657.01450253,9.74674
210,1002.52670674,2.700619
211,845.02106433,0.3444622
212,788.82345972,10.96568
213,566.63620368,19.96614
214,887.58841888,24.00719
215,472.06696815,28.4835
216,848.53389315,24.78081
217,117.17372199,22.13034
218,434.16916062,12.14457
219,833.4186542,15.04242
220,995.57467286,18.75389
221,1011.9768025,9.695267
222,639.16520064,2.408703
223,741.10256553,1.907227
224,195.02948374,15.45416
225,429.81591273,17.39751
226,935.19422877,20.47608
227,343.48730815,20.54633
228,526.14364628,29.47107
229,770.07507003,14.27205
230,323.15512862,15.6053
231,170.74184193,12.86838
232,412.67867058,27.27523
233,340.94700923,19.7362
234,490.30087751,25.43054
235,655.8640317,9.883442
236,57.80581195,8.833586
237,316.84698751,25.82407
238,399.24468277,22.25126
239,732.40321327,8.90644
240,921.66196749,11.56252
241,787.20166155,21.92574
242,473.38436759,17.73563
243,226.40303483,15.70622
244,685.97974389,8.206218
245,393.51162281,7.435709
246,803.52990656,4.80824
247,472.13901392,18.59661
248,871.1287505,4.92922
249,484.37075493,18.91493
250,66.76582904,15.55581
251,694.39472575,14.45588
252,1050.0377083,5.840129
253,830.42374295,6.566399
254,330.96249557,32.37067
255,23.46381618,0.3446204
256,846.67624084,17.08779
257,213.35122415,13.9753
258,75.816601,17.99313
259,365.74978095,28.16567
260,183.92124517,11.84459
261,179.64442011,17.15027
262,130.65684155,4.130744
263,853.58636328,5.44118
264,385.49574729,26.17284
265,963.99336889,20.34289
266,877.07599429,18.32743
267,819.02085742,19.68408
268,822.79091008,18.01267
269,721.14962168,12.82671
270,126.43338113,13.42291
271,825.34718031,9.748725
272,673.24242712,3.897177
273,705.46794035,8.241502
274,762.90076178,12.41403
275,623.11796579,2.969694
276,703.48693964,28.43926
277,973.08416243,22.22441
278,954.86259008,16.0685
279,240.9430966,7.344464
280,791.65045213,16.97303
281,629.53566131,14.36961
282,269.92649534,25.64205
283,16.2894467,1.786755
284,583.71950056,14.60437
285,58.86461434,3.838797
286,860.61816299,28.96254
287,743.57835327,11.02697
288,770.17372107,21.6513
289,79.47524617,7.594835
290,120.04948849,2.791513
291,364.20191527,36.21376
292,739.53735042,16.90487
293,677.33573003,1.930366
294,790.62660633,21.25493
295,688.48494324,15.38541
296,22.39865167,1.06067
297,65.19852649,3.096829
298,633.16335724,36.0558
299,745.49498553,12.85422
300,950.26113265,24.64666
301,355.29932518,8.358693
302,1004.20033506,11.4789
303,222.0372997,14.8457
304,363.32921973,16.96011
305,265.30040794,14.34249
306,482.85724311,22.95201
307,752.86243644,21.19604
308,61.3567772,13.84953
309,933.21276852,5.699493
310,707.2214695,41.628
311,701.41008871,11.42951
312,806.78190725,12.29723
313,930.49008788,26.73116
314,132.85331417,3.773766
315,678.62932065,6.657448
316,717.47688591,15.59763
317,592.54044879,28.17253
318,48.76218788,16.3277
319,147.85772535,18.58717
320,528.13725188,22.00384
321,795.86215752,17.64633
322,561.74105767,33.92652
323,780.46286316,5.379882
324,803.05668366,16.05165
325,957.68666206,19.82915
326,384.50436297,12.85242
327,796.76501273,29.09305
328,1039.69806273,1.799108
329,83.48446418,1.862205
330,134.05575603,18.47499
331,310.23040739,27.90629
332,800.58413026,5.595554
333,787.59663171,8.204144
334,571.53847273,18.21635
335,803.1229265,17.69126
336,185.71568669,27.93118
337,668.30660968,3.036398
338,906.93116507,5.486677
339,620.46958613,5.710516
340,888.24805114,23.50472
341,826.93357306,16.85177
342,90.31759716,13.93973
343,854.40549158,8.968423
344,933.23389173,17.89718
345,871.76275134,9.411731
346,852.28556518,21.51489
347,288.53366935,11.2617
348,722.29814314,16.46108
349,320.89521796,30.57429
350,806.32861222,21.88129
351,512.18745686,28.52806
352,976.76672898,6.061322
353,735.40833861,19.31461
354,428.50548537,20.76115
355,866.77579804,1.522349
356,938.25108716,6.659014
357,445.10432122,22.4113
358,212.98697428,21.76372
359,545.36138581,14.10767
360,85.81008669,9.03374
361,765.39785287,22.58941
362,703.42991443,6.245337
363,758.85437187,18.79249
364,897.35065184,5.623104
365,679.90011508,3.56814
366,289.07424944,13.36127
367,909.88724524,15.0898
368,572.88387711,30.43377
369,179.81620126,0.6911249
370,512.59341131,17.63025
371,967.71079306,22.71887
372,918.30628186,8.555384
373,899.40402157,22.894
374,836.40746201,16.71207
375,543.60629008,10.4509
376,309.0139061,12.85338
377,564.38582749,32.66392
378,342.92805315,14.9668
379,629.55288779,20.90708
380,778.52162936,18.87634
381,404.54778673,25.06653
382,727.12621784,19.53522
383,131.64804485,13.49232
384,892.35499275,12.906
385,772.7938498,16.76569
386,795.99544838,33.58408
387,174.87485752,15.35039
388,820.85606759,24.56511
389,345.63493118,14.20483
390,104.68157341,19.89034
391,704.47366035,3.384659
392,343.70727664,18.42945
393,882.43339083,3.492616
394,611.04913274,19.35442
395,843.19177814,26.57436
396,636.32607921,22.95766
397,734.36213324,16.11332
398,422.72311409,31.98068
399,662.88901048,18.89403
400,679.48383637,7.717234
401,188.34750291,16.46432
402,932.77853851,8.008204
403,625.06037808,22.45087
404,952.17777647,14.29029
405,797.27761695,6.261641
406,199.92051666,4.470026
407,48.43502845,7.790535
408,804.63836744,14.5744
409,761.84523333,6.225441
410,799.87195451,38.0619
411,63.21145691,1.397136
412,733.0991031,5.187354
413,971.18006494,12.52582
414,801.54675304,14.58253
415,702.40553872,9.379272
416,401.66475227,6.938549
417,891.0802326,14.14902
418,703.43511263,7.837625
419,61.29494712,1.059583
420,492.58219336,32.35343
421,811.5140958,2.799501
422,637.82855649,22.03363
423,756.50064983,24.24709
424,759.32855457,1.791231
425,714.88574165,22.00415
426,927.0004421,5.826617
427,175.69188481,15.48601
428,846.24296652,22.83932
429,84.33710649,25.80335
430,699.22971288,15.77757
431,702.3900945,9.798899
432,145.57458825,27.66821
433,793.05405198,14.58266
434,814.47098679,9.196761
435,188.83917079,7.820298
436,794.9299068,25.37629
437,678.38319697,24.39469
438,111.59632261,12.41222
439,654.37335351,12.82857
440,451.52236474,15.70745
441,449.73663697,20.71618
442,866.94726096,2.119451
443,954.65642021,15.50255
