,tdx30_Araca,tdx30_slope_Araca
0,42.91617,11.48155
1,1195.306,11.8666
2,36.84766,9.150562
3,35.15806,0.8394842
4,33.49532,0.2366387
5,52.0788,3.33127
6,78.49097,0.7927954
7,69.25905,1.77096
8,49.53484,2.148731
9,38.63919,8.495322
10,43.29218,3.787839
11,46.75529,2.144898
12,40.04409,0.1685868
13,92.25086,12.85913
14,38.86849,1.798915
15,48.74832,0.5929921
16,57.87301,2.332976
17,49.28957,3.635454
18,34.36811,1.531585
19,30.8644,1.629392
20,800.5176,9.546825
21,160.0179,20.28319
22,26.16364,4.498329
23,56.01431,1.477086
24,51.37289,1.772516
25,34.62934,3.246055
26,43.85838,2.256813
27,53.16021,0.5029718
28,83.03522,1.32163
29,108.3224,13.04289
30,24.76376,0.2132161
31,52.82629,3.948884
32,54.27749,0.5866842
33,58.60607,3.81099
34,63.0559,2.119828
35,52.31295,1.671599
36,33.30724,1.950412
37,46.11932,2.598489
38,47.21162,1.118584
39,1205.986,6.650856
40,35.56103,0.1859506
41,52.25439,4.647157
42,51.23503,1.349092
43,112.5894,NaN
44,840.2361,13.09896
45,49.17151,0.2746309
46,564.7357,29.36683
47,66.089,2.718387
48,75.57509,1.152601
49,47.37466,3.120761
50,58.94182,2.281309
51,41.04961,0.07156315
52,491.4636,23.71076
53,53.41604,2.393295
54,111.9712,13.05925
55,623.6975,22.21128
56,50.38863,0.1160381
57,55.1791,0.5166392
58,39.26646,3.593225
59,48.73086,3.83126
60,47.93428,1.20008
61,39.2809,0.2632892
62,49.69418,0.4222871
63,39.8751,12.58248
64,48.2599,6.574026
65,43.59978,2.125156
66,40.35232,2.548807
67,459.1938,28.75364
68,31.01424,0.3934555
69,314.1844,14.49839
70,37.01181,0.1739406
71,34.87524,3.495534
72,69.05907,3.003575
73,49.20549,2.566142
74,48.11619,1.860786
75,47.3613,2.510102
76,46.70673,5.672693
77,109.371,8.109074
78,30.96087,0.1247394
79,50.26492,1.75353
80,56.93196,2.3398
81,97.80949,1.11419
82,24.15541,0.7484875
83,45.96014,2.363919
84,47.31488,1.023431
85,33.66403,1.203128
86,71.87069,2.673223
87,373.1327,35.81374
88,60.17531,1.666534
89,198.8225,16.63956
90,71.51127,0.6357455
91,65.07496,1.564549
92,39.35054,2.617675
93,48.22792,1.352665
94,NaN,NaN
95,54.93031,5.499929
96,27.90474,0.355852
97,79.08554,2.457025
98,47.20095,0.6236894
99,33.3145,0.8435733
100,842.3149,6.287709
101,54.81731,2.393941
102,1135.304,1.592957
103,54.83984,3.724958
104,65.76649,2.006963
105,32.30436,0.9852884
106,38.98841,0.6295944
107,35.78287,2.099971
108,38.95341,0.2431003
109,28.91263,1.782788
110,53.70132,2.242652
111,59.57193,2.09796
112,51.44907,1.75705
113,59.8339,1.769653
114,80.23706,1.971051
115,54.6404,4.229769
116,70.7393,2.044032
117,74.53369,1.183462
118,37.76971,0.4798342
119,1103.026,2.464816
120,53.89535,0.9776461
121,31.05872,0.2265066
122,76.56012,4.695587
123,42.27326,1.848287
124,31.86252,0.979573
125,48.16107,0.8592944
126,64.91252,2.790101
127,49.35646,0.6974465
128,38.55273,2.100998
129,59.82096,2.782935
130,38.76839,7.071851
131,33.26608,4.852758
132,36.82041,2.305433
133,49.15477,3.6755
134,75.50108,1.072559
135,60.74156,0.689948
136,46.95029,6.821111
137,39.89399,0.1679598
138,47.91821,2.21316
139,40.85474,0.06795292
140,49.07807,3.020286
141,40.7054,0.8468303
142,49.88556,1.711583
143,43.01072,5.097305
144,35.63546,1.428598
145,58.26428,2.916262
146,50.20611,3.180147
147,53.69312,0.4420514
148,54.99738,0.6138927
149,43.65431,0.6032258
150,79.31158,3.980867
151,96.42957,4.83251
152,49.3937,3.797312
153,52.06913,2.360422
154,280.7094,10.4514
155,107.7754,6.504448
156,1235.615,3.160747
157,33.53711,1.419644
158,1291.967,19.13205
159,76.57378,2.960099
160,52.62715,2.468581
161,41.65209,1.42691
162,48.51274,0.5148324
163,53.65953,0.4400156
164,94.72005,2.246749
165,92.05424,2.82398
166,73.05998,2.223912
167,82.76913,1.286474
168,37.96658,1.488925
169,56.672,1.380885
170,1081.979,1.95966
171,NaN,NaN
172,59.15377,3.385453
173,772.4071,23.38319
174,1351.258,6.172897
175,52.42776,2.269736
176,69.2909,0.2662375
177,54.32386,1.204423
178,59.12992,3.595837
179,48.82161,1.211801
180,41.92674,0.4373367
181,79.44335,0.9767047
182,50.1404,2.231887
183,70.96737,1.812145
184,39.75149,0.3506242
185,82.36918,0.7279629
186,49.34299,5.327715
187,760.9229,9.855843
188,63.26605,1.726202
