,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
7078,-63.16374059,0.33777621,29.94684,30.04002,36.0,29.0712433,37.0,30.0712433,NaN,NaN
7079,-63.51275908,0.5275654,56.62832,56.96326,66.0,59.71595897,49.0,42.71595897,65.0,58.71595897
7080,-63.7887726,0.17584343,57.54842,56.74041,64.0,58.55419477,74.0,68.55419477,60.0,54.55419477
7081,-63.75131784,0.6315336,60.78392,60.83237,69.0,63.18824267,61.0,55.18824267,69.0,63.18839854
7082,-63.8471339,0.287473,40.94915,41.02437,47.0,41.61889019,47.0,41.61889019,50.0,44.61907231
7083,-63.88303539,0.5335091,49.5018,49.28812,56.0,50.54819766,59.0,53.54819766,55.0,49.54836727
7084,-63.84466396,0.62314796,93.11938,92.78223,101.0,95.40575277,95.0,89.40575277,98.0,92.40575277
7085,-63.64315943,0.18769972,54.39654,53.65409,55.0,49.2061314,38.0,32.2061314,58.0,52.2061314
7086,-63.89280735,0.65237754,54.46511,54.21444,62.0,56.49926934,54.0,48.49926934,60.0,54.50007741
7087,-63.93694032,0.93203274,74.59483,73.77185,79.0,73.43665365,71.0,65.43665365,82.0,76.43681467
7088,-63.87239922,0.66534294,58.66105,58.11345,67.0,61.4449175,61.0,55.4449175,67.0,61.4449175
7089,-63.61355383,0.99564221,893.2267,890.8816,892.0,885.69658911,871.0,864.69658911,900.0,893.69672595
7090,-63.92795152,0.01516848,54.1436,54.52972,59.0,54.00749714,57.0,52.00749714,60.0,55.00749714
7091,-63.02776453,0.5629652,38.3513,38.41995,47.0,39.68287529,48.0,40.68287529,48.0,40.68356252
7092,-63.62505908,0.22465828,49.33673,54.40239,62.0,56.14068184,31.0,25.14068184,56.0,50.14131661
7093,-63.25527696,0.4151554,36.01374,36.10048,46.0,39.22328221,31.0,24.22328221,48.0,41.22328221
7094,-63.55635576,0.41647148,39.36575,38.33557,50.0,43.87239269,76.0,69.87239269,48.0,41.87239269
7095,-63.30033246,0.72009915,48.3204,48.37559,54.0,47.16946868,51.0,44.16946868,NaN,NaN
7096,-63.68758749,0.24013686,56.09041,53.95673,62.0,56.27518539,50.0,44.27518539,58.0,52.27518539
7097,-63.17901568,0.91926871,747.6995,744.859,753.0,745.83327382,739.0,731.83327382,NaN,NaN
7098,-63.77422952,0.30830709,39.78909,40.10963,45.0,39.4335404,47.0,41.4335404,44.0,38.43371646
7099,-63.53763013,0.71658882,62.03811,61.75168,68.0,61.67274477,56.0,49.67274477,70.0,63.67288424
7100,-63.64682817,0.96418579,122.0632,128.1505,135.0,128.78314621,138.0,131.78314621,132.0,125.78328552
7101,-63.96505422,0.71929209,63.78384,64.76138,70.0,64.62751258,75.0,69.62751258,72.0,66.62768092
7102,-63.02304027,0.82014892,60.55038,60.57408,69.0,61.56176777,63.0,55.56176777,NaN,NaN
7103,-63.70790597,0.17591251,48.96959,50.01749,58.0,52.36373664,36.0,30.36373664,54.0,48.36373664
7104,-63.35984837,0.74971842,52.89281,54.05358,64.0,57.27950592,50.0,43.27950592,NaN,NaN
7105,-63.38294343,0.84145772,500.5463,503.7258,516.0,509.28499088,518.0,511.28499088,513.0,506.28569628
7106,-63.46501541,0.40130222,40.99006,41.14718,50.0,43.67967998,45.0,38.67967998,NaN,NaN
7107,-63.49932645,0.26032474,52.72572,51.64889,60.0,53.83598664,57.0,50.83598664,NaN,NaN
7108,-63.60138971,0.59236637,43.49163,44.58695,55.0,48.8754647,47.0,40.8754647,54.0,47.87622461
7109,-63.21675028,0.26298964,29.42337,30.03177,38.0,31.22239741,42.0,35.22239741,39.0,32.22313605
7110,-63.85283266,0.01510259,58.68896,58.20325,61.0,55.82245224,57.0,51.82245224,61.0,55.82245224
7111,-63.04882728,0.94281616,85.40184,81.85591,97.0,89.5624175,79.0,71.5624175,NaN,NaN
7112,-63.12795751,0.01127571,31.15539,30.94876,34.0,27.18153938,38.0,31.18153938,NaN,NaN
7113,-63.26063156,0.83959761,890.0378,882.7552,947.0,940.03374761,913.0,906.03374761,NaN,NaN
7114,-63.26363271,0.11625477,50.11429,47.97462,61.0,54.40673395,62.0,55.40673395,58.0,51.40733073
7115,-63.83334074,0.87975932,68.37295,68.54271,74.0,68.23407631,72.0,66.23407631,77.0,71.23484859
7116,-63.53860867,0.43782039,45.84441,45.36763,55.0,48.82114642,17.0,10.82114642,53.0,46.82114642
7117,-63.25776162,0.35608097,32.64791,32.58448,43.0,36.25918017,31.0,24.25918017,40.0,33.25932679
7118,-63.13996185,0.70595964,400.3831,391.9135,386.0,378.84682069,396.0,388.84682069,412.0,404.84694365
7119,-63.46013791,0.93890477,1151.501,1150.309,1156.0,1149.40087907,1143.0,1136.40087907,1156.0,1149.40145829
7120,-63.11299321,0.68983418,69.87485,67.86555,79.0,71.79867655,66.0,58.79867655,76.0,68.79936261
7121,-63.58979737,0.682138,56.97454,55.68073,63.0,56.8027564,49.0,42.8027564,64.0,57.80350519
7122,-63.42209849,0.94066393,1223.983,1224.098,1236.0,1229.3208396,1241.0,1234.3208396,1231.0,1224.32154313
7123,-63.95551652,0.95483636,74.71038,75.45661,80.0,74.46536088,75.0,69.46536088,83.0,77.46552315
7124,-63.79709172,0.56721811,56.20418,57.50595,65.0,59.32930726,63.0,57.32930726,62.0,56.32946919
7125,-63.77568471,0.90117647,76.80292,76.60602,85.0,79.09519962,74.0,68.09519962,82.0,76.09534867
7126,-63.94731972,0.47653939,55.95864,55.35575,61.0,55.73619003,52.0,46.73619003,60.0,54.73636729
7127,-63.36627845,0.52940577,NaN,NaN,56.0,49.3994822,46.0,39.3994822,NaN,NaN
