,aster30_wgs84_SantaCatarina,aster30_slope_SantaCatarina
0,12.26927865,1.405747
1,429.39602161,8.362538
2,170.79011896,14.05344
3,34.43119439,4.504733
4,738.53912912,23.54116
5,207.67137356,20.95549
6,275.13282354,9.597238
7,509.13362678,11.26108
8,23.74289866,8.025369
9,30.71678234,5.803443
10,22.02935192,7.198083
11,17.98954269,3.315727
12,97.62989912,19.69864
13,39.47892411,12.72536
14,138.21298989,20.29485
15,775.80213785,7.529589
16,244.18851769,30.42677
17,13.15350499,0.4652113
18,226.20254091,NaN
19,950.25666002,9.753375
20,600.4262108,22.39046
21,17.24456908,3.573246
22,530.68916023,13.23344
23,15.45711026,7.25215
24,34.7797503,13.87277
25,289.35671102,7.404305
26,39.09415354,21.2448
27,39.97268171,22.81115
28,973.51633113,17.57228
29,309.2552732,11.27918
30,472.59327943,16.5534
31,356.33917233,23.45143
32,736.60384233,23.96623
33,606.30909219,11.22806
34,390.60815422,7.243648
35,9.46743811,2.095347
36,137.60562064,23.68991
37,549.34416305,17.1552
38,110.7699974,27.26352
39,567.81108964,5.940294
40,108.42119679,11.12159
41,27.36281733,3.860308
42,7.03169376,5.893624
43,61.19555521,9.732476
44,10.1466711,2.08357
45,799.49975461,23.11974
46,147.42428766,11.19107
47,18.05666644,3.449743
48,15.56231705,4.85738
49,431.52825076,24.30195
50,292.11448892,17.20222
51,383.5742549,21.48813
52,11.34290648,0.350487
53,1070.55375362,19.05673
54,19.3057181,6.965507
55,447.4875194,9.190639
56,374.47278808,16.80833
57,376.67347769,9.927462
58,9.994335,0.8131203
59,117.59691902,5.829021
60,262.69626269,32.6931
61,809.7440056,20.77872
62,157.20553742,21.8469
63,702.35838347,34.77599
64,134.79456866,12.54951
65,691.68792051,32.22912
66,104.46391263,13.86588
67,401.63974496,14.76703
68,68.10773616,15.64022
69,9.7383421,3.679176
70,771.17864599,28.21651
71,15.51979992,6.26091
72,48.34483149,12.41018
73,8.41767417,5.218347
74,417.30703835,25.51364
75,259.30632466,23.17837
76,26.33112341,1.806167
77,201.76520358,4.879805
78,187.09052523,5.588626
79,15.93720491,3.753636
80,117.66391432,15.19521
81,614.43338614,14.679
82,39.57090824,16.42445
83,15.11254442,3.608508
84,492.56499608,15.74743
85,8.03758846,2.132546
86,295.27421616,22.65528
87,28.36890807,8.148976
88,282.81240286,23.6593
89,91.89070923,22.86675
90,72.33915374,21.61079
91,530.55464122,29.13707
92,97.79917208,11.73784
93,381.46167336,21.56403
94,22.79224088,17.86039
95,13.04027505,5.25372
96,30.79909204,4.942577
97,10.23532194,1.931827
98,21.35323655,4.271285
99,27.60054916,5.329148
100,17.53451526,3.836627
101,247.13749546,31.07504
102,246.76884632,30.12359
103,28.11284378,4.57527
104,235.3232112,19.71224
105,606.75074298,15.73392
106,1170.56214626,3.102952
107,178.36303166,7.681813
108,9.27788513,1.649394
109,93.66745889,23.94813
110,45.52672006,11.98563
111,18.27987403,6.389014
112,317.37391211,28.90783
113,450.41974833,22.82487
114,17.24294493,6.671731
115,12.12786616,2.109334
116,197.43766628,5.541517
117,236.38444823,11.00839
118,218.61164473,9.852366
119,726.38886157,30.30684
120,205.49648215,13.19068
121,664.61606234,16.92242
122,61.5757463,5.724481
123,11.48895199,0.9306864
124,46.98179885,0.822679
125,212.96255742,10.88051
126,207.30798234,24.99772
127,45.34584949,14.64582
128,199.41352508,8.432741
129,90.94183603,12.80456
130,16.58172781,4.989292
131,46.41805822,11.20774
132,15.14966792,7.339304
133,11.88724755,0.6995611
134,348.50663939,9.339005
135,153.64023719,28.03313
136,91.43110895,19.98085
137,226.35722633,39.24077
138,242.44983941,18.77255
139,16.39924548,2.524118
140,104.21576986,19.63474
141,17.05356146,2.63357
142,19.11443125,9.507815
143,49.24225065,18.72775
144,11.18390486,2.774683
145,305.65076832,7.153108
146,78.40572105,14.65305
147,303.58624624,6.70109
148,93.20192073,8.272087
149,806.71553668,14.60258
150,260.61308441,16.13611
151,83.32416316,10.21116
152,125.76536957,18.40325
153,108.74638383,28.70425
154,13.95653217,4.54492
155,55.24214566,9.90169
156,554.58974263,14.09547
157,418.22334683,36.88765
158,79.71633814,26.32583
159,10.46540082,4.213315
160,16.06400176,11.25251
161,173.5767831,20.09819
162,36.64137829,20.0484
163,178.5629129,37.3709
164,346.59472153,16.7486
165,243.67369338,14.9131
166,70.72492922,14.64597
167,431.60822233,12.79175
168,282.68507723,25.52689
169,126.80355407,18.10818
170,24.30325272,8.246448
171,64.30881014,20.13759
172,95.51768261,10.06922
173,146.28941378,26.76443
