,tdx30_Barcelos,tdx30_slope_Barcelos
0,17.80507,0.2605593
1,23.87,0.2422539
2,45.26167,0.3438218
3,42.34035,3.143038
4,44.0257,1.9621
5,44.30472,2.473183
6,32.43724,6.685632
7,51.62484,1.431812
8,36.82733,3.894898
9,19.24293,1.354619
10,26.93886,4.481697
11,48.14055,2.469537
12,39.46729,10.39557
13,42.27942,2.224612
14,40.45244,1.524706
15,45.93512,4.331544
16,47.32372,1.096578
17,NaN,NaN
18,42.20078,1.571496
19,42.96525,2.138733
20,40.28986,0.8673813
21,37.39065,7.369961
22,32.90572,8.877544
23,40.91286,3.590821
24,34.32174,14.20936
25,20.49538,2.114907
26,42.22675,1.460144
27,17.08056,0.6885266
28,48.56917,0.6052112
29,47.63811,2.522751
30,15.06143,0.4646168
31,45.61475,0.2127023
32,21.84988,2.749982
33,29.90079,1.706901
34,32.81896,12.94832
35,44.47374,0.6090549
36,24.23322,11.14791
37,47.27879,1.848199
38,44.86976,2.050459
39,42.23356,1.633331
40,42.07059,1.2552
41,47.82395,1.282879
42,48.0097,1.487133
43,27.27701,NaN
44,39.67492,1.51323
45,32.82978,0.8181967
46,36.19576,0.06124505
47,47.40134,1.370524
48,26.52701,0.3015791
49,41.8224,4.257954
50,42.19532,2.887438
51,44.85497,2.532332
52,41.25479,2.442437
53,37.50076,26.65098
54,26.33988,4.080683
55,46.01965,2.333498
56,43.84955,0.9157146
57,37.35277,3.08436
58,43.5329,1.985024
59,49.23123,2.765581
60,37.57913,2.133058
61,46.13012,1.39794
62,18.37228,4.168514
63,18.69843,2.593484
64,19.0614,7.419865
65,40.55721,0.7322106
66,21.60197,0.5769614
67,39.91245,1.002751
68,41.66784,7.673178
69,37.23608,0.7051985
70,44.70595,2.062869
71,43.28156,2.569602
72,36.14053,1.382408
73,44.67992,2.454265
74,24.19001,3.510342
75,36.3185,2.226156
76,42.53763,2.043304
77,37.73339,4.403178
78,44.49707,1.121054
79,14.3924,13.28658
80,51.52626,0.9252666
81,43.71621,2.253805
82,19.81666,3.15728
83,41.28959,3.269224
84,21.69562,0.1187788
85,46.56187,1.897015
86,52.43653,1.53961
87,39.28477,5.702581
88,42.0167,2.140714
89,32.06674,1.10484
90,43.82119,2.38569
91,47.07587,2.308439
92,21.00381,0.192761
93,39.44995,2.224768
94,35.13868,9.247413
95,20.0698,0.7722096
96,45.934,1.476032
97,24.30761,1.530549
98,27.4122,1.936604
99,17.93399,0.466389
100,25.08442,0.1544453
101,19.31923,8.495072
102,26.66507,1.358686
103,45.86922,1.827471
104,39.70404,2.965661
105,19.46568,2.578532
106,27.71597,2.643806
107,40.74223,1.938307
108,45.40145,3.836941
109,18.57784,2.162603
110,29.04334,4.822408
111,24.82915,10.57875
112,40.01058,2.843775
113,48.17907,1.820557
114,27.38273,0.449023
115,35.10135,0.6488872
116,44.84561,2.234134
117,49.05065,1.156342
118,47.09056,2.445715
119,29.26404,1.107091
120,14.55715,15.31871
121,47.22801,5.363294
122,41.06453,1.58865
123,42.8466,1.144835
124,45.37292,5.528612
125,33.57983,4.721367
126,43.44815,1.504788
127,49.31656,1.598353
128,17.25201,0.08179827
129,43.84192,1.361097
130,32.39122,3.375342
131,29.89904,2.258205
132,47.9575,0.6742743
133,44.02398,4.467042
134,40.69616,3.22798
135,40.7176,3.046267
136,49.69245,21.24361
137,22.64201,3.732133
138,44.25638,1.259011
139,45.54629,1.981837
140,44.68972,1.495118
141,41.88278,1.680043
142,44.31942,1.508928
143,49.6351,3.587867
144,22.25641,2.856869
145,47.14674,3.09753
146,34.6463,1.561716
147,42.68156,2.022377
148,19.47265,0.3154954
149,33.2884,10.44076
150,28.25065,3.183552
151,49.45321,1.826862
152,20.09593,0.885531
153,44.78802,2.989449
154,44.67952,1.475287
155,40.33668,1.201375
156,40.81557,1.377352
157,44.94173,1.518895
158,42.3551,1.312716
159,49.66608,0.7798645
160,47.50415,0.3237571
161,21.90371,2.961385
162,43.29287,1.991699
163,45.09536,2.155073
164,35.50274,1.114845
165,45.42577,1.647804
166,38.53768,1.922848
167,42.9108,2.073225
168,45.85369,1.34783
169,23.56782,4.959801
170,26.1933,0.4983248
