,tdx12_Iporanga,tdx12_slope_Iporanga
0,848.3472,32.82247
1,719.353,5.314353
2,57.88547,11.56915
3,147.8524,12.72163
4,334.6509,37.77453
5,914.4353,9.221466
6,736.4135,5.891383
7,924.3867,34.5583
8,591.9742,35.256
9,750.0937,6.12585
10,384.0417,25.10388
11,346.264,18.14597
12,624.4109,11.57241
13,742.8184,23.05364
14,435.7601,5.030966
15,604.0573,21.52878
16,253.9456,32.17242
17,614.333,18.79827
18,88.9483,3.909184
19,241.0219,25.17501
20,830.2336,34.40862
21,785.4376,11.88358
22,726.0021,28.20025
23,282.3046,25.08448
24,105.7072,22.38531
25,400.8437,32.76089
26,82.85706,22.74434
27,228.7857,22.13097
28,701.3054,8.322751
29,846.9159,20.81658
30,691.6682,15.60289
31,831.0493,28.88933
32,949.3945,31.8168
33,76.48857,6.862455
34,1068.017,6.528707
35,1065.145,12.75063
36,53.00692,1.896523
37,704.6344,33.60727
38,38.00398,2.952987
39,692.7458,3.016413
40,81.77453,23.83772
41,112.2653,34.43141
42,470.9509,20.61296
43,688.5095,16.30198
44,730.6238,6.817047
45,649.2228,12.64958
46,691.1478,13.52077
47,895.7323,8.124327
48,726.5247,8.374434
49,600.9556,41.30415
50,29.89966,4.149957
51,226.0111,13.54652
52,776.8309,12.0752
53,837.9979,18.29574
54,795.5491,7.75459
55,851.2472,16.91638
56,836.8769,7.443216
57,950.2935,10.09126
58,254.1216,20.8837
59,94.75031,14.92766
60,799.1238,17.07791
61,795.0927,6.750282
62,542.9915,16.76226
63,145.106,5.608623
64,699.4744,6.24748
65,831.1717,11.39723
66,457.0885,24.3901
67,701.4419,4.184258
68,133.9076,25.93117
69,697.0787,24.08256
70,68.12186,12.44647
71,303.4325,23.618
72,1001.652,19.02334
73,856.9534,7.996429
74,750.3475,18.00841
75,695.5711,28.09521
76,783.1199,40.86031
77,840.6967,20.34347
78,81.99039,19.08965
79,460.9947,20.84379
80,856.0391,22.01889
81,78.71785,2.502758
82,710.8489,18.62763
83,735.551,22.15149
84,563.5808,34.42925
85,393.0388,22.16107
86,917.377,26.18465
87,650.0475,4.948892
88,963.2983,28.39742
89,749.0585,5.338364
90,818.8769,15.32858
91,877.1898,21.9639
92,224.4548,24.51173
93,200.813,9.71159
94,799.0884,39.98267
95,989.2875,21.54603
96,64.79082,14.14075
97,779.2239,20.03516
98,145.2762,3.206346
99,150.6766,31.95471
100,614.5281,8.557717
101,464.9996,10.63653
102,811.4968,8.196157
103,154.858,13.62646
104,366.4349,30.31469
105,89.1767,30.61856
106,546.3798,22.85404
107,167.4789,9.861587
108,435.2197,31.66
109,678.5159,11.18636
110,337.0271,23.64329
111,906.6561,21.27851
112,697.6642,18.10221
113,895.0955,11.92531
114,798.0656,13.0996
115,487.1486,3.026932
116,944.5881,7.896214
117,745.9963,11.70904
118,352.7472,21.41589
119,674.4678,3.104907
120,818.6721,8.094508
