,aster30_wgs84_RioClaro,aster30_slope_RioClaro
0,557.63276505,10.83242
1,598.55688445,5.049369
2,677.53119261,9.822157
3,610.54761261,10.70353
4,549.63835302,10.79436
5,630.12914486,4.956493
6,823.09163587,4.543292
7,714.58421413,12.17406
8,511.20759839,9.988343
9,640.81806503,4.536625
10,669.29235961,2.391174
11,665.19017679,7.043366
12,623.28637385,1.274302
13,606.07708307,6.566888
14,640.28872562,10.40138
15,724.0170509,5.48215
16,604.31726889,5.132181
17,499.97819475,5.202298
18,565.62532929,10.17555
19,551.83649525,12.12591
20,626.981302,5.033185
21,645.89090511,5.914781
22,535.06987953,1.772625
23,562.62479438,5.322858
24,595.88107898,0.4663094
25,530.95574724,10.15637
26,673.3933273,13.83673
27,519.6922845,3.630625
28,879.20899758,8.13057
29,691.85141075,4.588393
30,548.0895986,11.71203
31,595.96431887,4.199771
32,533.7925529,1.191493
33,662.32420199,2.438668
34,695.65779396,4.870693
35,569.85261507,7.388434
36,584.68337012,3.41792
37,631.06942967,0.3427331
38,630.28515892,5.488989
39,632.59544661,6.608094
40,608.50936374,6.506751
41,546.45458918,3.03353
42,630.12179902,8.801863
43,756.43094529,NaN
44,572.74269977,3.492368
45,573.17899382,4.867654
46,593.72778978,7.515758
47,789.69966639,0.7426305
48,725.68316198,7.950864
49,763.09248589,20.36474
50,572.21613979,7.210836
51,679.20974211,9.837141
52,618.95937823,3.752021
53,525.67849525,3.151781
54,638.05262695,3.766031
55,597.81896492,5.774077
56,581.0611035,5.982716
57,608.75564529,8.350039
58,555.78136649,4.95406
59,589.39566608,7.285471
60,541.02120095,8.819715
61,680.27079388,3.746261
62,657.89329027,4.321057
63,568.70335977,9.698591
64,549.00976638,6.213289
65,493.18395404,7.043833
66,655.32205388,6.641617
67,645.77701774,0.3418676
68,614.95136575,3.115323
69,641.81258918,3.071524
70,582.42046732,1.887923
71,560.76238789,41.98735
72,1000.89977269,16.35446
73,607.05881508,2.570787
74,532.39332726,12.43472
75,544.16963064,7.670551
76,570.17668468,1.502509
77,667.00131773,15.30313
78,566.63568901,9.288624
79,486.50508281,8.63859
80,517.81446947,2.366362
81,582.18199252,4.423573
82,575.03537868,2.057929
83,577.77289407,7.046589
84,537.29202913,5.780528
85,572.62215121,2.673255
86,778.58321447,3.754027
87,638.6840891,6.459213
88,703.72037696,14.99799
89,762.34916662,5.802703
90,697.62272561,2.531232
91,635.89041669,5.32173
92,547.52438319,5.789191
93,588.45056698,1.026423
94,681.32992254,4.710009
95,576.79551883,11.66981
96,538.86118117,3.407274
97,674.74393672,6.350463
98,537.33495814,2.837216
99,541.61978822,3.330858
100,600.61723334,4.434072
101,499.63026751,4.93563
102,649.65416339,6.045242
103,624.22772722,7.343709
104,623.07478235,5.682133
105,540.60612277,6.18517
106,583.52690476,9.798121
107,575.66543524,6.969007
108,657.27452051,4.475677
109,598.00799736,3.567441
110,497.26166568,8.743938
111,469.85777767,7.515518
112,551.07284297,8.495824
113,609.04710582,5.390823
114,699.57772946,7.603493
115,543.48657008,6.745803
116,681.75302161,1.765948
117,737.43845754,9.4762
118,575.77578331,11.13496
119,635.70852515,7.211127
120,463.92507778,1.720323
121,639.14401686,10.15547
122,630.9997259,17.46325
123,597.63138028,8.373967
124,609.06130544,4.548369
125,498.37199279,4.882744
126,744.5866444,1.191597
127,607.0484571,7.042971
128,596.94473775,9.683282
129,917.7132142,14.44981
130,590.02140532,7.641288
131,478.56514687,4.872534
132,577.584074,7.660622
133,581.22707808,1.92725
134,756.14357126,10.33965
135,930.83647434,7.463041
136,503.61024347,6.351085
137,529.14273445,6.846493
138,583.89056211,3.079015
139,665.213833,1.05824
140,596.52108362,6.124727
141,599.20588346,3.099643
142,577.23690612,5.962513
143,519.77524612,6.834367
144,508.64004232,7.364816
145,660.8483189,6.759022
146,549.54001959,11.74423
147,616.1261317,2.53474
148,496.53543688,6.511045
149,576.11784884,7.021872
150,788.57483539,13.58023
151,773.4733775,12.17621
152,518.70228687,8.087026
153,562.83428781,3.12349
154,658.78310258,3.405991
155,625.73173757,4.806
156,574.7156102,2.963851
157,600.72464113,3.121869
158,577.63919316,9.347618
159,777.36106017,3.614414
160,631.19937378,3.995999
