,tdx12_RioClaro,tdx12_slope_RioClaro
264,589.8243,6.084871
265,598.1026,1.397501
266,580.3818,14.10674
267,532.9857,8.83194
268,617.7477,16.01296
269,568.5276,10.5691
270,555.3578,2.579542
271,658.3323,1.575219
272,728.2273,7.171692
273,712.2932,7.795805
274,617.9375,9.430818
275,552.8759,1.00498
276,620.9748,4.177239
277,583.1844,6.529054
278,815.4954,4.792511
279,619.4277,6.994023
280,675.7258,17.05061
281,578.1607,5.753174
282,515.8801,3.414067
283,626.0439,7.501853
284,525.3541,15.03609
285,738.3306,9.700126
286,706.1058,4.783078
287,791.1059,6.166017
288,592.247,5.046941
289,656.0823,2.490789
290,584.6397,3.930271
291,535.6467,6.330407
292,666.3372,4.30299
293,576.1456,9.554558
294,518.3779,8.956358
295,515.9236,20.17403
296,678.1093,1.470592
297,677.9716,4.513305
298,546.4777,6.618525
299,775.8664,14.46751
300,520.6754,1.775149
301,638.4995,2.335695
302,492.3327,10.53894
303,569.0624,4.027865
304,576.8315,7.326492
305,619.0294,5.702825
306,553.485,7.878378
307,546.6202,8.36357
308,596.5264,16.72286
309,965.3312,6.9313
310,578.8049,3.046562
311,879.5769,4.999615
312,731.1836,22.97905
313,565.3932,4.525941
314,564.4791,18.72706
315,806.8891,4.3867
316,579.8223,2.808599
317,631.111,0.4848087
318,570.6628,2.529255
319,652.0969,4.058098
320,596.3013,2.805199
321,532.5842,1.66754
322,531.6578,8.402375
323,694.1801,3.629724
324,480.576,9.214617
325,780.8817,5.804254
326,503.2843,5.977931
327,661.6967,4.919425
328,589.1417,2.545854
329,675.3307,1.857495
330,618.6594,4.3735
331,513.8027,2.275481
332,701.9171,3.858726
333,706.1602,0.2929676
334,627.2166,1.061128
335,628.7312,2.550004
336,657.4112,2.75818
337,567.4088,7.207163
338,574.6041,2.606072
339,580.8224,4.085643
340,617.5145,0.5426311
341,533.3754,1.521662
342,560.7931,2.221223
343,524.9581,8.570832
344,517.1801,10.83389
345,797.2602,2.306564
346,578.8862,4.378696
347,599.4726,2.806293
348,571.6006,4.144158
349,617.3289,10.08927
350,611.447,1.879417
351,543.9125,16.24236
352,845.335,5.961543
353,898.1988,51.24427
354,532.2307,7.567477
355,808.6683,2.186609
356,822.6589,8.36971
357,674.7141,0.4752344
358,615.3999,7.847039
359,558.4105,1.891665
360,611.8906,2.819781
361,503.5876,7.248339
362,579.3205,3.722502
363,550.0864,9.027609
364,585.6234,7.888261
365,632.7895,2.333119
366,619.4504,4.185104
367,586.5753,2.090273
368,573.2622,0.2328845
369,533.9662,4.79619
370,542.214,26.62888
371,574.1301,4.931748
372,617.3777,2.867229
373,618.9979,6.223656
374,637.7756,3.578217
375,477.6115,7.660915
376,578.7037,6.638187
377,505.1255,12.13563
378,572.1009,18.68624
379,546.2604,4.534245
380,671.2879,4.046716
381,637.7889,1.903114
382,594.8619,3.736573
383,451.3497,9.636034
384,538.1575,12.91427
385,551.4138,4.517605
386,522.7541,5.972739
387,619.7599,1.133883
388,582.6593,3.525399
389,643.9754,0.8779219
390,610.4098,1.585612
391,593.3333,5.191058
392,664.1235,1.764029
393,622.4328,5.291223
394,620.8291,7.4254
395,620.8345,2.113463
396,522.7666,8.037773
397,1006.366,4.928703
398,448.8423,2.161765
399,535.2495,4.805261
400,597.8458,8.223311
401,587.3832,4.20522
402,756.3334,1.177864
403,530.3543,3.312836
404,505.3639,3.423602
405,667.7898,1.579596
406,675.0449,5.324867
407,690.9155,6.218476
408,783.6514,2.584527
409,746.8405,5.209779
410,629.5226,2.733204
411,625.427,2.886389
412,571.0846,1.946928
413,948.2156,4.83163
414,956.1749,7.862488
415,783.5894,6.154246
416,480.7581,8.535742
417,605.5365,9.378221
418,593.0718,3.069923
419,595.0059,2.62282
420,586.8365,6.250918
421,732.9054,9.246309
422,751.2422,9.894125
423,614.5048,2.789572
424,688.284,4.811757
425,697.4542,1.933491
426,771.6926,2.948659
427,515.3856,1.972475
428,590.2421,3.250133
429,613.8902,4.910629
430,590.5345,5.867114
431,920.8362,10.04833
432,573.1261,4.932929
433,465.0286,25.47371
434,927.4156,2.987871
435,522.6243,12.97945
436,526.6373,4.602383
437,613.5804,1.436767
438,673.5967,1.872501
439,579.1312,1.458422
440,603.6271,3.096882
441,631.8295,3.958813
442,730.5203,1.860148
443,729.3303,2.456846
444,613.9673,9.353201
445,615.3791,5.892188
446,608.034,2.973495
447,541.1967,7.267715
448,656.4995,10.408
449,487.9034,4.660553
450,598.9481,4.976445
451,629.3405,2.084234
452,490.853,3.629922
453,536.9359,6.098119
454,634.2029,2.030319
455,570.3335,2.839449
456,492.8086,14.14649
457,557.3286,8.427436
458,531.1981,5.87645
459,651.5067,20.64753
460,806.7208,1.779627
461,593.7654,10.06982
462,633.4225,10.03114
463,536.2147,4.765307
464,892.6738,3.210513
465,716.9893,8.063462
466,594.9097,10.08708
467,681.0865,7.319922
468,512.2302,19.98676
469,646.5178,3.030957
470,573.9908,6.166218
471,870.6904,10.19307
472,751.9989,5.823334
473,574.4612,0.897158
474,677.0905,22.40679
475,779.4444,9.285515
476,598.8836,4.332788
477,727.5395,4.124382
478,529.2388,6.929643
479,587.1149,0.4839923
480,605.0187,4.609424
481,518.1165,5.251082
482,618.9525,23.63931
483,597.0801,11.0905
484,685.3372,26.74551
485,496.5761,9.331819
486,525.0996,10.16094
487,663.3019,3.382168
488,687.9998,6.070395
489,650.142,7.769354
490,616.1489,4.143172
491,624.3891,6.220488
492,615.9589,8.833622
493,575.719,3.067334
494,722.6779,22.60137
495,532.9392,3.222979
496,499.545,3.815542
497,528.6084,8.07308
498,644.0237,3.377712
499,713.7274,27.4847
500,484.893,3.853825
501,558.1588,2.119647
502,591.9986,12.25379
503,644.4725,4.950007
504,671.014,3.917256
505,461.0365,5.879136
506,624.9738,11.89313
507,560.759,12.77542
508,703.2745,10.75163
509,574.363,3.571539
510,481.004,9.475888
511,659.5226,3.748354
512,600.1338,1.515672
513,607.0963,7.897198
514,647.1504,9.313589
515,503.8308,4.207304
516,529.5344,2.868613
517,617.2527,5.035686
518,611.8959,14.6063
519,717.8156,1.368512
520,534.8684,5.199671
521,719.5518,2.793743
522,640.3238,0.9059055
523,557.1529,0.9357986
524,710.4021,2.513259
525,621.7256,5.351616
526,862.9445,1.713026
527,546.0005,3.552565
528,873.1708,20.61837
529,594.6533,6.855862
530,701.5964,3.210584
531,719.8504,1.219454
532,550.6563,2.600782
533,581.0123,3.371393
534,596.3962,6.329894
535,610.6172,3.582007
536,695.7807,3.787377
537,615.1819,3.492619
538,574.4289,9.038782
539,617.1954,3.946532
540,636.7621,1.833774
541,904.8575,5.218554
542,593.1292,2.912093
543,869.0353,6.175063
544,704.0723,18.39351
545,608.1241,3.279053
546,663.194,1.066379
547,845.9022,1.592716
548,705.2224,8.516032
549,488.2469,4.918503
550,459.1653,2.785469
551,562.9834,10.4425
552,619.4402,8.381728
553,705.4726,9.3276
554,528.0037,4.240695
555,594.3456,1.28271
556,580.7408,3.496968
557,601.9396,4.023908
558,622.079,13.20154
559,641.7527,0.2089619
560,600.1877,9.21439
561,705.332,5.458383
562,587.7805,20.71778
563,917.4827,5.284092
564,732.3511,25.0239
565,624.0066,4.338274
566,627.8098,5.696357
567,622.9415,9.879922
568,630.1568,1.406933
569,564.5472,6.154649
570,883.9279,4.176579
571,583.3099,1.852318
572,648.9304,7.452762
573,629.5774,1.637698
574,558.5841,2.383285
575,499.5228,9.014792
576,711.333,4.811265
577,626.5677,5.079309
578,507.0715,2.714921
579,968.9517,7.472314
580,496.2389,4.351559
581,749.6047,1.880862
582,737.2628,3.262018
583,729.7419,0.8793042
584,683.2476,15.33996
585,527.3579,5.735569
586,471.1069,3.701156
587,849.8564,4.162591
588,694.2798,5.433624
589,550.4062,0.3076682
590,450.3222,16.32634
591,478.3514,7.533578
592,559.2698,5.779072
593,789.9058,8.335693
594,542.4543,2.770691
595,650.6632,12.78435
596,493.5693,4.758237
597,495.3918,5.502004
598,603.1622,11.20308
599,637.4589,1.558313
600,539.988,3.898303
601,638.3171,8.204369
602,601.864,0.8115732
603,654.6075,11.82016
604,627.2873,1.733938
605,827.4735,1.890481
606,635.3606,2.846522
607,619.7618,7.011809
608,628.5403,6.095515
609,706.9893,28.07918
610,506.4211,3.593151
611,626.0122,6.195674
612,788.4613,10.47082
613,589.3671,0.5984511
614,519.6412,5.530858
615,786.6009,0.8472933
616,495.3958,12.34837
617,562.1906,0.6763448
618,532.2562,13.8298
619,593.9291,7.031285
620,887.933,4.36263
621,561.5964,4.122829
622,858.2955,7.270221
623,698.1155,1.834964
624,605.7333,7.151376
625,516.2408,5.248984
626,941.2986,3.243223
627,718.0831,5.263752
628,579.4773,3.866899
629,669.124,11.636
630,811.5474,3.636861
631,592.9078,0.8189062
632,614.7921,6.670128
633,554.4419,6.62486
634,648.8975,8.833702
635,654.7376,1.053813
636,699.6722,7.067833
637,598.6395,9.079728
638,550.426,3.17369
639,654.0699,0.1414892
640,767.1311,19.1308
641,540.003,5.704906
642,735.1671,4.795948
643,528.9561,7.259961
644,591.8917,1.31032
645,690.748,34.05964
646,603.9354,5.220009
647,594.9343,8.128648
648,806.068,17.66126
649,527.1375,3.400059
650,845.6439,4.737081
651,658.361,5.758905
652,630.2151,3.432482
653,489.6254,11.1653
654,729.301,4.044225
655,752.7677,19.52084
656,838.3016,4.880049
657,820.8066,0.9908914
658,671.209,2.290829
659,595.9224,1.600159
660,683.9788,6.251814
661,482.5187,2.280133
662,505.0874,5.731028
663,616.1763,0.756111
664,642.3802,5.114129
665,833.0162,2.074308
666,677.2751,7.050782
667,697.3882,9.804062
668,625.6247,0.7202248
669,562.5491,5.00211
670,572.9362,0.9266504
671,592.4958,4.206577
672,697.2462,3.229644
673,581.3403,2.073814
674,612.6913,42.39904
675,538.1443,7.552458
676,530.2849,4.485615
677,539.0941,5.980109
678,498.0185,9.377235
679,681.8406,12.62344
680,550.5842,11.04445
681,503.1014,8.993481
682,610.5936,4.028887
683,804.0967,7.821019
684,670.7389,2.109002
685,792.8672,2.32716
686,852.6202,3.918184
687,528.319,6.751317
688,583.8336,0.6077746
689,607.3012,4.760148
690,823.6237,10.99814
691,646.7036,2.793281
692,674.7264,3.330283
693,684.169,1.656882
694,582.8709,4.986506
695,616.9261,0.9395123
696,570.3211,8.764108
697,661.889,6.082473
698,576.5704,11.50293
699,589.532,9.24098
700,580.8777,6.2677
701,614.3238,3.162965
702,977.9446,17.50079
703,773.0978,2.313565
704,601.8354,18.14503
705,608.6749,2.501112
706,582.3778,15.24798
707,628.4203,2.837606
708,573.8143,3.743581
709,658.9277,6.774549
710,786.8151,6.721065
711,579.9855,2.49753
712,543.9944,4.08801
713,650.3334,2.185705
714,650.9595,19.62713
715,767.2079,4.162873
716,546.8104,5.517596
717,530.6913,4.882714
718,493.2955,6.924094
719,506.1278,2.381402
720,594.5804,4.885087
721,727.393,1.035564
722,641.0281,15.05014
723,559.6025,0.9223863
724,655.1839,3.335373
725,492.9578,5.268898
726,582.5773,8.715415
727,560.8253,6.230005
728,618.0753,3.014436
729,606.6905,0.0302
730,675.4976,6.376028
731,641.1182,6.163272
732,718.6129,5.283782
733,587.362,14.35646
734,761.9481,6.743216
735,577.9385,0.7562261
736,645.5976,0.6954802
737,733.8872,16.32108
738,594.371,1.640333
739,642.1468,7.477814
740,640.6379,10.74312
741,694.9921,15.6602
742,555.6042,9.873911
743,580.7191,3.456056
744,496.8746,6.459161
745,592.9415,4.198525
746,594.3406,1.685902
747,611.832,2.2938
748,616.9191,9.290537
749,568.1428,2.183261
750,602.309,5.756352
751,630.5594,12.6338
752,654.6249,3.584423
753,674.2617,4.244838
754,735.5242,14.23237
755,595.0731,7.195073
756,631.4235,2.073964
757,779.8117,12.98669
758,603.7179,3.165893
759,609.2811,6.682842
760,505.8574,11.6256
761,546.8257,2.596776
762,649.5296,6.598495
763,588.0253,1.255704
764,503.6613,5.407387
765,566.2928,6.969627
766,677.1381,2.581598
767,557.7916,7.912579
768,477.1612,11.03832
769,633.662,3.096303
770,619.9762,3.048329
771,593.1242,2.305536
772,514.6252,3.406163
773,723.1903,8.860114
774,479.0472,6.88377
775,570.7511,7.912938
776,599.6658,7.991909
777,553.1861,7.835761
778,651.2764,0.9010291
779,601.9836,6.047982
780,586.8567,6.278074
781,522.7312,8.003512
782,634.956,4.973043
783,683.8038,0.5882149
784,817.0479,30.84236
785,748.6769,4.945473
786,562.1531,7.516491
787,576.3553,1.695297
788,672.4547,1.800337
789,611.3926,2.418092
790,475.4661,7.811998
791,627.5934,9.496135
792,629.0701,3.883649
793,503.1006,6.054178
794,561.157,7.421566
795,634.5367,2.072613
796,757.8898,3.873172
797,573.8797,1.722459
798,561.9918,6.66975
799,519.6329,7.72513
800,598.9519,0.6858951
801,583.558,3.180949
802,595.7881,20.03701
803,502.8178,1.512047
804,783.596,6.039027
805,637.0886,2.236524
806,645.5298,9.996604
807,618.5349,4.973832
808,794.0219,3.945994
809,592.5035,5.049384
810,594.9453,0.526056
811,540.4156,4.850414
812,695.7518,3.468462
813,793.8762,4.751172
814,708.0518,22.15014
815,611.0365,4.970646
816,467.4657,8.78224
817,619.0591,11.49145
818,717.022,10.12969
819,643.6043,20.61462
820,736.316,1.003515
821,687.239,12.60673
822,582.7655,32.461
823,535.222,5.696399
824,528.8947,15.05895
825,659.4395,11.55834
826,904.0289,4.450064
827,583.2076,4.343056
828,615.4713,0.6583573
829,714.876,4.558221
830,595.943,3.87072
831,646.511,3.017974
832,514.9415,4.577341
833,567.0606,10.7865
834,754.483,2.14882
835,627.9803,4.922983
836,503.3125,7.880093
837,611.1702,5.703792
838,588.3451,2.168008
839,869.6075,5.868869
840,748.9106,8.884089
841,546.4395,12.79634
842,621.2374,5.446871
843,566.4801,27.60887
844,603.8585,7.769564
845,533.3975,6.640614
846,571.3329,1.619738
847,576.9604,3.542955
848,770.6282,0.4087867
849,618.133,1.857893
850,743.6379,4.528536
851,485.1902,14.22981
852,656.7792,3.709547
853,629.4389,8.560825
854,605.3322,6.031605
855,643.287,5.800908
856,673.7134,16.21724
857,537.1,7.454573
858,598.9586,3.88634
859,511.3732,27.42495
860,672.9163,14.47521
861,684.3115,17.92365
862,569.1879,4.110367
863,566.885,4.533908
864,586.7407,7.615723
865,577.501,7.515509
866,493.743,1.416119
867,764.3216,3.635064
868,579.0244,23.1399
869,737.5742,4.723755
870,470.6575,1.07817
871,496.3783,5.647401
872,690.3749,3.047312
873,602.509,5.809411
874,727.8817,2.02295
875,593.539,1.705677
876,564.0211,0.4840865
877,526.7836,25.0907
878,823.3018,4.272882
879,606.3504,3.877582
880,662.7808,2.039948
881,739.6246,3.628033
882,785.719,3.512204
883,764.0828,4.011259
884,470.6808,1.279576
885,612.233,7.400651
886,640.6304,8.07139
887,622.6285,10.39165
888,611.6503,1.2762
889,661.7601,3.887343
890,684.3219,12.54039
891,591.2723,1.240214
892,689.1255,20.55175
893,677.9472,3.361996
894,633.0359,4.362432
895,498.9967,2.975876
896,504.6352,5.68687
897,549.0995,9.161875
898,669.1982,19.90419
899,651.7742,1.99857
900,948.4603,6.840093
901,992.0353,12.37382
902,571.4865,4.678864
903,657.6254,0.9705276
904,509.8428,2.947152
905,704.5157,3.026375
906,632.4834,3.619551
907,605.3697,17.32802
908,480.3862,2.125866
909,511.9088,11.37521
910,886.5969,4.994916
911,615.9714,10.23259
912,593.4223,0.1720076
913,598.9474,15.1981
914,576.1857,7.507315
915,573.6579,3.44886
916,729.9448,0.8527187
917,501.6933,4.461696
918,670.6604,15.68261
919,643.2343,1.691218
920,640.0132,3.024405
921,751.4056,9.409072
922,948.8911,8.373809
923,583.9562,6.063537
924,496.8846,5.359089
925,799.8759,1.326214
926,601.319,6.112068
927,1012.295,8.568509
928,756.5541,25.53988
929,633.0125,6.865814
930,509.9577,7.802863
931,615.485,2.749468
932,492.1495,9.074353
933,832.1272,9.644533
934,608.693,19.54866
935,505.3214,17.04325
936,552.7617,1.75602
937,573.3583,6.407103
938,602.4482,4.222896
939,693.3738,5.851826
940,478.6239,1.786322
941,659.3872,2.066509
942,694.7413,5.322497
943,641.5073,15.90637
944,587.2015,3.960135
945,573.9994,2.874083
946,561.5233,3.457617
947,449.8329,1.186764
948,748.0628,4.381218
949,633.7459,3.049379
950,757.5363,6.582324
951,566.9803,3.925341
952,580.0911,6.013276
953,631.4586,2.282871
954,567.1036,8.43321
955,613.5851,1.361861
956,539.4424,7.501403
957,650.3455,3.252563
958,570.6548,2.990436
959,541.8739,1.774007
960,522.6451,3.899639
961,708.4633,8.025562
962,634.8873,0.8668397
963,481.1758,2.249999
964,561.1481,5.448771
965,577.1068,3.434232
966,608.0959,2.93956
967,491.7151,6.138774
968,560.2162,14.66644
969,526.6367,4.130078
970,647.0643,5.361499
971,637.2205,8.953511
972,596.06,3.760055
973,608.6863,3.649221
974,691.9396,5.884952
975,618.3674,3.151129
976,510.7981,3.767755
977,558.322,5.682498
978,706.2322,9.431707
979,599.5071,13.58725
980,791.3512,4.477493
981,604.2626,0.4542826
982,571.1475,6.23648
983,663.5787,1.093238
984,747.4991,6.512507
985,641.3514,4.217575
986,703.5888,1.443248
987,588.1862,2.237148
988,640.4744,2.324322
989,747.8095,0.09389372
990,576.2138,5.850286
991,476.2519,4.206155
992,606.3266,9.931042
993,602.905,6.85502
994,623.7001,7.556612
995,666.577,0.4494511
996,585.5335,4.4428
997,696.9536,25.3914
998,660.3587,1.609161
999,576.7346,3.970903
1000,563.3129,1.640033
1001,601.1178,5.75748
1002,637.5767,2.193721
1003,534.0687,5.850895
1004,624.8694,10.98362
1005,565.2568,4.454814
1006,552.8988,10.03841
1007,586.634,2.025519
1008,633.8601,1.209139
1009,606.9152,2.840874
1010,615.5468,5.812007
1011,598.0472,5.923638
1012,705.3117,2.214818
1013,615.774,11.08379
1014,780.72,3.384295
1015,680.6885,2.189129
1016,502.89,1.606459
1017,767.1396,5.392334
1018,586.8168,4.944705
1019,615.686,12.66765
1020,778.2249,6.078591
1021,778.0753,2.490707
1022,965.3152,8.772383
1023,642.9128,7.353273
1024,609.6775,4.550992
1025,480.7847,4.527608
1026,519.5304,3.359358
1027,619.411,14.66685
1028,652.3519,9.705156
1029,553.905,3.094146
1030,525.1995,7.203323
1031,648.9188,8.372539
1032,588.2496,12.24493
1033,707.4619,15.31627
1034,628.6077,2.816476
1035,857.848,2.573744
1036,513.0131,2.28696
1037,548.6948,4.145415
1038,577.0591,3.581815
1039,498.6676,3.708437
1040,584.0805,4.714017
1041,942.8912,5.117002
1042,489.5342,8.892294
1043,455.4281,1.080278
1044,586.599,0.1181899
1045,686.2416,21.23878
1046,923.0,14.28398
1047,574.3605,0.9940013
1048,739.779,5.912432
1049,603.6251,1.349589
1050,660.1277,11.75331
1051,536.8292,8.442152
1052,683.4213,3.744303
1053,588.3738,2.831402
1054,547.4656,9.589963
1055,671.8434,2.438577
1056,558.8023,4.819043
1057,712.077,5.721501
1058,580.0244,3.197721
1059,598.2499,5.616689
1060,477.3577,1.265525
1061,730.1237,2.726379
1062,848.2888,3.234631
1063,812.537,7.761084
1064,633.5079,1.316539
1065,547.1469,3.655071
1066,626.4835,2.323309
1067,563.785,17.63568
1068,595.4543,1.13958
1069,877.0494,9.012487
1070,657.6871,6.390181
1071,606.6898,1.329265
1072,801.6899,2.927957
1073,515.472,9.136215
1074,491.6466,4.759348
1075,521.5198,5.63672
1076,790.5546,3.756425
1077,598.3495,4.265122
1078,610.6594,1.565155
1079,540.7083,11.66046
1080,564.7856,9.868229
1081,533.3105,3.797218
1082,504.6282,6.853806
1083,779.6772,2.940188
1084,658.6203,6.751936
1085,550.6844,5.087066
1086,569.0552,2.381442
1087,637.1066,4.107936
1088,590.6882,16.75878
1089,612.6912,5.036868
1090,596.2338,8.359218
1091,556.1903,7.739162
1092,923.5244,5.347153
1093,587.2968,4.992033
1094,701.0978,1.339343
1095,562.8795,10.31223
1096,560.4633,4.363527
1097,591.9683,4.161047
1098,915.9535,4.987553
1099,556.576,6.542295
1100,847.2267,2.217689
1101,571.4951,9.522253
1102,701.5255,24.22173
1103,682.6248,4.927149
1104,602.7826,2.251609
1105,606.9388,2.237794
1106,496.1559,2.911606
1107,533.4427,6.384135
1108,602.0294,6.114907
1109,503.6435,4.573133
1110,653.205,6.978601
1111,606.3629,4.030653
1112,883.7378,41.09613
1113,650.5412,5.367138
1114,663.8121,2.912297
1115,636.4941,2.546553
1116,579.9053,2.39708
1117,593.6562,4.104361
1118,564.3521,5.049181
1119,643.3049,2.057587
1120,616.8023,5.755279
1121,649.0801,1.287433
1122,613.9506,3.331806
1123,560.4411,3.647755
1124,562.6262,0.3425995
1125,627.5563,3.508066
1126,630.0748,5.238105
1127,724.3528,1.54223
1128,663.1383,5.633785
1129,589.7668,2.462726
1130,557.7053,12.4269
1131,646.7532,2.5837
1132,551.3098,8.023327
1133,629.5267,4.939306
1134,608.8675,5.490868
1135,469.6967,3.29687
1136,548.7399,4.375305
1137,650.4028,2.467502
1138,575.9027,0.1154044
1139,770.4822,5.915888
1140,614.4789,53.92873
1141,585.1327,9.423607
1142,522.803,1.033325
1143,763.8829,4.151104
1144,500.2839,3.896616
1145,740.7924,27.24694
1146,790.7452,25.57761
1147,564.2185,3.006579
1148,680.527,1.40916
1149,767.4691,1.437002
1150,876.1674,12.35896
1151,507.2591,1.496959
1152,547.1049,9.503292
1153,522.644,10.47611
