,srtm30_wgs84_SantaCatarina,srtm30_slope_SantaCatarina
0,5.26927865,0.8235281
1,430.39602161,8.864211
2,185.79011896,22.12317
3,32.43119439,5.098167
4,741.53912912,12.65708
5,197.67137356,9.640632
6,282.13282354,4.960142
7,512.13362678,12.14675
8,6.74289866,3.094257
9,8.71678234,1.403322
10,22.02935192,2.96823
11,NaN,NaN
12,116.62989912,17.18997
13,42.47892411,15.04114
14,138.21298989,12.05728
15,785.80213785,12.07112
16,251.18851769,26.52451
17,13.15350499,4.083466
18,235.20254091,NaN
19,960.25666002,10.21466
20,619.4262108,24.5327
21,4.24456908,0.00127733
22,537.68916023,9.550812
23,4.45711026,0.7034698
24,41.7797503,27.02465
25,305.35671102,10.50544
26,33.09415354,21.6939
27,41.97268171,21.72233
28,979.51633113,11.90415
29,309.2552732,6.596641
30,479.59327943,8.726681
31,356.33917233,19.74326
32,734.60384233,24.08923
33,613.30909219,11.87104
34,384.60815422,11.05724
35,NaN,NaN
36,139.60562064,21.50962
37,552.34416305,14.77718
38,117.7699974,27.26352
39,578.81108964,6.336004
40,115.42119679,11.55989
41,13.36281733,2.644159
42,9.03169376,3.092236
43,75.19555521,9.773061
44,5.1466711,3.254105
45,787.49975461,22.4281
46,146.42428766,11.74432
47,5.05666644,1.399851
48,16.56231705,2.140154
49,436.52825076,21.07318
50,296.11448892,18.70827
51,380.5742549,18.2532
52,NaN,NaN
53,1072.55375362,21.14406
54,22.3057181,4.467693
55,440.4875194,12.3245
56,387.47278808,12.57581
57,377.67347769,20.95754
58,10.994335,0.3500004
59,124.59691902,9.943327
60,259.69626269,26.77772
61,807.7440056,27.43279
62,167.20553742,18.59089
63,690.35838347,23.29338
64,150.79456866,10.79618
65,701.68792051,29.68719
66,108.46391263,15.7104
67,410.63974496,14.83479
68,67.10773616,13.71742
69,8.7383421,0.6985226
70,786.17864599,27.91653
71,15.51979992,6.995892
72,55.34483149,11.83519
73,7.41767417,1.052429
74,421.30703835,24.32633
75,268.30632466,24.91448
76,26.33112341,5.191275
77,201.76520358,2.445971
78,178.09052523,11.63605
79,3.93720491,NaN
80,121.66391432,16.4571
81,610.43338614,15.49685
82,51.57090824,17.68665
83,5.11254442,2.160077
84,496.56499608,11.43242
85,5.03758846,1.066985
86,301.27421616,18.50746
87,15.36890807,4.798662
88,281.81240286,22.27739
89,101.89070923,20.08563
90,67.33915374,15.30141
91,538.55464122,25.51622
92,110.79917208,16.73878
93,385.46167336,32.08962
94,21.79224088,22.96315
95,8.04027505,0.5199147
96,43.79909204,7.681923
97,5.23532194,1.838237
98,22.35323655,3.397841
99,9.60054916,0.351996
100,4.53451526,2.105469
101,265.13749546,34.15027
102,273.76884632,24.16922
103,25.11284378,11.44471
104,244.3232112,12.95284
105,591.75074298,19.87705
106,1185.56214626,4.515357
107,174.36303166,2.570903
108,17.27788513,3.682617
109,108.66745889,27.73216
110,33.52672006,0.00119045
