,tdx30_SerraMar,tdx30_slope_SerraMar
232,1159.829,10.33331
233,525.951,34.45153
234,583.4214,18.17241
235,1301.376,30.06721
236,1365.799,27.41576
237,1131.042,26.53011
238,709.0541,13.07198
239,947.7628,18.47172
240,398.9471,19.75762
241,1329.767,21.69766
242,414.7374,2.729644
243,960.1843,19.18971
244,731.8014,14.83218
245,519.3822,18.76217
246,66.78297,3.105421
247,1156.137,12.13381
248,1652.909,15.89166
249,976.717,22.95267
250,510.1503,22.02553
251,656.1499,15.02443
252,1719.348,35.86544
253,1025.927,17.11936
254,139.0988,22.63024
255,688.1911,30.65766
256,63.5101,24.44284
257,1135.829,20.703
258,527.1452,22.59083
259,914.2391,2.533715
260,803.0033,24.92182
261,473.1046,22.6334
262,562.5342,18.1935
263,958.5027,22.47592
264,897.8466,13.86535
265,965.7769,18.68679
266,1016.872,20.80946
267,1364.303,26.03142
268,422.7629,14.35659
269,NaN,NaN
270,604.229,17.27723
271,NaN,NaN
272,673.7365,54.74302
273,1691.604,16.93456
274,316.3316,23.68339
275,1558.615,21.69957
276,1284.021,13.64423
277,462.7694,29.34793
278,528.6286,18.92044
279,1238.507,15.66496
280,1146.191,14.26671
281,485.2111,23.86126
282,1146.828,24.25379
283,415.4021,22.9999
284,653.8252,26.72104
285,1142.294,40.541
286,739.541,12.74172
287,448.6889,14.59224
288,722.2593,24.58136
289,156.4735,19.89987
290,1434.665,17.6987
291,638.5394,20.34977
292,349.0376,23.67508
293,1577.795,10.32399
294,457.0034,2.894559
295,618.3856,26.704
296,2081.283,17.17333
297,673.9805,16.81547
298,1834.561,17.26146
299,522.7313,2.305202
300,688.8057,9.015554
301,699.847,20.25432
302,1418.016,1.754506
303,1237.368,24.4025
304,1584.626,12.30189
305,1354.024,0.8325064
306,1665.795,35.66792
307,914.6201,35.48486
308,1385.176,46.28465
309,972.4675,8.604591
310,977.8465,23.26172
311,617.3873,5.314535
312,1322.673,21.73909
313,1096.091,30.68618
314,1156.99,20.49844
315,628.3429,17.1325
316,70.80209,17.28249
317,940.7215,12.7504
318,1053.926,6.60871
319,1374.609,30.064
320,723.1833,24.79898
321,1090.737,35.4285
322,636.1384,19.92777
323,398.9862,24.83657
324,973.1443,23.50434
325,151.4459,37.03406
326,825.4225,12.16246
327,1443.804,27.28086
328,481.2072,4.802827
329,1687.366,16.31985
330,1428.643,31.51289
331,886.6812,10.98726
332,1473.151,22.94165
333,582.5801,31.09668
334,896.9545,3.250937
335,517.4538,17.65417
336,1373.513,32.02608
337,469.8133,15.29524
338,2102.508,23.69411
339,937.5369,24.15584
340,447.6973,17.05981
341,1128.788,18.3466
342,1265.65,24.17439
343,583.4592,5.913431
344,1981.323,17.16616
345,1654.051,37.11331
346,1140.784,29.39528
347,537.7753,33.2691
348,514.5397,25.79812
349,1106.451,31.2695
350,950.6817,25.75474
351,586.991,5.477674
352,471.2738,3.27369
353,2628.064,31.43581
354,1033.396,8.301691
355,464.0523,8.503562
356,1192.985,21.44288
357,510.848,1.910474
358,1183.123,18.71598
359,958.4242,16.60147
360,513.9706,26.10777
361,1744.066,15.15977
362,562.8585,29.76648
363,444.2818,23.05253
364,1128.448,11.46715
365,508.673,17.65927
366,539.0932,7.552761
367,105.0057,21.84754
368,449.7296,4.256478
369,156.1744,16.59504
370,531.7214,16.46194
371,1078.138,1.81308
372,467.2059,7.720533
373,549.7683,33.95577
374,956.6533,19.47373
375,414.9828,4.624994
376,194.1631,26.36287
377,120.5977,18.37834
378,261.8436,25.79198
379,998.1008,24.70685
380,992.3317,13.1659
381,1098.651,21.09553
382,600.4052,25.46652
383,585.9665,10.61811
384,2440.859,47.40763
385,850.5191,27.96398
386,2010.268,28.43147
