,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
0,-48.83286562,-28.32481787,3.79956365,255:130:130
1,-48.81369809,-27.79443069,1.21182161,255:215:215
2,-48.97680062,-27.00098074,5.93198104,59:59:255
3,-48.79183589,-27.25138671,0.51977439,255:238:238
4,-48.89795943,-27.95463583,1.26442912,255:214:214
5,-48.4930075,-27.66942,1.51162644,205:205:255
6,-48.69207993,-27.73937359,1.78027646,196:196:255
7,-48.70516099,-27.84939856,5.77032678,255:65:65
8,-48.50156405,-27.45294306,0.07077034,252:252:255
9,-48.51262786,-27.6823539,2.51833034,255:172:172
10,-48.71263294,-28.2134564,3.30528192,255:146:146
11,-48.70745679,-28.28309064,-9999,255:255:255
12,-48.89156544,-27.0130979,2.32679912,255:179:179
13,-48.82813361,-27.54031079,5.87128411,255:62:62
14,-48.70706695,-27.52887485,0.50018989,255:239:239
15,-48.98326165,-27.52246822,2.93803785,255:158:158
16,-48.7051732,-27.63053357,2.79068231,162:162:255
17,-48.69394313,-27.67258157,2.38372499,255:177:177
18,-48.68375615,-27.00027581,0.95395909,223:223:255
19,-48.7507985,-27.78339051,0.13986002,255:251:251
20,-48.7932421,-27.36105409,2.4174108,255:176:176
21,-48.70567163,-27.25751804,0.17700092,249:249:255
22,-48.96240694,-27.90837286,5.00116023,255:90:90
23,-48.93995802,-28.46633421,1.66073426,255:201:201
24,-48.51558137,-27.4404343,2.6740603,255:167:167
25,-48.76220743,-27.38247445,4.07441102,255:121:121
26,-48.70275595,-27.96057199,2.17856354,255:184:184
27,-48.62670673,-27.76251065,3.47895829,140:140:255
28,-48.88253537,-27.91624305,0.46443113,255:240:240
29,-48.7699456,-27.9456922,0.3596268,243:243:255
30,-48.89053449,-27.65020081,0.50732057,238:238:255
31,-48.82359771,-28.06853095,5.83247233,255:63:63
32,-48.92671797,-27.94633109,0.94414233,255:224:224
33,-48.77628179,-27.80528283,3.16479219,255:151:151
34,-48.98542829,-28.33259637,6.09794578,53:53:255
35,-48.97572611,-28.63726101,-9999,255:255:255
36,-48.45148133,-27.51878438,0.73622064,255:231:231
37,-48.80975555,-27.95311218,1.33076305,255:212:212
38,-48.96253524,-27.43094258,0.4725026,239:239:255
39,-48.99169663,-27.5895855,11.08978964,255:0:0
40,-48.78669804,-27.02915995,3.12059679,255:152:152
41,-48.75976247,-27.25449676,0.99015733,255:223:223
42,-48.61698794,-27.37121903,1.79661776,255:196:196
43,-48.77449961,-28.15965889,2.63685479,167:167:255
44,-48.6622393,-27.27289055,2.9064541,255:160:160
45,-48.89692132,-28.0792412,2.73044539,164:164:255
46,-48.91228097,-28.39226088,8.24068766,255:0:0
47,-48.61845711,-27.14534739,3.34754844,255:145:145
48,-48.4375621,-27.55527265,3.65276705,255:135:135
49,-48.94653121,-28.31806887,1.24965076,255:214:214
50,-48.69437889,-27.82733014,0.08098892,255:253:253
51,-48.92452961,-28.03404568,0.6215451,234:234:255
52,-48.92073865,-28.63702846,-9999,255:255:255
53,-48.88498885,-27.78549612,3.50875362,255:140:140
54,-48.73184967,-27.18420923,3.0343881,255:155:155
55,-48.91717607,-28.2502029,25.1838806,0:0:255
56,-48.81873076,-27.43726277,3.05398808,255:155:155
57,-48.90965802,-27.24078921,5.82832231,62:62:255
58,-48.5918765,-27.17193944,3.058161,255:155:155
59,-48.9548885,-28.1720652,4.68121902,255:101:101
60,-48.92441838,-27.39308537,2.78973731,162:162:255
61,-48.95530574,-27.54369596,1.2368056,255:215:215
62,-48.78743063,-28.21390536,9.58023742,255:0:0
63,-48.80767976,-27.8858563,1.38941653,209:209:255
