,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-48.83286562,-28.32481787,7.0,143:143:255
1,-48.81369809,-27.79443069,1.0,255:240:240
2,-48.97680062,-27.00098074,15.0,255:16:16
3,-48.79183589,-27.25138671,2.0,223:223:255
4,-48.89795943,-27.95463583,3.0,255:208:208
5,-48.4930075,-27.66942,10.0,95:95:255
6,-48.69207993,-27.73937359,7.0,255:144:144
7,-48.70516099,-27.84939856,3.0,255:208:208
8,-48.50156405,-27.45294306,17.0,0:0:255
9,-48.51262786,-27.6823539,22.0,0:0:255
10,-48.71263294,-28.2134564,0.0,255:255:255
11,-48.70745679,-28.28309064,-9999,255:255:255
12,-48.89156544,-27.0130979,19.0,255:0:0
13,-48.82813361,-27.54031079,3.0,255:208:208
14,-48.70706695,-27.52887485,0.0,255:255:255
15,-48.98326165,-27.52246822,10.0,255:96:96
16,-48.7051732,-27.63053357,7.0,255:144:144
17,-48.69394313,-27.67258157,0.0,255:255:255
18,-48.68375615,-27.00027581,9.0,255:112:112
19,-48.7507985,-27.78339051,10.0,255:96:96
20,-48.7932421,-27.36105409,19.0,255:0:0
21,-48.70567163,-27.25751804,13.0,47:47:255
22,-48.96240694,-27.90837286,7.0,255:144:144
23,-48.93995802,-28.46633421,11.0,79:79:255
24,-48.51558137,-27.4404343,7.0,255:144:144
25,-48.76220743,-27.38247445,16.0,255:0:0
26,-48.70275595,-27.96057199,6.0,159:159:255
27,-48.62670673,-27.76251065,2.0,255:224:224
28,-48.88253537,-27.91624305,6.0,255:160:160
29,-48.7699456,-27.9456922,0.0,255:255:255
30,-48.89053449,-27.65020081,7.0,255:144:144
31,-48.82359771,-28.06853095,0.0,255:255:255
32,-48.92671797,-27.94633109,2.0,223:223:255
33,-48.77628179,-27.80528283,7.0,255:144:144
34,-48.98542829,-28.33259637,6.0,159:159:255
35,-48.97572611,-28.63726101,-9999,255:255:255
36,-48.45148133,-27.51878438,2.0,255:224:224
37,-48.80975555,-27.95311218,3.0,255:208:208
38,-48.96253524,-27.43094258,7.0,255:144:144
39,-48.99169663,-27.5895855,11.0,255:80:80
40,-48.78669804,-27.02915995,7.0,255:144:144
41,-48.75976247,-27.25449676,14.0,31:31:255
42,-48.61698794,-27.37121903,2.0,255:224:224
43,-48.77449961,-28.15965889,14.0,255:32:32
44,-48.6622393,-27.27289055,5.0,175:175:255
45,-48.89692132,-28.0792412,12.0,63:63:255
46,-48.91228097,-28.39226088,1.0,239:239:255
47,-48.61845711,-27.14534739,13.0,47:47:255
48,-48.4375621,-27.55527265,1.0,255:240:240
49,-48.94653121,-28.31806887,5.0,255:176:176
50,-48.69437889,-27.82733014,4.0,255:192:192
51,-48.92452961,-28.03404568,3.0,207:207:255
52,-48.92073865,-28.63702846,-9999,255:255:255
53,-48.88498885,-27.78549612,2.0,255:224:224
54,-48.73184967,-27.18420923,3.0,255:208:208
55,-48.91717607,-28.2502029,7.0,143:143:255
56,-48.81873076,-27.43726277,13.0,255:48:48
57,-48.90965802,-27.24078921,1.0,255:240:240
58,-48.5918765,-27.17193944,1.0,255:240:240
59,-48.9548885,-28.1720652,7.0,255:144:144
60,-48.92441838,-27.39308537,3.0,207:207:255
61,-48.95530574,-27.54369596,2.0,223:223:255
62,-48.78743063,-28.21390536,10.0,255:96:96
63,-48.80767976,-27.8858563,12.0,63:63:255
64,-48.97661276,-27.04772553,16.0,255:0:0
65,-48.93466686,-27.6367989,10.0,255:96:96
66,-48.92897611,-28.38644426,4.0,255:192:192
67,-48.94222291,-27.93624488,9.0,255:112:112
68,-48.7306499,-28.1171371,1.0,239:239:255
69,-48.51248426,-27.59512334,1.0,239:239:255
70,-48.72009671,-27.81284488,15.0,255:16:16
71,-48.99446699,-28.61303261,0.0,255:255:255
72,-48.76177744,-27.47042749,7.0,255:144:144
73,-48.89079595,-28.28047994,1.0,239:239:255
74,-48.76904667,-27.74821576,4.0,255:192:192
75,-48.83235241,-28.22251935,9.0,255:112:112
76,-48.74373128,-27.19385543,0.0,255:255:255
77,-48.95695772,-27.3243937,0.0,255:255:255
78,-48.638279,-27.28714771,9.0,111:111:255
79,-48.56647973,-27.15542006,12.0,63:63:255
80,-48.90475266,-27.16505643,4.0,255:192:192
81,-48.8679257,-28.08647076,4.0,191:191:255
82,-48.86112495,-27.01802485,12.0,255:64:64
83,-48.64659911,-27.25478811,10.0,95:95:255
84,-48.87054608,-27.56645633,4.0,255:192:192
85,-48.61248109,-27.22232828,3.0,207:207:255
86,-48.72202995,-27.33212987,6.0,255:160:160
87,-48.89642571,-28.44218565,13.0,47:47:255
88,-48.55555563,-27.72015054,1.0,239:239:255
89,-48.55497821,-27.33696174,10.0,255:96:96
90,-48.77386776,-27.65236985,5.0,175:175:255
91,-48.86031437,-27.49066236,8.0,255:128:128
92,-48.97425701,-27.19341955,13.0,255:48:48
93,-48.81289958,-27.42566926,4.0,255:192:192
94,-48.50511633,-27.16920898,1.0,239:239:255
95,-48.62107733,-27.37435896,5.0,175:175:255
96,-48.9741167,-27.28938727,13.0,255:48:48
97,-48.70197565,-27.27378074,5.0,175:175:255
98,-48.76863781,-27.51571033,1.0,255:240:240
99,-48.98975325,-28.38011895,18.0,0:0:255
100,-48.96738067,-28.42448223,13.0,47:47:255
101,-48.66807622,-27.45092695,18.0,255:0:0
102,-48.95807523,-27.25263034,27.0,255:0:0
103,-48.66215418,-27.51290339,3.0,207:207:255
104,-48.76395389,-27.62413938,9.0,255:112:112
105,-48.95512917,-27.47902237,15.0,15:15:255
106,-48.89289147,-27.82382413,15.0,255:16:16
107,-48.75912689,-27.21581461,4.0,191:191:255
108,-48.75061384,-27.69572198,8.0,255:128:128
109,-48.90876071,-27.35512683,15.0,255:16:16
110,-48.83669685,-27.20565397,12.0,63:63:255
111,-48.72167338,-27.25928611,3.0,207:207:255
112,-48.78540878,-27.6078949,12.0,255:64:64
113,-48.82195869,-27.77271518,4.0,191:191:255
114,-48.78913718,-28.1200232,3.0,207:207:255
115,-48.70889951,-27.90005385,0.0,255:255:255
116,-48.89100416,-28.22645359,2.0,255:224:224
117,-48.86355639,-28.20218083,7.0,143:143:255
118,-48.9831144,-28.30929867,4.0,191:191:255
