,X,Y,srtm30_wgs84-tdx12_abs,srtm30_wgs84-tdx12_color
0,-56.74087693,-18.78546514,2.58737951,255:161:161
1,-56.32313627,-18.00129988,5.01432933,255:73:73
2,-56.01007276,-18.49315617,1.76663585,255:191:191
3,-56.27941309,-18.58257924,2.70616551,255:157:157
4,-56.37521394,-18.67229669,1.72082824,255:193:193
5,-56.71115983,-18.47100634,4.46019033,255:93:93
6,-56.96403197,-18.00058147,2.39016008,255:169:169
7,-56.67726494,-18.1490435,4.81837224,255:80:80
8,-56.84179757,-18.56598962,4.57292984,255:89:89
9,-56.62606468,-18.86826679,0.02674871,255:255:255
10,-56.21396511,-18.39688933,4.66437332,255:86:86
11,-56.52260455,-18.43836379,5.18506366,255:67:67
12,-56.54288525,-18.50359599,4.50062742,255:92:92
13,-56.22723109,-18.26854332,4.0863428,255:107:107
14,-56.24438428,-18.40455765,1.84585906,255:188:188
15,-56.41835928,-18.29841492,4.35256512,255:97:97
16,-56.14581055,-18.39149902,5.58839675,255:52:52
17,-56.66069461,-18.98604123,8.5193787,255:0:0
18,-56.18745508,-18.60768489,4.22903901,255:102:102
19,-56.21877489,-18.76603854,6.04393236,255:36:36
20,-56.18317038,-18.19662496,10.84716388,255:0:0
21,-56.18473224,-18.14408934,5.77366625,255:46:46
22,-56.37863458,-18.98014743,2.10127721,255:179:179
23,-56.55446968,-18.71944055,3.95631122,255:112:112
24,-56.07956421,-18.76489205,5.54504383,255:54:54
25,-56.55209842,-18.94059679,2.04938728,255:181:181
26,-56.25215916,-18.47338353,1.05151352,255:217:217
27,-56.54644464,-18.76072567,3.14601191,255:141:141
28,-56.8318844,-18.00776555,9.07176156,255:0:0
29,-56.73354048,-18.32034236,1.97249581,255:184:184
30,-56.24666655,-18.96649166,1.39140815,204:204:255
31,-56.54584023,-18.31356216,1.48519921,255:202:202
32,-56.8362279,-18.9167168,2.63534457,255:160:160
33,-56.12066354,-18.38814766,5.85904812,255:43:43
34,-56.97404907,-18.30976376,1.56827117,255:199:199
35,-56.96371262,-18.99458993,3.00078653,255:146:146
36,-56.1576194,-18.63979474,4.04297906,255:109:109
37,-56.54290418,-18.37383413,0.05694783,252:252:255
38,-56.10311057,-18.35783928,4.63957902,255:87:87
39,-56.35483711,-18.03393227,1.44113614,255:203:203
40,-56.40722432,-18.59749539,0.2334725,246:246:255
41,-56.39928826,-18.55982045,3.60040088,255:125:125
42,-56.52549322,-18.39876378,5.46437477,255:57:57
43,-56.50969946,-18.00016353,2.47146479,255:166:166
44,-56.21328205,-18.06786964,5.70911032,255:48:48
45,-56.61364109,-18.46446078,3.0593432,255:144:144
46,-56.19078754,-18.05188842,3.25950105,255:137:137
47,-56.67944511,-18.21406369,0.31464198,255:244:244
48,-56.54367695,-18.15267868,3.77799535,255:118:118
49,-56.94171618,-18.53856099,1.27403162,255:209:209
50,-56.04124513,-18.29540278,4.69882507,255:85:85
51,-56.42153601,-18.41482357,5.62266147,255:51:51
52,-56.21633001,-18.19484969,4.73258356,255:83:83
53,-56.90691166,-18.86936811,1.77959729,190:190:255
54,-56.24896337,-18.26112705,4.78552892,255:82:82
55,-56.29300442,-18.13904332,1.49619965,255:201:201
56,-56.28426088,-18.27808849,5.38187256,255:60:60
57,-56.63132935,-18.22676351,4.57179311,255:89:89
58,-56.19906138,-18.72089837,1.06054419,255:217:217
59,-56.53915652,-18.56950908,4.78609456,255:82:82
60,-56.4304307,-18.95598167,4.66656226,255:86:86
61,-56.42125075,-18.45208142,8.04418524,255:0:0
62,-56.59485042,-18.90949369,5.2133302,255:66:66
