,tdx30_RioClaro,tdx30_slope_RioClaro
0,542.5797,6.346128
1,594.5052,0.5492974
2,681.3749,1.738691
3,599.1068,6.431505
4,542.2026,17.36878
5,613.0928,4.20116
6,817.2425,2.291563
7,710.417,3.888253
8,513.8337,9.183023
9,642.355,4.521682
10,662.1849,0.663014
11,668.3201,5.995699
12,612.817,1.651482
13,597.6116,4.106132
14,635.8692,0.7009904
15,726.1528,4.985675
16,613.795,8.260845
17,496.417,1.2046
18,571.7763,6.880358
19,561.1837,4.582972
20,616.1791,3.688193
21,625.8201,1.838066
22,528.5777,4.187986
23,570.3129,2.062443
24,596.0784,0.9741212
25,525.4877,1.911293
26,669.2249,2.611283
27,521.7751,3.179379
28,872.7932,5.086812
29,683.2657,8.124352
30,553.5806,1.308016
31,592.548,1.843656
32,527.4006,2.221886
33,655.0758,2.025074
34,694.6014,7.008618
35,556.8358,3.11348
36,592.3231,1.075338
37,624.9811,1.918772
38,644.8014,2.546525
39,633.4232,0.3281384
40,605.7945,7.091923
41,539.4573,3.54898
42,630.1221,13.76526
43,751.5583,NaN
44,574.861,0.9257087
45,553.0934,17.25411
46,586.5035,11.72808
47,786.5948,2.848135
48,721.1293,8.445861
49,767.2474,9.415304
50,580.5688,0.2570638
51,680.921,2.153731
52,609.3425,1.177934
53,511.7111,4.546317
54,623.4161,0.7851568
55,595.9684,0.6223437
56,579.4941,2.82005
57,594.1382,7.232265
58,559.2807,6.688906
59,579.1162,7.571248
60,535.2845,9.417399
61,677.1328,2.056351
62,652.6031,1.634165
63,565.2,7.671983
64,540.3764,6.672595
65,488.1415,8.900096
66,647.5789,2.958342
67,636.7877,2.36422
68,617.7151,6.186523
69,630.0812,1.595995
70,579.4102,2.462992
71,531.3797,6.581394
72,992.8702,14.10247
73,606.9059,2.034379
74,526.7367,13.81551
75,541.3885,6.194852
76,562.2153,7.656678
77,663.0817,2.628581
78,563.149,7.938298
79,480.5134,5.589471
80,514.1687,3.434616
81,578.9395,3.414567
82,569.9091,6.030396
83,570.229,3.430493
84,525.6972,5.615329
85,578.9797,4.680755
86,772.5173,2.380979
87,630.9448,2.182873
88,681.4689,4.613562
89,750.9878,2.230001
90,682.7653,3.410264
91,635.7806,2.907384
92,546.2472,3.39378
93,583.7433,7.501639
94,680.0677,4.926163
95,572.5549,13.72995
96,550.4315,0.1074985
97,671.1503,2.590086
98,529.4767,5.492156
99,531.9762,0.1850308
100,590.6472,2.000661
101,489.9333,1.612736
102,640.4268,1.528488
103,613.3032,3.148948
104,628.046,7.260823
105,529.2769,4.529157
106,584.9982,2.257888
107,573.8329,6.461687
108,646.9918,1.838945
109,595.9298,4.593109
110,482.0688,5.354067
111,468.2752,0.914732
112,553.1227,1.999185
113,599.7942,7.497717
114,686.7969,8.477417
115,538.184,3.80076
116,673.0379,8.241974
117,734.7865,5.752999
118,571.0314,3.129181
119,630.2318,2.960108
120,455.4795,2.925559
121,638.7899,8.4266
122,640.1607,4.649576
123,598.8128,7.551193
124,622.686,4.682857
125,493.7973,6.668367
126,732.9628,1.218453
127,600.4395,0.7818456
128,599.689,8.128354
129,916.371,2.222815
130,586.7192,4.374385
131,476.0181,7.12009
132,590.6471,9.125171
133,573.914,4.362011
134,749.2111,8.991687
135,928.4365,4.88391
136,503.2049,2.786521
137,520.2111,4.062885
138,581.9678,1.788314
139,665.9669,0.5347695
140,597.6712,2.499287
141,600.4377,2.763985
142,574.2082,6.002938
143,505.9426,3.982091
144,510.291,3.174329
145,649.6672,7.460502
146,547.7733,12.10436
147,600.5898,1.308456
148,495.9712,2.82586
149,588.85,1.053993
150,783.1984,6.831119
151,774.4542,3.489319
152,517.6152,8.962476
153,561.3105,5.64846
154,660.2439,6.019502
155,613.5878,3.138615
156,578.5851,2.220756
157,594.9523,2.9529
158,585.2625,6.972826
159,770.6366,5.905803
160,632.5151,3.526829
161,470.5486,0.9445994
162,646.6779,0.8560905
163,742.1641,5.181717
164,895.8565,1.083071
165,703.9506,3.455794
166,702.1946,9.138745
167,673.8729,4.860866
168,643.0792,2.614256
169,538.1108,8.679826
170,655.9734,3.051552
171,644.8585,4.023374
172,468.3171,2.357561
173,587.5678,2.543345
174,598.7895,1.421598
175,627.0747,3.95475
176,675.3497,8.897733
177,566.1743,1.566873
178,513.2786,5.147773
179,576.7233,5.611204
180,617.486,0.7860563
181,672.9334,2.989506
182,636.8743,4.047506
183,762.7533,3.84009
184,654.5532,2.563885
185,607.6168,4.026829
186,722.3607,19.29464
187,594.8055,2.221317
188,663.546,2.604029
189,582.4459,12.74256
190,648.4647,6.21897
191,622.24,1.467482
192,722.3181,4.369722
193,540.2584,8.26057
194,708.7777,7.087006
195,602.5449,4.33838
196,689.0954,6.66761
197,461.6118,0.8325558
198,558.0797,3.814005
199,462.2423,8.107942
200,705.3326,9.646486
201,789.6918,3.156469
202,604.5203,4.416276
203,702.5036,1.531009
204,588.9398,4.313601
205,753.4609,9.001549
206,604.7611,0.9964265
207,655.1824,4.108865
208,506.3627,0.4840588
209,590.1895,4.223868
210,744.7921,9.038676
211,623.023,5.735271
212,737.3817,4.463672
213,618.9442,4.92606
214,807.3964,4.709234
215,548.6736,0.2014282
216,996.4003,17.45192
217,665.0087,4.212554
218,616.4647,2.066363
219,669.9495,1.264444
220,716.2459,2.178073
221,573.0852,3.33528
222,593.6769,0.3400795
223,578.0801,2.313672
224,561.6215,2.268924
225,523.2694,6.020669
226,615.5419,3.0236
227,470.0333,0.9463038
228,570.2562,13.13856
229,686.675,3.542664
230,603.0014,4.62174
231,540.9316,8.587496
232,475.4929,3.726509
233,518.7656,5.234068
234,526.3208,1.817119
235,519.6169,5.096496
236,582.8024,7.50013
237,551.8277,3.955533
238,582.3392,2.493599
239,591.3531,13.21004
240,765.3582,1.253364
241,484.251,4.505008
242,525.2531,4.673913
243,577.6012,4.915432
244,605.3845,2.767064
245,533.662,5.615336
246,724.1991,2.08373
247,563.7811,9.912784
248,584.6011,8.211815
249,521.7348,4.359775
250,577.2844,3.323792
251,854.4877,6.651904
252,652.3415,4.300384
253,632.7773,2.494508
254,673.4543,0.4060995
255,652.9091,4.352594
256,551.3355,1.898064
257,573.2389,6.771103
258,587.7313,4.108623
259,570.274,4.240053
260,715.7842,9.211022
261,629.2628,2.003353
262,624.5717,1.30457
263,720.6699,7.016379
264,588.8427,4.105526
265,596.6714,1.592933
266,579.0184,12.9246
267,534.4039,3.706523
268,617.5125,13.45711
269,570.3461,3.993198
270,555.0616,1.064916
271,658.7822,1.936105
272,727.3688,6.459318
273,711.342,7.212482
274,616.8168,4.655114
275,553.1544,0.2310732
276,620.0366,3.249634
277,584.7866,6.459205
278,814.6136,4.755258
279,619.9359,3.412019
280,670.3027,12.77156
281,578.8112,6.082551
282,513.6723,6.10839
283,624.2192,6.865613
284,527.5176,9.668667
285,740.2579,6.381857
286,707.0905,4.153393
287,791.2923,5.565605
288,591.5222,1.668412
289,655.7751,2.52754
290,585.0922,3.414371
291,536.9784,7.5557
292,668.5999,3.922375
293,574.5552,4.716157
294,519.7546,2.542377
295,517.6912,10.67971
296,678.0571,0.5732318
297,677.2536,2.603693
298,544.918,6.60342
299,778.6235,12.33924
300,518.8234,3.810601
301,638.3038,2.969945
302,492.3449,7.298604
303,569.163,4.11573
304,577.0538,5.99462
305,618.3561,4.791399
306,550.3096,6.753492
307,542.6862,9.133485
308,597.4059,5.726787
309,965.9988,6.670451
310,578.48,2.936717
311,880.162,1.546457
312,722.0558,15.91988
313,563.0773,6.019464
314,571.1389,12.501
315,810.6123,7.263429
316,577.8806,1.933284
317,631.2567,1.245739
318,570.7342,2.866532
319,652.1511,1.527753
320,595.936,1.120213
321,531.9595,2.443397
322,533.626,3.794432
323,696.0486,2.487094
324,480.2813,9.821702
325,782.5607,6.470279
326,504.0516,5.849083
327,662.1566,1.935815
328,588.8793,2.075368
329,674.9147,1.536951
330,618.2341,1.554401
331,513.6789,1.918353
332,702.9606,0.8769251
333,706.3615,2.81055
334,627.0041,1.706181
335,628.7091,2.015708
336,657.7161,1.961284
337,568.2489,6.606647
338,574.7524,10.9914
339,581.0753,1.859508
340,617.4231,2.877636
341,533.4025,2.241194
342,560.7339,1.049528
343,525.476,8.293241
344,521.4374,9.843732
345,796.032,2.208496
346,579.108,0.6832458
347,600.0535,1.34847
348,571.1945,6.404245
349,618.4269,7.653012
350,611.9094,0.5182713
351,545.3541,0.6231813
352,844.1072,5.87889
353,905.557,34.6801
354,529.1121,12.80135
355,808.7354,1.974961
356,824.6661,10.25641
357,674.2042,0.8109273
358,613.9573,5.220308
359,558.071,2.556366
360,611.5434,3.176953
361,505.8992,1.902138
362,579.6246,3.63916
363,548.892,4.965493
364,587.5048,7.247855
365,632.883,2.842011
366,619.0258,4.223415
367,587.4692,3.202921
368,573.4594,0.7510165
369,535.7657,3.940248
370,549.5148,19.33503
371,571.8869,4.469898
372,617.4944,1.701406
373,618.4137,7.085538
374,637.3889,2.952829
375,475.8277,7.025314
376,577.4817,1.360192
377,506.0703,6.223532
378,575.222,15.26634
379,547.5066,4.261163
380,670.7412,3.568953
381,637.5922,1.560672
382,595.1518,0.9247198
383,452.1151,3.026951
384,534.5175,11.78991
385,552.3056,6.924173
386,522.7025,5.997121
387,619.6599,3.971773
388,581.0507,5.293797
389,643.7073,0.7173321
390,610.6553,1.847613
391,594.2643,3.248449
392,664.3635,1.798382
393,621.7837,4.690373
394,620.8083,5.396469
395,624.3367,6.377943
396,521.8682,6.921227
397,1005.797,4.52346
398,448.7477,0.7092796
399,534.741,3.90864
400,598.3026,6.102907
401,587.3853,1.731248
402,756.1765,1.651132
403,530.957,3.00444
404,505.5294,3.899823
405,667.2673,0.7838873
406,675.6006,5.972484
407,691.0189,6.108555
408,783.4658,1.8235
409,748.7057,5.003634
410,630.082,5.370849
411,625.522,2.91114
412,571.2019,2.088526
413,948.4586,4.716749
414,957.489,7.708392
415,784.2197,6.142128
416,482.6106,8.232824
417,608.7503,9.089623
418,592.7756,4.266184
419,594.1874,3.014983
420,584.1854,7.278258
421,734.4535,6.459776
422,747.4509,13.12337
423,614.9382,2.181465
424,688.1843,3.836563
425,697.1414,1.890268
426,770.8814,1.561965
427,515.6511,2.201072
