,aw3d30_wgs84_RioClaro,aw3d30_slope_RioClaro
879,610.06034392,3.56847
880,662.00764416,3.539658
881,746.819999,3.705421
882,791.7019996,3.073064
883,769.40365062,1.482568
884,476.32733326,4.747645
885,617.04495613,6.323377
886,640.96402405,8.000515
887,628.09731304,6.393207
888,614.84117391,1.39767
889,668.06800819,1.928805
890,687.05061293,10.19655
891,595.86832904,2.057136
892,703.71946533,14.79768
893,682.35046012,2.731204
894,639.31074065,3.963334
895,502.88437919,6.012892
896,508.4066547,6.460734
897,557.88699152,4.546268
898,674.89288652,15.38046
899,652.90054423,1.86296
900,951.41400792,6.747519
901,991.969133,11.47094
902,574.47412872,3.43609
903,660.28937947,1.708566
904,517.08574544,5.271221
905,706.32521608,1.368145
906,643.02137457,1.794559
907,611.9980596,7.150743
908,485.2667278,1.058576
909,514.89879245,5.817724
910,890.96813261,4.594473
911,619.79197148,6.884357
912,597.78967966,0.7429802
913,601.66378792,4.245832
914,581.89661034,6.167811
915,578.11834265,6.214627
916,734.58520716,2.22576
917,505.7895435,6.852702
918,671.79123928,10.71089
919,647.61517901,7.356984
920,641.79007606,4.245183
921,756.52565338,6.326586
922,949.43074983,5.442889
923,590.79318514,3.771471
924,501.80037319,5.659729
925,805.53073698,1.102792
926,605.91957019,5.268318
927,1018.92455586,5.016273
928,760.99580933,19.94688
929,636.89110136,6.507933
930,516.78941191,6.57376
931,618.10635716,1.649305
932,497.26449541,8.460281
933,834.8796813,7.19267
934,614.97528953,7.471495
935,511.7570716,14.87314
936,560.84380167,0.3426804
937,579.53494374,4.812625
938,606.84104322,3.333068
939,706.5727781,5.178049
940,485.41483267,1.928993
941,666.26675735,0.9304503
942,692.63317234,7.450165
943,643.55265851,10.67308
944,591.67957508,3.496308
945,577.79530372,3.614999
946,565.76210962,2.224779
947,454.6852176,0.3422125
948,773.78562624,4.621277
949,640.34491232,3.534963
950,760.31740947,4.40033
951,570.50896225,4.099746
952,586.5287774,8.592518
953,635.55084497,2.052849
954,569.81485355,2.110149
955,616.79201366,2.060966
956,540.64889703,7.611447
957,655.79866101,7.22832
958,578.14911111,5.328786
959,548.84398332,1.795771
960,528.82748349,2.381317
961,714.30618945,1.718214
962,638.81095539,3.430302
963,487.46981158,0.7877231
964,566.11079846,0.3429805
965,578.62125432,2.268732
966,613.96266885,4.537679
967,496.52693422,1.795381
968,566.86688407,9.614382
969,530.28141105,3.114836
970,654.36056759,4.089481
971,636.35964424,7.142662
972,601.7482025,1.483323
973,611.98903282,1.277661
974,698.59968693,5.358811
975,623.57424424,3.798917
976,512.61406233,6.416745
977,562.70632831,1.772902
978,712.32856386,6.477601
979,596.50981226,7.927735
980,794.47837027,3.099156
981,607.26078405,1.572152
982,573.95783039,7.929182
983,669.34565501,2.761671
984,737.7721914,4.299864
985,647.58019975,4.00807
986,695.69170208,2.379307
987,593.51259402,1.889041
988,644.2416822,1.105025
989,752.54500863,1.484599
990,581.11703597,3.497428
991,481.99414427,3.648057
992,607.99166433,7.576334
993,607.62556264,4.294837
994,624.02260383,5.849424
995,675.25808434,1.056522
996,589.88320217,3.462969
997,695.74667934,21.59743
998,664.33504702,2.546505
999,585.67451849,7.994568
1000,567.62129867,1.575559
1001,607.95296286,2.995113
1002,640.51150712,2.051427
1003,541.13340723,4.708879
1004,633.82498475,10.16766
1005,569.64212708,4.587466
1006,554.55662708,6.218921
1007,592.21960751,3.405469
1008,637.68621096,1.431076
1009,611.59343057,2.11375
1010,620.38519012,4.956081
1011,604.19810559,6.79089
1012,710.40960986,1.70892
1013,624.66601779,3.706257
1014,784.55867302,2.261261
1015,683.0011483,4.792029
1016,508.97825157,1.386121
1017,773.62478642,5.502483
1018,594.05000077,5.932658
1019,617.65971373,10.64192
1020,784.24706691,5.593634
1021,781.50682267,3.25534
1022,972.92630686,12.10787
1023,645.76666616,3.029811
1024,613.70665431,12.78967
1025,487.89201685,4.093276
1026,523.80579823,3.437632
1027,622.04989125,6.416164
1028,656.18024466,8.361116
1029,559.79015228,1.649191
1030,530.19427911,5.786062
1031,652.04383435,7.559522
1032,592.93776236,3.762175
1033,713.78464219,19.41203
1034,635.00327349,2.85091
1035,862.97998232,2.768758
1036,517.73311592,1.577652
1037,557.41886551,6.243805
1038,582.87541234,2.995671
1039,503.60767445,4.58917
1040,585.56019527,3.14639
1041,930.7718839,3.902009
1042,498.57183294,2.731553
1043,459.85038451,1.89258
1044,589.65775443,0.742787
1045,694.52035018,18.7446
1046,928.36990342,13.25751
1047,579.75261239,1.366531
1048,746.35192843,7.804845
1049,599.10059139,6.801251
1050,657.09995645,18.69487
1051,539.59019502,5.514367
1052,687.51851727,2.964869
1053,593.65866701,3.420147
1054,550.68642898,6.64882
1055,669.03563782,4.398071
1056,568.77690496,7.246261
1057,715.79086798,2.207633
