,aw3d30_wgs84_SerraMar,aw3d30_slope_SerraMar
0,476.69416242,36.63472
1,1149.08445556,11.16167
2,438.00850089,20.70158
3,1054.26916245,3.53889
4,-1.64984523,NaN
5,894.65457148,41.20345
6,966.44232178,5.105001
7,1578.44076203,17.5782
8,1101.7899486,20.3724
9,81.54354784,20.69336
10,418.20216134,18.67248
11,620.48570103,21.54382
12,1201.51759705,22.76496
13,462.1785182,25.77178
14,459.23116753,16.48969
15,404.34870497,4.20142
16,429.13825991,19.6878
17,620.17150731,26.05638
18,535.11108137,5.36768
19,765.08537323,22.76572
20,1.52198569,2.058004
21,655.24617725,21.73735
22,960.38804639,14.65392
23,845.60258759,17.48575
24,474.45728283,2.109231
25,492.74597007,5.904922
26,452.11451673,19.07677
27,1070.7603701,31.84879
28,1391.13250084,34.71701
29,482.48151873,18.6566
30,373.09371035,1.025625
31,1237.13293484,18.43893
32,1276.39439249,29.14724
33,1143.38844576,33.80273
34,507.47612646,8.709653
35,1143.20120563,NaN
36,1228.05931696,22.96125
37,652.5708032,12.78658
38,1396.0317985,16.83603
39,1825.4936315,27.54568
40,1435.35489401,18.65208
41,983.8644338,19.48252
42,542.02443128,25.25351
43,676.39187253,10.37647
44,595.13692956,17.5705
45,1360.83809327,17.73749
46,498.19367996,15.11921
47,1160.16514215,5.997884
48,440.22996926,17.92411
49,1698.46923333,14.69396
50,283.14838128,26.95472
51,1323.52082403,19.29866
52,493.39974399,11.20905
53,151.48747587,27.31495
54,1228.76433109,26.59987
55,1778.6155449,30.55946
56,805.00479008,19.47235
57,894.01478171,27.33722
58,1388.44034619,16.20659
59,3.18837388,9.363306
60,576.71085579,21.58869
61,384.26547241,0.7416928
62,1405.6968634,23.2122
63,1009.82604297,31.79115
64,602.60790269,25.32388
65,801.08625303,14.69954
66,787.16266416,19.62489
67,929.92496139,13.46123
68,317.85476178,26.18599
69,435.1243152,9.32517
70,1546.67141303,17.03009
71,698.2184731,14.52169
72,965.69666187,24.15549
73,1536.97636767,20.62709
74,1475.79802257,11.24514
75,1595.3117927,29.82186
76,1502.40990475,41.55401
77,726.29948408,34.5559
78,1164.62258928,15.93389
79,725.24518375,34.94807
80,446.34164082,2.444125
81,380.66731753,15.38004
82,1212.31435243,17.08057
83,1095.80028872,8.188902
84,74.26463485,14.96766
85,1123.06771206,4.769721
86,1424.80753999,22.89948
87,1199.21103143,29.42412
88,467.11048923,5.783556
89,885.99072772,9.929191
90,264.26513069,33.47272
91,970.86837308,1.773012
92,20.27380734,8.995832
93,1058.50050402,12.83693
94,1000.8344531,28.37884
95,18.76265521,8.39807
96,695.74206377,20.80984
97,1806.34714371,18.12007
98,976.82938133,16.92598
99,2374.55305333,13.69941
100,1292.54624546,21.75801
101,1198.19431061,16.93454
102,687.96396088,19.17168
103,NaN,NaN
104,954.88469324,14.97641
105,1015.64122037,10.4575
106,458.23820753,9.284597
107,1550.74132009,20.44038
108,576.63765066,28.69017
109,666.99764602,35.68517
110,1516.66123435,10.45389
111,1011.47618964,10.53497
112,629.75578877,24.41876
113,1388.83421187,5.108216
114,883.84426139,23.80377
115,185.21076357,29.02297
116,598.3854981,16.60575
117,577.55917886,50.10056
118,440.2199126,26.96527
119,1100.53384732,13.59898
120,74.89265731,0.9309813
121,2214.50251871,29.55132
122,1423.78814112,17.84222
123,491.588129,20.1072
124,1283.70509491,3.959467
125,1346.36369471,23.33921
126,904.63566783,5.932798
127,1000.29357792,29.5934
128,1050.00552663,12.91982
129,1185.15911907,27.1574
130,69.26187119,10.75715
131,1126.16149767,6.830212
132,1208.49715279,14.56699
133,547.9921069,20.30616
134,1017.76006197,4.749419
135,372.05003082,1.794471
136,595.22994246,34.5671
137,1360.36703388,20.55642
138,1184.2896384,30.56589
139,1028.65949019,15.02104
140,643.9986755,26.10172
141,1625.34694351,55.16508
142,725.69589825,36.88208
143,1427.23844228,29.07101
144,586.33838575,17.15363
145,25.84677459,9.864335
146,1298.05149858,19.0689
147,1151.15386436,16.2323
148,1424.40462709,12.96539
149,1121.77370345,5.060607
150,489.29572508,21.94206
151,614.21389829,2.768218
152,495.57260845,28.63042
153,1704.61935849,33.24233
154,541.26061252,25.39178
155,1108.57274191,6.411124
156,2212.54188085,18.76006
157,816.09540887,7.358081
158,748.30538893,22.86313
159,552.07424462,9.838963
160,562.12446424,14.45053
161,895.63096717,8.833375
162,95.32964859,23.89471
163,1487.35811119,27.63537
164,1841.52597476,20.3588
165,759.02345388,15.05186
166,997.92737953,10.30509
167,1333.88789028,9.887735
168,693.38646411,27.44537
169,1055.59560898,4.212916
170,499.1039987,16.90255
171,434.39769882,3.795685
172,467.55315971,19.65435
173,1394.71252928,19.6671
