,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
113,-44.88988545,-23.15217354,0.34078813,244:244:255
114,-44.91042312,-22.7780454,6.34533861,57:57:255
115,-44.30340252,-23.16029243,16.11736357,255:0:0
116,-44.41419499,-22.58118532,4.5095981,255:115:115
117,-44.58240295,-22.92837184,30.08422114,0:0:255
118,-44.24416165,-22.49456396,12.2300874,0:0:255
119,-44.5660414,-22.67549659,1.37284732,255:213:213
120,-44.9914217,-23.34047473,7.44602731,255:23:23
121,-44.63066269,-22.39093826,10.16848129,0:0:255
122,-44.83069139,-23.06411426,2.81814112,255:168:168
123,-44.64193283,-22.62178799,5.368729,255:88:88
124,-44.74008125,-23.01594741,0.98509491,255:225:225
125,-44.60268415,-22.16109922,2.16069471,255:188:188
126,-44.93326778,-22.26958014,1.29126783,255:215:215
127,-44.43919225,-22.23862769,6.72742208,45:45:255
128,-44.16183378,-22.06207167,1.18547337,218:218:255
129,-44.32787555,-22.12915837,6.15511907,255:64:64
130,-44.30067836,-22.99372245,8.71580119,255:0:0
131,-44.36389051,-22.08642,3.01449767,255:162:162
132,-44.8523297,-22.13716646,3.19515279,255:156:156
133,-44.01069508,-22.38651636,2.9388069,255:164:164
134,-44.79523364,-22.90288726,0.19006197,255:250:250
135,-44.05881819,-22.47971231,3.31633082,255:152:152
136,-44.30534185,-22.33461197,7.49445754,21:21:255
137,-44.78468985,-22.01497915,0.24896612,247:247:255
138,-44.45209164,-22.21173597,2.8606384,255:166:166
139,-44.79929625,-22.47074089,8.27850981,0:0:255
140,-44.06720297,-22.22322044,2.9082245,164:164:255
141,-44.35638195,-22.78164148,11.27194351,255:0:0
142,-44.79381784,-23.29797431,7.13080175,32:32:255
143,-44.39919548,-22.18476095,0.40855772,242:242:255
144,-44.37034215,-22.53431942,1.15981425,218:218:255
145,-44.93439454,-23.29372869,2.09337459,255:190:190
146,-44.19890157,-22.10030163,0.63050142,235:235:255
147,-44.34509445,-22.09616711,6.34413564,57:57:255
148,-44.56903868,-22.27600911,11.13262709,255:0:0
149,-44.83941971,-23.19849618,0.51070345,255:240:240
150,-44.31093897,-22.59846503,1.74902508,255:201:201
151,-44.31004374,-22.28002453,1.40299829,255:212:212
152,-44.64940737,-22.54213739,5.60480845,255:81:81
153,-44.78343313,-22.40775399,4.43235849,255:117:117
154,-44.26775927,-22.65745394,4.81758748,104:104:255
155,-44.96008839,-22.160737,4.90774191,255:102:102
156,-44.70992182,-22.35374293,1.32188085,255:214:214
157,-44.2327385,-22.14061735,2.38679113,180:180:255
158,-44.41252299,-22.31110265,2.52771107,176:176:255
159,-44.07744816,-22.71962878,2.04005538,191:191:255
160,-44.20116724,-22.27215599,1.85716424,255:198:198
161,-44.95987085,-22.24048883,3.01996717,255:161:161
162,-44.34908994,-22.90257456,2.60510141,173:173:255
163,-44.53794674,-22.22751937,3.23211119,255:155:155
164,-44.64129893,-22.42856955,1.58502524,205:205:255
165,-44.07180882,-22.29115628,4.29794612,120:120:255
166,-44.98411357,-23.14691703,4.74687953,255:107:107
167,-44.94942739,-23.18378414,2.96610972,162:162:255
168,-44.48538949,-22.37473277,5.49186411,255:84:84
169,-44.93500036,-22.2099428,1.79760898,255:199:199
170,-44.18459251,-22.25199887,8.5327987,255:0:0
171,-44.47620803,-22.42623691,1.82099882,255:199:199
172,-44.63403704,-22.51867709,2.43235971,255:180:180
173,-44.93043282,-22.39808084,4.53647072,113:113:255
174,-44.33539324,-22.9211294,-9999,255:255:255
175,-44.04748889,-22.2544144,5.08885207,255:97:97
176,-44.83394026,-22.68462065,3.30120789,152:152:255
177,-44.20521553,-22.02521227,0.56843753,255:238:238
178,-44.62655332,-22.17934791,0.10481967,251:251:255
179,-44.61335479,-22.57816421,3.805559,136:136:255
180,-44.85854374,-22.29512022,2.63010219,255:173:173
181,-44.74681681,-22.17090414,0.26793709,255:247:247
182,-44.56848586,-22.21547393,5.38851969,255:87:87
183,-44.03839226,-22.34737236,3.93124576,132:132:255
184,-44.429655,-22.8874895,4.9209415,255:102:102
185,-44.29025964,-22.31945525,8.39770814,255:0:0
186,-44.40155837,-22.36289901,2.73940991,255:170:170
187,-44.66730043,-22.50517748,3.74064245,255:139:139
188,-44.30594959,-22.08211353,1.11111582,220:220:255
189,-44.21330113,-22.09786674,1.22532196,216:216:255
190,-44.26696629,-22.96315843,6.53186862,51:51:255
