,aw3d30_wgs84_Iporanga,aw3d30_slope_Iporanga
117,733.68738617,9.839816
118,365.07079508,21.27952
119,679.28757798,3.116563
120,821.05562461,16.88286
121,NaN,NaN
122,708.040191,24.91114
123,264.74022988,27.3392
124,303.09834541,12.73309
125,NaN,NaN
126,823.88034351,14.38417
127,868.49515855,10.8317
128,794.3271074,17.68634
129,910.08322511,8.189625
130,791.75027207,33.93042
131,348.5700323,27.96189
132,NaN,NaN
133,559.28923184,26.95677
134,662.48798936,8.360242
135,999.17241425,9.539814
136,733.94902724,5.170297
137,788.51153947,22.86785
138,736.25143996,18.90617
139,329.83076614,21.08655
140,336.38805352,30.91914
141,527.55410463,24.67323
142,NaN,NaN
143,978.25301912,7.020949
144,207.11986159,13.49939
145,889.80409582,16.16741
146,503.79336557,27.45877
147,794.09820778,10.56453
148,416.65047491,23.0033
149,691.39068721,15.03811
150,854.48659019,34.78114
151,908.8225995,2.446789
152,NaN,NaN
153,832.18940464,28.48358
154,898.4616607,20.58607
155,688.01628379,7.120799
156,730.23846929,12.17748
157,631.10308388,35.58713
158,756.21770011,3.143347
159,710.59288408,23.99663
160,50.17616168,7.23497
161,163.57230097,15.50339
162,27.31995979,0.688166
163,864.45010017,13.47911
164,759.3847324,1.013301
165,841.439692,13.60972
166,1053.02972807,9.779212
167,777.08739132,18.22935
168,408.97441997,27.29469
169,808.00986085,22.78328
170,754.36405763,9.617286
171,912.73384808,17.9936
172,827.14859527,15.76518
173,690.09192702,9.497403
174,661.21401237,4.790074
175,245.67094266,NaN
176,843.61097623,8.381934
177,678.65973204,43.93677
178,444.95200653,16.97992
179,334.23727395,21.68569
180,527.73605273,19.99634
181,815.39445992,27.83518
182,948.00795435,29.77788
183,965.93471981,23.5387
184,157.74420799,6.306213
185,757.67148256,11.56362
186,879.81333933,11.15214
187,643.1673062,4.329908
188,835.52475616,4.147893
189,NaN,NaN
190,49.55553431,14.59824
191,795.27801487,29.21094
192,825.79089904,10.34681
193,445.08317868,34.22424
194,726.52650083,14.66467
195,923.85958539,8.207975
196,512.15847947,35.60896
197,638.02530119,25.27163
198,676.54529972,6.797565
199,701.03882085,2.130362
200,875.66411304,9.703885
201,815.73566629,7.288343
202,890.24017091,5.108378
203,854.71656087,9.847286
204,873.96636186,11.86369
205,931.0069357,4.135825
206,334.08284842,10.53707
207,723.09595986,39.21474
208,950.3344127,21.60201
209,661.01450253,17.6858
210,999.52652448,1.591146
211,848.02059652,2.449391
212,789.8227614,9.530957
213,634.63582359,20.11903
214,892.58772244,25.8944
215,467.06696815,29.66855
216,849.53369254,33.90682
217,116.17372199,22.29198
218,426.16882437,19.05554
219,830.41837915,13.7352
220,996.57441316,16.0715
221,1009.9768025,13.26737
222,638.16520064,1.486509
223,741.10231317,4.455315
224,202.02948374,12.53782
225,434.81563643,18.44553
226,945.19399885,18.39238
227,NaN,NaN
228,519.14364628,34.36942
229,781.07507003,18.87857
230,336.15556137,18.62094
231,155.74158612,4.332805
232,412.67840615,29.5724
233,339.94678412,25.28418
234,482.30040643,29.68622
235,662.86367126,15.22302
236,NaN,NaN
237,NaN,NaN
238,415.24468277,17.03183
239,733.40250767,10.92608
240,921.66196749,10.09286
241,774.20140396,22.68434
242,NaN,NaN
243,NaN,NaN
244,687.97974389,4.80688
245,401.5120667,22.80966
246,800.52990656,4.885566
247,469.1393858,14.95476
248,873.12803798,0.6884228
249,NaN,NaN
250,67.76582904,18.43557
251,697.39472575,9.962775
252,1052.0377083,5.217182
253,830.42352783,5.771566
254,300.96209527,31.69821
255,24.46381618,1.191587
256,833.6759188,11.04113
257,NaN,NaN
258,NaN,NaN
259,NaN,NaN
260,NaN,NaN
261,174.64442011,22.50436
262,137.65684155,2.466288
263,863.58618894,14.52273
264,382.49537718,24.11703
265,970.99314092,25.33983
266,871.07577941,14.64816
267,833.0205845,27.44639
268,814.79091008,21.25018
269,716.14923204,9.460432
270,132.43346497,20.01503
271,825.34696698,9.702165
272,665.24242712,4.332066
273,711.46794035,10.05285
274,764.90076178,10.27976
275,622.11796579,2.327431
276,712.48693964,32.8299
277,966.08367509,24.21503
278,947.86188788,15.12653
279,239.9434774,17.38115
280,794.65022307,16.58959
281,624.53547585,18.89016
282,279.92627118,22.14455
283,20.28910297,1.118689
284,587.71950056,15.60915
285,NaN,NaN
286,865.61790341,28.74655
287,751.57825322,17.83218
288,758.17330119,13.34956
289,75.47488983,7.60085
290,119.04979554,4.80339
291,355.20191527,36.88092
292,744.53735042,17.81195
293,676.33529507,1.727845
294,782.62620571,23.75965
295,689.48473225,19.80708
296,20.3983271,0.742839
297,62.19852649,3.033296
298,630.16335724,32.73849
299,746.49488327,12.41227
300,940.2608691,28.18133
301,339.29932518,19.98024
302,986.20005185,9.090496
303,212.0372602,18.77386
304,NaN,NaN
305,273.30040794,16.57573
306,NaN,NaN
307,745.86214684,16.04479
308,59.3564036,12.74138
309,936.21257533,6.536915
310,690.2214695,48.88633
311,NaN,NaN
312,798.78177791,10.02374
313,923.48988078,26.15855
314,131.85331417,6.787709
315,677.62919724,6.318551
316,734.47618232,24.7038
317,612.54006427,20.54421
318,42.76218788,11.54499
319,148.85772535,17.31592
320,528.13725188,26.06269
321,804.86184321,11.83048
322,547.74077372,28.84178
323,783.46286316,2.120681
324,808.05638259,19.82558
325,960.68649609,14.85953
326,367.50452809,31.58866
327,807.76430237,30.04125
328,1036.69773829,8.431287
329,83.48410787,2.228721
330,133.05583416,17.1796
331,316.23048156,26.29018
332,798.58413026,11.19747
333,784.59641418,6.842282
334,579.53847273,12.13737
335,791.1229265,14.11389
336,177.71532578,27.43417
337,676.30690261,0.0010523
338,899.9309369,6.568536
339,621.46928389,3.348516
340,891.24805114,28.12185
341,813.93327342,24.28958
342,95.31759716,11.99765
343,859.40528525,16.02707
344,933.23364293,36.51414
345,887.76256736,6.723393
346,874.28556518,26.24907
347,285.53333555,17.0569
348,715.29814314,20.41209
349,320.89489238,37.20225
350,812.32831263,23.96358
351,482.18745686,26.09728
352,983.76602311,3.669935
353,728.40763431,17.70966
354,463.50548537,NaN
355,864.77509431,4.133793
356,937.25092896,4.791716
357,457.10400624,26.20827
358,226.98668656,18.64835
359,NaN,NaN
360,97.81008669,9.485703
361,NaN,NaN
362,700.42951019,3.11788
363,NaN,NaN
364,901.35041878,6.153029
365,682.90011508,2.062374
366,NaN,NaN
367,913.88703452,11.41779
368,535.88353012,30.18172
369,178.81598492,1.034301
370,523.59322643,17.09448
371,963.71047685,23.46047
372,916.3055741,13.28641
373,906.40402157,30.07154
374,850.40746201,31.99553
375,538.60600927,17.80365
376,304.0139061,12.91924
377,NaN,NaN
378,348.92783153,12.19576
379,628.55319172,25.44461
380,781.52162936,17.27332
381,394.54778673,28.02822
382,718.12621784,19.01898
383,134.64779367,19.4887
384,901.35479135,28.63393
385,768.79354541,9.872822
386,777.99516349,24.66751
387,NaN,NaN
388,836.85574051,14.23697
389,NaN,NaN
390,112.68189216,20.72971
391,711.4732779,19.94781
392,359.70692979,25.16221
393,880.43292867,15.19543
394,634.04913274,20.25211
395,851.19137497,29.00226
396,676.32630631,17.40737
397,733.36213324,8.308507
398,424.72341854,32.78614
399,668.88944321,22.79296
400,683.48383637,14.87687
401,199.34712557,23.94465
402,932.77841571,6.657893
403,624.06037808,20.01667
404,942.17747861,14.46444
405,790.27740333,11.14799
406,NaN,NaN
407,49.43502845,4.479351
408,803.63821117,19.45482
409,760.84523333,9.445662
410,816.87195451,35.94701
411,59.21158869,0.4647353
412,730.0991031,7.218718
413,977.17988383,20.49903
414,805.54655526,19.66821
415,705.40484655,8.071774
416,NaN,NaN
417,895.07973101,22.66609
418,703.43501862,4.88954
419,64.29457408,3.449996
420,472.58219336,32.10654
421,808.51385817,0.5080403
422,631.82827886,26.13002
423,747.50064983,21.01639
424,755.32812563,13.77709
425,723.88544135,35.35459
426,928.99990735,12.50326
427,177.6923428,14.46817
428,857.24296652,27.52625
429,76.33675999,25.60479
430,704.22971288,14.39942
431,706.38996059,9.246131
432,NaN,NaN
433,789.0537261,19.82794
434,819.47098679,12.69363
435,191.83942539,8.264731
436,799.92958857,21.31891
437,739.38319697,NaN
438,112.59632261,10.36268
439,658.37335351,16.77692
440,442.52236474,14.25806
441,454.73629441,20.21336
442,864.94711594,1.797058
443,954.65642021,19.35155
444,556.92557575,38.70561
445,448.8018515,28.95957
446,137.79168169,22.81931
447,NaN,NaN
448,817.17256285,12.07528
449,NaN,NaN
450,845.42387097,14.42109
451,796.4940118,4.785777
452,593.7762343,31.45597
453,227.11629906,11.14334
454,372.54257498,20.18464
455,NaN,NaN
456,857.97768289,13.84924
457,715.18235511,28.68629
458,746.86965038,17.58
459,803.73479847,23.20304
460,826.57405223,2.742825
461,71.95137693,7.920969
462,865.11373185,19.672
463,NaN,NaN
464,889.38440598,12.58488
465,937.00012453,12.34189
466,1044.3092656,29.94306
467,967.81112953,19.6207
468,692.94074515,23.64719
469,142.59539266,35.95539
470,700.85210229,14.94364
471,NaN,NaN
472,726.33914394,0.743921
473,NaN,NaN
474,869.70585812,13.79613
475,841.75833213,3.864763
476,167.95894862,29.48207
477,842.65552574,10.52442
478,193.32542551,31.27084
479,769.99032964,25.5935
480,137.08099225,12.43924
481,914.38523146,11.8902
482,925.73691539,11.6285
483,49.19519767,1.484972
484,858.85462,12.74157
485,NaN,NaN
486,594.97369992,23.86647
487,145.97778444,12.81632
488,6.91425942,6.381292
489,NaN,NaN
490,521.88925331,46.95672
491,823.30087529,13.40608
492,237.91960158,8.872005
493,906.74881532,27.88875
494,NaN,NaN
495,600.2247943,42.78309
496,411.93384105,24.51604
497,675.30128244,37.99049
498,809.73003672,17.04423
499,77.94402567,1.395784
500,214.61050369,24.04006
501,856.28843041,30.42017
502,379.51790485,30.50321
503,239.30495303,22.57116
504,554.29531987,5.595003
505,428.55865856,21.01373
506,63.40070061,8.028465
507,912.95773455,23.26871
508,150.90840432,17.35411
509,164.77189298,25.02111
510,358.54756561,17.98506
511,NaN,NaN
512,NaN,NaN
513,NaN,NaN
514,101.96591071,28.62023
515,603.56020756,16.45749
516,NaN,NaN
517,684.91131634,15.3889
518,737.28848264,7.155787
519,192.49396905,22.15944
520,653.94472872,23.92756
521,758.61012245,18.96713
522,331.73044403,29.25291
523,811.25588051,32.88736
524,208.51386859,10.63275
525,541.11129705,24.31545
526,784.44901214,20.12228
527,NaN,NaN
528,889.51870803,5.386297
529,818.30269467,17.99552
530,841.53317977,8.242631
531,889.60027929,10.57839
532,739.93064436,9.988046
533,765.1153677,4.507578
534,NaN,NaN
535,310.73861145,26.07055
536,856.58334448,18.55201
537,481.45004037,21.65969
538,695.52626083,9.872033
539,665.88780743,11.83321
540,833.26906089,6.959296
541,835.4583713,19.24153
542,734.2631595,15.61177
543,851.29463549,6.047712
544,772.69655867,9.635536
545,736.28205881,7.739165
546,848.25970871,9.868223
547,831.82243303,11.88134
548,NaN,NaN
549,876.0405615,7.966197
550,NaN,NaN
551,211.98539391,25.48609
552,259.92688106,16.83933
553,165.90584694,18.15048
554,873.05865527,21.75851
555,731.27407856,22.3992
556,576.46452422,20.52082
557,524.42454173,20.61955
558,102.98645087,29.43929
559,166.30420529,16.91426
560,NaN,NaN
561,855.07035582,7.620152
562,810.38785469,16.32541
563,NaN,NaN
564,986.02387418,21.38824
565,935.51354458,6.490785
566,696.86893809,24.27525
567,306.08361711,29.29914
568,627.09408261,51.46464
569,893.24390137,9.092321
570,812.35777937,1.292984
571,301.88663587,12.82743
572,912.67665536,12.56291
573,733.26096379,23.72837
574,719.18394017,26.1571
575,305.92590974,11.64643
576,896.41753536,24.78273
577,656.82957289,26.48297
578,377.89349377,29.44217
579,774.5054119,7.123828
580,942.19735576,21.92542
581,866.70824058,10.80142
582,762.59435447,19.31203
583,768.84564627,10.58863
584,892.01388685,19.88776
585,749.31989839,13.6533
586,NaN,NaN
587,688.46588505,7.892306
588,451.06424284,64.25494
589,654.08520166,1.589602
590,121.65002261,7.256229
591,NaN,NaN
592,937.35029671,18.96086
593,988.90899601,10.02575
594,927.05125421,14.99759
595,988.03037423,7.876623
596,NaN,NaN
597,559.67206421,19.64627
598,911.80045601,11.59947
599,951.09988695,8.522312
600,698.57937844,25.7166
601,NaN,NaN
602,642.99633153,17.06975
603,941.93747527,18.04861
604,696.77847983,31.40313
605,872.80055222,7.568902
606,548.54434006,36.87358
607,158.84978598,21.46712
608,904.15692838,11.28137
609,NaN,NaN
610,NaN,NaN
611,553.07138966,2.110144
612,722.46327258,5.187354
613,681.99236099,5.432711
614,488.22567244,27.5038
615,925.75541013,9.343943
616,554.55689869,27.81184
617,785.25232991,25.42286
618,NaN,NaN
619,734.28406448,13.36253
620,836.45801823,9.210606
621,79.87528592,21.91104
622,941.10545419,21.47426
623,845.53199498,8.190129
624,138.24630941,21.51196
625,NaN,NaN
626,989.20994713,5.119798
627,872.81980791,18.34352
628,707.85491947,31.22028
629,847.31657912,4.214039
630,996.89506539,13.87847
631,176.04197407,13.76773
632,674.47480859,14.86336
633,733.43684396,22.41252
634,777.64881864,16.30444
635,825.0622124,23.60659
