,srtm30_wgs84_Pantanal,srtm30_slope_Pantanal
139,127.00568026,2.110877
140,121.08396996,4.305551
141,144.241371,4.445822
142,124.69397522,1.084016
143,108.9661524,5.874918
144,127.24065024,1.0522
145,121.53890464,2.72982
146,114.12092832,2.73883
147,123.89526215,1.012796
148,113.7534342,1.953153
149,125.47850325,1.01277
150,131.11201582,4.704713
151,118.4196823,2.100485
152,117.7403193,2.404724
153,133.22049339,0.7401841
154,134.62431591,4.068618
155,142.32576376,1.237244
156,134.05155691,2.034019
157,136.10776018,1.349487
158,132.12621983,2.355572
159,117.95861998,2.022076
160,146.18305582,2.957997
161,114.79941511,2.697777
162,144.49682933,3.408846
163,134.25604074,2.002103
164,125.54750309,3.531267
165,127.63294907,1.718834
166,116.2424459,3.562267
167,145.18441241,1.012059
168,125.05298744,1.848577
169,111.27686487,3.247944
170,132.3984905,2.662271
171,137.77664201,0.7664278
172,105.73300182,0.4912423
173,140.52198098,1.923964
174,131.06945296,3.260694
175,115.41982237,0.4913118
176,123.1548033,2.608979
177,113.54330696,3.884984
178,111.31242431,2.838513
179,129.1024551,1.189587
180,134.63711433,2.064445
181,137.19796867,3.829039
182,121.81387224,1.925176
183,116.10097498,1.350753
184,129.55018641,0.9307224
185,113.35780298,0.4669079
186,116.76830992,1.191182
187,134.70845571,2.95799
188,128.62724324,5.390789
189,117.35055456,6.048726
190,136.8819806,2.380003
191,140.77142028,1.646983
192,114.46836575,1.841515
193,127.18056696,4.0074
194,128.97235853,4.376055
195,119.62924915,1.533131
196,143.29574207,0.9326891
197,106.71918387,3.039792
198,123.86833095,1.787847
199,113.65294767,2.027792
200,130.98628367,3.661853
201,113.34221037,0.9306932
202,143.67924268,2.746298
203,128.02443744,2.033256
204,128.72733716,1.08343
205,114.58738727,2.661402
206,127.15098608,1.738973
207,150.15100812,3.175653
208,120.64845182,1.843609
209,132.43852932,1.479475
210,122.22432443,2.29795
211,124.73374145,1.398354
212,113.20251758,1.863923
213,124.20732475,2.104206
214,119.64004041,3.654965
215,132.98049619,2.958544
216,126.06640207,2.377121
217,149.24069234,1.704175
218,126.467412,3.380904
219,134.177917,2.377997
220,129.6591542,2.39923
221,123.826618,3.245693
222,140.90156612,5.735619
223,140.57377217,2.301082
224,133.93921885,2.400875
225,111.07614475,1.729178
226,123.21316723,7.815071
227,120.41098845,2.694503
228,123.36751735,3.727916
229,144.15260715,1.008996
230,122.72630114,0.9307155
231,115.06666832,0.3369805
232,115.89787665,2.734347
233,109.6166954,1.013729
234,121.32237161,3.112962
235,115.73277872,1.737846
236,138.22447794,4.297622
237,113.30756741,0.7405516
238,131.13770278,3.677027
239,120.83520524,0.7706051
240,116.82597045,2.695441
241,104.84947227,2.024736
242,117.93693684,1.72456
243,117.94927142,1.78896
244,138.36403593,3.111605
245,119.5336419,1.952323
246,124.19262636,1.786528
247,130.30485143,4.871974
248,119.10828127,1.37563
249,116.87252838,2.364427
250,133.23290397,1.738207
251,123.58286194,3.56873
252,125.9871514,1.191179
253,127.68065122,2.377924
254,126.11018606,1.190357
255,143.66310858,1.375196
256,119.56078854,0.4872558
257,119.70547178,2.071675
258,136.23564073,3.079132
259,111.17322514,2.06702
260,138.3942459,8.228398
261,134.32650262,2.835722
262,133.30585482,2.025755
263,122.43270854,3.440696
264,122.97069952,4.075031
265,121.82255275,1.40341
266,119.09511195,1.478507
267,115.45841708,2.834824
268,135.29813329,9.265098
269,127.16948148,1.374265
270,118.09838665,0.00217835
271,127.51637538,1.402708
272,125.65421775,3.398037
273,131.80057963,1.925018
274,144.79877677,1.733765
275,135.83884503,4.516623
276,141.02051474,1.013983
277,118.03218164,1.46189
278,119.07572205,0.7416711
279,132.95039168,2.732572
280,134.07723936,3.256701
281,115.18739445,1.733961
282,109.58833242,0.7682642
283,141.37866156,0.4857248
284,110.88544226,0.3384373
285,144.26674556,1.081659
286,129.7596728,2.067721
287,113.19411801,2.523133
288,138.64407514,1.786277
289,135.8385551,1.847291
290,133.82300656,1.351748
291,122.59707666,2.377367
292,127.99837146,0.6720564
293,130.39487603,1.726753
294,130.1065066,2.373373
295,108.90641573,2.424616
296,140.51493501,2.306429
297,144.355535,2.002474
298,124.86976033,2.733249
299,117.00154443,1.396386
300,106.9154667,3.07205
301,140.66037579,1.010654
302,105.71097896,1.011878
303,134.95348205,2.304618
304,121.93425887,3.258503
305,140.61305986,0.9307164
306,110.52680376,1.084999
307,111.08423549,1.735982
308,139.69286069,4.127369
309,114.53797346,1.050024
310,126.49411217,0.9796422
311,114.82616227,1.348209
312,118.28610266,0.7385129
313,120.94441656,7.068061
314,137.48295904,0.7674474
315,117.04310452,2.436478
316,134.19850113,0.769355
317,116.99816833,1.247528
318,132.22203623,1.735478
319,129.78413195,1.011441
320,126.10945055,2.751153
321,110.95049988,1.480265
322,113.89470857,0.3384614
323,128.03777336,1.237781
324,107.37016242,1.082923
325,117.72904054,2.005723
326,117.49826724,1.785576
327,124.18437775,1.346654
328,114.58988202,0.7401409
329,138.85767926,1.053567
330,131.30420105,4.537645
331,121.6552993,2.424774
332,130.65263827,1.735137
333,125.05539196,1.719625
334,135.1030233,0.7663739
335,138.39094096,3.563828
336,131.36597358,3.735553
337,126.31692256,3.698318
338,117.69171414,2.033483
339,138.11106256,2.39627
340,136.77785658,2.423237
341,111.15796748,2.426031
342,124.05458288,2.526013
343,116.79553209,0.3368028
344,103.95062537,2.705108
345,120.71860434,2.032979
346,122.533045,1.40659
347,116.22224872,2.210058
348,122.52081812,2.617501
349,127.93869625,0.9744793
350,139.78978837,2.663191
351,124.28465467,2.958868
352,121.5499069,0.7660218
353,119.88904031,2.069345
354,115.13595694,1.925488
355,122.7370683,2.033006
356,110.90074934,1.011315
357,145.135427,1.927028
358,127.37330093,2.102958
359,118.35730185,2.361971
360,132.41500492,4.733903
361,118.4616777,1.40468
362,120.69565793,0.7402459
363,110.20532763,1.409289
364,126.49419774,5.383009
365,144.96705172,1.646962
366,132.74763419,1.648792
367,122.74342134,2.958338
368,113.83067115,5.681869
369,112.45243799,2.379951
370,112.29199684,5.435559
371,114.65754653,2.210642
372,112.62741595,1.011487
373,134.36782016,2.523719
374,130.36607916,1.71931
375,114.66207835,0.7400489
376,127.52164369,2.210082
377,120.00368544,0.3368358
378,108.60702107,1.35246
379,111.11697001,1.398275
380,127.8845268,2.921604
381,121.04805325,2.10408
382,141.52402489,1.07761
383,111.92603922,1.245821
384,126.73989983,3.565583
385,112.8769842,0.3397509
386,110.34786313,3.497422
387,142.31730564,3.294383
388,112.87422533,1.085336
389,118.33248474,1.052133
390,135.09072372,1.734055
391,123.87224528,2.835308
392,115.49555092,1.349063
393,132.51842653,0.7403771
394,131.76675592,2.958974
395,136.55321803,0.9327139
396,121.37093839,0.7707797
397,127.075931,3.888178
398,113.43640498,1.46407
399,117.22870993,2.836515
400,120.79719908,0.9307856
401,141.69705123,0.7398968
402,114.34583782,1.703736
403,123.71998337,3.688974
404,105.59792804,0.930805
405,128.34679361,0.7646196
406,140.40309969,2.328822
407,135.68100162,3.259636
408,119.72302145,2.39501
409,122.21353359,4.066365
410,130.38709379,2.695719
411,123.79730941,4.962747
412,137.57299496,0.6718021
413,116.57565911,4.005116
414,125.12156677,1.844079
415,127.18978043,2.696162
416,112.24977369,1.189331
417,118.15851181,4.01917
418,123.67548494,1.705359
419,143.56070975,2.203841
420,115.30410862,0.7719409
421,133.69557333,0.6721032
422,116.09127964,3.696888
423,118.87641614,1.847267
424,135.02835606,4.204185
425,132.07216868,3.738023
426,117.34393187,1.009628
427,116.0101847,1.735958
428,127.35266849,3.399178
429,144.49427658,3.075956
430,126.22640357,0.980694
431,125.42406071,2.110958
432,141.8401965,3.407038
433,109.24262576,3.473076
434,122.70013961,1.051347
435,114.45921195,2.77777
436,117.05482437,1.705479
437,117.47007412,1.648954
438,133.05504586,2.522475
439,136.87262224,0.4897343
440,121.97179143,2.009631
441,116.57259441,1.851437
442,114.45371423,1.009513
443,128.90005554,3.411738
444,125.44740021,1.377261
445,111.68241665,1.243781
446,130.6470688,0.7417856
447,120.95976325,0.7672886
448,139.49367198,1.649584
449,123.13105138,1.703083
450,137.07165513,1.788335
451,134.4619294,0.7691151
452,114.96470168,0.4649701
453,129.20538082,2.218274
454,137.0997677,1.461556
455,115.53142769,3.0341
456,109.13152979,2.371803
457,128.17012134,3.293346
458,110.95482664,1.053958
459,115.26069521,1.24183
460,116.34123476,2.958432
461,127.9138249,1.704368
462,125.25128451,2.522355
463,117.06216477,1.011122
464,114.99533304,1.538034
465,115.30234067,0.9326891
466,124.49037328,5.850387
467,122.56696184,2.695125
468,112.04920974,2.619308
469,138.94707828,0.9307534
470,111.34367891,1.647168
471,124.70903144,1.398474
472,126.93197527,1.01018
473,120.82144226,1.051918
474,124.5180548,3.243072
475,120.85592181,5.809695
476,127.38863408,1.377357
477,115.99429259,2.92091
478,118.20626206,1.3964
479,141.1315962,1.053177
480,129.91181013,3.890855
481,116.73319337,1.244646
482,119.5206279,2.067324
483,145.22544344,0.9731583
484,123.58105826,1.051618
485,118.64567354,3.037347
486,114.36266476,1.243531
487,126.15894931,0.9307184
488,143.35057443,2.166286
489,138.42563492,2.75082
490,132.27753011,2.482049
491,124.41517934,2.012994
492,125.85317063,1.34766
493,110.71189406,1.012496
494,128.10433887,1.243945
495,128.47665459,0.00225236
496,114.47115003,5.835126
497,119.65974041,1.189411
498,125.04711126,2.73009
499,139.48126326,2.328842
500,113.8478208,4.070179
501,132.92548586,3.075594
502,138.03591892,2.065151
503,118.13754716,2.165064
504,140.66544197,2.327182
505,115.45624082,1.013682
506,142.57947311,4.129269
507,109.17786249,1.538133
508,142.40476729,1.537967
509,132.50845501,1.844382
510,115.77491878,2.443717
511,112.65284779,0.4649895
512,121.92066782,0.7417905
513,136.71786301,1.722503
514,132.09176446,3.667466
515,116.65448191,2.423358
516,114.63169078,1.787235
517,128.43393564,1.351188
518,137.82360103,1.051393
519,140.80957953,4.730069
520,109.96625449,1.396449
521,117.95467864,2.83451
522,115.52368635,0.7680473
523,135.86727528,1.376808
524,134.8980937,2.402083
525,130.92571115,0.4871327
526,115.86376008,4.212433
527,112.56283069,1.052127
528,118.64341196,1.459181
529,119.56887528,1.480205
530,129.91524406,2.005355
531,129.75024433,3.065437
532,108.02244065,1.082072
533,135.62772063,2.15732
534,144.68460151,3.663633
535,139.2665183,2.573302
536,129.69755443,2.523877
537,136.05441406,4.065784
538,126.87747791,1.39645
539,136.97486734,0.3377496
540,139.6617063,0.9770201
541,111.12371016,1.377344
542,126.32210917,2.220146
543,113.01564481,2.164183
544,116.34783009,4.119934
545,132.13148335,2.525183
546,139.6121331,2.480922
547,117.89363485,2.203366
548,140.29031754,1.378412
549,108.24034015,0.7417913
550,122.91256892,3.84759
551,130.19891558,2.023138
552,127.37995871,1.861889
553,137.35195485,3.744739
