,aster30_wgs84_Pantanal,aster30_slope_Pantanal
269,131.16948148,3.540862
270,123.09838665,2.664651
271,127.51637538,2.702463
272,129.65421775,0.975726
273,131.80057963,2.298743
274,136.79877677,4.368521
275,135.83884503,1.010092
276,146.02051474,5.783588
277,122.03218164,1.014015
278,114.07572205,3.752745
279,129.95039168,4.211101
280,120.07723936,2.329188
281,114.18739445,1.722955
282,103.58833242,4.158028
283,151.37866156,9.711213
284,114.88544226,1.8495
285,145.26674556,1.542135
286,126.7596728,3.258711
287,113.19411801,2.689003
288,135.64407514,4.132182
289,127.8385551,3.883432
290,138.82300656,4.220163
291,121.59707666,4.075033
292,130.99837146,5.593666
293,129.39487603,3.847793
294,129.1065066,2.753475
295,107.90641573,1.011745
296,134.51493501,2.101037
297,140.355535,0.4649044
298,124.86976033,0.7664211
299,115.00154443,10.21397
300,109.9154667,3.186505
301,129.66037579,4.06701
302,108.71097896,4.223104
303,129.95348205,2.037397
304,120.93425887,4.540346
305,142.61305986,3.029915
306,108.52680376,1.647686
307,119.08423549,1.013999
308,142.69286069,3.078031
309,108.53797346,0.3353604
310,128.49411217,3.670781
311,113.82616227,1.396383
312,118.28610266,1.786623
313,121.94441656,3.070897
314,133.48295904,6.390498
315,123.04310452,5.027781
316,128.19850113,2.923216
317,114.99816833,4.649209
318,140.22203623,0.6730227
319,127.78413195,7.042495
320,123.10945055,4.618367
321,110.95049988,1.703947
322,110.89470857,0.4872052
323,131.03777336,2.917094
324,112.37016242,3.710877
325,117.72904054,1.647548
326,113.49826724,1.084827
327,119.18437775,3.370617
328,113.58988202,2.371206
329,133.85767926,3.704769
330,134.30420105,5.075508
331,115.6552993,7.234245
332,119.65263827,3.442955
333,128.05539196,0.3392852
334,132.1030233,5.809768
335,127.39094096,3.847123
336,131.36597358,6.453417
337,123.31692256,0.7721993
338,118.69171414,1.013876
339,143.11106256,4.760176
340,135.77785658,6.874365
341,114.15796748,1.647189
342,117.05458288,4.541822
343,115.79553209,3.997907
344,106.95062537,2.524974
345,120.71860434,2.806523
346,121.533045,6.721103
347,114.22224872,3.672476
348,119.52081812,4.041718
349,121.93869625,1.051959
350,132.78978837,2.10419
351,128.28465467,10.82329
352,125.5499069,3.237567
353,114.88904031,2.102979
354,117.13595694,3.844516
355,117.7370683,5.060222
356,112.90074934,3.150639
357,144.135427,7.21905
358,127.37330093,4.640477
359,117.35730185,0.7703454
360,136.41500492,7.73545
361,121.4616777,0.9307246
362,124.69565793,1.648847
363,113.20532763,2.934101
364,122.49419774,2.749546
365,146.96705172,6.498048
366,127.74763419,0.7418858
367,120.74342134,1.083106
368,109.83067115,8.001672
369,107.45243799,3.399161
370,114.29199684,8.546929
371,116.65754653,2.110301
372,114.62741595,1.787029
373,139.36782016,6.268209
374,128.36607916,5.759761
375,119.66207835,4.714275
376,126.52164369,0.3395086
377,117.00368544,2.932445
378,106.60702107,1.465132
379,111.11697001,3.691002
380,130.8845268,2.161985
381,120.04805325,9.035553
382,140.52402489,7.500941
383,106.92603922,1.010826
384,121.73989983,2.487322
385,113.8769842,3.69242
386,117.34786313,9.878405
387,142.31730564,7.661873
388,108.87422533,4.310582
389,123.33248474,9.107151
390,125.09072372,7.732774
391,114.87224528,14.2163
392,115.49555092,7.804799
393,136.51842653,2.833857
394,135.76675592,2.425364
395,144.55321803,2.001737
396,117.37093839,9.388824
397,127.075931,2.836462
398,113.43640498,0.7416788
399,117.22870993,5.04765
400,121.79719908,5.658091
401,133.69705123,1.720405
402,115.34583782,2.573081
403,121.71998337,7.238509
404,110.59792804,1.956379
405,136.34679361,4.769927
406,129.40309969,12.73776
407,143.68100162,3.405134
408,123.72302145,2.10888
409,121.21353359,3.880894
410,127.38709379,1.011073
411,122.79730941,3.541816
412,136.57299496,1.406035
413,111.57565911,5.722161
414,123.12156677,9.462611
415,118.18978043,7.825662
416,105.24977369,7.17251
417,120.15851181,1.189242
418,129.67548494,3.294426
419,140.56070975,5.72204
420,111.30410862,1.188618
421,137.69557333,2.002198
422,121.09127964,1.480617
423,114.87641614,3.564371
424,129.02835606,3.714281
425,126.07216868,4.306426
426,120.34393187,5.156872
427,115.0101847,4.522188
428,135.35266849,4.044579
429,143.49427658,13.94708
430,116.22640357,7.298031
431,125.42406071,5.036567
432,137.8401965,1.398249
433,109.24262576,3.570536
434,120.70013961,2.685091
435,106.45921195,2.489031
436,116.05482437,3.143201
437,111.47007412,4.70857
438,128.05504586,3.113865
439,133.87262224,2.771737
440,122.97179143,3.405557
441,118.57259441,7.807927
442,118.45371423,2.925074
443,131.90005554,3.794723
444,127.44740021,6.971771
445,114.68241665,5.449809
446,130.6470688,2.108477
447,122.95976325,4.645999
448,136.49367198,3.369406
449,117.13105138,0.7405253
450,131.07165513,4.424951
451,128.4619294,4.93329
452,115.96470168,2.364782
453,134.20538082,1.084316
454,143.0997677,6.384989
455,107.53142769,3.410903
456,99.13152979,1.730726
457,129.17012134,3.569742
458,107.95482664,6.388655
459,120.26069521,1.536139
460,121.34123476,1.924027
461,127.9138249,4.121355
462,124.25128451,1.84616
463,109.06216477,4.077742
464,113.99533304,8.511089
465,116.30234067,3.925658
466,124.49037328,7.381145
467,126.56696184,3.921259
468,116.04920974,5.053272
469,142.94707828,9.264688
470,112.34367891,3.400237
471,121.70903144,1.683772
472,128.93197527,1.348391
473,121.82144226,5.077095
474,129.5180548,1.396376
475,122.85592181,2.835902
476,128.38863408,2.368233
477,121.99429259,4.40316
478,117.20626206,2.30385
479,135.1315962,5.809927
480,125.91181013,6.046964
481,115.73319337,0.3367932
482,122.5206279,1.649009
483,139.22544344,9.038826
484,119.58105826,3.261245
485,111.64567354,2.776114
486,120.36266476,5.843474
487,127.15894931,6.337945
488,151.35057443,8.277219
489,140.42563492,3.18427
490,135.27753011,4.482924
491,119.41517934,4.38203
492,123.85317063,2.526002
493,115.71189406,2.838529
494,126.10433887,2.327149
495,128.47665459,3.544418
496,114.47115003,4.645044
497,124.65974041,4.37908
498,128.04711126,3.497441
499,135.48126326,4.447519
500,116.8478208,4.886854
501,131.92548586,2.923703
502,130.03591892,1.73247
503,121.13754716,4.776119
504,137.66544197,1.377011
505,117.45624082,6.199289
506,142.57947311,3.798424
507,113.17786249,3.041809
508,139.40476729,2.614568
509,127.50845501,4.01999
510,113.77491878,3.6693
511,106.65284779,4.307859
512,120.92066782,2.377386
513,131.71786301,4.301503
514,126.09176446,4.040902
515,115.65448191,2.932016
516,116.63169078,4.407962
517,130.43393564,2.035976
518,127.82360103,8.382273
519,148.80957953,1.786901
520,111.96625449,5.134936
521,114.95467864,3.703168
522,119.52368635,3.675152
523,134.86727528,5.277672
524,142.8980937,9.090886
525,126.92571115,2.57321
526,120.86376008,2.91749
527,106.56283069,5.127079
528,119.64341196,6.662434
529,123.56887528,3.373093
530,131.91524406,7.331434
531,129.75024433,2.365775
532,99.02244065,2.571124
533,133.62772063,2.768285
534,144.68460151,4.638334
535,135.2665183,3.722648
536,127.69755443,0.7698259
537,143.05441406,6.307509
538,123.87747791,1.05262
539,139.97486734,3.292514
540,129.6617063,1.078161
541,112.12371016,4.040801
542,130.32210917,2.109036
543,107.01564481,1.188528
544,120.34783009,2.833232
545,129.13148335,2.805103
546,140.6121331,2.525378
547,117.89363485,1.683395
548,129.29031754,1.542682
549,108.24034015,3.570436
550,116.91256892,3.664776
551,125.19891558,5.192277
552,123.37995871,0.3365977
553,130.35195485,10.35145
554,106.35295258,6.200307
555,135.07542057,1.053233
556,121.82808439,2.219926
557,129.99565693,8.449533
558,126.12631402,0.9326189
559,125.09532264,4.132586
560,128.72982052,6.831165
561,143.15331222,1.786355
562,121.60547459,2.364455
563,112.67834568,3.260924
564,117.20945023,4.212443
565,128.58310035,2.805376
566,124.34204423,0.335188
567,134.82309198,2.972791
568,130.62187555,1.011478
569,124.18798662,6.904764
570,112.94575749,0.6767361
571,135.51469306,5.812744
572,139.71389964,4.890974
573,136.76832626,1.478261
574,118.24211948,7.719452
575,107.59521854,2.490306
576,131.2107413,4.212419
577,133.2921038,1.011024
578,110.39159265,2.926867
579,126.46517579,2.201431
580,107.70924347,3.040014
581,114.02467336,5.769907
582,117.88421517,1.731798
583,123.95344808,1.407311
584,118.03499878,2.361831
585,124.39979724,1.051837
586,109.25198992,3.669227
587,117.98678337,1.731287
588,124.50854801,1.847314
589,139.7816513,4.038171
590,109.00056978,4.216424
591,105.19322009,0.3394979
592,117.4438808,5.830466
593,124.1097232,2.767995
594,113.72555242,3.037935
595,124.97873593,1.189241
596,112.9777676,5.360664
597,114.88871893,8.273504
598,118.4805865,0.7698652
599,115.43000089,2.439894
600,115.39372463,7.227188
601,134.29875166,7.361584
602,139.32385109,2.806579
603,120.04961663,2.792111
604,126.16398937,2.422085
605,116.03143725,2.108458
606,133.1140944,2.57106
607,129.72161719,3.406687
608,122.26327575,3.847441
609,114.21859831,4.710607
610,112.71335852,4.305762
611,149.04614477,2.808588
612,119.0185817,6.245535
613,131.27397969,2.156948
614,131.68969987,2.927951
615,112.97149517,0.9327259
616,114.64434262,2.379994
617,137.86706084,7.102518
618,121.17771734,0.3356342
619,133.23915835,3.156176
620,113.19427613,4.295753
621,127.41576058,0.7672793
622,112.77155186,5.368484
623,134.91358433,5.028918
624,118.94499254,3.074052
625,114.8337965,1.241975
626,113.69380239,3.534922
627,115.28936443,5.36847
628,113.81452362,3.738817
629,131.54004546,2.747629
630,111.09003554,1.951709
631,136.01977245,3.998607
632,114.05502853,2.438639
633,118.76618121,4.137488
634,124.10334791,1.687554
635,138.29104557,6.046536
636,116.31544243,3.887141
637,122.0618205,2.662527
638,126.8498186,8.735447
639,121.46750769,5.066565
640,115.02027472,3.260164
641,122.75665674,1.537262
642,123.24427523,2.359521
643,114.12757903,2.379236
644,136.87664725,2.480577
645,115.90326203,3.831439
646,134.58662391,8.063852
647,134.78983318,4.718067
648,119.65449823,3.111632
649,120.78390656,4.884995
650,115.86497228,2.061234
651,119.66286162,2.479336
652,129.51287308,7.064229
653,114.4447008,4.932844
654,138.75118487,8.256692
655,120.78898989,4.615363
656,115.02505687,3.370491
657,114.84525678,2.60593
658,135.57264393,4.186352
659,134.36031891,3.292688
660,135.8499439,4.422962
661,108.07382967,4.716236
662,106.94617398,2.491847
663,128.832171,6.782992
664,118.37902147,0.9782009
665,113.89291952,8.426647
666,115.05751851,2.833757
667,122.33489653,4.397888
668,135.73556341,0.7403404
669,125.35700131,1.373257
670,131.51061954,3.707867
671,126.05345245,5.135144
672,131.70076346,2.369845
673,143.43663924,3.716557
674,131.25258506,2.734614
675,122.10825711,2.021561
676,124.08938256,3.570299
677,120.79033062,4.37842
678,118.03140506,3.540623
679,137.30447091,11.32158
680,121.00812334,2.490332
681,112.69964137,3.258447
682,121.61290887,1.377281
683,124.83742824,2.479468
684,115.92246473,2.792107
685,121.74052364,6.708954
686,119.26107846,4.443677
687,115.48711802,12.00089
688,118.16831855,5.081541
689,138.61486374,3.533348
690,134.58049389,2.004899
691,137.23125051,5.429138
692,143.16621365,6.586509
693,131.88230069,5.428349
694,126.25678378,3.292648
695,127.641024,2.160622
696,121.11231515,1.245552
697,136.31318906,5.844593
698,121.42727352,8.450576
699,137.73375441,1.081963
700,135.54823027,6.371879
701,135.66854076,0.3352719
702,112.44079981,1.351162
703,127.94427185,4.858792
704,124.10385413,8.160219
705,140.13049903,9.701252
706,132.03595001,1.649505
707,115.29960552,1.351487
708,125.35636606,3.036123
709,123.61521675,3.72577
710,118.97081311,2.523379
711,130.02935662,2.37044
712,124.17779147,8.521865
713,125.07699808,0.4649155
