,X,Y,srtm30_wgs84-tdx12_abs,srtm30_wgs84-tdx12_color
0,-48.74087693,-24.78546514,11.39759974,255:50:50
1,-48.32313627,-24.00129988,4.73168663,255:170:170
2,-48.01007276,-24.49315617,1.55285324,255:228:228
3,-48.27941309,-24.58257924,0.9402507,238:238:255
4,-48.37521394,-24.67229669,1.5035714,255:228:228
5,-48.71115983,-24.47100634,1.77057197,255:224:224
6,-48.96403197,-24.00058147,14.01502821,255:3:3
7,-48.67726494,-24.1490435,12.21206536,255:36:36
8,-48.84179757,-24.56598962,14.50458055,255:0:0
9,-48.62606468,-24.86826679,5.64141221,255:154:154
10,-48.21396511,-24.39688933,7.46052911,120:120:255
11,-48.52260455,-24.43836379,8.71438131,255:99:99
12,-48.54288525,-24.50359599,3.69127559,255:189:189
13,-48.22723109,-24.26854332,4.40372387,175:175:255
14,-48.24438428,-24.40455765,4.86743323,255:168:168
15,-48.41835928,-24.29841492,16.59627025,255:0:0
16,-48.14581055,-24.39149902,10.45404101,66:66:255
17,-48.66069461,-24.98604123,13.60330572,255:11:11
18,-48.18745508,-24.60768489,4.87353656,255:168:168
19,-48.21877489,-24.76603854,3.96697845,183:183:255
20,-48.18317038,-24.19662496,4.97012534,165:165:255
21,-48.18473224,-24.14408934,2.75004023,255:206:206
22,-48.37863458,-24.98014743,8.53595696,255:102:102
23,-48.55446968,-24.71944055,1.864604,221:221:255
24,-48.07956421,-24.76489205,3.13398027,255:199:199
25,-48.55209842,-24.94059679,22.89352982,255:0:0
26,-48.25215916,-24.47338353,1.12530411,234:234:255
27,-48.54644464,-24.76072567,5.70345275,255:153:153
28,-48.8318844,-24.00776555,4.90707895,166:166:255
29,-48.73354048,-24.32034236,0.96043311,237:237:255
30,-48.24666655,-24.96649166,5.35009078,158:158:255
31,-48.54584023,-24.31356216,5.74557755,255:152:152
32,-48.8362279,-24.9167168,5.35239965,158:158:255
33,-48.12066354,-24.38814766,1.9673984,255:220:220
34,-48.97404907,-24.30976376,5.93615978,148:148:255
35,-48.96371262,-24.99458993,5.85935421,149:149:255
36,-48.1576194,-24.63979474,4.81149314,255:169:169
37,-48.54290418,-24.37383413,13.25851325,255:17:17
