,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
263,199.7715,2.024668
264,497.6278,16.43955
265,690.7102,21.77512
266,480.7746,24.13463
267,16.67464,3.010017
268,730.1203,6.262875
269,5.300336,0.4882894
270,5.923554,0.12957
271,6.450313,3.935033
272,42.64434,0.9590305
273,313.8847,8.618627
274,131.2368,9.114915
275,645.2776,23.57319
276,19.42836,2.980737
277,224.6786,19.359
278,406.9916,12.61089
279,755.3737,20.18029
280,25.10039,24.04409
281,7.46031,2.067157
282,5.343708,0.3062191
283,104.0081,22.95964
284,482.5571,19.94144
285,17.39515,5.574121
286,247.5453,14.23151
287,151.5814,22.64241
288,150.533,9.618872
289,251.9773,25.40449
290,3.491841,0.2875263
291,27.76712,22.88534
292,207.4648,12.34534
293,769.506,22.75463
294,828.0379,28.84975
295,407.0856,22.37428
296,237.0456,26.31345
297,698.8009,13.00982
298,608.1752,26.54509
299,5.721724,0.8936297
300,6.31029,0.9642062
301,2.683606,NaN
302,3.964165,1.027837
303,35.8863,13.26567
304,614.064,27.26539
305,408.2008,16.68783
306,5.125332,1.793749
307,83.04401,37.57998
308,439.9824,6.512403
309,561.606,30.90148
310,513.2532,8.529503
311,5.078814,0.9229154
312,218.9856,11.02426
313,47.49906,27.0355
314,324.8352,7.2796
315,276.7674,18.67452
316,7.614371,5.321967
317,227.712,23.02159
318,302.5853,1.900436
319,458.659,16.83916
320,889.4602,27.51474
321,253.7764,14.59464
322,133.8444,22.27272
323,255.9368,20.66969
324,419.4774,29.65814
325,317.0958,18.07471
326,983.0747,14.06425
327,706.0997,32.37822
328,4.283662,0.2242082
329,70.48699,19.11787
330,142.8933,27.05338
331,370.2037,23.60017
332,151.3211,19.1174
333,513.1399,20.70703
334,174.9204,27.68503
335,204.322,24.58543
336,45.94875,3.211081
337,4.539994,0.9086056
338,163.0194,20.72853
339,851.7437,20.22068
340,382.6252,18.57767
341,132.1541,17.03232
342,378.3327,24.97874
343,28.48362,1.63147
344,60.20627,16.27578
345,281.6928,20.98921
346,735.2558,19.06815
347,445.4686,3.005581
348,6.091266,1.835163
349,9.407787,1.652362
350,49.03924,12.8542
351,591.5534,9.848099
352,183.5757,21.75122
353,432.7975,17.20347
354,731.2137,13.71666
355,594.5983,10.40766
356,37.0144,17.98553
357,322.8233,11.88858
358,244.7162,25.10543
359,101.4545,0.9542484
360,96.30847,18.67217
361,386.3981,31.18696
362,129.0757,14.35851
363,3.037134,3.100408
364,199.145,28.04481
365,293.3073,9.669334
366,169.7422,10.28883
367,168.0513,12.55125
368,119.4682,11.08608
369,331.9882,30.08092
370,892.7072,2.147684
371,22.75169,13.8638
372,320.9954,17.18562
373,19.85794,3.910588
374,62.13021,15.19425
375,892.9155,34.75671
376,234.6658,27.50377
377,186.0021,16.83918
378,400.3013,21.41903
379,9.847111,0.4106064
380,17.99465,5.37324
381,345.8372,24.80421
382,795.0007,13.59989
383,43.38153,3.687361
384,54.89177,6.365364
385,207.1802,14.08437
386,45.67767,19.7773
387,20.43244,1.657769
388,68.53719,17.66299
389,47.18697,8.27669
390,370.7918,19.5557
391,29.05543,3.80748
392,266.7367,24.81876
393,286.2737,20.46048
394,3.656671,NaN
395,49.37184,31.77101
396,9.512147,0.1020286
397,2.471895,NaN
398,501.8884,31.2068
399,127.949,3.378856
400,348.3298,18.6861
401,169.9405,7.830353
402,67.86053,30.32138
403,1032.275,2.21973
404,27.08986,4.845333
405,16.98147,6.242632
406,3.570673,0.2060513
407,102.9896,7.07892
408,523.3438,16.03503
409,131.6239,23.63331
410,473.8833,16.08795
411,37.22136,3.097615
412,27.46222,16.47794
413,NaN,NaN
414,286.6728,14.38221
415,433.7019,18.8816
416,1072.232,5.20233
417,7.419532,0.208759
418,4.683721,1.421049
419,9.193986,1.032611
420,926.4103,12.34707
421,2.533988,1.643124
422,32.81604,22.46135
423,49.38051,28.57708
424,228.4574,4.404284
425,821.9765,18.52026
426,298.6221,29.60347
427,462.2514,22.20677
428,42.14773,7.013628
429,97.2855,28.65973
430,702.275,20.26244
431,239.0517,16.25497
432,295.3625,12.07191
433,10.90878,1.167394
434,101.3088,16.06635
435,190.1814,22.22079
436,290.2776,14.11798
437,701.2392,20.93182
438,880.1533,13.44553
439,142.9394,28.23517
440,485.8101,11.2112
441,58.5639,9.095102
442,22.44917,1.551081
443,484.5561,24.88272
444,311.1817,16.99386
445,170.7167,16.94281
446,843.236,15.55658
447,76.3778,7.012981
448,308.5092,29.76434
449,239.2905,16.33064
450,252.001,30.04789
451,6.501567,3.848656
452,251.347,7.590059
453,1.600698,0.3190043
454,417.9738,17.79774
455,103.7151,24.21568
456,69.79073,20.94943
457,130.0131,10.09853
458,254.6409,2.747505
459,385.5778,19.11982
460,123.3971,19.90266
461,28.01131,14.77102
462,511.1955,20.52048
463,33.71989,3.014839
464,600.7736,13.46103
465,591.0439,22.96419
466,374.7159,25.82973
467,766.7507,12.63326
468,571.452,31.19268
469,246.3203,31.90107
470,287.213,26.52076
471,739.2426,29.16604
472,366.4957,26.4962
473,1024.919,35.27224
474,4.743581,4.151712
475,180.8118,20.59355
476,0.6086853,0.0503165
477,6.352595,3.912372
478,209.5411,21.85068
479,57.7398,9.7962
480,482.7261,11.15709
481,185.1547,7.812979
482,442.563,25.44382
483,391.9446,25.84253
484,3.224704,0.7773081
485,36.0326,7.944261
486,350.2292,21.63965
487,295.2713,11.43934
488,197.4888,7.22532
489,5.887635,0.7393726
490,229.6993,14.72686
491,14.6007,4.978342
492,847.6313,14.91004
493,16.00993,3.005255
494,841.1924,16.18246
495,258.6681,6.716198
496,715.0891,4.685298
497,131.335,24.16523
498,392.0797,5.360815
499,318.917,30.49164
500,21.15492,2.424649
501,385.2518,14.55141
502,120.7089,34.30557
503,288.0057,19.89466
504,128.7083,21.07824
505,223.1614,15.63294
506,326.9812,13.49361
507,89.61909,25.24282
508,431.7898,14.04872
