,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
115,-62.8715908,-0.74122702,-9999,255:255:255
116,-62.71896242,-0.2592467,3.99978073,255:52:52
117,-62.85993492,-0.1427604,1.00067345,255:204:204
118,-62.25673422,-0.73250207,4.00019907,50:50:255
119,-62.36725039,-0.10194038,-9999,255:255:255
120,-62.76606898,-0.98035193,7.99931675,0:0:255
121,-62.07574829,-0.9800188,2.0,153:153:255
122,-62.0260924,-0.15751623,0.000215279999999,254:254:255
123,-62.13764638,-0.5977401,-9999,255:255:255
124,-62.13994388,-0.92147958,5.0,0:0:255
125,-62.93005968,-0.69490031,0.000681379999996,255:255:255
126,-62.88281919,-0.23305457,1.00067494,255:204:204
127,-62.2958822,-0.27462369,2.00021341,152:152:255
128,-62.32009163,-0.87178288,3.0,102:102:255
129,-62.93070657,-0.32234939,0.000455610000003,255:255:255
130,-62.52567198,-0.98014568,-9999,255:255:255
131,-62.67043509,-0.71970673,-9999,255:255:255
132,-62.00400112,-0.5279752,2.0,153:153:255
133,-62.70182908,-0.52521124,-9999,255:255:255
134,-62.96374071,-0.02829577,1.9995675,153:153:255
135,-62.8987083,-0.37754876,1.9995394,153:153:255
136,-62.88988545,-0.82200253,3.99931736,51:51:255
137,-62.91042312,-0.5550859,0.99952814,204:204:255
138,-62.30340252,-0.82779484,1.00019586,203:203:255
139,-62.41419499,-0.41463875,-9999,255:255:255
140,-62.58240295,-0.66233425,-9999,255:255:255
141,-62.24416165,-0.35283992,0.99952418,204:204:255
142,-62.5660414,-0.48192384,1.00068364,255:204:204
143,-62.9914217,-0.95634344,5.00068247,255:0:0
144,-62.35409934,-0.66684943,2.00068581,255:153:153
145,-62.63066269,-0.27890958,0.99953656,204:204:255
146,-62.83069139,-0.75917783,-9999,255:255:255
147,-62.64193283,-0.44360618,2.00068236,255:153:153
148,-62.74008125,-0.72481385,-9999,255:255:255
149,-62.27379301,-0.99482066,8.0,0:0:255
150,-62.60268415,-0.11493405,1.00045479,255:204:204
151,-62.93326778,-0.19232828,3.99955375,51:51:255
152,-62.45278889,-0.73868363,-9999,255:255:255
153,-62.29582656,-0.78503181,1.99951189,153:153:255
154,-62.43919225,-0.17024568,-9999,255:255:255
155,-62.16183378,-0.04428419,0.99978035,255:205:205
156,-62.32787555,-0.09214628,-9999,255:255:255
157,-62.30067836,-0.70895775,0.9998005,255:205:205
158,-62.36389051,-0.06165517,-9999,255:255:255
159,-62.8523297,-0.09785955,0.99955685,204:204:255
160,-62.01069508,-0.27575483,6.00021212,0:0:255
161,-62.79523364,-0.64415262,-9999,255:255:255
