,Araca_tdx12,Araca_tdx30,Araca_aster30,Araca_aw3d30,Barcelos_tdx12,Barcelos_tdx30,Barcelos_aster30,Barcelos_aw3d30,Pantanal_tdx12,Pantanal_tdx30,Pantanal_aster30,Pantanal_aw3d30,Iporanga_tdx12,Iporanga_tdx30,Iporanga_aster30,Iporanga_aw3d30,RioClaro_tdx12,RioClaro_tdx30,RioClaro_aster30,RioClaro_aw3d30,SantaCatarina_tdx12,SantaCatarina_tdx30,SantaCatarina_aster30,SantaCatarina_aw3d30,SerraMar_tdx12,SerraMar_tdx30,SerraMar_aster30,SerraMar_aw3d30
30,-1.50899534,-1.34255534,-10.0,NaN,1.01683296,0.59848296,5.0,3.00068308,-1.39140815,1.53109185,-2.0,1.00110182,-5.35009078,-6.26179078,-6.0,-9.99955463,5.0668986,6.5089986,12.0,-1.00007223,-4.94242057,-0.50732057,7.0,-6.0,1.58651035,3.04881035,-7.0,0.0
31,-0.26793428,-0.12088428,21.0,-1.00060025,3.65758162,2.30732162,-10.0,NaN,1.48519921,2.00319921,4.0,-1.99946064,5.74557755,7.09317755,18.0,-1.99953042,8.13981887,5.41631887,2.0,-5.99952102,17.67647233,5.83247233,0.0,10.0,-2.58506516,-3.63106516,-8.0,-8.0
32,5.06618604,3.45500604,9.0,4.0,3.87582051,3.22717051,-9.0,1.00068316,2.63534457,2.88154457,9.0,0.000921820000002,-5.35239965,2.04780035,0.0,-9.99971032,2.3149529,1.3919529,-5.0,-3.00014021,5.22684233,0.94414233,-2.0,6.0,-4.28160751,-1.93960751,12.0,-14.0
33,2.5528584,1.2434084,-1.0,NaN,1.58055343,1.02881343,-12.0,-3.00020923,5.85904812,6.12164812,4.0,1.0,1.9673984,2.9559484,2.0,-1.0,5.14740199,5.24840199,-2.0,0.0,5.63409219,3.16479219,7.0,4.0,-4.37255424,-5.51755424,-4.0,1.0
34,-1.60849144,-0.38985144,5.0,-4.00017004,-0.88852576,-12.85343576,-1.0,-1.99954701,1.56827117,0.70587117,-2.0,-0.99908616,-5.93615978,-6.48415978,9.0,-0.99986326,3.91059396,4.05639396,3.0,-2.00021132,-3.28554578,-6.09794578,-6.0,-5.0,-1.03567354,4.39402646,2.0,1.0
35,0.47558265,-0.20845735,9.0,0.0,-0.37621743,0.96931257,-5.0,2.00068266,3.00078653,3.60148653,-5.0,-1.99913022,-5.85935421,-3.25535421,2.0,-7.99973342,8.24921507,7.01681507,-6.0,2.99985789,NaN,NaN,NaN,NaN,-10.15379437,1.42720563,5.0,-4.0
36,1.85058746,1.73965746,2.0,-0.000720090000002,0.53144531,-1.02576469,-9.0,-3.00020233,4.04297906,3.84337906,-4.0,2.99951438,4.81149314,4.42286314,-1.0,-2.00032926,6.00317012,6.36027012,14.0,-0.000394440000036,0.98662064,0.73622064,2.0,-1.0,13.53631696,7.45531696,4.0,6.0
37,0.39813614,0.61034614,10.0,-3.00060321,0.04240326,2.68204326,-10.0,NaN,-0.05694783,0.01625217,-5.0,1.00053262,13.25851325,6.03441325,20.0,11.00045909,5.27312967,6.08832967,0.0,-0.99952791,-5.87993695,1.33076305,3.0,-11.0,6.5151032,4.0559032,1.0,9.0
38,0.01934572,-0.41141428,7.0,-1.00068853,-0.19027238,1.99366762,4.0,2.99978995,4.63957902,4.95297902,2.0,3.0,1.39096648,1.40844648,2.0,-2.0,4.79655892,4.48375892,19.0,-1.0,-4.8433026,-0.4725026,7.0,-10.0,5.8887985,-1.2872015,3.0,0.0
39,3.468723,3.184723,17.0,NaN,1.68851522,1.99920522,2.0,NaN,1.44113614,1.37903614,7.0,-4.0,7.41848866,7.57178866,8.0,4.0,5.94374661,6.17224661,7.0,1.0,9.34158964,11.08978964,11.0,0.0,15.0316315,8.3726315,15.0,10.0
