,Araca_tdx12,Araca_tdx30,Araca_aster30,Araca_aw3d30,Barcelos_tdx12,Barcelos_tdx30,Barcelos_aster30,Barcelos_aw3d30,Pantanal_tdx12,Pantanal_tdx30,Pantanal_aster30,Pantanal_aw3d30,Iporanga_tdx12,Iporanga_tdx30,Iporanga_aster30,Iporanga_aw3d30,RioClaro_tdx12,RioClaro_tdx30,RioClaro_aster30,RioClaro_aw3d30,SantaCatarina_tdx12,SantaCatarina_tdx30,SantaCatarina_aster30,SantaCatarina_aw3d30,SerraMar_tdx12,SerraMar_tdx30,SerraMar_aster30,SerraMar_aw3d30
81,-0.18268759,-0.93740759,-4.0,-2.00068955,-2.05927443,-1.77612443,0.0,-2.00021157,-2.16609475,-1.23679475,-10.0,-4.0,-4.33475373,-2.46211373,-3.0,-8.0,2.67139252,4.24249252,1.0,-1.0,5.19928614,3.35268614,-4.0,0.0,-4.44008247,-7.18518247,-1.0,-6.0
82,3.32710061,3.52108061,23.0,NaN,1.44357523,0.13219523,4.0,-1.0,4.86271383,3.50601383,-1.0,-1.0,-0.35854166,0.16755834,-7.0,-3.0,4.74867868,7.12627868,2.0,-3.0,-0.76016176,1.13388824,12.0,-4.0,-15.45564757,-1.28064757,11.0,-5.0
83,4.2847946,4.5452046,12.0,NaN,0.53384688,0.46263688,1.0,0.99980221,-1.269659,-1.106559,-4.0,-1.00047908,-6.33022507,-4.33332507,16.0,-12.00034889,6.19199407,5.54389407,-2.0,-0.000398079999968,3.60092342,3.26727342,-10.0,1.0,-4.47171128,-4.00271128,-3.0,-3.0
84,-4.24081033,-3.11909033,-6.0,-7.00079658,-2.72442001,-2.19231001,-3.0,0.99979451,3.71782047,4.48892047,3.0,-1.00050821,-21.22187355,-9.68517355,2.0,NaN,7.49052913,8.59482913,-3.0,-0.000465350000013,-10.91800392,-6.48110392,4.0,-14.0,11.57287485,-0.15542515,2.0,4.0
85,4.72546917,4.53495917,12.0,0.99927225,1.2714946,-1.1769354,2.0,0.99979751,4.38863153,4.12253153,3.0,-0.000492839999993,-2.13731764,2.47918236,-3.0,-4.00034985,4.39105121,4.64245121,11.0,1.99959275,3.77834646,4.55005606,-3.0,NaN,6.81271206,1.52671206,-1.0,2.0
86,1.3627413,1.6876313,3.0,-2.0,-1.43970343,-0.59268343,1.0,0.000674219999993,0.78842228,1.17492228,-5.0,-2.99854011,-6.4212009,0.2360991,-5.0,-3.99930377,5.98111447,6.06591447,0.0,1.00029714,7.10911616,0.35971616,6.0,7.0,-6.93146001,-0.18946001,6.0,-10.0
87,27.84781971,15.61701971,19.0,NaN,2.65214648,2.43161648,9.0,1.99977949,4.74931463,4.45691463,0.0,-1.0,5.91316562,6.40586562,4.0,4.0,3.4917891,4.7392891,-3.0,-1.0,-1.58776193,-3.50280193,-13.0,-1.0,-3.66296857,-1.44296857,14.0,-1.0
88,-0.1553293,0.5459407,6.0,-1.00017253,6.68902176,5.01213176,12.0,5.00045533,-2.3500097,-0.4599097,-3.0,-3.99909267,3.86873533,-0.31536467,2.0,0.000141040000017,7.96077696,8.25147696,-14.0,-0.000209910000081,9.11790286,-0.19999714,-1.0,1.0,5.57268923,0.66188923,-13.0,2.0
89,1.43514512,2.99954512,14.0,-8.00014049,4.5484194,5.9210794,0.0,4.00044594,2.42476972,1.38946972,-10.0,-0.99900795,8.28345737,7.45555737,8.0,7.00014877,1.09656662,1.36136662,-10.0,-1.00020276,-13.85869077,-3.49259077,10.0,-3.0,-6.70507228,-0.53017228,-5.0,-5.0
90,2.31276674,2.28812674,7.0,NaN,-1.6571895,-1.8270195,13.0,-2.00022238,4.03435887,4.09685887,-3.0,1.0,-5.30696825,-2.09246825,-4.0,-5.0,6.46002561,5.85742561,-9.0,2.0,-7.92043626,0.95887374,-5.0,-8.0,10.11493069,-1.26186931,-6.0,13.0
91,4.7491066,3.2874166,-8.0,0.99928698,-5.12674679,-3.56981679,4.0,NaN,-1.84874579,-1.79724579,-4.0,-6.0,-0.67395434,3.39804566,-5.0,-8.0,8.09711669,7.10981669,7.0,3.0,-7.53345878,-13.72495878,8.0,-14.0,3.57407308,4.22737308,11.0,4.0
