,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-48.74087693,-24.78546514,1.0,241:241:255
1,-48.32313627,-24.00129988,7.0,255:162:162
2,-48.01007276,-24.49315617,0.0,255:255:255
3,-48.27941309,-24.58257924,5.0,255:188:188
4,-48.37521394,-24.67229669,12.0,255:94:94
5,-48.71115983,-24.47100634,2.0,228:228:255
6,-48.96403197,-24.00058147,14.0,255:68:68
7,-48.67726494,-24.1490435,14.0,255:68:68
8,-48.84179757,-24.56598962,10.0,255:121:121
9,-48.62606468,-24.86826679,8.0,255:148:148
10,-48.21396511,-24.39688933,4.0,201:201:255
11,-48.52260455,-24.43836379,4.0,255:202:202
12,-48.54288525,-24.50359599,6.0,255:175:175
13,-48.22723109,-24.26854332,4.0,255:202:202
14,-48.24438428,-24.40455765,11.0,255:108:108
15,-48.41835928,-24.29841492,3.0,255:215:215
16,-48.14581055,-24.39149902,4.0,201:201:255
17,-48.66069461,-24.98604123,8.0,255:148:148
18,-48.18745508,-24.60768489,1.0,255:242:242
19,-48.21877489,-24.76603854,8.0,255:148:148
20,-48.18317038,-24.19662496,23.0,255:0:0
21,-48.18473224,-24.14408934,8.0,255:148:148
22,-48.37863458,-24.98014743,11.0,255:108:108
23,-48.55446968,-24.71944055,5.0,187:187:255
24,-48.07956421,-24.76489205,6.0,255:175:175
25,-48.55209842,-24.94059679,25.0,255:0:0
26,-48.25215916,-24.47338353,3.0,214:214:255
27,-48.54644464,-24.76072567,2.0,255:229:229
28,-48.8318844,-24.00776555,9.0,134:134:255
29,-48.73354048,-24.32034236,12.0,255:94:94
30,-48.24666655,-24.96649166,6.0,174:174:255
31,-48.54584023,-24.31356216,18.0,255:14:14
32,-48.8362279,-24.9167168,0.0,255:255:255
33,-48.12066354,-24.38814766,2.0,255:229:229
34,-48.97404907,-24.30976376,9.0,255:135:135
35,-48.96371262,-24.99458993,2.0,255:229:229
36,-48.1576194,-24.63979474,1.0,241:241:255
37,-48.54290418,-24.37383413,20.0,255:0:0
38,-48.10311057,-24.35783928,2.0,255:229:229
39,-48.35483711,-24.03393227,8.0,255:148:148
40,-48.40722432,-24.59749539,18.0,255:14:14
41,-48.39928826,-24.55982045,4.0,201:201:255
42,-48.52549322,-24.39876378,12.0,255:94:94
43,-48.50969946,-24.00016353,17.0,255:27:27
44,-48.21328205,-24.06786964,2.0,255:229:229
45,-48.61364109,-24.46446078,14.0,255:68:68
46,-48.19078754,-24.05188842,4.0,201:201:255
47,-48.67944511,-24.21406369,1.0,241:241:255
48,-48.54367695,-24.15267868,5.0,255:188:188
49,-48.94171618,-24.53856099,10.0,255:121:121
50,-48.04124513,-24.29540278,0.0,255:255:255
51,-48.42153601,-24.41482357,15.0,255:54:54
52,-48.21633001,-24.19484969,3.0,255:215:215
53,-48.90691166,-24.86936811,4.0,201:201:255
54,-48.24896337,-24.26112705,6.0,255:175:175
55,-48.29300442,-24.13904332,15.0,53:53:255
56,-48.28426088,-24.27808849,11.0,255:108:108
57,-48.63132935,-24.22676351,4.0,201:201:255
58,-48.19906138,-24.72089837,0.0,255:255:255
59,-48.53915652,-24.56950908,17.0,255:27:27
60,-48.4304307,-24.95598167,20.0,255:0:0
61,-48.42125075,-24.45208142,11.0,255:108:108
62,-48.59485042,-24.90949369,9.0,255:135:135
63,-48.50590424,-24.7555808,5.0,255:188:188
64,-48.4879031,-24.96210371,4.0,201:201:255
65,-48.81788429,-24.54322711,2.0,255:229:229
66,-48.64332651,-24.56068708,19.0,255:0:0
67,-48.14300741,-24.06394443,5.0,255:188:188
68,-48.0073986,-24.80449652,2.0,255:229:229
69,-48.13958011,-24.08351196,5.0,255:188:188
70,-48.45386255,-24.55601468,16.0,255:41:41
71,-48.23467633,-24.71696767,9.0,255:135:135
72,-48.83028603,-24.38549455,9.0,255:135:135
73,-48.32158903,-24.28941127,13.0,80:80:255
74,-48.72650808,-24.63351637,6.0,174:174:255
75,-48.88638444,-24.56106586,2.0,255:229:229
76,-48.65315006,-24.47744042,16.0,255:41:41
77,-48.15171324,-24.19846434,7.0,161:161:255
78,-48.1799505,-24.61266051,5.0,255:188:188
79,-48.9774082,-24.7900769,13.0,80:80:255
80,-48.96236607,-24.97070811,15.0,255:54:54
81,-48.14958346,-24.30757967,3.0,214:214:255
82,-48.36846015,-24.95148724,7.0,161:161:255
83,-48.34446235,-24.75502713,16.0,255:41:41
84,-48.70504737,-24.56508628,2.0,255:229:229
85,-48.23540296,-24.61951124,3.0,214:214:255
86,-48.9419151,-24.25549955,5.0,187:187:255
87,-48.15162212,-24.01383793,4.0,255:202:202
88,-48.98712656,-24.34955662,2.0,255:229:229
89,-48.66929929,-24.01728851,8.0,255:148:148
90,-48.62753871,-24.15088741,4.0,201:201:255
91,-48.40618286,-24.22009033,5.0,187:187:255
92,-48.65038699,-24.6875448,14.0,255:68:68
93,-48.25027147,-24.50959419,7.0,255:162:162
94,-48.35491551,-24.46631343,5.0,255:188:188
95,-48.75174283,-24.89217641,12.0,255:94:94
96,-48.08754248,-24.7516582,4.0,201:201:255
97,-48.47633999,-24.16179282,1.0,255:242:242
98,-48.8401881,-24.63986632,1.0,255:242:242
99,-48.28301832,-24.63188747,6.0,255:175:175
100,-48.27691909,-24.01871808,3.0,214:214:255
101,-48.8640015,-24.82545111,4.0,255:202:202
102,-48.40846064,-24.08617434,10.0,255:121:121
103,-48.12800326,-24.32921303,5.0,255:188:188
104,-48.03424202,-24.20562844,7.0,255:162:162
105,-48.28143522,-24.62231155,11.0,255:108:108
106,-48.91710265,-24.78146376,7.0,255:162:162
107,-48.30022991,-24.66796793,14.0,255:68:68
108,-48.52616883,-24.49051194,10.0,255:121:121
109,-48.38895625,-24.93596381,16.0,255:41:41
110,-48.88299165,-24.61307056,7.0,161:161:255
111,-48.87711419,-24.97057023,3.0,255:215:215
112,-48.41560784,-24.99091949,9.0,255:135:135
113,-48.82168814,-24.46570916,7.0,255:162:162
114,-48.58426306,-24.10921496,12.0,93:93:255
115,-48.8715908,-24.74122702,9.0,255:135:135
116,-48.71896242,-24.2592467,0.0,255:255:255
117,-48.85993492,-24.1427604,10.0,255:121:121
118,-48.25673422,-24.73250207,4.0,255:202:202
119,-48.36725039,-24.10194038,12.0,255:94:94
120,-48.76606898,-24.98035193,1.0,255:242:242
121,-48.07574829,-24.9800188,0.0,255:255:255
122,-48.0260924,-24.15751623,10.0,255:121:121
123,-48.13764638,-24.5977401,1.0,241:241:255
124,-48.13994388,-24.92147958,6.0,255:175:175
125,-48.93005968,-24.69490031,2.0,228:228:255
126,-48.88281919,-24.23305457,12.0,255:94:94
127,-48.2958822,-24.27462369,2.0,255:229:229
128,-48.32009163,-24.87178288,8.0,255:148:148
129,-48.93070657,-24.32234939,3.0,255:215:215
130,-48.52567198,-24.98014568,7.0,255:162:162
131,-48.67043509,-24.71970673,2.0,255:229:229
132,-48.00400112,-24.5279752,5.0,255:188:188
133,-48.70182908,-24.52521124,2.0,228:228:255
134,-48.96374071,-24.02829577,7.0,255:162:162
135,-48.8987083,-24.37754876,3.0,255:215:215
136,-48.88988545,-24.82200253,9.0,134:134:255
137,-48.91042312,-24.5550859,3.0,255:215:215
138,-48.30340252,-24.82779484,3.0,255:215:215
139,-48.41419499,-24.41463875,21.0,255:0:0
140,-48.58240295,-24.66233425,30.0,255:0:0
141,-48.24416165,-24.35283992,2.0,228:228:255
142,-48.5660414,-24.48192384,12.0,93:93:255
143,-48.9914217,-24.95634344,8.0,255:148:148
144,-48.35409934,-24.66684943,11.0,255:108:108
145,-48.63066269,-24.27890958,4.0,255:202:202
146,-48.83069139,-24.75917783,7.0,255:162:162
147,-48.64193283,-24.44360618,8.0,255:148:148
148,-48.74008125,-24.72481385,4.0,201:201:255
149,-48.27379301,-24.99482066,1.0,255:242:242
150,-48.60268415,-24.11493405,5.0,187:187:255
151,-48.93326778,-24.19232828,5.0,255:188:188
152,-48.45278889,-24.73868363,16.0,40:40:255
153,-48.29582656,-24.78503181,1.0,255:242:242
154,-48.43919225,-24.17024568,2.0,228:228:255
155,-48.16183378,-24.04428419,4.0,255:202:202
156,-48.32787555,-24.09214628,10.0,255:121:121
157,-48.30067836,-24.70895775,3.0,214:214:255
158,-48.36389051,-24.06165517,2.0,255:229:229
159,-48.8523297,-24.09785955,5.0,187:187:255
160,-48.01069508,-24.27575483,3.0,255:215:215
161,-48.79523364,-24.64415262,12.0,255:94:94
162,-48.05881819,-24.34224422,7.0,161:161:255
163,-48.30534185,-24.23872435,23.0,0:0:255
164,-48.78468985,-24.01068667,5.0,255:188:188
165,-48.45209164,-24.15106015,6.0,174:174:255
166,-48.79929625,-24.33584368,4.0,201:201:255
167,-48.06720297,-24.15925359,7.0,255:162:162
168,-48.35638195,-24.55765147,7.0,255:162:162
169,-48.79381784,-24.9260221,1.0,241:241:255
170,-48.39919548,-24.13181519,6.0,255:175:175
171,-48.37034215,-24.38120291,2.0,228:228:255
172,-48.93439454,-24.92299312,6.0,174:174:255
173,-48.19890157,-24.07155883,3.0,214:214:255
174,-48.34509445,-24.06860912,8.0,255:148:148
175,-48.57819764,-24.86457883,24.0,255:0:0
176,-48.56903868,-24.19691494,2.0,255:229:229
177,-48.64277271,-24.80109991,5.0,255:188:188
178,-48.83941971,-24.85505078,4.0,255:202:202
179,-48.17822818,-24.9981785,12.0,255:94:94
180,-48.31093897,-24.42696673,18.0,255:14:14
181,-48.31004374,-24.19977969,7.0,161:161:255
182,-48.64940737,-24.38678054,2.0,228:228:255
183,-48.78343313,-24.29090653,11.0,255:108:108
184,-48.26775927,-24.46905156,12.0,255:94:94
185,-48.96008839,-24.11467562,5.0,255:188:188
186,-48.70992182,-24.25237308,1.0,255:242:242
187,-48.2327385,-24.10032153,2.0,255:229:229
188,-48.41252299,-24.22195195,5.0,187:187:255
189,-48.55749731,-24.86863665,16.0,255:41:41
190,-48.07744816,-24.51340935,13.0,80:80:255
191,-48.20116724,-24.19416599,7.0,161:161:255
192,-48.95987085,-24.17157348,3.0,214:214:255
193,-48.34908994,-24.64392953,19.0,255:0:0
194,-48.53794674,-24.16232059,6.0,174:174:255
195,-48.64129893,-24.30575711,8.0,255:148:148
196,-48.07180882,-24.20772148,9.0,255:135:135
197,-48.98411357,-24.81825234,10.0,255:121:121
198,-48.37510409,-24.99144019,4.0,255:202:202
199,-48.94942739,-24.84455468,1.0,241:241:255
200,-48.48538949,-24.267348,7.0,161:161:255
201,-48.93500036,-24.14978084,2.0,255:229:229
202,-48.18459251,-24.17978516,1.0,241:241:255
