,tdx30_Iporanga,tdx30_slope_Iporanga
585,749.7242,14.82078
586,413.4633,14.30036
587,690.0151,10.33425
588,346.1563,19.80575
589,650.6047,0.9670064
590,124.6911,10.76147
591,611.5398,9.658839
592,932.7773,20.19138
593,992.262,12.8929
594,921.5558,17.50082
595,985.8503,8.52866
596,651.7395,8.778831
597,551.0652,23.73166
598,901.8114,14.45497
599,951.0497,13.80378
600,710.1979,28.5566
601,164.7287,9.14891
602,635.3677,7.550061
603,955.8455,21.64157
604,704.4577,20.29984
605,848.8587,6.141097
606,509.5068,40.48015
607,151.1179,18.62206
608,906.976,10.32482
609,937.5036,3.849652
610,493.9222,31.61938
611,546.8669,11.40149
612,720.6701,5.398516
613,665.111,6.997341
614,478.4756,29.42207
615,933.4432,8.327104
616,562.8723,30.77297
617,786.8751,28.12413
618,761.8483,28.89034
619,735.1696,9.377868
620,837.7504,12.60193
621,71.60349,20.42298
622,942.7904,22.0134
623,839.4891,10.75387
624,142.0923,20.18214
625,512.6193,34.97091
626,987.3352,8.04671
627,868.2522,18.28677
628,707.2401,31.63524
629,842.6357,4.785199
630,979.0518,14.56443
631,173.1251,16.00564
632,664.1223,18.83539
633,736.4153,19.9924
634,776.619,12.55095
635,826.5796,20.35387
636,882.2095,2.130126
637,961.9295,10.89107
638,324.6553,27.49677
639,267.7924,28.63828
640,675.42,12.89963
641,285.9903,10.62408
642,778.504,14.85221
643,319.8202,27.72832
644,753.5348,7.346769
645,835.3974,5.981003
646,633.2843,5.219891
647,737.8783,21.74516
648,907.7052,3.188043
649,681.5916,12.59647
650,790.1788,7.124158
651,980.9569,9.063111
652,212.79,22.0014
653,225.6028,21.55006
654,845.2946,9.245047
655,968.4023,12.24392
656,887.8957,13.04796
657,910.3036,6.487664
658,92.25655,20.07424
659,69.21211,8.589611
660,172.0849,23.06095
661,328.2104,24.66951
662,870.4534,35.35419
663,503.6677,33.39259
664,935.3251,17.68636
665,794.3793,15.73537
666,923.4012,14.36198
667,865.4156,6.969509
668,802.4392,18.50537
669,911.0317,22.25806
670,160.2065,26.84797
671,111.69,14.06383
672,867.4056,1.055098
673,39.98022,0.8060185
674,410.3507,24.63511
675,778.5298,17.86599
676,993.1163,12.85754
677,642.6216,25.01168
678,261.7508,14.95671
679,68.60571,17.83451
680,677.1795,16.91261
681,740.9641,37.13244
682,762.0731,26.60829
683,950.787,12.15791
684,906.5562,14.07427
685,881.6462,8.825274
686,797.5775,18.35907
687,801.1519,28.09957
688,566.4949,23.41838
689,918.3033,16.73515
690,738.5275,4.458206
691,391.7403,22.35857
692,493.0675,12.50466
693,903.7545,18.90047
694,87.41537,15.16102
695,648.7919,9.01458
