,tdx12_Pantanal,tdx12_slope_Pantanal
0,111.2729,0.8075563
1,128.8365,5.258416
2,136.8098,1.036589
3,125.0959,0.6061488
4,121.6098,2.010483
5,122.7317,5.283248
6,108.7546,1.417566
7,117.6291,1.809301
8,118.2442,4.963167
9,113.5712,44.99356
10,130.5429,0.2696628
11,120.2675,0.3536027
12,124.1487,10.57166
13,131.9293,0.7768388
14,129.4938,7.104903
15,125.4457,0.1952178
16,132.343,0.5841944
17,114.3957,2.575243
18,128.2587,0.7393746
19,124.8414,1.121189
20,133.8596,8.731606
21,137.8368,6.369126
22,118.7627,2.295651
23,115.1266,6.691895
24,132.7808,7.220787
25,124.4017,11.81468
26,128.4462,0.8748426
27,112.9798,1.417728
28,113.6341,2.382144
29,116.0113,0.4057143
30,130.7183,13.10406
31,121.8138,0.5427946
32,106.7687,0.6834732
33,133.9669,0.1800058
34,115.2128,12.66703
35,102.9391,1.855543
36,132.3822,5.780536
37,124.4611,5.20712
38,138.0614,6.148948
39,126.5947,1.64904
40,127.5515,5.407245
41,122.6185,2.208276
42,120.924,1.881382
43,123.069,0.9771082
44,136.8608,9.406504
45,117.7736,0.3242364
46,133.1926,1.149407
47,117.27,1.192002
48,123.1952,15.85952
49,114.825,11.22939
50,138.6417,0.7886915
51,126.4101,6.363414
52,132.0986,1.114062
53,110.3369,1.49573
54,131.2989,0.2325527
55,132.5177,2.551865
56,130.8702,2.890084
57,118.8665,0.4694374
58,129.6694,4.567902
59,125.9716,6.885647
60,117.3555,2.038218
61,122.0577,1.475862
62,111.3419,1.831031
63,115.7781,0.5635437
64,116.628,4.01459
65,119.4587,9.059799
66,115.6227,5.87782
67,134.0827,0.3516431
68,132.0557,0.6594498
69,134.5955,0.990939
70,123.3133,2.425908
71,125.0892,2.824456
72,112.0882,1.039531
73,128.515,1.064906
74,112.2844,2.123622
75,113.4208,15.49458
76,121.1825,7.568865
77,137.513,6.795008
78,130.4071,2.474433
79,104.8303,0.6283109
80,102.943,6.134862
81,142.9546,6.862362
82,120.9156,3.834292
83,127.6269,4.037945
84,114.6264,7.289896
85,126.3075,1.303838
86,110.7826,1.767757
87,132.4765,1.544447
88,118.2487,3.560512
89,118.7287,3.762504
90,120.2392,5.923547
91,125.4483,1.308802
92,113.8091,8.512236
93,127.495,0.9259564
94,125.1504,2.277268
95,108.6631,3.608015
96,134.9325,6.901657
97,124.6398,8.965666
98,113.4347,10.19129
99,128.2691,4.709138
100,128.9772,1.086992
101,112.2303,9.573447
102,127.6322,1.856413
103,140.8579,12.26729
104,144.5516,3.987084
105,127.6009,2.871487
106,105.7161,1.180839
107,127.1374,8.849376
108,120.6087,3.844204
109,117.7827,1.178331
110,109.2464,1.173444
111,106.3851,6.344413
112,117.132,0.8280401
113,113.8357,8.115622
114,121.7015,3.976616
115,107.2659,0.3877975
116,116.0136,2.401909
117,111.6786,1.379557
118,123.2363,0.4685859
119,128.0471,5.318085
120,107.3358,0.3793877
121,129.6863,4.040273
122,139.2108,3.721062
123,134.2272,3.670226
124,126.8484,2.721704
125,107.3396,9.899873
126,112.1019,0.7904119
127,129.2548,0.2191698
128,132.2723,6.574645
129,110.0845,0.6357071
130,117.4986,2.144553
131,112.9967,1.569558
132,138.4803,2.19045
133,115.428,2.59829
134,108.8009,2.312881
135,111.3361,0.4422216
136,106.8481,5.314315
137,113.5793,5.425277
138,121.1274,1.516754
139,124.0594,0.3633218
140,115.7461,1.141893
141,143.4924,5.438303
142,119.1977,0.9062601
143,101.7345,8.951674
144,125.3592,3.000511
145,118.9174,1.506878
146,119.4563,12.81123
147,121.3025,6.281329
148,112.628,2.021788
149,122.7873,0.2804931
150,129.4406,6.209874
151,118.7921,9.047143
152,117.5132,0.5447295
153,129.0407,0.8857012
154,130.1477,16.7697
155,134.7906,1.557285
156,127.7962,2.703563
157,132.3464,4.059024
158,132.6345,2.606921
159,112.2088,1.76809
160,138.5699,1.260068
161,110.0319,0.5603117
162,139.6084,10.9598
163,129.2673,2.867589
164,124.9046,5.982569
165,126.1695,2.093617
166,113.9087,1.237559
167,139.9406,5.738534
168,122.9998,0.7204136
169,107.5487,2.889899
170,127.9715,2.281217
171,132.9994,19.93004
172,103.1389,1.78045
173,137.2294,2.603918
174,128.9061,0.731216
175,112.863,1.353166
176,120.1091,0.9227284
177,110.8939,1.088245
178,107.7121,1.703987
179,125.643,1.372163
180,129.8267,5.121624
181,130.1233,14.43373
182,120.321,5.208641
183,114.8993,0.2151852
184,126.9721,1.446506
185,109.5105,5.505773
186,117.0663,0.932249
187,130.9709,0.9050149
188,125.2177,2.363833
189,113.6775,9.621795
190,133.5137,0.948221
191,140.3001,3.966569
192,110.0141,0.3832244
193,122.8281,7.270441
194,129.1431,13.5081
195,118.6458,0.6546366
196,137.7114,3.520699
197,104.2753,0.3282339
198,119.7043,0.3017485
199,110.7715,4.425333
200,128.3456,6.302725
201,110.2007,0.5496337
202,133.3918,6.607053
203,123.8166,1.78884
204,128.4748,1.823153
205,111.721,8.913046
206,122.7495,4.514665
207,147.6522,4.304362
208,121.5501,5.056137
209,131.1492,0.7700777
210,119.1371,2.224728
211,118.6787,7.422147
212,113.0607,0.9311029
213,122.1286,1.263889
214,114.6995,0.8927933
215,127.9965,5.382725
216,123.8097,3.058199
217,140.2209,1.012833
218,126.2444,3.999781
219,129.5352,0.1714482
220,125.9402,1.669385
221,117.9843,6.766085
222,135.4412,11.1589
223,135.1301,8.593158
224,132.3508,6.610285
225,109.3254,0.4664344
226,128.8694,3.895646
227,114.9618,3.006141
228,123.2925,2.240169
229,138.5184,1.110245
230,118.6468,1.359606
231,107.1761,1.189018
232,112.8471,6.305175
233,105.115,1.667137
234,116.2877,4.185832
235,114.9369,2.179871
236,131.5021,4.479243
237,106.5035,2.416101
238,125.9962,2.854567
239,114.6236,2.759659
240,114.2471,0.4602571
241,103.2455,7.979402
242,115.4292,1.047237
243,115.2243,3.384829
244,132.4124,1.817834
245,116.2552,7.358852
246,119.3946,13.78196
247,132.0794,8.303545
248,116.3891,4.472551
249,116.1204,0.07378521
250,130.3676,1.353222
251,120.7061,3.437162
252,122.9145,4.706442
253,126.9597,2.950543
254,125.2584,1.250048
255,138.419,3.552026
256,116.1726,4.488755
257,118.5038,0.6546707
258,134.9878,2.076537
259,107.6443,2.19358
260,132.3833,11.13148
261,129.3134,0.08757946
262,130.2118,0.1020302
263,117.3838,1.138784
264,123.3265,2.364414
265,119.2325,2.402604
266,115.0816,6.072968
267,116.6466,3.046941
268,130.8919,14.41841
269,123.2941,7.167607
270,115.9961,5.469174
271,125.0206,3.155497
272,123.1034,2.169015
273,126.1938,11.42126
274,138.4664,1.599184
275,133.9282,5.546015
276,135.5462,1.254944
277,115.0882,0.9297497
278,114.1035,3.865059
279,128.8799,10.97275
280,121.4212,0.4038319
281,108.8821,3.52633
282,108.2627,3.107408
283,139.1877,5.887775
284,109.8686,0.6867417
285,139.4777,3.947214
286,125.0817,0.4385489
287,111.173,1.309284
288,132.0941,2.071022
289,133.0278,0.9282664
290,128.1012,5.168459
291,121.2254,1.869298
292,123.9907,5.021111
293,127.5074,4.367775
294,126.9886,6.835853
295,109.7016,0.6506265
296,137.2463,1.865302
297,137.3362,0.6634917
298,122.1968,4.342479
299,110.6755,0.577733
300,103.6446,8.063828
301,136.3228,0.3402112
302,103.8505,0.5973188
303,128.702,1.719596
304,121.0314,3.68099
305,136.0797,0.4529747
306,106.1608,0.9095663
307,109.0997,4.128232
308,134.5296,2.469408
309,112.0938,0.8301407
310,120.6116,4.187252
311,111.531,1.676628
312,111.059,2.035018
313,119.8381,19.5311
314,134.6452,12.38914
315,113.1461,6.746705
316,131.7812,2.058567
317,114.601,1.612884
318,130.4258,0.3258258
319,125.6129,2.064705
320,121.1317,2.086246
321,108.7521,0.4670431
322,110.452,0.463659
323,126.6276,3.071471
324,106.5437,2.436214
325,115.132,0.4701686
326,113.4436,1.743138
327,122.3315,0.7426546
328,110.8408,0.2424377
329,133.8363,2.013673
330,126.3643,19.32973
331,118.3862,0.1743948
332,126.68,2.232756
333,123.1967,4.265804
334,132.0962,0.6765884
335,133.5694,0.06192945
336,130.42,1.681794
337,123.7484,1.496648
338,118.1505,1.147022
339,132.0903,4.248671
340,132.9704,5.887765
341,112.5602,1.88214
342,115.8755,4.104297
343,110.6409,2.04951
344,102.2384,0.4851268
345,116.4411,1.394508
346,119.3658,0.9879664
347,114.3342,1.22139
348,118.7405,2.091323
349,124.9683,0.7281986
350,133.954,3.918962
351,121.781,1.082716
352,116.4068,2.257088
353,116.4726,0.1344784
354,113.6888,0.7601432
355,116.5688,2.074698
356,109.3507,0.9039347
357,141.6507,7.447374
358,121.7976,0.9038377
359,113.5783,0.9910017
360,131.5457,10.69503
361,113.0887,0.9384031
362,119.2421,1.110458
363,107.4427,3.503585
364,119.2417,21.05279
365,142.1801,3.11193
366,128.8955,0.1509656
367,119.4443,6.863637
368,108.9703,4.672384
369,108.5935,2.615983
370,109.3791,7.624139
371,110.6412,1.185563
372,112.1986,8.753182
373,134.8465,8.016625
374,126.3896,2.543543
375,115.9291,1.316978
376,121.8189,4.809788
377,118.6901,11.65784
378,105.1227,1.004882
379,108.9633,3.87724
380,122.3471,5.634382
381,117.1741,7.040937
382,133.106,9.685653
383,109.5571,1.284667
384,125.5513,5.298357
385,111.3552,5.78246
386,107.2835,0.9606468
387,136.7538,3.253633
388,110.9717,2.681036
389,112.5961,0.2258735
390,132.31,3.851389
391,122.5227,8.957561
392,110.9628,1.138253
393,127.1177,4.270762
394,127.5875,1.512915
395,134.3534,2.298545
396,114.9188,1.364786
397,124.1045,3.785906
398,111.6054,8.364167
399,111.2761,5.338509
400,117.8362,0.399058
401,136.0108,0.6310849
402,111.4306,1.488235
403,118.8899,1.536036
404,106.1323,8.260292
405,125.7593,3.168291
406,132.4049,3.522124
407,135.9489,2.303233
408,115.6841,4.184778
409,117.9711,6.60603
410,130.6535,4.451183
411,119.4919,3.264931
412,132.1786,3.958189
413,113.0255,2.283619
414,120.4159,1.02067
415,124.3402,3.420451
416,108.7355,0.5334201
417,114.343,1.064002
418,120.1869,1.361959
419,144.8155,4.717908
420,114.0974,0.7086107
421,130.3524,5.746652
422,114.7969,9.553868
423,112.8298,17.99859
424,129.857,1.857503
425,123.2034,4.710041
426,112.8619,1.76814
