,aster30_wgs84_SerraMar,aster30_slope_SerraMar
0,470.69416242,41.40837
1,1149.08445556,6.659064
2,424.00850089,25.28307
3,1065.26916245,7.301031
4,1.35015477,2.772274
5,841.65457148,27.66452
6,966.44232178,9.700863
7,1568.44076203,11.4189
8,1106.7899486,10.28489
9,70.54354784,16.18109
10,425.20216134,18.23886
11,608.48570103,5.753709
12,1202.51759705,16.83425
13,452.1785182,14.85869
14,452.23116753,12.85688
15,405.34870497,4.22186
16,433.13825991,25.34271
17,641.17150731,26.98634
18,538.11108137,10.15586
19,776.08537323,15.90862
20,6.52198569,1.028409
21,649.24617725,22.35441
22,967.38804639,6.459617
23,825.60258759,8.204695
24,471.45728283,6.476089
25,496.74597007,11.91916
26,459.11451673,20.56808
27,1047.7603701,18.92738
28,1369.13250084,36.03655
29,463.48151873,15.09015
30,380.09371035,4.748197
31,1237.13293484,14.65732
32,1250.39439249,22.39427
33,1148.38844576,17.60219
34,506.47612646,6.26644
35,1134.20120563,NaN
36,1230.05931696,14.15707
37,660.5708032,22.02773
38,1393.0317985,4.867046
39,1820.4936315,14.95219
40,1416.35489401,13.85102
41,990.8644338,24.80519
42,523.02443128,22.24923
43,671.39187253,13.07285
44,587.13692956,19.40263
45,1359.83809327,21.81047
46,490.19367996,19.36679
47,1161.16514215,1.570863
48,446.22996926,22.64111
49,1673.46923333,16.22282
50,295.14838128,30.2802
51,1331.52082403,17.11601
52,486.39974399,7.827883
53,142.48747587,21.72796
54,1235.76433109,25.62145
55,1782.6155449,28.92079
56,793.00479008,17.56258
57,883.01478171,24.01491
58,1385.44034619,6.057446
59,10.18837388,7.218144
60,568.71085579,30.62858
61,389.26547241,5.081017
62,1395.6968634,9.53766
63,983.82604297,44.16984
64,597.60790269,26.59917
65,788.08625303,18.47147
66,798.16266416,30.54649
67,907.92496139,4.789125
68,312.85476178,18.68449
69,437.1243152,16.37919
70,1553.67141303,20.1956
71,718.2184731,21.97366
72,967.69666187,26.27094
73,1513.97636767,25.82187
74,1471.79802257,11.84004
75,1589.3117927,32.91737
76,1511.40990475,34.48032
77,717.29948408,31.1204
78,1172.62258928,15.0188
79,710.24518375,32.4792
80,440.34164082,2.106256
81,375.66731753,15.84934
82,1196.31435243,7.677913
83,1095.80028872,8.998073
84,76.26463485,13.86973
85,1126.06771206,3.115628
86,1408.80753999,26.91919
87,1184.21103143,15.71022
88,482.11048923,12.06549
89,885.99072772,8.356488
90,283.26513069,27.35111
91,963.86837308,16.26219
92,24.27380734,6.574733
93,1065.50050402,14.08527
94,973.8344531,31.82756
95,20.76265521,10.39513
96,699.74206377,18.46747
97,1800.34714371,17.63342
98,964.82938133,14.53327
99,2365.55305333,8.460032
100,1281.54624546,26.35444
101,1198.19431061,11.70508
102,695.96396088,16.90059
103,943.12223484,22.40054
104,946.88469324,15.22237
105,1016.64122037,13.35716
106,458.23820753,6.790233
107,1531.74132009,8.566297
108,570.63765066,31.18715
109,643.99764602,12.90462
110,1504.66123435,5.205237
111,989.47618964,27.60536
112,585.75578877,25.84449
113,1373.83421187,15.02969
114,857.84426139,23.37192
115,202.21076357,25.89321
116,596.3854981,5.592484
117,601.55917886,54.95786
118,434.2199126,19.25117
119,1086.53384732,19.87639
120,63.89265731,2.858195
121,2218.50251871,25.69599
122,1400.78814112,11.497
123,495.588129,15.37494
124,1285.70509491,3.805743
125,1351.36369471,21.79858
126,903.63566783,6.787177
127,1007.29357792,29.72284
128,1046.00552663,18.11252
129,1194.15911907,20.4865
130,73.26187119,15.25057
131,1120.16149767,6.762682
132,1200.49715279,15.90068
133,538.9921069,28.4696
134,1008.76006197,11.13104
135,370.05003082,11.6498
136,599.22994246,11.70275
137,1366.36703388,12.95115
138,1160.2896384,27.9813
139,1018.65949019,9.977207
140,656.9986755,23.5477
141,1577.34694351,55.41225
142,739.69589825,33.40138
143,1424.23844228,29.52128
144,586.33838575,15.36791
145,25.84677459,8.152773
146,1297.05149858,14.34339
147,1148.15386436,12.41395
148,1414.40462709,29.03684
149,1109.77370345,7.187965
150,493.29572508,23.63006
151,607.21389829,2.37988
152,501.57260845,25.85442
153,1691.61935849,28.64719
154,535.26061252,6.224747
155,1107.57274191,8.381765
156,2192.54188085,6.522882
157,815.09540887,9.389627
158,742.30538893,21.68035
159,545.07424462,6.351378
160,553.12446424,2.985734
161,899.63096717,10.57013
162,80.32964859,25.46488
163,1487.35811119,28.1731
164,1840.52597476,19.69893
165,762.02345388,13.10245
166,987.92737953,17.48217
167,1306.88789028,9.375122
168,694.38646411,24.34164
169,1051.59560898,5.504175
170,502.1039987,8.577519
171,438.39769882,10.60103
172,473.55315971,23.66812
173,1392.71252928,17.80025
174,8.31290388,6.08018
175,631.99215207,12.2283
176,683.76049211,20.21214
177,1307.01743753,14.50598
178,1148.39018033,11.13134
179,567.553941,30.81483
180,889.60710219,2.533187
181,1840.45993709,31.37364
182,1741.37251969,27.76079
183,575.00885424,30.3603
184,402.4124415,29.10534
185,879.21250814,15.82108
186,483.31650991,20.22784
