,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
0,-48.74087693,-24.78546514,6.0,255:138:138
1,-48.32313627,-24.00129988,2.0,255:216:216
2,-48.01007276,-24.49315617,8.0,98:98:255
3,-48.27941309,-24.58257924,6.000008,137:137:255
4,-48.37521394,-24.67229669,4.00001401,176:176:255
5,-48.71115983,-24.47100634,0.99952193,235:235:255
6,-48.96403197,-24.00058147,15.00007828,255:0:0
7,-48.67726494,-24.1490435,16.0,255:0:0
8,-48.84179757,-24.56598962,19.00022171,255:0:0
9,-48.62606468,-24.86826679,4.00033678,255:177:177
10,-48.21396511,-24.39688933,7.00038155,255:118:118
11,-48.52260455,-24.43836379,4.0,255:177:177
12,-48.54288525,-24.50359599,5.0004369,255:157:157
13,-48.22723109,-24.26854332,9.00040414,255:79:79
14,-48.24438428,-24.40455765,13.00032497,255:0:0
15,-48.41835928,-24.29841492,18.0,255:0:0
16,-48.14581055,-24.39149902,16.99965886,0:0:255
17,-48.66069461,-24.98604123,9.00034998,255:79:79
18,-48.18745508,-24.60768489,2.99961777,196:196:255
19,-48.21877489,-24.76603854,2.0,215:215:255
20,-48.18317038,-24.19662496,19.99959587,0:0:255
21,-48.18473224,-24.14408934,2.0,255:216:216
22,-48.37863458,-24.98014743,10.0,255:59:59
23,-48.55446968,-24.71944055,-9999,255:255:255
24,-48.07956421,-24.76489205,1.0,255:236:236
25,-48.55209842,-24.94059679,-9999,255:255:255
26,-48.25215916,-24.47338353,3.99966092,176:176:255
27,-48.54644464,-24.76072567,6.0,255:138:138
28,-48.8318844,-24.00776555,-9999,255:255:255
29,-48.73354048,-24.32034236,5.99980103,137:137:255
30,-48.24666655,-24.96649166,9.99955463,58:58:255
31,-48.54584023,-24.31356216,1.99953042,215:215:255
32,-48.8362279,-24.9167168,9.99971032,58:58:255
33,-48.12066354,-24.38814766,1.0,235:235:255
34,-48.97404907,-24.30976376,0.99986326,235:235:255
35,-48.96371262,-24.99458993,7.99973342,98:98:255
36,-48.1576194,-24.63979474,2.00032926,215:215:255
37,-48.54290418,-24.37383413,11.00045909,255:40:40
38,-48.10311057,-24.35783928,2.0,215:215:255
39,-48.35483711,-24.03393227,4.0,255:177:177
40,-48.40722432,-24.59749539,18.0,0:0:255
41,-48.39928826,-24.55982045,2.99960396,255:197:197
42,-48.52549322,-24.39876378,4.00026406,255:177:177
43,-48.50969946,-24.00016353,6.00017853,255:138:138
44,-48.21328205,-24.06786964,3.00025189,255:197:197
45,-48.61364109,-24.46446078,2.0,255:216:216
46,-48.19078754,-24.05188842,1.00025214,255:236:236
47,-48.67944511,-24.21406369,1.0,235:235:255
48,-48.54367695,-24.15267868,4.0,176:176:255
49,-48.94171618,-24.53856099,15.00018964,255:0:0
50,-48.04124513,-24.29540278,2.0,255:216:216
51,-48.42153601,-24.41482357,1.0,255:236:236
52,-48.21633001,-24.19484969,5.00028155,255:157:157
53,-48.90691166,-24.86936811,8.99973885,78:78:255
54,-48.24896337,-24.26112705,4.0,255:177:177
55,-48.29300442,-24.13904332,5.9997463,137:137:255
56,-48.28426088,-24.27808849,5.0,255:157:157
57,-48.63132935,-24.22676351,4.00020277,255:177:177
58,-48.19906138,-24.72089837,6.00032426,137:137:255
59,-48.53915652,-24.56950908,11.99987339,255:20:20
60,-48.4304307,-24.95598167,12.0,19:19:255
61,-48.42125075,-24.45208142,11.0,39:39:255
62,-48.59485042,-24.90949369,6.99964738,117:117:255
63,-48.50590424,-24.7555808,1.00038207,235:235:255
64,-48.4879031,-24.96210371,2.0,215:215:255
65,-48.81788429,-24.54322711,4.00022345,255:177:177
66,-48.64332651,-24.56068708,7.99972905,98:98:255
67,-48.14300741,-24.06394443,0.0,255:255:255
68,-48.0073986,-24.80449652,-9999,255:255:255
69,-48.13958011,-24.08351196,15.0,0:0:255
70,-48.45386255,-24.55601468,8.00031431,255:99:99
71,-48.23467633,-24.71696767,5.99993619,137:137:255
72,-48.83028603,-24.38549455,1.99948239,215:215:255
73,-48.32158903,-24.28941127,6.00070595,255:138:138
74,-48.72650808,-24.63351637,-9999,255:255:255
75,-48.88638444,-24.56106586,12.99979106,0:0:255
76,-48.65315006,-24.47744042,9.99953514,58:58:255
77,-48.15171324,-24.19846434,5.0,156:156:255
78,-48.1799505,-24.61266051,7.00038483,255:118:118
79,-48.9774082,-24.7900769,2.00022659,255:216:216
80,-48.96236607,-24.97070811,15.00026289,255:0:0
81,-48.14958346,-24.30757967,8.0,98:98:255
82,-48.36846015,-24.95148724,3.0,196:196:255
83,-48.34446235,-24.75502713,12.00034889,19:19:255
84,-48.70504737,-24.56508628,-9999,255:255:255
85,-48.23540296,-24.61951124,4.00034985,176:176:255
86,-48.9419151,-24.25549955,3.99930377,176:176:255
87,-48.15162212,-24.01383793,4.0,255:177:177
88,-48.98712656,-24.34955662,0.000141040000017,255:255:255
89,-48.66929929,-24.01728851,7.00014877,255:118:118
90,-48.62753871,-24.15088741,5.0,156:156:255
91,-48.40618286,-24.22009033,8.0,98:98:255
92,-48.65038699,-24.6875448,6.99987027,255:118:118
93,-48.25027147,-24.50959419,14.00071934,255:0:0
94,-48.35491551,-24.46631343,6.9992815,117:117:255
95,-48.75174283,-24.89217641,4.00030833,255:177:177
96,-48.08754248,-24.7516582,10.0,58:58:255
97,-48.47633999,-24.16179282,5.00022205,255:157:157
98,-48.8401881,-24.63986632,1.99976342,215:215:255
99,-48.28301832,-24.63188747,8.00036791,255:99:99
100,-48.27691909,-24.01871808,1.00022836,255:236:236
101,-48.8640015,-24.82545111,2.0002652,255:216:216
102,-48.40846064,-24.08617434,7.0,255:118:118
103,-48.12800326,-24.32921303,0.0,255:255:255
104,-48.03424202,-24.20562844,2.0,215:215:255
105,-48.28143522,-24.62231155,1.99964054,255:216:216
106,-48.91710265,-24.78146376,2.00024223,255:216:216
107,-48.30022991,-24.66796793,8.00037208,255:99:99
108,-48.52616883,-24.49051194,210.99956437,0:0:255
109,-48.38895625,-24.93596381,7.0,255:118:118
110,-48.88299165,-24.61307056,4.00026549,176:176:255
111,-48.87711419,-24.97057023,7.99971225,98:98:255
112,-48.41560784,-24.99091949,5.0,156:156:255
113,-48.82168814,-24.46570916,7.00050155,255:118:118
114,-48.58426306,-24.10921496,3.0,196:196:255
115,-48.8715908,-24.74122702,3.00024743,255:197:197
116,-48.71896242,-24.2592467,3.0,196:196:255
117,-48.85993492,-24.1427604,8.00069477,255:99:99
118,-48.25673422,-24.73250207,0.99966547,255:236:236
119,-48.36725039,-24.10194038,2.99953921,196:196:255
