,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-56.74087693,-18.78546514,4.0,109:109:255
1,-56.32313627,-18.00129988,8.0,0:0:255
2,-56.01007276,-18.49315617,8.0,255:0:0
3,-56.27941309,-18.58257924,2.0,255:183:183
4,-56.37521394,-18.67229669,5.0,72:72:255
5,-56.71115983,-18.47100634,4.0,255:110:110
6,-56.96403197,-18.00058147,2.0,182:182:255
7,-56.67726494,-18.1490435,1.0,255:219:219
8,-56.84179757,-18.56598962,5.0,255:73:73
9,-56.62606468,-18.86826679,4.0,255:110:110
10,-56.21396511,-18.39688933,10.0,255:0:0
11,-56.52260455,-18.43836379,0.0,255:255:255
12,-56.54288525,-18.50359599,1.0,218:218:255
13,-56.22723109,-18.26854332,6.0,255:37:37
14,-56.24438428,-18.40455765,1.0,255:219:219
15,-56.41835928,-18.29841492,0.0,255:255:255
16,-56.14581055,-18.39149902,0.0,255:255:255
17,-56.66069461,-18.98604123,1.0,218:218:255
18,-56.18745508,-18.60768489,4.0,255:110:110
19,-56.21877489,-18.76603854,6.0,255:37:37
20,-56.18317038,-18.19662496,2.0,255:183:183
21,-56.18473224,-18.14408934,1.0,255:219:219
22,-56.37863458,-18.98014743,1.0,255:219:219
23,-56.55446968,-18.71944055,4.0,109:109:255
24,-56.07956421,-18.76489205,2.0,182:182:255
25,-56.55209842,-18.94059679,0.0,255:255:255
26,-56.25215916,-18.47338353,0.0,255:255:255
27,-56.54644464,-18.76072567,2.0,182:182:255
28,-56.8318844,-18.00776555,6.0,255:37:37
29,-56.73354048,-18.32034236,2.0,255:183:183
30,-56.24666655,-18.96649166,2.0,182:182:255
31,-56.54584023,-18.31356216,4.0,255:110:110
32,-56.8362279,-18.9167168,9.0,255:0:0
33,-56.12066354,-18.38814766,4.0,255:110:110
34,-56.97404907,-18.30976376,2.0,182:182:255
35,-56.96371262,-18.99458993,5.0,72:72:255
36,-56.1576194,-18.63979474,4.0,109:109:255
37,-56.54290418,-18.37383413,5.0,72:72:255
38,-56.10311057,-18.35783928,2.0,255:183:183
39,-56.35483711,-18.03393227,7.0,255:0:0
40,-56.40722432,-18.59749539,1.0,218:218:255
41,-56.39928826,-18.55982045,1.0,255:219:219
42,-56.52549322,-18.39876378,1.0,255:219:219
43,-56.50969946,-18.00016353,6.0,36:36:255
44,-56.21328205,-18.06786964,1.0,255:219:219
45,-56.61364109,-18.46446078,4.0,255:110:110
46,-56.19078754,-18.05188842,8.0,0:0:255
47,-56.67944511,-18.21406369,3.0,145:145:255
48,-56.54367695,-18.15267868,3.0,145:145:255
49,-56.94171618,-18.53856099,2.0,182:182:255
50,-56.04124513,-18.29540278,5.0,255:73:73
51,-56.42153601,-18.41482357,2.0,255:183:183
52,-56.21633001,-18.19484969,12.0,255:0:0
53,-56.90691166,-18.86936811,1.0,255:219:219
54,-56.24896337,-18.26112705,6.0,255:37:37
55,-56.29300442,-18.13904332,3.0,145:145:255
56,-56.28426088,-18.27808849,2.0,255:183:183
57,-56.63132935,-18.22676351,5.0,255:73:73
58,-56.19906138,-18.72089837,3.0,145:145:255
59,-56.53915652,-18.56950908,4.0,255:110:110
60,-56.4304307,-18.95598167,10.0,255:0:0
61,-56.42125075,-18.45208142,6.0,255:37:37
62,-56.59485042,-18.90949369,5.0,255:73:73
63,-56.50590424,-18.7555808,10.0,0:0:255
64,-56.4879031,-18.96210371,1.0,218:218:255
65,-56.81788429,-18.54322711,4.0,255:110:110
66,-56.64332651,-18.56068708,3.0,145:145:255
67,-56.14300741,-18.06394443,3.0,145:145:255
68,-56.0073986,-18.80449652,18.0,255:0:0
69,-56.13958011,-18.08351196,9.0,255:0:0
70,-56.45386255,-18.55601468,3.0,145:145:255
71,-56.23467633,-18.71696767,5.0,72:72:255
72,-56.83028603,-18.38549455,11.0,255:0:0
73,-56.32158903,-18.28941127,6.0,255:37:37
74,-56.72650808,-18.63351637,8.0,255:0:0
75,-56.88638444,-18.56106586,4.0,109:109:255
76,-56.65315006,-18.47744042,3.0,255:146:146
77,-56.15171324,-18.19846434,1.0,218:218:255
78,-56.1799505,-18.61266051,0.0,255:255:255
79,-56.9774082,-18.7900769,4.0,255:110:110
80,-56.96236607,-18.97070811,2.0,182:182:255
81,-56.14958346,-18.30757967,10.0,0:0:255
82,-56.36846015,-18.95148724,1.0,218:218:255
83,-56.34446235,-18.75502713,4.0,109:109:255
84,-56.70504737,-18.56508628,3.0,255:146:146
85,-56.23540296,-18.61951124,3.0,255:146:146
86,-56.9419151,-18.25549955,5.0,72:72:255
87,-56.15162212,-18.01383793,0.0,255:255:255
88,-56.98712656,-18.34955662,3.0,145:145:255
89,-56.66929929,-18.01728851,10.0,0:0:255
90,-56.62753871,-18.15088741,3.0,145:145:255
91,-56.40618286,-18.22009033,4.0,109:109:255
92,-56.65038699,-18.6875448,0.0,255:255:255
93,-56.25027147,-18.50959419,4.0,109:109:255
94,-56.35491551,-18.46631343,4.0,109:109:255
95,-56.75174283,-18.89217641,3.0,145:145:255
96,-56.08754248,-18.7516582,1.0,255:219:219
97,-56.47633999,-18.16179282,3.0,145:145:255
98,-56.8401881,-18.63986632,4.0,255:110:110
99,-56.28301832,-18.63188747,1.0,218:218:255
100,-56.27691909,-18.01871808,6.0,255:37:37
101,-56.8640015,-18.82545111,2.0,255:183:183
102,-56.40846064,-18.08617434,3.0,255:146:146
103,-56.12800326,-18.32921303,9.0,0:0:255
104,-56.03424202,-18.20562844,1.0,255:219:219
105,-56.28143522,-18.62231155,2.0,255:183:183
106,-56.91710265,-18.78146376,2.0,255:183:183
107,-56.30022991,-18.66796793,2.0,182:182:255
108,-56.52616883,-18.49051194,2.0,182:182:255
109,-56.38895625,-18.93596381,3.0,255:146:146
110,-56.88299165,-18.61307056,3.0,255:146:146
111,-56.87711419,-18.97057023,7.0,0:0:255
112,-56.41560784,-18.99091949,10.0,255:0:0
113,-56.82168814,-18.46570916,1.0,255:219:219
114,-56.58426306,-18.10921496,2.0,182:182:255
115,-56.8715908,-18.74122702,2.0,182:182:255
116,-56.71896242,-18.2592467,6.0,255:37:37
117,-56.85993492,-18.1427604,6.0,36:36:255
118,-56.25673422,-18.73250207,4.0,255:110:110
119,-56.36725039,-18.10194038,0.0,255:255:255
120,-56.76606898,-18.98035193,2.0,255:183:183
121,-56.07574829,-18.9800188,8.0,255:0:0
122,-56.0260924,-18.15751623,0.0,255:255:255
123,-56.13764638,-18.5977401,7.0,255:0:0
124,-56.13994388,-18.92147958,0.0,255:255:255
125,-56.93005968,-18.69490031,6.0,255:37:37
126,-56.88281919,-18.23305457,2.0,255:183:183
127,-56.2958822,-18.27462369,4.0,255:110:110
128,-56.32009163,-18.87178288,8.0,0:0:255
129,-56.93070657,-18.32234939,4.0,255:110:110
130,-56.52567198,-18.98014568,3.0,255:146:146
131,-56.67043509,-18.71970673,1.0,218:218:255
132,-56.00400112,-18.5279752,1.0,255:219:219
133,-56.70182908,-18.52521124,2.0,255:183:183
134,-56.96374071,-18.02829577,5.0,255:73:73
135,-56.8987083,-18.37754876,0.0,255:255:255
136,-56.88988545,-18.82200253,0.0,255:255:255
137,-56.91042312,-18.5550859,1.0,255:219:219
138,-56.30340252,-18.82779484,5.0,255:73:73
139,-56.41419499,-18.41463875,2.0,182:182:255
140,-56.58240295,-18.66233425,4.0,109:109:255
141,-56.24416165,-18.35283992,1.0,255:219:219
142,-56.5660414,-18.48192384,1.0,218:218:255
143,-56.9914217,-18.95634344,10.0,0:0:255
144,-56.35409934,-18.66684943,5.0,255:73:73
145,-56.63066269,-18.27890958,3.0,255:146:146
146,-56.83069139,-18.75917783,3.0,145:145:255
147,-56.64193283,-18.44360618,1.0,218:218:255
148,-56.74008125,-18.72481385,4.0,109:109:255
149,-56.27379301,-18.99482066,3.0,255:146:146
150,-56.60268415,-18.11493405,4.0,109:109:255
151,-56.93326778,-18.19232828,0.0,255:255:255
152,-56.45278889,-18.73868363,4.0,109:109:255
153,-56.29582656,-18.78503181,1.0,218:218:255
154,-56.43919225,-18.17024568,2.0,182:182:255
