,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-63.74087693,0.21453486,14.0,255:93:93
1,-63.32313627,0.99870012,20.0,255:24:24
2,-63.01007276,0.50684383,4.0,208:208:255
3,-63.27941309,0.41742076,10.0,255:140:140
4,-63.37521394,0.32770331,8.0,255:163:163
5,-63.71115983,0.52899366,5.0,197:197:255
6,-63.96403197,0.99941853,10.0,255:140:140
7,-63.67726494,0.8509565,6.0,255:186:186
8,-63.84179757,0.43401038,0.0,255:255:255
9,-63.62606468,0.13173321,28.0,255:0:0
10,-63.21396511,0.60311067,5.0,197:197:255
11,-63.52260455,0.56163621,14.0,255:93:93
12,-63.54288525,0.49640401,5.0,255:198:198
13,-63.22723109,0.73145668,18.0,255:47:47
14,-63.24438428,0.59544235,12.0,255:116:116
15,-63.41835928,0.70158508,7.0,255:174:174
16,-63.14581055,0.60850098,7.0,255:174:174
17,-63.66069461,0.01395877,1.0,243:243:255
18,-63.18745508,0.39231511,12.0,255:116:116
19,-63.21877489,0.23396146,1.0,255:244:244
20,-63.18317038,0.80337504,9.0,255:151:151
21,-63.18473224,0.85591066,28.0,255:0:0
22,-63.37863458,0.01985257,7.0,255:174:174
23,-63.55446968,0.28055945,5.0,255:198:198
24,-63.07956421,0.23510795,6.0,255:186:186
25,-63.55209842,0.05940321,6.0,255:186:186
26,-63.25215916,0.52661647,3.0,255:221:221
27,-63.54644464,0.23927433,3.0,220:220:255
28,-63.8318844,0.99223445,9.0,255:151:151
29,-63.73354048,0.67965764,1.0,255:244:244
30,-63.24666655,0.03350834,10.0,139:139:255
31,-63.54584023,0.68643784,21.0,255:12:12
32,-63.8362279,0.0832832,9.0,255:151:151
33,-63.12066354,0.61185234,1.0,243:243:255
34,-63.97404907,0.69023624,5.0,255:198:198
35,-63.96371262,0.00541007,9.0,255:151:151
36,-63.1576194,0.36020526,2.0,255:232:232
37,-63.54290418,0.62616587,10.0,255:140:140
38,-63.10311057,0.64216072,7.0,255:174:174
39,-63.35483711,0.96606773,17.0,255:58:58
40,-63.40722432,0.40250461,15.0,255:82:82
41,-63.39928826,0.44017955,15.0,255:82:82
42,-63.52549322,0.60123622,1.0,255:244:244
43,-63.50969946,0.99983647,19.0,255:35:35
44,-63.21328205,0.93213036,4.0,255:209:209
45,-63.61364109,0.53553922,6.0,255:186:186
46,-63.19078754,0.94811158,33.0,255:0:0
47,-63.67944511,0.78593631,3.0,255:221:221
48,-63.54367695,0.84732132,27.0,255:0:0
49,-63.94171618,0.46143901,1.0,255:244:244
50,-63.04124513,0.70459722,6.0,255:186:186
51,-63.42153601,0.58517643,16.0,255:70:70
52,-63.21633001,0.80515031,9.0,255:151:151
53,-63.90691166,0.13063189,4.0,208:208:255
54,-63.24896337,0.73887295,7.0,255:174:174
55,-63.29300442,0.86095668,5.0,255:198:198
56,-63.28426088,0.72191151,9.0,255:151:151
57,-63.63132935,0.77323649,1.0,255:244:244
58,-63.19906138,0.27910163,3.0,255:221:221
59,-63.53915652,0.43049092,3.0,255:221:221
60,-63.4304307,0.04401833,15.0,81:81:255
61,-63.42125075,0.54791858,9.0,255:151:151
62,-63.59485042,0.09050631,6.0,255:186:186
63,-63.50590424,0.2444192,10.0,255:140:140
64,-63.4879031,0.03789629,8.0,255:163:163
65,-63.81788429,0.45677289,2.0,231:231:255
66,-63.64332651,0.43931292,5.0,255:198:198
67,-63.14300741,0.93605557,0.0,255:255:255
68,-63.0073986,0.19550348,2.0,231:231:255
69,-63.13958011,0.91648804,1.0,243:243:255
70,-63.45386255,0.44398532,12.0,255:116:116
71,-63.23467633,0.28303233,23.0,255:0:0
72,-63.83028603,0.61450545,13.0,255:105:105
73,-63.32158903,0.71058873,6.0,185:185:255
74,-63.72650808,0.36648363,1.0,243:243:255
75,-63.88638444,0.43893414,2.0,255:232:232
76,-63.65315006,0.52255958,5.0,255:198:198
77,-63.15171324,0.80153566,2.0,255:232:232
78,-63.1799505,0.38733949,5.0,255:198:198
79,-63.9774082,0.2099231,10.0,255:140:140
80,-63.96236607,0.02929189,0.0,255:255:255
