,aw3d30_wgs84_Pantanal,aw3d30_slope_Pantanal
277,119.03165377,0.4668593
278,118.07421969,1.374922
279,129.95089672,2.732572
280,123.07622203,1.460415
281,112.18649482,0.7416758
282,111.58745008,1.084458
283,141.37815156,1.533894
284,112.88544226,1.246031
285,146.26674556,1.052024
286,128.75863551,0.6751839
287,112.19317831,1.188388
288,137.64352864,1.190349
289,137.83804426,2.305228
290,130.8234713,0.4869947
291,125.59707666,3.696094
292,124.99837146,1.478263
293,129.39378202,1.081908
294,132.10545895,4.050451
295,113.90548931,1.481677
296,140.51443808,0.4649483
297,142.355535,1.243039
298,123.86976033,2.923464
299,114.00059502,1.717942
300,109.91459608,3.673185
301,140.66037579,0.7384762
302,105.71008317,1.480734
303,130.95288327,1.242023
304,123.93374181,0.9325889
305,140.61305986,0.7693512
306,110.52639425,1.540046
307,113.08329172,2.446678
308,139.69233827,1.350985
309,116.53703045,1.013998
310,125.49411217,0.4908846
311,116.82616227,1.240852
312,116.28516215,0.4855616
313,122.94349382,9.403914
314,132.48295904,3.736805
315,117.04215314,1.786163
316,136.19690352,0.9326929
317,120.99712355,0.6777414
318,134.22203623,0.7669156
319,129.78413195,0.4649225
320,127.10945055,2.012397
321,112.94953724,0.6736798
322,111.89375505,0.4667494
323,124.03777336,2.805102
324,108.36923335,0.4650095
325,119.72806549,1.078998
326,116.49778996,1.536584
327,127.18281848,2.834597
328,112.58889391,1.188637
329,139.85716872,1.788556
330,130.30366421,11.65916
331,122.65476592,2.023846
332,130.65263827,0.7384875
333,128.05437766,2.421654
334,136.1030233,2.108957
335,138.39094096,0.4851838
336,134.36546858,0.6726959
337,125.31736865,0.6767717
338,120.69071936,2.219732
339,139.10999346,3.401523
340,138.77785658,1.481524
341,111.15702441,0.4875509
342,119.05458288,0.932606
343,114.79460022,1.051853
344,105.94976384,1.349564
345,119.71762405,0.7397594
346,124.533045,0.9800628
347,116.22123749,1.468938
348,123.52081812,0.4870284
349,129.93763825,1.013091
350,139.78871448,0.7403493
351,126.28465467,1.012081
352,124.54836826,3.732287
353,119.88760934,2.369404
354,81.13595694,15.47426
355,120.73554171,0.3365034
356,112.89983791,1.842856
357,142.13433806,1.049617
358,125.37227263,0.7700466
359,116.35730185,0.7417466
360,135.41500492,6.84833
361,119.46071179,2.023566
362,122.6945908,0.6777781
363,114.20440137,2.012404
364,130.49323965,5.971117
365,143.96705172,2.83281
366,130.74763419,1.479009
367,120.74243425,0.336559
368,110.82968677,5.657127
369,111.45154785,1.925391
370,114.29110491,2.702861
371,113.65656572,0.3357682
372,115.62595916,1.244378
373,134.36782016,2.36942
374,130.36607916,1.703206
375,116.66111224,1.408814
376,124.52164369,1.053567
377,121.00368544,0.3368356
378,108.60614112,1.926248
379,111.11655947,1.080269
380,128.8845268,2.731896
381,121.04805325,0.9307724
382,141.52402489,3.062892
383,112.9251002,0.3383307
384,126.73896612,5.74357
385,114.87602125,0.00207865
386,111.34693928,1.736403
387,138.31730564,0.3367803
388,110.87325247,0.00208909
389,118.33147109,1.465677
390,134.09120853,1.052185
391,124.87119597,4.422864
392,114.49454784,2.009686
393,130.51787453,0.6720291
394,129.76675592,1.052013
395,139.55267846,0.6719897
396,119.37048191,1.479901
397,124.075931,3.499286
398,112.43600532,2.367961
399,115.22917876,2.214559
400,123.79719908,1.247793
401,140.69652686,0.4898376
402,114.3449018,2.477547
403,120.71998337,2.102796
404,110.59701713,0.6766087
405,129.3457618,1.010234
406,136.40309969,1.052031
407,138.68100162,0.3364679
408,120.72204857,1.188382
409,123.21353359,1.051463
410,131.38709379,4.038897
411,121.79680383,3.07419
412,137.57299496,1.788053
413,121.5747217,0.4898205
414,123.12056062,1.190394
415,124.18822241,3.754793
416,111.24887149,0.6770315
417,120.15798244,1.188468
418,122.67486728,1.243344
419,146.56018584,5.31459
420,117.30410862,0.7681812
421,134.69454202,3.034391
422,119.09034117,5.657406
423,119.87641614,0.6747825
424,136.02781073,1.34747
425,128.0711252,1.083919
426,120.3433976,3.033075
427,114.0106711,0.6772116
428,126.35266849,2.21016
429,139.4937665,3.258623
430,126.22640357,1.725654
431,124.42308131,1.345542
432,140.84068178,2.571502
433,108.24167695,0.3371757
434,124.70013961,1.683872
435,111.45879683,5.384398
436,118.0538666,3.847851
437,119.47007412,1.375928
438,133.05504586,1.64954
439,140.87262224,0.3350128
440,122.97179143,3.037822
441,113.57159739,0.00213514
442,116.45277924,1.238965
443,127.90005554,1.349412
444,125.44638551,7.068745
445,113.68142429,1.376827
446,133.6470688,0.7386062
447,119.95873942,0.7711062
448,139.49367198,1.78648
449,124.13014043,1.706631
450,139.0705894,2.159206
451,131.4619294,0.00227691
452,114.96375286,1.012379
453,132.20538082,4.774661
454,137.09924953,1.465776
455,117.53142769,1.396449
456,110.13152979,0.7389657
457,128.17012134,3.374624
458,109.95386343,3.145103
459,117.25975472,3.062638
460,112.34030488,2.101847
461,128.9138249,1.535824
462,123.25128451,1.924218
463,118.06113643,1.785815
464,115.99391388,1.375687
465,118.30085615,1.190402
466,125.48890365,6.781281
467,120.56542412,3.400369
468,110.04824932,1.015512
469,136.94757086,1.083695
470,111.34367891,1.190384
471,128.70806657,2.032186
472,126.93097136,3.396643
473,119.82091604,1.34935
474,125.51750517,1.05329
475,126.85495156,8.040951
476,123.38708557,3.032852
477,117.99333691,2.482474
478,119.20578543,1.863788
479,140.1315962,1.188348
480,126.91181013,1.053979
481,118.73225667,2.161928
482,120.51908756,0.3350732
483,142.22544344,0.4649205
484,122.58006105,3.735113
485,115.64521961,1.844678
486,113.36174585,0.6737063
487,127.15790111,1.18933
488,146.35057443,2.01014
489,136.42563492,4.008204
490,131.27753011,4.446704
491,125.41517934,0.677714
492,127.85367312,1.926112
493,111.71091489,1.406348
494,128.10277559,0.7699311
495,126.47560104,3.140155
496,116.47115003,8.074834
497,121.65869614,0.9325607
498,126.04711126,0.3393973
499,135.48126326,1.703778
500,116.84687637,2.371723
501,137.92548586,0.673409
502,137.03591892,1.190332
503,118.13754716,0.4865474
504,141.66544197,0.6721507
505,117.45574346,0.4908529
506,138.57947311,2.024309
507,110.1769188,0.6764426
508,141.40407558,2.025048
509,134.50845501,1.375322
510,117.77541596,5.460613
511,113.65284779,0.3370379
512,122.91965194,0.4867194
513,138.71835072,0.33654
514,130.09227475,1.705033
515,115.65352024,0.675933
516,115.63073181,2.220022
517,127.4334041,0.9738786
518,140.82360103,1.189228
519,145.80957953,6.37803
520,110.96528041,0.00208347
521,114.9537222,0.4669228
522,114.52268314,1.189469
523,136.86727528,0.3348972
524,135.89758605,0.490262
525,127.92571115,0.4871327
526,117.86280377,1.731267
527,110.56195102,0.7675445
528,119.64243976,3.237032
529,122.56887528,1.410218
530,126.91469084,1.682991
531,129.74970157,0.7403973
532,109.02244065,2.212341
533,136.62772063,1.013155
534,146.68508677,4.066859
535,140.26700797,0.9792307
536,129.69651624,1.406136
537,136.05441406,1.377111
538,123.87641632,0.3388341
539,140.97486734,0.6746718
540,140.66117168,0.485402
541,111.12280879,0.6729534
542,127.32102414,1.465489
543,112.01422876,1.861916
544,114.34689712,6.271015
545,131.12988435,1.190369
546,140.61160004,1.731331
547,117.89266359,1.078464
548,138.29031754,3.847756
549,107.23939317,1.539223
550,123.91213949,2.307077
551,128.19787035,2.036592
552,124.37840972,1.861889
553,136.35195485,3.376105
554,107.35295258,0.9809386
555,135.07437315,1.722527
556,122.82703019,1.406428
557,137.995126,0.4648929
558,127.12631402,1.47997
559,127.09532264,3.800531
560,134.72982052,3.752397
561,142.15331222,3.794214
562,123.60547459,0.4667109
563,113.67741941,0.3353214
564,119.20945023,1.461341
565,129.58206134,0.6721406
566,124.34102648,0.4648845
567,130.82309198,2.405194
568,124.62135842,2.572974
569,116.18649152,0.7417402
570,114.94433307,1.051777
571,132.51516933,2.484938
572,142.71389964,2.525588
573,138.76726035,0.3349231
574,127.24259634,2.07068
575,108.59433717,1.085199
576,135.20914414,1.532327
577,132.29156796,2.40113
578,109.39115809,0.3384126
579,122.4641934,5.242564
580,106.70834777,0.9308054
581,116.02316773,1.84058
582,119.88421517,3.073094
583,127.95187782,0.3352374
584,122.03349259,1.082458
585,124.39883238,2.1013
586,111.25198992,1.052008
587,114.98583392,2.200968
588,124.50854801,1.408594
589,133.7816513,0.6760928
590,113.99963942,1.084005
591,119.19231153,1.478812
592,123.44291759,1.014367
593,121.10876315,4.632933
594,109.72513499,2.663005
595,118.97775687,2.327148
596,112.977313,1.953117
597,113.88871893,2.616286
598,121.48004407,2.162207
599,121.42905559,1.684028
600,115.3932106,2.167136
601,138.2991964,3.142215
602,145.32385109,2.477868
603,125.04865009,2.020585
604,128.16296641,1.842744
605,118.03047733,0.4856178
606,136.11357553,1.34823
607,133.72212342,1.466976
608,118.26178712,0.9326594
609,111.217704,2.069465
610,114.7123958,1.052035
611,150.04614477,3.239129
612,116.01763425,1.647523
613,141.27397969,1.731134
614,123.68917376,0.9307286
615,116.97053328,0.7694218
616,114.64387401,0.9325785
617,137.86706084,2.956223
618,121.17681064,1.396423
619,130.23805024,0.3369275
620,112.19287937,1.010317
621,131.41510302,2.209869
622,116.77063604,4.516652
623,132.91256588,1.376837
624,118.94398913,1.189323
625,120.8337965,0.7672529
626,114.69235278,0.00205635
627,118.28936443,0.6762931
628,112.81452362,0.6765417
629,126.53902141,0.9761186
630,118.08907478,0.9306911
631,129.01869667,1.649516
632,117.05361529,1.351576
633,121.76618121,1.015446
634,124.10334791,0.7696868
635,139.29104557,1.925041
636,120.3144867,0.4898151
637,123.06129197,1.725101
638,126.8487352,2.105128
639,115.46750769,0.3386618
640,115.01932608,1.012941
641,120.75713861,0.9800198
642,121.24278656,5.390217
643,114.12757903,1.081802
644,137.87664725,1.051307
645,118.90228753,0.335156
646,123.58662391,2.77339
647,127.78983318,2.327152
648,124.65352478,4.749493
649,122.78390656,0.6779583
650,115.86401711,0.6732684
651,120.66187206,0.6737369
652,134.51174578,0.7402607
653,117.4442186,2.440417
654,129.75015788,0.4648589
655,123.78806514,7.03624
656,115.02415496,2.525588
657,120.84428789,1.373052
658,138.57264393,1.72636
659,137.36031891,1.68683
660,136.8499439,0.464931
661,116.07340118,0.00201945
662,106.94530837,1.480322
663,124.83115408,4.959894
664,117.37754228,2.11041
665,115.89196475,2.688315
666,119.05654993,1.049864
667,122.33341394,3.292619
668,138.73556341,1.480154
669,126.35545127,2.100655
670,134.51011442,0.3383526
671,127.05238082,0.48662
672,130.69972529,1.049711
673,140.43611928,1.239245
674,137.2520702,0.7665576
675,122.10727735,0.9743879
676,124.08839842,2.305965
677,121.78929677,1.085201
678,114.03140506,0.7679967
679,143.30447091,2.038384
680,116.00717319,2.750795
681,113.69915849,0.4667615
682,122.61190247,1.861888
683,117.83742824,2.686572
684,118.92192701,1.013751
685,122.73955177,0.3350073
686,124.26051596,0.4648439
687,118.48711802,1.479104
688,114.16831855,4.38074
689,138.61433373,3.470411
690,126.57951696,2.022095
691,135.22965384,0.3364806
692,143.16568532,1.845739
693,128.88177116,2.367913
694,128.25572985,1.73412
695,136.63997239,1.346911
696,127.11175232,2.40356
697,125.31318906,2.690686
698,125.42727352,1.849384
699,137.73375441,1.052103
700,137.54823027,0.4892183
701,136.66902847,2.751719
702,123.43985099,2.110427
703,123.94427185,0.3391692
704,126.10385413,7.887779
705,134.13049903,0.7691524
706,137.03595001,1.051794
707,117.29859993,1.478882
708,127.35636606,0.767884
709,124.61521675,3.261398
710,122.96985125,1.375075
711,128.02935662,1.405984
712,131.17717066,5.975086
713,128.07543372,2.482359
714,111.25308627,1.687486
715,125.78201626,1.190395
716,111.25267876,1.243106
717,122.65295867,1.378079
718,112.7535861,4.214186
719,113.60511334,3.752867
720,128.16372943,2.663531
721,116.42144003,1.402759
722,136.70011402,3.295038
723,117.44597886,6.380924
724,136.23379281,0.7684172
725,112.93657596,1.46857
726,132.42400855,1.707739
727,116.7814503,1.861903
728,126.42555866,0.7712229
729,139.57889894,4.58232
730,139.81389226,2.401443
731,119.71333149,1.053392
732,127.02356125,2.218886
733,151.6673588,2.003199
734,115.57793747,1.460822
735,117.39648797,1.188517
736,142.35314681,1.64697
737,126.58901321,1.051254
738,137.16428243,0.3380251
739,112.01625414,3.569819
740,120.85076399,1.083069
741,130.56313223,1.851269
742,121.18257581,1.052628
743,125.31517995,1.648922
744,121.02578252,1.189372
745,136.95789611,1.053761
746,136.44637042,2.397713
747,130.31356595,1.051299
748,120.73084311,2.39981
749,122.10438324,3.152663
750,118.12380392,1.40663
751,134.72968964,6.597291
752,141.11515332,1.053992
753,139.48580293,5.882516
754,114.35241414,1.786097
755,122.6911629,2.11039
756,136.34024509,5.03897
757,115.99312723,1.70134
758,137.06664402,1.241737
759,142.1150505,1.396407
760,116.4621151,1.468225
761,134.23615201,1.084193
762,143.31592199,0.6752133
763,130.6759721,1.052329
764,115.92347543,0.6731776
765,127.61486481,0.3351926
766,141.97767168,0.00232117
767,132.71071298,0.93075
768,120.39166594,2.814679
769,119.75851649,1.348438
770,119.12285768,2.00615
771,129.56532901,1.537547
772,126.19792041,0.7418286
773,128.84070518,1.375393
774,113.9144448,0.7400494
775,127.14824699,1.405091
776,123.89771627,1.051639
777,120.03670687,2.524318
778,137.85651616,0.6755447
779,128.01622708,0.6760316
780,126.96838558,0.7402384
781,118.31082842,1.084259
782,134.48661909,1.080082
783,149.21110378,6.833101
784,116.73129665,1.863868
785,111.17401261,0.3364022
786,124.41162199,0.4870689
787,131.69098437,4.04105
788,125.15549583,0.7667441
789,129.97799678,0.4918359
790,113.77094286,0.6771759
791,120.49385846,1.053326
792,122.56343653,0.7402502
793,113.81492485,0.339657
794,123.63586237,0.7683259
795,132.16802951,0.3377475
796,117.1533903,1.082794
797,139.90120629,0.4855195
798,128.13386898,1.012067
799,111.30354889,1.850634
800,151.49038929,3.110746
801,134.71924847,1.646946
802,122.0537344,1.37517
803,112.14610686,1.705999
804,119.82320525,2.219492
805,130.19483493,1.376526
806,134.07193511,3.450427
807,144.69071353,3.113726
808,114.50240577,0.9732196
809,115.35438649,2.57148
810,144.50433266,2.366426
811,116.84489409,4.715734
812,124.5665574,1.706398
813,120.55371777,1.347464
814,111.39595541,1.010384
815,136.89231806,2.808088
816,113.31463313,3.960091
817,129.12856804,0.7388605
818,121.79549096,1.009502
819,122.77944866,3.293158
820,136.46638102,0.6736375
821,123.30705842,0.7655537
822,120.75308192,0.338291
823,123.68003766,1.084758
824,115.8450158,0.3355027
825,130.87968233,3.404797
826,112.8386317,1.534195
827,139.94098143,1.238185
828,125.28100695,1.083015
829,121.57082964,1.049766
830,128.73390031,6.301924
831,131.21808164,1.788144
832,110.4401434,1.688208
833,113.25223467,2.610789
834,115.59069923,1.348056
835,113.34363292,1.049631
836,113.1014925,0.7417271
837,143.69236146,4.302107
838,120.13148371,0.9769405
839,112.94643638,5.452895
840,111.69983131,1.238906
841,128.6920348,1.081699
842,130.8018835,4.773506
843,116.65385946,3.078722
844,130.81007221,3.259891
845,120.69420942,0.3355625
846,140.89361692,4.000143
847,132.71984514,0.9327663
848,124.91480947,0.6718814
849,130.47270721,1.190375
850,121.61225806,0.00221422
851,110.1117351,3.549452
852,132.64314235,1.014212
853,123.32977039,1.786636
854,140.22419304,2.441907
855,136.90654427,0.7698739
856,124.13209856,0.7665343
857,112.35947683,1.37811
858,136.56374743,1.7312
859,113.6762196,1.349585
860,138.43167302,5.104737
861,113.76500254,0.7404619
862,121.18853021,0.7666258
863,113.12011973,0.7400681
864,119.02976115,0.3357386
865,138.84610456,0.7386511
866,107.02103066,0.6776362
867,112.66310057,3.401987
868,118.14919807,3.705226
869,123.08320264,2.483382
870,109.78150972,2.372687
871,115.46268849,0.3369054
872,124.46663648,1.649588
873,130.63625039,1.648906
874,118.39556783,0.3379006
875,143.00584152,2.957467
876,136.94634482,0.6764148
877,118.32029712,1.350932
878,119.71340554,0.485617
879,137.42478216,0.464883
880,135.39354107,0.338857
881,128.80143534,1.649592
882,118.08456278,0.7404422
883,122.87837778,2.023116
884,124.15737973,2.836514
885,127.99159804,1.537928
886,123.20864219,1.481615
887,134.68206332,0.00236973
888,138.48005103,0.9722518
889,128.96568408,2.21781
890,137.36248964,3.382031
891,120.80323999,1.050535
892,121.58848709,0.4648631
893,126.39640904,1.404223
894,138.0160008,0.3351402
895,105.70793501,1.691107
896,112.25183327,0.00199444
897,129.13778769,1.085828
898,121.65323997,2.360173
899,139.62025613,0.6749738
900,128.05853853,1.718092
901,118.51337063,4.733085
902,126.39788852,1.480002
903,135.81727917,1.927127
904,125.01735102,3.804712
905,128.0012016,3.369498
906,135.03253806,2.108559
907,129.60132368,5.844762
908,117.80402032,2.693319
909,107.46440533,3.190042
910,113.99246105,1.014089
911,117.03478374,2.104235
912,122.75269916,0.7388023
913,132.16521593,1.374897
914,113.68433182,0.7418184
915,128.39478744,1.924625
916,115.49025271,1.405902
917,108.9637631,4.134986
918,123.01746402,5.428185
919,126.62799899,2.833033
920,141.09271238,1.008707
921,125.80762888,1.24175
922,120.44596221,0.4852056
923,132.29443943,2.368016
924,107.01518651,1.649365
925,121.66162112,0.7656403
926,115.36272759,1.352082
927,123.45663074,3.259652
928,113.84081546,1.950305
929,142.01155396,1.481474
930,106.46460397,1.353137
931,137.52737482,2.034898
932,116.83092748,1.347956
933,112.10393251,0.00199227
934,141.48135678,2.377139
935,111.58052412,3.078965
936,139.16779904,6.399746
937,127.26561063,0.4865416
938,140.97287394,2.167661
939,122.27628789,1.07874
940,117.38606346,0.4905805
941,142.49024159,0.7403374
942,125.44730943,2.437375
943,113.18875706,2.167089
944,136.64149274,0.3362302
945,138.88993399,1.011874
946,139.82212699,2.74986
947,107.80507517,0.3385127
948,117.45186087,0.673889
949,124.33801808,1.684674
950,115.90795551,2.157543
951,129.23027648,0.3366992
952,135.99999949,4.212459
953,130.12803225,0.9306706
954,126.41623753,1.375857
955,124.43076929,0.4869834
956,126.51889825,0.9307426
957,115.39594586,1.081517
958,130.64790296,4.070467
959,109.25582448,0.4650053
960,108.21796874,1.376259
961,136.08665645,5.062852
962,143.23361014,1.237833
963,116.48886575,0.00211845
964,126.88207699,1.377105
965,126.16368213,0.7708778
966,123.52089412,1.739712
967,113.98256392,2.036667
968,113.73558151,1.086121
969,116.65774136,2.748217
970,128.89909063,0.3352724
971,131.6643113,0.9307191
972,119.09405844,0.9307554
973,125.27959401,0.00230322
974,124.92731176,0.7685643
975,138.45789159,1.373845
976,108.55594162,2.102226
977,116.44713614,0.3369514
978,125.4340842,1.404175
979,131.07429147,2.703876
980,131.92013381,5.037134
981,137.99949184,2.003884
982,123.10021846,1.011461
983,139.80766105,2.48571
984,118.40286802,1.68522
985,130.24039961,1.011609
986,122.50485599,1.734584
987,122.00154168,2.219567
988,134.61884129,1.051622
989,113.61589255,0.9326943
990,131.00022905,0.487454
991,108.87074348,2.837436
992,127.72016866,2.957514
993,134.70848612,1.84297
994,122.84379129,0.6736894
995,128.31346279,1.706362
996,121.57660047,0.00226207
997,119.84200285,1.39638
998,130.84227093,0.7661639
999,134.82356978,0.3348078
1000,120.79115252,0.00221556
1001,130.71589425,1.647143
1002,132.5654223,0.3353132
1003,122.70091282,4.376641
1004,112.70500444,0.7401755
1005,128.06080351,2.103513
1006,130.7538431,2.923708
1007,122.66252305,1.375312
1008,141.16458916,2.398888
1009,132.52812698,0.7671767
1010,137.23373974,1.083161
1011,126.39634901,2.024238
1012,138.69507095,0.6738148
1013,134.04476375,0.4907741
1014,117.96369528,1.478321
1015,137.11580864,0.7398311
1016,111.89856817,3.961943
1017,113.83064628,0.4649018
1018,126.9715249,1.407463
1019,132.29559929,1.481472
1020,115.07615476,3.792654
1021,130.59700842,4.370862
1022,117.6854245,3.560391
1023,141.87436293,1.786146
1024,141.94622881,0.339161
1025,108.24266144,6.72927
1026,106.00536486,0.3361531
1027,140.67122859,2.103681
1028,134.86893481,5.244464
1029,133.21248708,1.9261
1030,118.1508946,0.9784288
1031,119.54816208,1.190398
1032,141.43111603,2.700904
1033,120.63649798,1.078511
1034,128.98993235,1.396457
1035,112.12647604,0.675467
1036,109.512158,1.050752
1037,117.31179394,0.4867303
1038,127.34799011,1.376686
1039,124.85725954,7.077614
1040,131.71505095,1.014661
1041,113.66806192,0.3392761
1042,121.46315213,6.606041
1043,112.43371134,0.7417688
