,aster30_wgs84_Barcelos,aster30_slope_Barcelos
0,23.75079127,1.638985
1,19.12875874,3.817058
2,44.73440115,6.622581
3,37.46708861,5.87428
4,45.76900591,4.676524
5,42.44814596,2.651124
6,41.6860074,2.955842
7,57.11395501,18.36246
8,57.84032471,11.9838
9,31.52614111,10.15241
10,18.16720873,13.43255
11,58.95981355,8.646689
12,39.05864102,6.374755
13,39.10263312,3.298367
14,34.24839018,4.215529
15,43.59676526,0.7368116
16,40.99467875,6.720967
17,15.69204079,3.997342
18,42.25831528,6.759373
19,43.4496023,8.055759
20,48.93807688,5.098138
21,36.90117142,4.707096
22,23.99379186,5.252929
23,45.24484467,3.479298
24,35.10531265,3.939747
25,26.39404993,3.352684
26,44.31917593,5.81349
27,15.25443165,3.273974
28,50.3733762,4.605652
29,60.3874847,5.392101
30,10.65991296,4.707204
31,57.92207162,0.4659402
32,34.07705051,4.319606
33,42.92960343,4.956
34,20.96552424,4.570173
35,50.44305257,2.712875
36,32.20745531,9.384898
37,59.96083326,6.37429
38,42.86342762,2.654759
39,42.23276522,1.353558
40,50.7936216,2.646961
41,44.74605605,1.774257
42,72.93729266,15.10492
43,23.58475177,NaN
44,40.91199291,12.11788
45,42.20361944,5.612597
46,27.84379799,6.345356
47,56.17132392,5.552822
48,28.7903784,2.507535
49,32.06461089,4.140451
50,50.66256136,3.974013
51,43.69292892,5.562091
52,39.01888793,6.681155
53,30.21788361,0.00131494
54,15.15037979,4.646825
55,46.16438615,3.74802
56,46.25047317,3.26052
57,47.06395779,6.016589
58,41.36844776,6.337145
59,44.09846489,7.291243
60,27.10435118,15.26283
61,45.72021899,2.082798
62,25.47806084,3.9741
63,18.15071344,3.936683
64,28.25003584,4.390553
65,60.76475787,3.544275
66,27.34859153,2.956515
67,41.73490164,3.664334
68,50.955542,1.042199
69,31.74196918,2.323777
70,40.87842021,3.624405
71,42.45414366,3.528316
72,40.67457014,6.057836
73,38.35172828,10.20453
74,15.60697713,2.31935
75,50.94551825,2.972557
76,47.31038908,3.748603
77,31.86180072,8.046739
78,39.2434261,3.301061
79,36.33577889,4.647199
80,56.42361678,4.186874
81,41.94008557,5.02212
82,15.94885523,8.088101
83,40.75222688,6.522824
84,22.50330999,4.064577
85,43.3849346,8.225616
86,50.84384657,8.647285
87,32.71638648,8.375804
88,35.02883176,4.900848
89,37.9878194,13.85084
90,28.9941705,6.301774
91,39.50605321,5.713021
92,16.45872709,1.472674
93,36.34139347,1.911195
94,42.56789477,13.52788
95,31.85237796,9.81971
96,44.11559307,2.972623
97,28.63291972,8.081551
98,32.89076489,1.678554
99,11.51209329,1.972382
100,21.02951397,2.323774
101,26.08221179,2.930712
102,25.40602237,2.655535
103,54.90294834,5.143464
104,43.57661316,4.264043
105,21.50090225,4.829049
106,36.18169526,0.3298196
107,39.58081129,4.707158
108,48.0078623,2.651127
109,17.98872853,3.03751
110,32.97591959,9.150734
111,9.21399268,3.72587
112,43.0920594,5.43889
113,59.7151594,4.957551
114,22.85490243,2.83325
115,52.04115204,13.93458
116,50.30353098,4.309066
117,57.55344848,1.038401
118,39.51949451,11.33366
119,27.31768164,1.315578
120,14.94728009,4.474817
121,35.24892653,5.115823
122,35.5188374,3.936497
123,50.12735532,2.639175
124,43.36541651,11.27673
125,34.15165423,2.082129
126,37.68271601,9.436912
127,42.2764872,9.935333
128,16.77448479,2.649635
129,44.8701256,0.7342093
130,33.35527965,4.448774
131,45.53107759,6.047303
132,44.74527551,3.224198
133,39.46629079,2.97676
