,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
0,NaN,-63.74087693,0.21450314,0.21445556,0.21445556,0.21445556,0.21445556,0.21445556,0.21453486,0.21453486
1,NaN,-63.32313627,0.99875553,0.99883865,0.99883865,0.99883865,0.99883865,0.99883865,0.99870012,0.99870012
2,NaN,-63.01007276,0.50684459,0.50684573,0.50684573,0.50684573,0.50684573,0.50684573,0.50684383,0.50684383
3,NaN,-63.27941309,0.41741159,0.41739782,0.41739782,0.41739782,0.41739782,0.41739782,0.41742076,0.41742076
4,NaN,-63.37521394,0.32768417,0.32765545,0.32765545,0.32765545,0.32765545,0.32765545,0.32770331,0.32770331
5,55.15597077,-63.71115983,0.52899688,0.52900172,0.52900172,0.52900172,0.52900172,0.52900172,0.52899366,0.52899366
6,79.4589143,-63.96403197,0.99947402,0.99955726,0.99955726,0.99955726,0.99955726,0.99955726,0.99941853,0.99941853
7,69.90681117,-63.67726494,0.85099549,0.85105398,0.85105398,0.85105398,0.85105398,0.85105398,0.8509565,0.8509565
8,48.51313897,-63.84179757,0.43400305,0.43399205,0.43399205,0.43399205,0.43399205,0.43399205,0.43401038,0.43401038
9,33.20267437,-63.62606468,0.13169229,0.13163092,0.13163092,0.13163092,0.13163092,0.13163092,0.13173321,0.13173321
10,44.04562498,-63.21396511,0.60312213,0.60313932,0.60313932,0.60313932,0.60313932,0.60313932,0.60311067,0.60311067
11,50.71987884,-63.52260455,0.56164306,0.56165333,0.56165333,0.56165333,0.56165333,0.56165333,0.56163621,0.56163621
12,43.7988495,-63.54288525,0.49640361,0.49640301,0.49640301,0.49640301,0.49640301,0.49640301,0.49640401,0.49640401
13,NaN,-63.22723109,0.7314824,0.73152098,0.73152098,0.73152098,0.73152098,0.73152098,0.73145668,0.73145668
14,NaN,-63.24438428,0.59545296,0.59546886,0.59546886,0.59546886,0.59546886,0.59546886,0.59544235,0.59544235
15,51.42612096,-63.41835928,0.70160748,0.70164107,0.70164107,0.70164107,0.70164107,0.70164107,0.70158508,0.70158508
16,55.90274185,-63.14581055,0.60851304,0.60853112,0.60853112,0.60853112,0.60853112,0.60853112,0.60850098,0.60850098
17,51.36326555,-63.66069461,0.01390477,0.01382376,0.01382376,0.01382376,0.01382376,0.01382376,0.01395877,0.01395877
18,40.09300961,-63.18745508,0.39230314,0.3922852,0.3922852,0.3922852,0.3922852,0.3922852,0.39231511,0.39231511
19,NaN,-63.21877489,0.2339319,0.23388756,0.23388756,0.23388756,0.23388756,0.23388756,0.23396146,0.23396146
20,NaN,-63.18317038,0.80340875,0.80345931,0.80345931,0.80345931,0.80345931,0.80345931,0.80337504,0.80337504
21,NaN,-63.18473224,0.8559502,0.85600952,0.85600952,0.85600952,0.85600952,0.85600952,0.85591066,0.85591066
22,NaN,-63.37863458,0.01979922,0.01971919,0.01971919,0.01971919,0.01971919,0.01971919,0.01985257,0.01985257
23,55.9473,-63.55446968,0.28053506,0.28049849,0.28049849,0.28049849,0.28049849,0.28049849,0.28055945,0.28055945
24,NaN,-63.07956421,0.23507852,0.23503437,0.23503437,0.23503437,0.23503437,0.23503437,0.23510795,0.23510795
25,32.0812548,-63.55209842,0.05935425,0.05928082,0.05928082,0.05928082,0.05928082,0.05928082,0.05940321,0.05940321
26,NaN,-63.25215916,0.52661943,0.52662387,0.52662387,0.52662387,0.52662387,0.52662387,0.52661647,0.52661647
27,54.95413898,-63.54644464,0.23924536,0.2392019,0.2392019,0.2392019,0.2392019,0.2392019,0.23927433,0.23927433
28,84.16932638,-63.8318844,0.99228914,0.99237118,0.99237118,0.99237118,0.99237118,0.99237118,0.99223445,0.99223445
29,114.12177895,-63.73354048,0.6796776,0.67970754,0.67970754,0.67970754,0.67970754,0.67970754,0.67965764,0.67965764
30,NaN,-63.24666655,0.03345651,0.03337876,0.03337876,0.03337876,0.03337876,0.03337876,0.03350834,0.03350834
31,53.70600597,-63.54584023,0.68645855,0.68648962,0.68648962,0.68648962,0.68648962,0.68648962,0.68643784,0.68643784
32,53.73249604,-63.8362279,0.0832369,0.08316745,0.08316745,0.08316745,0.08316745,0.08316745,0.0832832,0.0832832
33,NaN,-63.12066354,0.61186477,0.61188341,0.61188341,0.61188341,0.61188341,0.61188341,0.61185234,0.61185234
34,66.6662186,-63.97404907,0.69025737,0.69028908,0.69028908,0.69028908,0.69028908,0.69028908,0.69023624,0.69023624
35,52.10449265,-63.96371262,0.00535512,0.00527269,0.00527269,0.00527269,0.00527269,0.00527269,0.00541007,0.00541007
36,35.04761755,-63.1576194,0.36018972,0.36016642,0.36016642,0.36016642,0.36016642,0.36016642,0.36020526,0.36020526
37,49.73026935,-63.54290418,0.62617989,0.62620092,0.62620092,0.62620092,0.62620092,0.62620092,0.62616587,0.62616587
38,47.80089425,-63.10311057,0.64217652,0.64220021,0.64220021,0.64220021,0.64220021,0.64220021,0.64216072,0.64216072
39,NaN,-63.35483711,0.96611952,0.9661972,0.9661972,0.9661972,0.9661972,0.9661972,0.96606773,0.96606773
40,NaN,-63.40722432,0.40249377,0.40247752,0.40247752,0.40247752,0.40247752,0.40247752,0.40250461,0.40250461
41,NaN,-63.39928826,0.4401729,0.44016293,0.44016293,0.44016293,0.44016293,0.44016293,0.44017955,0.44017955
42,46.70521482,-63.52549322,0.60124747,0.60126435,0.60126435,0.60126435,0.60126435,0.60126435,0.60123622,0.60123622
43,117.47616007,-63.50969946,0.99989201,0.99997532,0.99997532,0.99997532,0.99997532,0.99997532,0.99983647,0.99983647
44,NaN,-63.21328205,0.93217838,0.9322504,0.9322504,0.9322504,0.9322504,0.9322504,0.93213036,0.93213036
45,50.93403446,-63.61364109,0.53554317,0.53554909,0.53554909,0.53554909,0.53554909,0.53554909,0.53553922,0.53553922
46,NaN,-63.19078754,0.94816137,0.94823606,0.94823606,0.94823606,0.94823606,0.94823606,0.94811158,0.94811158
47,66.94546019,-63.67944511,0.78596808,0.78601574,0.78601574,0.78601574,0.78601574,0.78601574,0.78593631,0.78593631
48,78.62124136,-63.54367695,0.84735991,0.8474178,0.8474178,0.8474178,0.8474178,0.8474178,0.84732132,0.84732132
49,46.73267016,-63.94171618,0.46143473,0.4614283,0.4614283,0.4614283,0.4614283,0.4614283,0.46143901,0.46143901
50,62.64825171,-63.04124513,0.70461996,0.70465406,0.70465406,0.70465406,0.70465406,0.70465406,0.70459722,0.70459722
51,NaN,-63.42153601,0.58518589,0.58520009,0.58520009,0.58520009,0.58520009,0.58520009,0.58517643,0.58517643
52,NaN,-63.21633001,0.80518422,0.80523508,0.80523508,0.80523508,0.80523508,0.80523508,0.80515031,0.80515031
53,51.87060509,-63.90691166,0.13059085,0.13052929,0.13052929,0.13052929,0.13052929,0.13052929,0.13063189,0.13063189
54,NaN,-63.24896337,0.73889949,0.7389393,0.7389393,0.7389393,0.7389393,0.7389393,0.73887295,0.73887295
55,NaN,-63.29300442,0.86099679,0.86105695,0.86105695,0.86105695,0.86105695,0.86105695,0.86095668,0.86095668
56,NaN,-63.28426088,0.72193616,0.72197315,0.72197315,0.72197315,0.72197315,0.72197315,0.72191151,0.72191151
57,57.84661428,-63.63132935,0.77326685,0.77331239,0.77331239,0.77331239,0.77331239,0.77331239,0.77323649,0.77323649
58,NaN,-63.19906138,0.27907709,0.27904027,0.27904027,0.27904027,0.27904027,0.27904027,0.27910163,0.27910163
59,50.82653045,-63.53915652,0.43048319,0.43047161,0.43047161,0.43047161,0.43047161,0.43047161,0.43049092,0.43049092
60,NaN,-63.4304307,0.04396766,0.04389167,0.04389167,0.04389167,0.04389167,0.04389167,0.04401833,0.04401833
61,NaN,-63.42125075,0.54792391,0.54793189,0.54793189,0.54793189,0.54793189,0.54793189,0.54791858,0.54791858
62,49.15843571,-63.59485042,0.09046081,0.09039256,0.09039256,0.09039256,0.09039256,0.09039256,0.09050631,0.09050631
63,NaN,-63.50590424,0.2443908,0.2443482,0.2443482,0.2443482,0.2443482,0.2443482,0.2444192,0.2444192
64,NaN,-63.4879031,0.03784494,0.03776792,0.03776792,0.03776792,0.03776792,0.03776792,0.03789629,0.03789629
65,42.44330323,-63.81788429,0.45676809,0.45676089,0.45676089,0.45676089,0.45676089,0.45676089,0.45677289,0.45677289
66,45.05369056,-63.64332651,0.43930618,0.43929607,0.43929607,0.43929607,0.43929607,0.43929607,0.43931292,0.43931292
67,NaN,-63.14300741,0.93610402,0.93617669,0.93617669,0.93617669,0.93617669,0.93617669,0.93605557,0.93605557
68,36.82414136,-63.0073986,0.19546965,0.1954189,0.1954189,0.1954189,0.1954189,0.1954189,0.19550348,0.19550348
69,NaN,-63.13958011,0.91653432,0.91660373,0.91660373,0.91660373,0.91660373,0.91660373,0.91648804,0.91648804
70,NaN,-63.45386255,0.4439791,0.44396976,0.44396976,0.44396976,0.44396976,0.44396976,0.44398532,0.44398532
71,NaN,-63.23467633,0.28300823,0.28297207,0.28297207,0.28297207,0.28297207,0.28297207,0.28303233,0.28303233
72,68.37823404,-63.83028603,0.61451817,0.61453726,0.61453726,0.61453726,0.61453726,0.61453726,0.61450545,0.61450545
73,NaN,-63.32158903,0.71061213,0.71064723,0.71064723,0.71064723,0.71064723,0.71064723,0.71058873,0.71058873
74,50.28649646,-63.72650808,0.36646879,0.36644654,0.36644654,0.36644654,0.36644654,0.36644654,0.36648363,0.36648363
75,48.61476686,-63.88638444,0.43892735,0.43891718,0.43891718,0.43891718,0.43891718,0.43891718,0.43893414,0.43893414
76,52.0289734,-63.65315006,0.52256209,0.52256585,0.52256585,0.52256585,0.52256585,0.52256585,0.52255958,0.52255958
77,110.82939491,-63.15171324,0.80156917,0.80161942,0.80161942,0.80161942,0.80161942,0.80161942,0.80153566,0.80153566
78,31.07993095,-63.1799505,0.38732697,0.3873082,0.3873082,0.3873082,0.3873082,0.3873082,0.38733949,0.38733949
79,50.9882386,-63.9774082,0.20989087,0.20984253,0.20984253,0.20984253,0.20984253,0.20984253,0.2099231,0.2099231
80,55.08283428,-63.96236607,0.02923959,0.02916114,0.02916114,0.02916114,0.02916114,0.02916114,0.02929189,0.02929189
81,98.87277196,-63.14958346,0.69244171,0.69247378,0.69247378,0.69247378,0.69247378,0.69247378,0.69242033,0.69242033
82,NaN,-63.36846015,0.0484626,0.04838735,0.04838735,0.04838735,0.04838735,0.04838735,0.04851276,0.04851276
83,NaN,-63.34446235,0.24494454,0.24490203,0.24490203,0.24490203,0.24490203,0.24490203,0.24497287,0.24497287
84,51.19658625,-63.70504737,0.43490649,0.43489565,0.43489565,0.43489565,0.43489565,0.43489565,0.43491372,0.43491372
85,37.19971692,-63.23540296,0.38047548,0.38045556,0.38045556,0.38045556,0.38045556,0.38045556,0.38048876,0.38048876
86,75.5583213,-63.9419151,0.74452762,0.74456837,0.74456837,0.74456837,0.74456837,0.74456837,0.74450045,0.74450045
87,NaN,-63.15162212,0.98621609,0.98629712,0.98629712,0.98629712,0.98629712,0.98629712,0.98616207,0.98616207
88,61.72142323,-63.98712656,0.6504601,0.65048517,0.65048517,0.65048517,0.65048517,0.65048517,0.65044338,0.65044338
89,209.82218561,-63.66929929,0.98276513,0.98284558,0.98284558,0.98284558,0.98284558,0.98284558,0.98271149,0.98271149
90,NaN,-63.62753871,0.84915138,0.84920957,0.84920957,0.84920957,0.84920957,0.84920957,0.84911259,0.84911259
91,67.36308962,-63.40618286,0.77994077,0.77998742,0.77998742,0.77998742,0.77998742,0.77998742,0.77990967,0.77990967
