,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-44.74087693,-23.10096031,11.0,255:134:134
1,-44.32313627,-22.001822,1.0,255:244:244
2,-44.01007276,-22.69124056,13.0,255:111:111
3,-44.27941309,-22.8165819,9.0,155:155:255
4,-44.37521394,-22.94233586,1.0,255:244:244
5,-44.71115983,-22.66019388,36.0,255:0:0
6,-44.96403197,-22.00081502,3.0,255:222:222
7,-44.67726494,-22.20890931,6.0,255:189:189
8,-44.84179757,-22.79332879,3.0,255:222:222
9,-44.62606468,-23.21702061,2.0,255:233:233
10,-44.21396511,-22.55630654,5.0,199:199:255
11,-44.52260455,-22.61443991,3.0,255:222:222
12,-44.54288525,-22.70587371,3.0,255:222:222
13,-44.22723109,-22.37640822,7.0,255:178:178
14,-44.24438428,-22.56705497,0.0,255:255:255
15,-44.41835928,-22.41827825,2.0,255:233:233
16,-44.14581055,-22.54875112,2.0,232:232:255
17,-44.18745508,-22.85177165,15.0,88:88:255
18,-44.18317038,-22.27560265,4.0,255:211:211
19,-44.18473224,-22.20196523,7.0,177:177:255
20,-44.55446968,-23.00841584,5.0,199:199:255
21,-44.25215916,-22.66352591,3.0,255:222:222
22,-44.8318844,-22.01088471,6.0,188:188:255
23,-44.73354048,-22.44901321,13.0,255:111:111
24,-44.54584023,-22.43950963,2.0,255:233:233
25,-44.8362279,-23.28493138,2.0,232:232:255
26,-44.12066354,-22.54405363,5.0,199:199:255
27,-44.97404907,-22.43418554,23.0,255:0:0
28,-44.1576194,-22.89677897,2.0,255:233:233
29,-44.54290418,-22.52399084,20.0,255:34:34
30,-44.10311057,-22.50157138,7.0,177:177:255
31,-44.35483711,-22.04756173,8.0,166:166:255
32,-44.40722432,-22.83748938,12.0,255:122:122
33,-44.39928826,-22.78468166,4.0,210:210:255
34,-44.52549322,-22.55893389,2.0,255:233:233
35,-44.50969946,-22.00022921,5.0,255:200:200
36,-44.21328205,-22.09513061,4.0,255:211:211
37,-44.61364109,-22.65101919,1.0,255:244:244
38,-44.19078754,-22.07273026,3.0,255:222:222
39,-44.67944511,-22.30004594,15.0,255:89:89
40,-44.54367695,-22.21400461,15.0,255:89:89
41,-44.94171618,-22.75488298,7.0,177:177:255
42,-44.04124513,-22.41405623,17.0,255:67:67
43,-44.42153601,-22.58144438,9.0,155:155:255
44,-44.21633001,-22.27311431,5.0,255:200:200
45,-44.90691166,-23.2185643,1.0,243:243:255
46,-44.24896337,-22.36601309,0.0,255:255:255
47,-44.29300442,-22.19489238,3.0,221:221:255
48,-44.28426088,-22.38978737,5.0,199:199:255
49,-44.63132935,-22.31784685,28.0,255:0:0
50,-44.19906138,-23.01045921,9.0,155:155:255
51,-44.53915652,-22.7982619,2.0,255:233:233
52,-44.42125075,-22.63366745,4.0,255:211:211
53,-44.59485042,-23.27480699,3.0,255:222:222
54,-44.81788429,-22.76142333,14.0,255:100:100
55,-44.64332651,-22.78589638,10.0,255:145:145
56,-44.14300741,-22.08962878,6.0,255:189:189
57,-44.13958011,-22.11705593,6.0,255:189:189
58,-44.45386255,-22.77934724,4.0,210:210:255
59,-44.23467633,-23.00494968,9.0,155:155:255
60,-44.83028603,-22.54033486,15.0,255:89:89
61,-44.32158903,-22.40565813,6.0,188:188:255
62,-44.72650808,-22.88797878,2.0,255:233:233
63,-44.88638444,-22.78642732,11.0,255:134:134
64,-44.65315006,-22.66921232,13.0,255:111:111
65,-44.15171324,-22.27818085,11.0,255:134:134
66,-44.1799505,-22.85874581,17.0,66:66:255
67,-44.9774082,-23.10742445,16.0,255:78:78
68,-44.96236607,-23.3606092,9.0,255:156:156
69,-44.14958346,-22.43112418,11.0,255:134:134
70,-44.70504737,-22.7920626,3.0,255:222:222
71,-44.23540296,-22.86834825,10.0,144:144:255
72,-44.9419151,-22.3581252,5.0,255:200:200
73,-44.15162212,-22.01939616,28.0,255:0:0
74,-44.98712656,-22.48996186,0.0,255:255:255
75,-44.66929929,-22.02423272,1.0,255:244:244
76,-44.62753871,-22.21149385,12.0,121:121:255
77,-44.40618286,-22.30849329,1.0,255:244:244
78,-44.65038699,-22.96370863,1.0,255:244:244
79,-44.25027147,-22.71428119,1.0,255:244:244
80,-44.35491551,-22.65361598,9.0,255:156:156
81,-44.75174283,-23.25053394,1.0,243:243:255
82,-44.47633999,-22.2267796,11.0,255:134:134
83,-44.8401881,-22.8968793,3.0,221:221:255
84,-44.28301832,-22.8856956,2.0,255:233:233
85,-44.27691909,-22.02623651,1.0,243:243:255
86,-44.8640015,-23.15700731,6.0,255:189:189
87,-44.40846064,-22.1207877,14.0,255:100:100
88,-44.12800326,-22.46144693,13.0,110:110:255
