,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
112,-47.41560784,-22.99091949,4.95014297,255:117:117
113,-47.82168814,-22.46570916,4.25290582,255:136:136
114,-47.58426306,-22.10921496,8.78082946,255:10:10
115,-47.8715908,-22.74122702,4.30257008,255:135:135
116,-47.71896242,-22.2592467,10.71512161,255:0:0
117,-47.85993492,-22.1427604,7.65195754,255:41:41
118,-47.25673422,-22.73250207,1.74438331,255:207:207
119,-47.36725039,-22.10194038,6.47672515,255:74:74
120,-47.76606898,-22.98035193,6.44557778,255:75:75
121,-47.07574829,-22.9800188,20.35411686,255:0:0
122,-47.0260924,-22.15751623,1.8390259,255:204:204
123,-47.13764638,-22.5977401,2.81858028,255:177:177
124,-47.13994388,-22.92147958,3.37530544,255:161:161
125,-47.93005968,-22.69490031,3.57469279,255:155:155
126,-47.88281919,-22.23305457,17.6238444,255:0:0
127,-47.2958822,-22.27462369,0.3910429,244:244:255
128,-47.32009163,-22.87178288,5.25573775,255:108:108
129,-47.93070657,-22.32234939,1.3422142,255:218:218
130,-47.52567198,-22.98014568,7.30220532,255:51:51
131,-47.67043509,-22.71970673,4.54704687,255:128:128
132,-47.00400112,-22.5279752,4.936974,255:117:117
133,-47.70182908,-22.52521124,4.31307808,255:135:135
134,-47.96374071,-22.02829577,2.93247126,255:173:173
135,-47.8987083,-22.37754876,3.39997434,255:160:160
136,-47.88988545,-22.82200253,3.40534347,255:160:160
137,-47.91042312,-22.5550859,4.93163445,255:117:117
138,-47.30340252,-22.82779484,4.92276211,255:118:118
139,-47.41419499,-22.41463875,4.246933,255:137:137
140,-47.58240295,-22.66233425,8.84988362,255:8:8
141,-47.24416165,-22.35283992,4.76818346,255:122:122
142,-47.5660414,-22.48192384,6.02870612,255:87:87
143,-47.9914217,-22.95634344,5.83264612,255:92:92
144,-47.35409934,-22.66684943,3.34904232,255:162:162
145,-47.63066269,-22.27890958,5.1811189,255:110:110
146,-47.83069139,-22.75917783,4.76671959,255:122:122
147,-47.64193283,-22.44360618,6.5363317,255:72:72
148,-47.74008125,-22.72481385,7.56423688,255:44:44
149,-47.27379301,-22.99482066,4.26784884,255:136:136
150,-47.60268415,-22.11493405,6.37643539,255:77:77
151,-47.93326778,-22.19232828,8.9808225,3:3:255
152,-47.45278889,-22.73868363,4.08708687,255:141:141
153,-47.29582656,-22.78503181,3.52378781,255:157:157
154,-47.43919225,-22.17024568,3.53920258,255:156:156
155,-47.16183378,-22.04428419,2.14393757,255:195:195
156,-47.32787555,-22.09214628,3.1305102,255:168:168
157,-47.30067836,-22.70895775,6.77234113,255:66:66
158,-47.36389051,-22.06165517,2.37669316,255:189:189
159,-47.8523297,-22.09785955,15.72446017,255:0:0
160,-47.01069508,-22.27575483,11.68427378,255:0:0
161,-47.79523364,-22.64415262,7.82116506,255:36:36
162,-47.05881819,-22.34224422,5.60399323,255:99:99
163,-47.30534185,-22.23872435,1.81859305,255:205:205
164,-47.78468985,-22.01068667,6.39439228,255:76:76
165,-47.45209164,-22.15106015,3.79007779,255:149:149
166,-47.79929625,-22.33584368,6.63848104,255:70:70
167,-47.06720297,-22.15925359,3.89176502,145:145:255
168,-47.35638195,-22.55765147,3.39386395,255:160:160
169,-47.79381784,-22.9260221,5.71723746,255:95:95
170,-47.39919548,-22.13181519,5.76731066,255:94:94
171,-47.37034215,-22.38120291,6.32482246,255:78:78
172,-47.93439454,-22.92299312,5.43423282,255:103:103
173,-47.19890157,-22.07155883,5.18973484,255:110:110
174,-47.34509445,-22.06860912,0.12596005,251:251:255
175,-47.57819764,-22.86457883,4.75925918,255:122:122
176,-47.56903868,-22.19691494,12.39530674,255:0:0
177,-47.64277271,-22.80109991,9.5331866,255:0:0
178,-47.83941971,-22.85505078,5.4135446,255:104:104
179,-47.17822818,-22.9981785,6.42099796,255:76:76
180,-47.31093897,-22.42696673,4.80413425,255:121:121
181,-47.31004374,-22.19977969,4.98030145,255:116:116
182,-47.64940737,-22.38678054,3.14948099,255:167:167
183,-47.78343313,-22.29090653,5.01064067,255:115:115
184,-47.26775927,-22.46905156,3.82591839,255:148:148
185,-47.96008839,-22.11467562,3.69128798,255:152:152
186,-47.70992182,-22.25237308,8.38614404,255:21:21
187,-47.2327385,-22.10032153,0.9823717,255:228:228
188,-47.41252299,-22.22195195,6.34382672,255:78:78
189,-47.55749731,-22.86863665,7.40283788,255:48:48
190,-47.07744816,-22.51340935,7.06868164,255:57:57
191,-47.20116724,-22.19416599,4.72703326,255:123:123
192,-47.95987085,-22.17157348,0.0960267200001,255:253:253
193,-47.34908994,-22.64392953,6.349459,255:78:78
194,-47.53794674,-22.16232059,2.92650144,255:174:174
195,-47.64129893,-22.30575711,3.34365222,255:162:162
196,-47.07180882,-22.20772148,16.9639369,255:0:0
197,-47.98411357,-22.81825234,3.93684348,255:145:145
198,-47.37510409,-22.99144019,8.00612537,255:31:31
199,-47.94942739,-22.84455468,4.37122322,255:133:133
200,-47.48538949,-22.267348,4.58999734,255:127:127
201,-47.93500036,-22.14978084,3.70170549,255:152:152
202,-47.18459251,-22.17978516,11.56834367,0:0:255
203,-47.47620803,-22.30409292,2.48819399,255:186:186
204,-47.63403704,-22.37004311,4.06511028,255:142:142
205,-47.93043282,-22.28400536,4.81723726,120:120:255
206,-47.33539324,-22.65716723,3.87296443,255:147:147
207,-47.04748889,-22.18150849,4.84581136,255:120:120
208,-47.83394026,-22.48843328,5.71524691,255:95:95
209,-47.20521553,-22.01798735,2.47018413,255:186:186
210,-47.62655332,-22.12795333,5.78963019,255:93:93
211,-47.61335479,-22.41248338,7.06813746,255:57:57
212,-47.85854374,-22.2105495,5.18218406,255:110:110
213,-47.49416529,-22.92274569,7.00815072,255:59:59
214,-47.74681681,-22.12192923,4.08837409,255:141:141
215,-47.26097134,-22.72454175,4.08960348,255:141:141
216,-47.56848586,-22.15372694,4.26794016,255:136:136
217,-47.03839226,-22.24782808,5.13268809,255:112:112
218,-47.429655,-22.6331673,6.08887219,255:85:85
219,-47.29025964,-22.227911,4.02355155,255:143:143
220,-47.40155837,-22.25890536,5.7140455,255:95:95
221,-47.66730043,-22.360412,20.88124295,255:0:0
222,-47.30594959,-22.05858278,5.99296905,255:88:88
223,-47.21330113,-22.06982169,3.6660008,255:153:153
224,-47.26696629,-22.68715227,4.08579118,255:141:141
225,-47.80061506,-22.79181703,8.3411512,255:22:22
226,-47.72396697,-22.45813153,2.55640078,255:184:184
227,-47.67308089,-22.66404538,7.44100673,255:47:47
228,-47.39929469,-22.64178966,3.32533665,255:162:162
229,-47.06084855,-22.1550264,1.69761863,207:207:255
230,-47.54868141,-22.53362877,5.33079589,255:106:106
231,-47.8310142,-22.7271464,3.55537829,255:156:156
232,-47.78845952,-22.71275543,6.99499961,255:60:60
233,-47.97382078,-22.77626403,2.71806864,255:179:179
234,-47.72171983,-22.52135181,5.88736496,255:91:91
235,-47.61383053,-22.97647035,4.36626142,255:133:133
236,-47.05023024,-22.77598437,5.10172949,255:113:113
237,-47.88600721,-22.76103498,4.68326107,255:124:124
238,-47.19534284,-22.97645347,5.77536428,255:94:94
239,-47.87885017,-22.50805028,8.72900041,255:11:11
240,-47.78473116,-22.14898543,12.14799789,255:0:0
241,-47.96232499,-22.94011541,7.51346461,255:45:45
242,-47.51945322,-22.70940492,6.37354262,255:77:77
243,-47.5143949,-22.7267491,6.05468131,255:86:86
244,-47.19410218,-22.00188421,2.25329618,255:192:192
245,-47.71308435,-22.6542041,3.77319148,255:150:150
246,-47.61451844,-22.13398124,7.40219849,255:48:48
247,-47.37281528,-22.66306544,5.84467172,255:92:92
248,-47.7110489,-22.42657683,5.45157869,255:103:103
249,-47.49770727,-22.71837451,4.91593636,255:118:118
250,-47.09476371,-22.67359748,5.46970784,255:102:102
251,-47.79305726,-22.01372688,3.76253637,255:150:150
252,-47.70253066,-22.37901567,2.63395096,255:182:182
253,-47.47579905,-22.13077497,6.91188865,255:62:62
254,-47.38867144,-22.52212189,4.94672545,255:117:117
255,-47.03536804,-22.48472238,4.59962809,255:127:127
256,-47.64189515,-22.81285404,5.3908476,255:104:104
257,-47.4304774,-22.7665194,7.51475146,255:45:45
258,-47.04571809,-22.79378396,7.19662398,255:54:54
259,-47.8720708,-22.70965083,3.15908166,255:167:167
260,-47.03231318,-22.92667687,7.30702085,255:51:51
261,-47.22861958,-22.43032097,6.07482731,255:85:85
262,-47.21177392,-22.45473181,3.81247718,255:149:149
263,-47.67660854,-22.14267787,0.90314127,255:230:230
264,-47.4677193,-22.8399241,6.00196397,255:87:87
265,-47.65885785,-22.37370205,3.32366473,255:162:162
266,-47.72744235,-22.38957449,7.95875661,255:33:33
267,-47.8714322,-22.87911578,8.30965122,255:23:23
268,-47.54731656,-22.3105832,3.44566367,255:159:159
269,-47.29858803,-22.74874461,7.43644383,255:47:47
270,-47.56495691,-22.70639367,2.53761213,255:184:184
271,-47.44882818,-22.09841257,4.86732216,255:119:119
272,-47.53812883,-22.00512339,4.05164618,255:142:142
273,-47.50068259,-22.14513072,8.35654505,255:21:21
274,-47.01559231,-22.06287399,0.0285931100001,255:255:255
275,-47.30435753,-22.03052484,2.46664464,255:186:186
276,-47.18852592,-22.35042726,6.19432132,255:82:82
277,-47.70061928,-22.40609302,5.23743674,255:109:109
278,-47.80076512,-22.24715564,5.05952522,255:114:114
279,-47.32900395,-22.5592459,6.55280716,255:72:72
280,-47.5249261,-22.23923231,7.54577063,255:44:44
281,-47.96382576,-22.54790429,6.28273185,255:79:79
282,-47.97035698,-22.76565553,2.79544221,255:177:177
283,-47.0240638,-22.35268315,3.09522196,255:169:169
284,-47.76419261,-22.7535349,6.05099678,255:86:86
285,-47.00655166,-22.91336309,3.8234992,255:148:148
286,-47.41992125,-22.27545688,5.88631105,255:91:91
287,-47.93479727,-22.07496995,8.96168098,255:4:4
288,-47.20515582,-22.12137021,1.31848045,255:219:219
289,-47.11373838,-22.40968455,6.58602406,255:71:71
290,-47.18734104,-22.80308105,5.80472915,255:93:93
291,-47.46931078,-22.62332289,5.53996396,255:100:100
292,-47.54315627,-22.16632283,4.1078692,255:140:140
293,-47.27326519,-22.94320964,6.49776266,255:73:73
294,-47.44657541,-22.96980216,4.27993994,255:136:136
295,-47.87434442,-22.55520925,13.47625789,255:0:0
296,-47.00983558,-22.45913136,4.42451487,255:132:132
297,-47.07358474,-22.23595959,3.85088018,255:148:148
298,-47.60311825,-22.50454425,4.33436311,255:134:134
299,-47.89775979,-22.04178737,7.59805201,255:43:43
300,-47.96429858,-22.97803637,6.00182773,255:87:87
301,-47.14397293,-22.25146209,3.78966148,255:149:149
302,-47.89883507,-22.98033409,6.51764805,255:73:73
303,-47.26860194,-22.69166773,3.54999733,255:156:156
304,-47.54830004,-22.64842119,9.46289702,255:0:0
305,-47.12313478,-22.26926867,4.77728757,255:122:122
306,-47.97344283,-22.72392081,2.08440844,255:197:197
307,-47.78155711,-22.83478158,5.00399734,255:115:115
308,-47.12371943,-22.31026968,3.79367283,255:149:149
309,-47.83932942,-22.41959739,4.95457362,255:117:117
310,-47.41094172,-22.68828779,4.16619703,255:139:139
311,-47.867237,-22.00672894,5.01802872,255:115:115
312,-47.90109694,-22.17960048,18.58118878,0:0:255
313,-47.88698223,-22.55262609,6.07727592,255:85:85
314,-47.16105117,-22.66527242,0.42072368,243:243:255
315,-47.86865179,-22.11202653,1.23758852,220:220:255
316,-47.26860883,-22.28104407,4.19432669,255:138:138
317,-47.45128982,-22.89280908,7.66997314,255:41:41
318,-47.09178033,-22.67439844,5.02212994,255:115:115
319,-47.30502924,-22.51843031,2.28619612,255:191:191
320,-47.27613099,-22.76494363,6.87785629,255:63:63
321,-47.72082287,-22.87949894,4.83166996,255:120:120
322,-47.75768155,-22.77146179,2.97532448,255:172:172
323,-47.5862088,-22.10783397,8.52527477,255:17:17
324,-47.81292072,-22.94374338,3.56528368,255:156:156
325,-47.74269195,-22.17405447,8.02176826,255:31:31
326,-47.70147843,-22.65666819,6.39425049,255:76:76
327,-47.51547727,-22.31163684,1.82349865,255:204:204
328,-47.64325942,-22.82706547,5.86817733,255:91:91
329,-47.11644105,-22.41406035,2.45199189,255:187:187
330,-47.42138494,-22.56059698,7.21039334,255:54:54
331,-47.47908016,-22.63504829,6.85257973,255:64:64
332,-47.39483781,-22.26897913,8.02059924,255:31:31
333,-47.53932295,-22.20145443,6.41116523,255:76:76
334,-47.19367138,-22.38348495,7.27688231,255:52:52
335,-47.13177947,-22.13629437,3.19825963,255:166:166
336,-47.20180105,-22.50886969,2.75602206,255:178:178
337,-47.25171656,-22.94805774,4.81607243,255:121:121
338,-47.63539507,-22.34893403,9.21506558,255:0:0
339,-47.2366484,-22.29948163,5.04754502,255:114:114
340,-47.21964917,-22.16148112,3.47788208,255:158:158
341,-47.77877075,-22.88466197,4.36797631,255:133:133
342,-47.60558146,-22.59992135,4.67418135,255:125:125
343,-47.86258537,-22.51594726,4.63062595,255:126:126
344,-47.99342812,-22.94272017,7.31428085,255:51:51
345,-47.71137845,-22.22450198,3.66415205,255:153:153
346,-47.38877147,-22.75882819,4.65220785,255:125:125
347,-47.56545791,-22.7758982,4.65294321,255:125:125
348,-47.37404524,-22.78438314,9.60859933,255:0:0
349,-47.35165034,-22.50530848,4.96647471,255:116:116
350,-47.18137796,-22.24312821,3.15028729,255:167:167
351,-47.33089028,-22.74326,5.40761727,255:104:104
352,-47.64966836,-22.24993528,1.677337,255:209:209
353,-47.89739597,-22.50350133,10.49545809,0:0:255
354,-47.54172445,-22.77653456,1.60645491,255:210:210
355,-47.71290168,-22.23078338,2.9710341,255:172:172
356,-47.95896774,-22.39979641,9.16635124,255:0:0
