,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos,srtm30_wgs84-tdx12,srtm30_wgs84-tdx30,srtm30_wgs84-aster30_wgs84,srtm30_wgs84-aw3d30_wgs84
23,-62.55446968,-0.71944055,39.07642,40.91286,47.0,40.24484467,52.0,45.24484467,NaN,NaN,1.16842467,-0.66801533,-5.0,NaN
24,-62.07956421,-0.76489205,36.43496,34.32174,38.0,30.10531265,43.0,35.10531265,42.0,34.10531265,-6.32964735,-4.21642735,-5.0,-4.0
25,-62.55209842,-0.94059679,22.3499,20.49538,29.0,22.39404993,33.0,26.39404993,NaN,NaN,0.04414993,1.89866993,-4.0,NaN
26,-62.25215916,-0.47338353,42.25453,42.22675,53.0,45.31917593,52.0,44.31917593,50.0,42.31869614,3.06464593,3.09242593,1.0,3.00047979
27,-62.54644464,-0.76072567,16.97046,17.08056,29.0,22.25443165,22.0,15.25443165,NaN,NaN,5.28397165,5.17387165,7.0,NaN
28,-62.8318844,-0.00776555,50.5747,48.56917,61.0,54.3733762,57.0,50.3733762,59.0,52.37293852,3.7986762,5.8042062,4.0,2.00043768
29,-62.73354048,-0.32034236,48.37162,47.63811,48.0,41.3874847,67.0,60.3874847,55.0,48.38702212,-6.9841353,-6.2506253,-19.0,-6.99953742
30,-62.24666655,-0.96649166,14.64308,15.06143,23.0,15.65991296,18.0,10.65991296,20.0,12.65922988,1.01683296,0.59848296,5.0,3.00068308
31,-62.54584023,-0.31356216,44.26449,45.61475,55.0,47.92207162,65.0,57.92207162,NaN,NaN,3.65758162,2.30732162,-10.0,NaN
32,-62.8362279,-0.9167168,21.20123,21.84988,31.0,25.07705051,40.0,34.07705051,30.0,24.07636735,3.87582051,3.22717051,-9.0,1.00068316
33,-62.12066354,-0.38814766,29.34905,29.90079,39.0,30.92960343,51.0,42.92960343,42.0,33.92981266,1.58055343,1.02881343,-12.0,-3.00020923
34,-62.97404907,-0.30976376,20.85405,32.81896,26.0,19.96552424,27.0,20.96552424,28.0,21.96507125,-0.88852576,-12.85343576,-1.0,-1.99954701
35,-62.96371262,-0.99458993,45.81927,44.47374,51.0,45.44305257,56.0,50.44305257,49.0,43.44236991,-0.37621743,0.96931257,-5.0,2.00068266
36,-62.1576194,-0.63979474,22.67601,24.23322,31.0,23.20745531,40.0,32.20745531,34.0,26.20765764,0.53144531,-1.02576469,-9.0,-3.00020233
37,-62.54290418,-0.37383413,49.91843,47.27879,57.0,49.96083326,67.0,59.96083326,NaN,NaN,0.04240326,2.68204326,-10.0,NaN
38,-62.10311057,-0.35783928,47.0537,44.86976,55.0,46.86342762,51.0,42.86342762,52.0,43.86363767,-0.19027238,1.99366762,4.0,2.99978995
39,-62.35483711,-0.03393227,42.54425,42.23356,52.0,44.23276522,50.0,42.23276522,NaN,NaN,1.68851522,1.99920522,2.0,NaN
40,-62.40722432,-0.59749539,41.54052,42.07059,51.0,43.7936216,58.0,50.7936216,NaN,NaN,2.2531016,1.7230316,-7.0,NaN
41,-62.39928826,-0.55982045,47.14899,47.82395,50.0,42.74605605,52.0,44.74605605,NaN,NaN,-4.40293395,-5.07789395,-2.0,NaN
42,-62.52549322,-0.39876378,48.16111,48.0097,57.0,49.93729266,80.0,72.93729266,NaN,NaN,1.77618266,1.92759266,-23.0,NaN
43,-62.50969946,-0.00016353,27.20493,27.27701,38.0,30.58475177,31.0,23.58475177,38.0,30.58430017,3.37982177,3.30774177,7.0,0.000451600000002
44,-62.21328205,-0.06786964,40.18849,39.67492,48.0,39.91199291,49.0,40.91199291,46.0,37.91152778,-0.27649709,0.23707291,-1.0,2.00046513
45,-62.61364109,-0.46446078,32.73994,32.82978,39.0,32.20361944,49.0,42.20361944,NaN,NaN,-0.53632056,-0.62616056,-10.0,NaN
46,-62.19078754,-0.05188842,36.13727,36.19576,44.0,35.84379799,36.0,27.84379799,43.0,34.84333293,-0.29347201,-0.35196201,8.0,1.00046506
47,-62.67944511,-0.21406369,47.20701,47.40134,56.0,49.17132392,63.0,56.17132392,55.0,48.17154451,1.96431392,1.76998392,-7.0,0.99977941
48,-62.54367695,-0.15267868,26.21796,26.52701,38.0,30.7903784,36.0,28.7903784,NaN,NaN,4.5724184,4.2633684,2.0,NaN
49,-62.94171618,-0.53856099,43.67019,41.8224,48.0,42.06461089,38.0,32.06461089,46.0,40.06393153,-1.60557911,0.24221089,10.0,2.00067936
50,-62.04124513,-0.29540278,43.07649,42.19532,49.0,40.66256136,59.0,50.66256136,53.0,44.662773,-2.41392864,-1.53275864,-10.0,-4.00021164
51,-62.42153601,-0.41482357,43.01407,44.85497,53.0,45.69292892,51.0,43.69292892,NaN,NaN,2.67885892,0.83795892,2.0,NaN
52,-62.21633001,-0.19484969,41.26437,41.25479,49.0,41.01888793,47.0,39.01888793,49.0,41.01841756,-0.24548207,-0.23590207,2.0,0.000470369999995
53,-62.90691166,-0.86936811,40.97943,37.50076,21.0,15.21788361,36.0,30.21788361,27.0,21.2172009,-25.76154639,-22.28287639,-15.0,-5.99931729
54,-62.24896337,-0.26112705,26.95286,26.33988,35.0,27.15037979,23.0,15.15037979,34.0,26.1505933,0.19751979,0.81049979,12.0,0.99978649
55,-62.29300442,-0.13904332,45.97482,46.01965,53.0,45.16438615,54.0,46.16438615,54.0,46.16392002,-0.81043385,-0.85526385,-1.0,-0.99953387
56,-62.28426088,-0.27808849,43.41014,43.84955,55.0,47.25047317,54.0,46.25047317,55.0,47.25068638,3.84033317,3.40092317,1.0,-0.000213209999998
57,-62.63132935,-0.22676351,38.35989,37.35277,45.0,38.06395779,54.0,47.06395779,45.0,38.06349739,-0.29593221,0.71118779,-9.0,0.000460400000001
58,-62.19906138,-0.72089837,42.41916,43.5329,51.0,43.36844776,49.0,41.36844776,52.0,44.36864762,0.94928776,-0.16445224,2.0,-1.00019986
59,-62.53915652,-0.56950908,50.85926,49.23123,57.0,50.09846489,51.0,44.09846489,NaN,NaN,-0.76079511,0.86723489,6.0,NaN
60,-62.4304307,-0.95598167,37.50969,37.57913,42.0,35.10435118,34.0,27.10435118,46.0,39.10435118,-2.40533882,-2.47477882,8.0,-4.0
61,-62.42125075,-0.45208142,45.84037,46.13012,54.0,46.72021899,53.0,45.72021899,NaN,NaN,0.87984899,0.59009899,1.0,NaN
62,-62.59485042,-0.90949369,21.52726,18.37228,27.0,20.47806084,32.0,25.47806084,NaN,NaN,-1.04919916,2.10578084,-5.0,NaN
63,-62.50590424,-0.7555808,19.04355,18.69843,29.0,22.15071344,25.0,18.15071344,NaN,NaN,3.10716344,3.45228344,4.0,NaN
64,-62.4879031,-0.96210371,19.76501,19.0614,26.0,19.25003584,35.0,28.25003584,NaN,NaN,-0.51497416,0.18863584,-9.0,NaN
65,-62.81788429,-0.54322711,40.42737,40.55721,46.0,39.76475787,67.0,60.76475787,48.0,41.76407673,-0.66261213,-0.79245213,-21.0,-1.99931886
66,-62.64332651,-0.56068708,22.11923,21.60197,31.0,24.34859153,34.0,27.34859153,31.0,24.34790816,2.22936153,2.74662153,-3.0,0.000683370000001
67,-62.14300741,-0.06394443,41.32926,39.91245,50.0,41.73490164,50.0,41.73490164,49.0,40.73512048,0.40564164,1.82245164,0.0,0.99978116
68,-62.0073986,-0.80449652,44.65709,41.66784,51.0,42.955542,59.0,50.955542,54.0,45.95574216,-1.701548,1.287702,-8.0,-3.00020016
69,-62.13958011,-0.08351196,37.01956,37.23608,47.0,38.74196918,40.0,31.74196918,45.0,36.74218739,1.72240918,1.50588918,7.0,1.99978179
70,-62.45386255,-0.55601468,43.60186,44.70595,57.0,49.87842021,48.0,40.87842021,50.0,42.87773506,6.27656021,5.17247021,9.0,7.00068515
71,-62.23467633,-0.71696767,43.13112,43.28156,52.0,44.45414366,50.0,42.45414366,52.0,44.45365738,1.32302366,1.17258366,2.0,0.000486279999997
72,-62.83028603,-0.38549455,36.70016,36.14053,42.0,35.67457014,47.0,40.67457014,NaN,NaN,-1.02558986,-0.46595986,-5.0,NaN
73,-62.32158903,-0.28941127,47.69872,44.67992,53.0,45.35172828,46.0,38.35172828,52.0,44.35104317,-2.34699172,0.67180828,7.0,1.00068511
74,-62.72650808,-0.63351637,24.49789,24.19001,31.0,24.60697713,22.0,15.60697713,NaN,NaN,0.10908713,0.41696713,9.0,NaN
75,-62.88638444,-0.56106586,37.40165,36.3185,42.0,35.94551825,57.0,50.94551825,41.0,34.94483781,-1.45613175,-0.37298175,-15.0,1.00068044
76,-62.65315006,-0.47744042,43.23004,42.53763,51.0,44.31038908,54.0,47.31038908,51.0,44.31038908,1.08034908,1.77275908,-3.0,0.0
77,-62.15171324,-0.19846434,36.39225,37.73339,43.0,34.86180072,40.0,31.86180072,46.0,37.86201553,-1.53044928,-2.87158928,3.0,-3.00021481
78,-62.1799505,-0.61266051,44.2995,44.49707,52.0,44.2434261,47.0,39.2434261,NaN,NaN,-0.0560739,-0.2536439,5.0,NaN
79,-62.9774082,-0.7900769,16.59793,14.3924,23.0,17.33577889,42.0,36.33577889,27.0,21.33509716,0.73784889,2.94337889,-19.0,-3.99931827
80,-62.96236607,-0.97070811,48.57686,51.52626,55.0,49.42361678,62.0,56.42361678,55.0,49.42293414,0.84675678,-2.10264322,-7.0,0.000682640000001
81,-62.14958346,-0.30757967,43.99936,43.71621,50.0,41.94008557,50.0,41.94008557,52.0,43.94029714,-2.05927443,-1.77612443,0.0,-2.00021157
82,-62.36846015,-0.95148724,18.50528,19.81666,27.0,19.94885523,23.0,15.94885523,28.0,20.94885523,1.44357523,0.13219523,4.0,-1.0
83,-62.34446235,-0.75502713,41.21838,41.28959,49.0,41.75222688,48.0,40.75222688,48.0,40.75242467,0.53384688,0.46263688,1.0,0.99980221
84,-62.70504737,-0.56508628,22.22773,21.69562,26.0,19.50330999,29.0,22.50330999,25.0,18.50351548,-2.72442001,-2.19231001,-3.0,0.99979451
85,-62.23540296,-0.61951124,44.11344,46.56187,53.0,45.3849346,51.0,43.3849346,52.0,44.38513709,1.2714946,-1.1769354,2.0,0.99979751
86,-62.9419151,-0.25549955,53.28355,52.43653,58.0,51.84384657,57.0,50.84384657,58.0,51.84317235,-1.43970343,-0.59268343,1.0,0.000674219999993
87,-62.15162212,-0.01383793,39.06424,39.28477,50.0,41.71638648,41.0,32.71638648,48.0,39.71660699,2.65214648,2.43161648,9.0,1.99977949
88,-62.98712656,-0.34955662,40.33981,42.0167,53.0,47.02883176,41.0,35.02883176,48.0,42.02837643,6.68902176,5.01213176,12.0,5.00045533
89,-62.66929929,-0.01728851,33.4394,32.06674,45.0,37.9878194,45.0,37.9878194,41.0,33.98737346,4.5484194,5.9210794,0.0,4.00044594
90,-62.62753871,-0.15088741,43.65136,43.82119,49.0,41.9941705,36.0,28.9941705,51.0,43.99439288,-1.6571895,-1.8270195,13.0,-2.00022238
91,-62.40618286,-0.22009033,48.6328,47.07587,51.0,43.50605321,47.0,39.50605321,NaN,NaN,-5.12674679,-3.56981679,4.0,NaN
92,-62.65038699,-0.6875448,21.4459,21.00381,30.0,23.45872709,23.0,16.45872709,NaN,NaN,2.01282709,2.45491709,7.0,NaN
93,-62.25027147,-0.50959419,40.81356,39.44995,49.0,41.34139347,44.0,36.34139347,45.0,37.34070681,0.52783347,1.89144347,5.0,4.00068666
94,-62.35491551,-0.46631343,30.78633,35.13868,43.0,35.56789477,50.0,42.56789477,39.0,31.56720902,4.78156477,0.42921477,-7.0,4.00068575
95,-62.75174283,-0.89217641,19.68441,20.0698,29.0,22.85237796,38.0,31.85237796,30.0,23.85169442,3.16796796,2.78257796,-9.0,-0.99931646
96,-62.08754248,-0.7516582,44.55864,45.934,52.0,44.11559307,52.0,44.11559307,54.0,46.11559307,-0.44304693,-1.81840693,0.0,-2.0
97,-62.47633999,-0.16179282,23.94329,24.30761,33.0,25.63291972,36.0,28.63291972,NaN,NaN,1.68962972,1.32530972,-3.0,NaN
98,-62.8401881,-0.63986632,27.63239,27.4122,33.0,26.89076489,39.0,32.89076489,36.0,29.89008303,-0.74162511,-0.52143511,-6.0,-2.99931814
99,-62.28301832,-0.63188747,17.85661,17.93399,27.0,19.51209329,19.0,11.51209329,25.0,17.51140703,1.65548329,1.57810329,8.0,2.00068626
100,-62.27691909,-0.01871808,25.12001,25.08442,35.0,27.02951397,29.0,21.02951397,31.0,23.02905299,1.90950397,1.94509397,6.0,4.00046098
101,-62.8640015,-0.82545111,17.48468,19.31923,26.0,20.08221179,32.0,26.08221179,27.0,21.08152895,2.59753179,0.76298179,-6.0,-0.99931716
102,-62.40846064,-0.08617434,26.20357,26.66507,39.0,31.40602237,33.0,25.40602237,NaN,NaN,5.20245237,4.74095237,6.0,NaN
103,-62.12800326,-0.32921303,43.42344,45.86922,53.0,44.90294834,63.0,54.90294834,NaN,NaN,1.47950834,-0.96627166,-10.0,NaN
104,-62.03424202,-0.20562844,39.29264,39.70404,52.0,43.57661316,52.0,43.57661316,52.0,43.57682718,4.28397316,3.87257316,0.0,-0.000214020000001
105,-62.28143522,-0.62231155,20.56402,19.46568,28.0,20.50090225,29.0,21.50090225,28.0,20.50110449,-0.06311775,1.03522225,-1.0,-0.00020224
106,-62.91710265,-0.78146376,23.04469,27.71597,34.0,28.18169526,42.0,36.18169526,30.0,24.18101306,5.13700526,0.46572526,-8.0,4.0006822
107,-62.30022991,-0.66796793,40.79995,40.74223,46.0,38.58081129,47.0,39.58081129,50.0,42.58012524,-2.21913871,-2.16141871,-1.0,-3.99931395
108,-62.52616883,-0.49051194,47.18022,45.40145,53.0,46.0078623,55.0,48.0078623,NaN,NaN,-1.1723577,0.6064123,-2.0,NaN
109,-62.38895625,-0.93596381,18.69845,18.57784,35.0,27.98872853,25.0,17.98872853,28.0,20.98872853,9.29027853,9.41088853,10.0,7.0
110,-62.88299165,-0.61307056,29.56277,29.04334,37.0,30.97591959,39.0,32.97591959,34.0,27.97544343,1.41314959,1.93257959,-2.0,3.00047616
111,-62.87711419,-0.97057023,15.03496,24.82915,17.0,11.21399268,15.0,9.21399268,27.0,21.2133097,-3.82096732,-13.61515732,2.0,-9.99931702
112,-62.41560784,-0.99091949,40.58832,40.01058,46.0,39.0920594,50.0,43.0920594,NaN,NaN,-1.4962606,-0.9185206,-4.0,NaN
113,-62.82168814,-0.46570916,48.37729,48.17907,54.0,47.7151594,66.0,59.7151594,NaN,NaN,-0.6621306,-0.4639106,-12.0,NaN
114,-62.58426306,-0.10921496,27.16172,27.38273,37.0,29.85490243,30.0,22.85490243,39.0,31.85512577,2.69318243,2.47217243,7.0,-2.00022334
115,-62.8715908,-0.74122702,35.21035,35.10135,38.0,32.04115204,58.0,52.04115204,NaN,NaN,-3.16919796,-3.06019796,-20.0,NaN
116,-62.71896242,-0.2592467,41.22965,44.84561,55.0,48.30353098,57.0,50.30353098,51.0,44.30375025,7.07388098,3.45792098,-2.0,3.99978073
117,-62.85993492,-0.1427604,47.40689,49.05065,58.0,51.55344848,64.0,57.55344848,57.0,50.55277503,4.14655848,2.50279848,-6.0,1.00067345
118,-62.25673422,-0.73250207,46.96309,47.09056,50.0,42.51949451,47.0,39.51949451,54.0,46.51969358,-4.44359549,-4.57106549,3.0,-4.00019907
119,-62.36725039,-0.10194038,29.63266,29.26404,38.0,30.31768164,35.0,27.31768164,NaN,NaN,0.68502164,1.05364164,3.0,NaN
120,-62.76606898,-0.98035193,16.23596,14.55715,20.0,13.94728009,21.0,14.94728009,28.0,21.94659684,-2.28867991,-0.60986991,-1.0,-7.99931675
121,-62.07574829,-0.9800188,51.61999,47.22801,51.0,43.24892653,43.0,35.24892653,53.0,45.24892653,-8.37106347,-3.97908347,8.0,-2.0
122,-62.0260924,-0.15751623,41.07907,41.06453,49.0,40.5188374,44.0,35.5188374,49.0,40.51905268,-0.5602326,-0.5456926,5.0,-0.000215279999999
123,-62.13764638,-0.5977401,43.63829,42.8466,52.0,44.12735532,58.0,50.12735532,NaN,NaN,0.48906532,1.28075532,-6.0,NaN
124,-62.13994388,-0.92147958,53.23388,45.37292,51.0,43.36541651,51.0,43.36541651,56.0,48.36541651,-9.86846349,-2.00750349,0.0,-5.0
125,-62.93005968,-0.69490031,36.50573,33.57983,39.0,33.15165423,40.0,34.15165423,39.0,33.15097285,-3.35407577,-0.42817577,-1.0,0.000681379999996
126,-62.88281919,-0.23305457,42.41917,43.44815,50.0,43.68271601,44.0,37.68271601,49.0,42.68204107,1.26354601,0.23456601,6.0,1.00067494
127,-62.2958822,-0.27462369,50.73471,49.31656,54.0,46.2764872,50.0,42.2764872,56.0,48.27670061,-4.4582228,-3.0400728,4.0,-2.00021341
128,-62.32009163,-0.87178288,17.2691,17.25201,21.0,13.77448479,24.0,16.77448479,24.0,16.77448479,-3.49461521,-3.47752521,-3.0,-3.0
129,-62.93070657,-0.32234939,44.71241,43.84192,51.0,44.8701256,51.0,44.8701256,51.0,44.86966999,0.1577156,1.0282056,0.0,0.000455610000003
130,-62.52567198,-0.98014568,35.59601,32.39122,42.0,35.35527965,40.0,33.35527965,NaN,NaN,-0.24073035,2.96405965,2.0,NaN
131,-62.67043509,-0.71970673,31.9666,29.89904,36.0,29.53107759,52.0,45.53107759,NaN,NaN,-2.43552241,-0.36796241,-16.0,NaN
132,-62.00400112,-0.5279752,50.2632,47.9575,54.0,45.74527551,53.0,44.74527551,56.0,47.74527551,-4.51792449,-2.21222449,1.0,-2.0
133,-62.70182908,-0.52521124,43.94005,44.02398,50.0,43.46629079,46.0,39.46629079,NaN,NaN,-0.47375921,-0.55768921,4.0,NaN
134,-62.96374071,-0.02829577,38.35895,40.69616,45.0,38.70873719,50.0,43.70873719,47.0,40.70830469,0.34978719,-1.98742281,-5.0,-1.9995675
135,-62.8987083,-0.37754876,41.77566,40.7176,45.0,38.83579904,50.0,43.83579904,47.0,40.83533844,-2.93986096,-1.88180096,-5.0,-1.9995394
136,-62.88988545,-0.82200253,57.1055,49.69245,23.0,17.14337448,49.0,43.14337448,27.0,21.14269184,-39.96212552,-32.54907552,-26.0,-3.99931736
137,-62.91042312,-0.5550859,17.29604,22.64201,26.0,20.00012553,40.0,34.00012553,27.0,20.99965367,2.70408553,-2.64188447,-14.0,-0.99952814
138,-62.30340252,-0.82779484,43.72461,44.25638,48.0,40.70237867,47.0,39.70237867,49.0,41.70257453,-3.02223133,-3.55400133,1.0,-1.00019586
139,-62.41419499,-0.41463875,44.88382,45.54629,54.0,46.6751229,49.0,41.6751229,NaN,NaN,1.7913029,1.1288329,5.0,NaN
140,-62.58240295,-0.66233425,45.03868,44.68972,56.0,49.27307667,53.0,46.27307667,NaN,NaN,4.23439667,4.58335667,3.0,NaN
141,-62.24416165,-0.35283992,41.09574,41.88278,47.0,39.20868725,48.0,40.20868725,48.0,40.20821143,-1.88705275,-2.67409275,-1.0,-0.99952418
142,-62.5660414,-0.48192384,43.09878,44.31942,55.0,48.09990883,58.0,51.09990883,54.0,47.09922519,5.00112883,3.78048883,-3.0,1.00068364
143,-62.9914217,-0.95634344,51.08647,49.6351,60.0,54.48554294,63.0,57.48554294,55.0,49.48486047,3.39907294,4.85044294,-3.0,5.00068247
144,-62.35409934,-0.66684943,23.81309,22.25641,33.0,25.71307925,28.0,20.71307925,31.0,23.71239344,1.89998925,3.45666925,5.0,2.00068581
145,-62.63066269,-0.27890958,46.06522,47.14674,52.0,45.10360541,66.0,59.10360541,53.0,46.10314197,-0.96161459,-2.04313459,-14.0,-0.99953656
146,-62.83069139,-0.75917783,34.95453,34.6463,44.0,37.95347813,40.0,33.95347813,NaN,NaN,2.99894813,3.30717813,4.0,NaN
147,-62.64193283,-0.44360618,41.4634,42.68156,52.0,45.25753015,54.0,47.25753015,50.0,43.25684779,3.79413015,2.57597015,-2.0,2.00068236
148,-62.74008125,-0.72481385,19.53651,19.47265,27.0,20.70644393,40.0,33.70644393,NaN,NaN,1.16993393,1.23379393,-13.0,NaN
149,-62.27379301,-0.99482066,34.41055,33.2884,37.0,29.74573862,41.0,33.74573862,45.0,37.74573862,-4.66481138,-3.54266138,-4.0,-8.0
150,-62.60268415,-0.11493405,28.20295,28.25065,39.0,31.90482076,37.0,29.90482076,38.0,30.90436597,3.70187076,3.65417076,2.0,1.00045479
151,-62.93326778,-0.19232828,50.49066,49.45321,53.0,46.77160329,66.0,59.77160329,57.0,50.77115704,-3.71905671,-2.68160671,-13.0,-3.99955375
152,-62.45278889,-0.73868363,20.41508,20.09593,27.0,20.00783097,25.0,18.00783097,NaN,NaN,-0.40724903,-0.08809903,2.0,NaN
153,-62.29582656,-0.78503181,44.48801,44.78802,49.0,41.653612,48.0,40.653612,51.0,43.65312389,-2.834398,-3.134408,1.0,-1.99951189
154,-62.43919225,-0.17024568,42.81762,44.67952,56.0,48.54835996,47.0,39.54835996,NaN,NaN,5.73073996,3.86883996,9.0,NaN
155,-62.16183378,-0.04428419,38.88668,40.33668,51.0,42.76594417,49.0,40.76594417,50.0,41.76616382,3.87926417,2.42926417,2.0,0.99978035
156,-62.32787555,-0.09214628,41.45216,40.81557,52.0,44.21281909,47.0,39.21281909,NaN,NaN,2.76065909,3.39724909,5.0,NaN
157,-62.30067836,-0.70895775,45.77004,44.94173,54.0,46.61091709,50.0,42.61091709,53.0,45.61111659,0.84087709,1.66918709,4.0,0.9998005
158,-62.36389051,-0.06165517,41.35655,42.3551,51.0,43.27746684,42.0,34.27746684,NaN,NaN,1.92091684,0.92236684,9.0,NaN
159,-62.8523297,-0.09785955,46.27322,49.66608,54.0,47.49826614,45.0,38.49826614,55.0,48.49782299,1.22504614,-2.16781386,9.0,-0.99955685
160,-62.01069508,-0.27575483,47.53608,47.50415,51.0,42.57179635,53.0,44.57179635,57.0,48.57200847,-4.96428365,-4.93235365,-2.0,-6.00021212
161,-62.79523364,-0.64415262,22.42024,21.90371,29.0,22.78330361,26.0,19.78330361,NaN,NaN,0.36306361,0.87959361,3.0,NaN
162,-62.05881819,-0.34224422,45.93793,43.29287,53.0,44.74158351,52.0,43.74158351,55.0,46.74179394,-1.19634649,1.44871351,1.0,-2.00021043
163,-62.30534185,-0.23872435,45.38906,45.09536,54.0,46.27216777,53.0,45.27216777,52.0,44.27238247,0.88310777,1.17680777,1.0,1.9997853
164,-62.78468985,-0.01068667,33.81458,35.50274,47.0,40.26178518,50.0,43.26178518,43.0,36.26134499,6.44720518,4.75904518,-3.0,4.00044019
165,-62.45209164,-0.15106015,45.85822,45.42577,53.0,45.56438858,59.0,51.56438858,54.0,46.56460813,-0.29383142,0.13861858,-6.0,-1.00021955
166,-62.79929625,-0.33584368,39.04241,38.53768,46.0,39.56053723,54.0,47.56053723,NaN,NaN,0.51812723,1.02285723,-8.0,NaN
167,-62.06720297,-0.15925359,41.71369,42.9108,52.0,43.62191541,42.0,33.62191541,50.0,41.62213086,1.90822541,0.71111541,10.0,1.99978455
168,-62.35638195,-0.55765147,44.37632,45.85369,53.0,45.63901897,48.0,40.63901897,51.0,43.63833305,1.26269897,-0.21467103,5.0,2.00068592
169,-62.79381784,-0.9260221,20.89996,23.56782,23.0,16.97876498,53.0,46.97876498,28.0,21.97808165,-3.92119502,-6.58905502,-30.0,-4.99931667
170,-62.39919548,-0.13181519,26.62269,26.1933,34.0,26.4196737,37.0,29.4196737,38.0,30.41989323,-0.2030163,0.2263737,-3.0,-4.00021953
171,-62.37034215,-0.38120291,43.32405,42.23993,49.0,41.54149644,48.0,40.54149644,51.0,43.54170675,-1.78255356,-0.69843356,1.0,-2.00021031
172,-62.93439454,-0.92299312,27.83156,26.73604,32.0,26.32229637,33.0,27.32229637,30.0,24.32161368,-1.50926363,-0.41374363,-1.0,2.00068269
173,-62.19890157,-0.07155883,39.01313,38.93321,48.0,39.87923877,53.0,44.87923877,47.0,38.87945794,0.86610877,0.94602877,-5.0,0.99978083
