,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos,srtm30_wgs84-tdx12,srtm30_wgs84-tdx30,srtm30_wgs84-aster30_wgs84,srtm30_wgs84-aw3d30_wgs84
0,-62.74087693,-0.78546514,17.93057,17.80507,26.0,19.75079127,30.0,23.75079127,NaN,NaN,1.82022127,1.94572127,-4.0,NaN
1,-62.32313627,-0.00129988,23.80631,23.87,33.0,25.12875874,27.0,19.12875874,NaN,NaN,1.32244874,1.25875874,6.0,NaN
2,-62.01007276,-0.49315617,46.7249,45.26167,49.0,40.73440115,53.0,44.73440115,53.0,44.73460797,-5.99049885,-4.52726885,-4.0,-4.00020682
3,-62.27941309,-0.58257924,45.82417,42.34035,51.0,43.46708861,45.0,37.46708861,53.0,45.46660567,-2.35708139,1.12673861,6.0,-1.99951706
4,-62.37521394,-0.67229669,43.4206,44.0257,51.0,43.76900591,53.0,45.76900591,53.0,45.76852058,0.34840591,-0.25669409,-2.0,-1.99951467
5,-62.71115983,-0.47100634,44.90091,44.30472,54.0,47.44814596,49.0,42.44814596,NaN,NaN,2.54723596,3.14342596,5.0,NaN
6,-62.96403197,-0.00058147,30.88042,32.43724,43.0,36.6860074,48.0,41.6860074,41.0,34.68557703,5.8055874,4.2487674,-5.0,2.00043037
7,-62.67726494,-0.1490435,54.82602,51.62484,59.0,52.11395501,64.0,57.11395501,NaN,NaN,-2.71206499,0.48911501,-5.0,NaN
8,-62.84179757,-0.56598962,40.63932,36.82733,46.0,39.84032471,64.0,57.84032471,NaN,NaN,-0.79899529,3.01299471,-18.0,NaN
9,-62.62606468,-0.86826679,18.94679,19.24293,30.0,23.52614111,38.0,31.52614111,NaN,NaN,4.57935111,4.28321111,-8.0,NaN
10,-62.21396511,-0.39688933,27.7991,26.93886,36.0,28.16720873,26.0,18.16720873,34.0,26.16720873,0.36810873,1.22834873,10.0,2.0
11,-62.52260455,-0.43836379,48.99431,48.14055,58.0,50.95981355,66.0,58.95981355,NaN,NaN,1.96550355,2.81926355,-8.0,NaN
12,-62.54288525,-0.50359599,37.49976,39.46729,47.0,40.05864102,46.0,39.05864102,NaN,NaN,2.55888102,0.59135102,1.0,NaN
13,-62.22723109,-0.26854332,42.14303,42.27942,50.0,42.10263312,47.0,39.10263312,52.0,44.10263312,-0.04039688,-0.17678688,3.0,-2.0
14,-62.24438428,-0.40455765,40.37809,40.45244,49.0,41.24839018,42.0,34.24839018,47.0,39.24791257,0.87030018,0.79595018,7.0,2.00047761
15,-62.41835928,-0.29841492,44.7485,45.93512,56.0,48.59676526,51.0,43.59676526,57.0,49.5969789,3.84826526,2.66164526,5.0,-1.00021364
16,-62.14581055,-0.39149902,46.71474,47.32372,54.0,45.99467875,49.0,40.99467875,NaN,NaN,-0.72006125,-1.32904125,5.0,NaN
17,-62.66069461,-0.98604123,NaN,NaN,17.0,10.69204079,22.0,15.69204079,28.0,21.69135743,NaN,NaN,-5.0,-10.99931664
18,-62.18745508,-0.60768489,43.89897,42.20078,49.0,41.25831528,50.0,42.25831528,53.0,45.25762851,-2.64065472,-0.94246472,-1.0,-3.99931323
19,-62.21877489,-0.76603854,43.79023,42.96525,57.0,49.4496023,51.0,43.4496023,51.0,43.4496023,5.6593723,6.4843523,6.0,6.0
20,-62.18317038,-0.19662496,40.6581,40.28986,50.0,41.93807688,57.0,48.93807688,48.0,39.93807688,1.27997688,1.64821688,-7.0,2.0
21,-62.18473224,-0.14408934,37.66019,37.39065,45.0,36.90117142,45.0,36.90117142,46.0,37.90138815,-0.75901858,-0.48947858,0.0,-1.00021673
22,-62.37863458,-0.98014743,33.0073,32.90572,40.0,32.99379186,31.0,23.99379186,35.0,27.99379186,-0.01350814,0.08807186,9.0,5.0
