,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
0,-62.74087693,-0.78546514,17.93057,17.80507,26.0,19.75079127,30.0,23.75079127,NaN,NaN
1,-62.32313627,-0.00129988,23.80631,23.87,33.0,25.12875874,27.0,19.12875874,NaN,NaN
2,-62.01007276,-0.49315617,46.7249,45.26167,49.0,40.73440115,53.0,44.73440115,53.0,44.73460797
3,-62.27941309,-0.58257924,45.82417,42.34035,51.0,43.46708861,45.0,37.46708861,53.0,45.46660567
4,-62.37521394,-0.67229669,43.4206,44.0257,51.0,43.76900591,53.0,45.76900591,53.0,45.76852058
5,-62.71115983,-0.47100634,44.90091,44.30472,54.0,47.44814596,49.0,42.44814596,NaN,NaN
6,-62.96403197,-0.00058147,30.88042,32.43724,43.0,36.6860074,48.0,41.6860074,41.0,34.68557703
7,-62.67726494,-0.1490435,54.82602,51.62484,59.0,52.11395501,64.0,57.11395501,NaN,NaN
8,-62.84179757,-0.56598962,40.63932,36.82733,46.0,39.84032471,64.0,57.84032471,NaN,NaN
9,-62.62606468,-0.86826679,18.94679,19.24293,30.0,23.52614111,38.0,31.52614111,NaN,NaN
10,-62.21396511,-0.39688933,27.7991,26.93886,36.0,28.16720873,26.0,18.16720873,34.0,26.16720873
11,-62.52260455,-0.43836379,48.99431,48.14055,58.0,50.95981355,66.0,58.95981355,NaN,NaN
12,-62.54288525,-0.50359599,37.49976,39.46729,47.0,40.05864102,46.0,39.05864102,NaN,NaN
13,-62.22723109,-0.26854332,42.14303,42.27942,50.0,42.10263312,47.0,39.10263312,52.0,44.10263312
14,-62.24438428,-0.40455765,40.37809,40.45244,49.0,41.24839018,42.0,34.24839018,47.0,39.24791257
15,-62.41835928,-0.29841492,44.7485,45.93512,56.0,48.59676526,51.0,43.59676526,57.0,49.5969789
16,-62.14581055,-0.39149902,46.71474,47.32372,54.0,45.99467875,49.0,40.99467875,NaN,NaN
17,-62.66069461,-0.98604123,NaN,NaN,17.0,10.69204079,22.0,15.69204079,28.0,21.69135743
18,-62.18745508,-0.60768489,43.89897,42.20078,49.0,41.25831528,50.0,42.25831528,53.0,45.25762851
19,-62.21877489,-0.76603854,43.79023,42.96525,57.0,49.4496023,51.0,43.4496023,51.0,43.4496023
20,-62.18317038,-0.19662496,40.6581,40.28986,50.0,41.93807688,57.0,48.93807688,48.0,39.93807688
21,-62.18473224,-0.14408934,37.66019,37.39065,45.0,36.90117142,45.0,36.90117142,46.0,37.90138815
22,-62.37863458,-0.98014743,33.0073,32.90572,40.0,32.99379186,31.0,23.99379186,35.0,27.99379186
23,-62.55446968,-0.71944055,39.07642,40.91286,47.0,40.24484467,52.0,45.24484467,NaN,NaN
24,-62.07956421,-0.76489205,36.43496,34.32174,38.0,30.10531265,43.0,35.10531265,42.0,34.10531265
25,-62.55209842,-0.94059679,22.3499,20.49538,29.0,22.39404993,33.0,26.39404993,NaN,NaN
26,-62.25215916,-0.47338353,42.25453,42.22675,53.0,45.31917593,52.0,44.31917593,50.0,42.31869614
27,-62.54644464,-0.76072567,16.97046,17.08056,29.0,22.25443165,22.0,15.25443165,NaN,NaN
28,-62.8318844,-0.00776555,50.5747,48.56917,61.0,54.3733762,57.0,50.3733762,59.0,52.37293852
29,-62.73354048,-0.32034236,48.37162,47.63811,48.0,41.3874847,67.0,60.3874847,55.0,48.38702212
30,-62.24666655,-0.96649166,14.64308,15.06143,23.0,15.65991296,18.0,10.65991296,20.0,12.65922988
31,-62.54584023,-0.31356216,44.26449,45.61475,55.0,47.92207162,65.0,57.92207162,NaN,NaN
32,-62.8362279,-0.9167168,21.20123,21.84988,31.0,25.07705051,40.0,34.07705051,30.0,24.07636735
33,-62.12066354,-0.38814766,29.34905,29.90079,39.0,30.92960343,51.0,42.92960343,42.0,33.92981266
34,-62.97404907,-0.30976376,20.85405,32.81896,26.0,19.96552424,27.0,20.96552424,28.0,21.96507125
35,-62.96371262,-0.99458993,45.81927,44.47374,51.0,45.44305257,56.0,50.44305257,49.0,43.44236991
36,-62.1576194,-0.63979474,22.67601,24.23322,31.0,23.20745531,40.0,32.20745531,34.0,26.20765764
37,-62.54290418,-0.37383413,49.91843,47.27879,57.0,49.96083326,67.0,59.96083326,NaN,NaN
38,-62.10311057,-0.35783928,47.0537,44.86976,55.0,46.86342762,51.0,42.86342762,52.0,43.86363767
39,-62.35483711,-0.03393227,42.54425,42.23356,52.0,44.23276522,50.0,42.23276522,NaN,NaN
40,-62.40722432,-0.59749539,41.54052,42.07059,51.0,43.7936216,58.0,50.7936216,NaN,NaN
41,-62.39928826,-0.55982045,47.14899,47.82395,50.0,42.74605605,52.0,44.74605605,NaN,NaN
42,-62.52549322,-0.39876378,48.16111,48.0097,57.0,49.93729266,80.0,72.93729266,NaN,NaN
43,-62.50969946,-0.00016353,27.20493,27.27701,38.0,30.58475177,31.0,23.58475177,38.0,30.58430017
44,-62.21328205,-0.06786964,40.18849,39.67492,48.0,39.91199291,49.0,40.91199291,46.0,37.91152778
45,-62.61364109,-0.46446078,32.73994,32.82978,39.0,32.20361944,49.0,42.20361944,NaN,NaN
46,-62.19078754,-0.05188842,36.13727,36.19576,44.0,35.84379799,36.0,27.84379799,43.0,34.84333293
47,-62.67944511,-0.21406369,47.20701,47.40134,56.0,49.17132392,63.0,56.17132392,55.0,48.17154451
48,-62.54367695,-0.15267868,26.21796,26.52701,38.0,30.7903784,36.0,28.7903784,NaN,NaN
49,-62.94171618,-0.53856099,43.67019,41.8224,48.0,42.06461089,38.0,32.06461089,46.0,40.06393153
50,-62.04124513,-0.29540278,43.07649,42.19532,49.0,40.66256136,59.0,50.66256136,53.0,44.662773
51,-62.42153601,-0.41482357,43.01407,44.85497,53.0,45.69292892,51.0,43.69292892,NaN,NaN
52,-62.21633001,-0.19484969,41.26437,41.25479,49.0,41.01888793,47.0,39.01888793,49.0,41.01841756
53,-62.90691166,-0.86936811,40.97943,37.50076,21.0,15.21788361,36.0,30.21788361,27.0,21.2172009
54,-62.24896337,-0.26112705,26.95286,26.33988,35.0,27.15037979,23.0,15.15037979,34.0,26.1505933
55,-62.29300442,-0.13904332,45.97482,46.01965,53.0,45.16438615,54.0,46.16438615,54.0,46.16392002
56,-62.28426088,-0.27808849,43.41014,43.84955,55.0,47.25047317,54.0,46.25047317,55.0,47.25068638
57,-62.63132935,-0.22676351,38.35989,37.35277,45.0,38.06395779,54.0,47.06395779,45.0,38.06349739
58,-62.19906138,-0.72089837,42.41916,43.5329,51.0,43.36844776,49.0,41.36844776,52.0,44.36864762
59,-62.53915652,-0.56950908,50.85926,49.23123,57.0,50.09846489,51.0,44.09846489,NaN,NaN
60,-62.4304307,-0.95598167,37.50969,37.57913,42.0,35.10435118,34.0,27.10435118,46.0,39.10435118
61,-62.42125075,-0.45208142,45.84037,46.13012,54.0,46.72021899,53.0,45.72021899,NaN,NaN
62,-62.59485042,-0.90949369,21.52726,18.37228,27.0,20.47806084,32.0,25.47806084,NaN,NaN
63,-62.50590424,-0.7555808,19.04355,18.69843,29.0,22.15071344,25.0,18.15071344,NaN,NaN
64,-62.4879031,-0.96210371,19.76501,19.0614,26.0,19.25003584,35.0,28.25003584,NaN,NaN
65,-62.81788429,-0.54322711,40.42737,40.55721,46.0,39.76475787,67.0,60.76475787,48.0,41.76407673
66,-62.64332651,-0.56068708,22.11923,21.60197,31.0,24.34859153,34.0,27.34859153,31.0,24.34790816
67,-62.14300741,-0.06394443,41.32926,39.91245,50.0,41.73490164,50.0,41.73490164,49.0,40.73512048
68,-62.0073986,-0.80449652,44.65709,41.66784,51.0,42.955542,59.0,50.955542,54.0,45.95574216
69,-62.13958011,-0.08351196,37.01956,37.23608,47.0,38.74196918,40.0,31.74196918,45.0,36.74218739
70,-62.45386255,-0.55601468,43.60186,44.70595,57.0,49.87842021,48.0,40.87842021,50.0,42.87773506
71,-62.23467633,-0.71696767,43.13112,43.28156,52.0,44.45414366,50.0,42.45414366,52.0,44.45365738
