,aw3d30_wgs84_Barcelos,aw3d30_slope_Barcelos
175,NaN,NaN
176,32.88749997,0.9870539
177,NaN,NaN
178,25.0414432,7.070509
179,10.51327086,0.9847988
180,46.42952879,3.938887
181,40.25387014,1.313793
182,NaN,NaN
183,NaN,NaN
184,21.35383367,5.081636
185,43.7722035,5.746922
186,NaN,NaN
187,24.98507499,1.865144
188,NaN,NaN
189,NaN,NaN
190,47.91614487,2.300031
191,41.98073554,1.31558
192,48.81864555,2.110644
193,47.68356675,2.573135
194,28.78403835,1.911114
195,NaN,NaN
196,40.67118972,2.800941
197,31.37125259,3.479374
198,36.99270515,2.081686
199,21.30446025,0.00131497
200,NaN,NaN
201,53.7410104,2.097877
202,37.92858723,2.072563
203,NaN,NaN
204,49.18186664,1.921251
205,48.83847526,1.036173
206,18.65941215,0.3275024
207,43.59051239,2.641299
208,NaN,NaN
209,34.85204267,4.475947
210,37.97318371,0.4644746
211,47.16364793,2.095429
212,48.60450756,1.353983
213,NaN,NaN
214,50.26127033,1.315578
215,58.52420492,6.894198
216,35.85198494,8.594298
217,45.6195935,1.466618
218,NaN,NaN
219,42.22633233,3.300396
220,NaN,NaN
221,NaN,NaN
222,NaN,NaN
223,39.91306364,0.3274693
224,45.51232171,1.18005
225,NaN,NaN
226,NaN,NaN
227,37.49728267,0.3280389
228,42.8060791,3.747395
229,39.60377333,1.353992
230,NaN,NaN
231,NaN,NaN
232,NaN,NaN
233,21.31638298,0.00131573
234,NaN,NaN
235,NaN,NaN
236,45.04064933,3.021869
237,NaN,NaN
238,13.54052182,1.474173
239,30.88658622,3.62643
240,21.37591264,6.554294
241,43.40227947,0.4659875
242,NaN,NaN
243,NaN,NaN
244,27.81184834,6.784165
245,NaN,NaN
246,38.9489297,0.9276325
247,41.75641758,8.330142
248,47.4137497,2.082799
249,NaN,NaN
250,46.0769317,0.7368776
251,35.2847284,1.647515
252,NaN,NaN
253,NaN,NaN
254,NaN,NaN
255,42.79101536,0.7318196
256,NaN,NaN
257,15.97227135,0.7375833
258,47.04248239,0.9277316
259,NaN,NaN
260,46.10474919,1.388325
261,46.22885241,4.274657
262,46.20523551,1.911369
263,47.10700581,3.975645
264,NaN,NaN
265,NaN,NaN
266,NaN,NaN
267,21.13719596,0.00131507
268,NaN,NaN
269,42.63407272,1.182556
270,NaN,NaN
271,NaN,NaN
272,30.65818563,0.3292397
273,NaN,NaN
274,46.41976012,0.6584706
275,NaN,NaN
276,45.068982,1.351824
277,NaN,NaN
278,49.49331513,5.570745
279,48.57232829,3.420048
280,NaN,NaN
281,20.12471187,1.464266
