,aster30_wgs84_Araca,aster30_slope_Araca
0,28.41514785,12.28771
1,1169.09141301,12.68228
2,42.67324596,11.78756
3,33.27292272,4.766959
4,28.52541526,12.94839
5,61.15534253,5.50367
6,69.45875175,3.73514
7,61.90606376,1.909164
8,50.51313897,3.996612
9,8.20267437,2.944192
10,51.04505132,8.161896
11,33.71912866,3.666325
12,36.79823934,4.427866
13,74.01368905,16.60103
14,33.11183241,5.192512
15,43.4253998,10.08315
16,46.9026145,1.643451
17,50.36326555,15.46436
18,25.09300961,29.49444
19,32.24262225,5.39502
20,793.89166032,10.87781
21,134.87217683,19.67513
22,22.71766826,1.036231
23,48.94667717,6.218941
24,45.95088621,5.352708
25,27.0812548,11.65241
26,43.1610907,3.296531
27,55.95351505,8.573105
28,75.16917455,4.62178
29,114.12162626,16.77691
30,33.42120466,6.869691
31,31.70540572,7.485011
32,48.73249604,12.70172
33,60.8494784,3.526372
34,57.66604856,5.289855
35,43.10449265,4.368998
36,33.04689746,5.502596
37,36.72966614,3.296202
38,39.80020572,7.177696
39,1192.170723,9.679519
40,24.55363523,6.506691
41,39.51611947,9.23204
42,49.70507099,5.968354
43,96.47602917,NaN
44,838.89741745,9.060438
45,49.93326625,11.05937
46,524.84508526,35.66294
47,63.94470645,5.901063
48,48.62051456,7.635577
49,45.73267016,4.289558
50,61.64757325,9.654395
51,28.48912626,4.215143
52,487.95867771,23.01645
53,57.87060509,4.828793
54,99.05482732,10.43264
55,615.09087514,13.64057
56,39.13532371,9.398601
57,54.84647144,5.654376
58,38.17617043,4.676199
59,47.8263762,10.37419
60,61.81649785,10.94294
61,35.50734371,5.813704
62,43.15843571,8.135983
63,28.85962798,27.78616
64,37.94936783,6.257902
65,47.44330323,6.110142
66,39.05369056,5.438033
67,451.75353649,27.25634
68,35.82342045,12.09787
69,320.75502254,13.75112
70,26.63242905,6.564977
71,13.24961656,19.98647
72,61.37759639,1.399071
73,57.21842214,3.994
74,46.28649646,8.547368
75,44.61476686,1.473493
76,46.02835187,1.638777
77,109.82871234,3.736623
78,28.07993095,2.654936
79,40.9882386,2.817276
80,53.08283428,3.540756
81,100.87208241,6.931554
82,4.67649061,9.652592
83,38.5053446,2.196558
84,50.19578967,8.50233
85,26.19898917,8.401579
86,70.5583213,5.165423
87,369.74971971,38.529
88,54.7212507,7.904369
89,187.82204512,13.39856
90,66.79939674,3.296639
91,76.3623766,6.554528
92,30.14475567,1.399083
93,51.17489462,8.978122
94,34.37381151,4.544227
95,44.51278527,8.530421
96,24.96038949,5.570518
97,73.48254487,8.159132
98,39.55559758,2.330787
99,23.3063604,6.127295
100,831.0051932,16.32216
101,56.735635,4.700575
102,1158.30494827,48.53239
103,41.83764952,3.476919
104,61.59535984,8.773811
105,35.29770675,0.7319493
106,48.8341704,6.308107
107,38.36225431,12.33282
108,45.75467808,1.035996
109,0.71182843,9.732004
110,52.63983285,7.252683
111,56.8712209,5.559512
112,50.80673314,2.325269
113,56.4050373,1.041037
114,73.68567206,3.849617
115,57.69652842,3.27125
116,76.05562248,5.713287
117,74.30639051,4.309497
118,62.30465873,8.331123
119,1111.2270321,7.678206
120,55.60872514,2.713373
121,43.06640426,15.20205
122,79.55859831,2.972374
123,51.98417487,4.162871
124,35.16575505,2.702792
125,48.80694907,3.626969
126,46.4099496,8.086914
127,45.15782376,9.357526
128,33.52123289,7.680145
129,48.57246608,7.912501
130,35.04702085,8.53335
131,37.21026169,6.231692
132,46.67721967,8.853422
133,47.16567206,6.755291
134,69.47423093,0.9869741
135,54.53136219,3.296505
136,53.79597566,7.328426
137,30.66825521,0.7318454
138,65.45883232,15.44678
139,31.47371988,3.03708
140,33.97592104,7.438598
141,29.08704448,5.437286
142,50.83782458,6.136515
143,34.14521459,9.516732
144,22.47701239,3.952564
145,58.87227717,1.865003
146,40.61060317,11.11948
147,42.98478996,1.911248
148,47.37486787,9.100877
149,40.4974506,7.557978
150,71.72818417,11.20028
151,95.50102361,7.41951
152,49.73212763,6.028413
153,42.41784471,4.159025
154,288.40833174,11.58638
155,92.78318674,5.74638
156,1228.14127822,9.871439
157,19.38514141,3.679215
158,1314.20200097,13.99891
159,69.2644353,2.386107
160,57.57781428,5.995387
161,36.45238606,4.018332
162,35.70332208,6.308762
163,48.16096264,4.31124
164,89.06754109,4.265837
165,95.4259963,6.110055
166,83.27861089,13.3144
167,81.64145085,2.557973
168,27.42344846,8.241638
169,63.63650735,3.226686
170,1078.3068121,3.28407
171,30.36400011,7.530418
172,55.97724205,9.158017
173,773.86975196,20.35434
174,1336.16625492,18.10103
175,45.09085019,4.577404
176,57.69703287,6.473742
177,46.19757347,3.837747
178,50.69651105,5.907227
179,53.29415717,3.107399
180,32.26117569,8.170091
181,92.15304322,18.99774
182,39.9704097,3.622524
183,68.2175024,1.864445
184,28.19155427,4.018242
185,74.51680937,7.687201
186,68.03222262,5.553522
187,751.95085254,3.664456
188,59.37669448,7.154157
189,59.04595942,3.624205
190,26.81925038,13.11373
191,669.92729617,17.50117
192,70.54985562,4.883656
193,28.45371419,3.226381
194,48.61343593,6.665662
195,55.90950837,4.309747
196,72.6714522,4.653441
197,50.02472949,7.328428
198,51.71715412,6.56621
199,62.95756779,10.81362
200,46.55234161,3.93736
201,83.47992787,9.660056
202,264.88711127,15.45926
203,46.55095706,6.280524
204,44.92765896,3.271502
205,59.54886952,1.182337
206,44.4311665,15.70703
207,71.61186412,3.975016
208,55.44747146,10.96353
209,699.85924738,18.91198
210,68.78597261,0.9849626
211,35.90447182,2.930254
212,62.34156615,3.420224
213,68.93782883,7.198972
214,69.04421109,6.920416
215,28.3092227,9.04407
216,67.67437226,1.473532
217,64.62159787,1.970673
218,30.62192664,3.2736
219,89.12503244,9.105149
220,59.37140764,2.095711
221,52.99555938,7.599378
222,1021.08142494,16.55873
223,842.89825108,1.921377
224,26.301737,5.81354
225,44.56098528,9.540671
226,45.17744664,12.63572
227,37.18198497,9.028403
228,31.56038209,8.486048
229,86.62747069,3.29798
230,46.82742948,3.561875
231,19.59018111,4.652893
232,50.48026213,2.833735
233,44.9695274,2.07255
234,47.20825536,7.484482
235,32.2473315,10.09128
236,31.89606389,8.456687
237,46.74460993,7.188043
238,39.31728105,6.028262
239,51.56399903,1.182432
240,68.14194588,8.710813
241,49.05986283,8.442057
242,49.86258469,16.16627
243,55.861776,9.588615
244,645.83003985,42.18749
245,30.26767328,5.144303
246,53.76276688,5.711535
247,31.51496417,3.988579
248,38.13020579,11.98826
249,62.81967987,12.91317
250,31.93430659,7.745368
251,82.0873505,7.642601
252,47.08429722,5.584931
253,117.46660659,5.585086
254,46.47385152,16.77822
255,56.72053841,8.790751
256,29.20329204,3.501321
257,35.69971287,10.62601
258,38.8965313,5.255283
259,49.67681249,4.569442
260,38.94399963,4.309258
261,45.09124182,5.173197
262,48.06777648,13.83293
263,64.90155868,5.570446
264,42.82626371,10.30722
265,49.98428663,0.00117528
266,50.14624516,3.956195
267,54.7913247,4.387637
268,41.70685506,5.814224
269,35.40327607,5.020727
270,35.96257573,1.642249
271,959.39501752,31.95369
272,233.53768971,11.04754
273,57.5255894,3.023957
274,104.49911382,10.20682
275,1280.06569517,19.87589
276,47.97087768,6.072376
277,42.09500804,2.557955
278,57.23192851,2.386312
279,33.36560231,6.681189
280,61.62334006,14.9381
281,42.79136926,11.35597
282,25.95391069,2.644435
283,43.63801611,4.318268
284,31.44913427,7.223429
285,31.88295356,1.351629
286,54.41783216,8.534101
287,69.43629374,6.61226
288,936.90358507,12.05254
289,54.84521143,2.817082
290,28.19702639,4.309262
291,34.70243861,9.359242
292,59.62598391,11.05173
293,60.46410479,2.646316
294,58.8621978,1.999559
295,49.58287066,8.837719
296,42.6571018,6.680831
297,68.68677086,2.711763
298,51.93184938,15.79768
299,72.333865,2.654904
