,tdx12_SerraMar,tdx12_slope_SerraMar
0,481.6147,34.77045
1,1146.125,14.94429
2,429.4886,23.24348
3,1052.904,12.90439
4,23.00949,NaN
5,887.9924,44.62621
6,962.4852,8.509162
7,1572.772,11.62951
8,1099.96,22.86831
9,85.79933,20.79666
10,421.8529,29.09771
11,618.1812,11.97724
12,1202.231,25.18745
13,461.9265,25.55235
14,459.9222,14.83773
15,401.6548,4.512436
16,435.9667,25.1686
17,614.3943,20.20599
18,529.1974,8.281492
19,772.8962,35.18247
20,NaN,NaN
21,662.8008,18.70716
22,956.59,15.46678
23,849.0422,16.3566
24,473.7389,4.443995
25,494.0065,25.39935
26,454.2588,20.63485
27,1072.807,27.77291
28,1401.901,35.79858
29,482.6413,22.71243
30,371.5072,12.14999
31,1231.718,19.69
32,1266.676,27.17005
33,1148.761,23.63336
34,509.5118,10.48961
35,1149.355,24.64004
36,1220.523,20.04682
37,655.0557,26.09863
38,1390.143,18.2768
39,1820.462,31.10418
40,1436.312,23.70128
41,983.0148,19.1954
42,544.0754,23.53276
43,676.6841,16.33278
44,588.2509,20.03686
45,1348.459,19.38578
46,491.3539,14.64095
47,1154.061,6.19385
48,440.8958,17.28153
49,1698.831,16.19563
50,279.2603,16.71263
51,1319.03,33.28032
52,492.5038,11.64786
53,149.0414,23.6901
54,1238.667,23.27324
55,1780.795,31.07478
56,811.7535,16.17092
57,897.4386,28.30032
58,1383.717,19.81509
59,0.454462,NaN
60,578.1086,21.10035
61,381.6825,1.213352
62,1407.232,26.71991
63,1000.622,34.231
64,597.7009,23.2745
65,798.4989,27.14288
66,789.1952,22.02931
67,925.9105,17.20244
68,310.5126,28.56808
69,433.97,2.616478
70,1544.876,22.51263
71,700.9914,14.69798
72,954.3446,23.06078
73,1524.019,25.64327
74,1468.154,7.814043
75,1595.897,10.08732
76,1512.933,35.12028
77,721.2643,31.37905
78,1167.816,17.52457
79,710.9529,29.88779
80,443.7482,0.8816649
81,379.1074,20.46524
82,1222.77,17.64598
83,1097.272,6.567419
84,66.69176,20.3649
85,1118.255,9.486454
86,1421.739,25.07517
87,1201.874,38.67007
88,463.5378,6.40036
89,887.6958,11.85439
90,267.1502,33.85675
91,971.2943,1.848951
92,22.65515,6.265244
93,1055.071,14.41572
94,995.5345,26.67186
95,18.95689,4.750855
96,698.8953,23.4445
97,1800.61,28.44648
98,970.1861,16.68899
