,aw3d30_wgs84_SantaCatarina,aw3d30_slope_SantaCatarina
359,102.71963105,4.672198
360,88.67019745,18.84419
361,389.47134506,28.69176
362,141.48504207,20.28893
363,8.88149832,14.21142
364,206.54581493,28.16208
365,293.6875641,9.586361
366,152.38868684,11.20739
367,170.26263317,8.832351
368,NaN,NaN
369,334.67288871,29.63475
370,890.79598927,11.65389
371,21.55494191,10.45294
372,326.55540493,17.38191
373,17.49211486,5.0948
374,65.07759853,13.51275
375,908.47742249,37.92853
376,238.6857442,29.93472
377,197.5026451,19.21862
378,396.52028535,25.44196
379,12.25855278,1.401115
380,17.4774768,5.923037
381,342.37246279,23.00629
382,800.33333851,13.36203
383,45.91910068,3.121753
384,44.42930583,0.820339
385,203.26308311,5.663562
386,54.23433397,17.875
387,21.57236257,1.042607
388,54.45988864,15.72174
389,41.54634178,12.13271
390,370.4184064,18.7652
391,32.89044353,2.451775
392,265.523682,25.65612
393,295.70774871,19.89769
394,6.74138599,5.562474
395,55.83661366,32.74905
396,12.36407761,0.4653934
397,2.73679579,NaN
398,489.57433994,23.46474
399,130.2956912,0.4653758
400,351.43882827,21.46136
401,171.09230161,12.14033
402,63.59592146,24.26061
403,1032.77164535,5.662668
404,29.28917319,3.083653
405,17.3503192,2.675973
406,4.40456763,1.153944
407,100.51132179,10.00048
408,517.71618045,17.40175
409,129.35424705,24.25395
410,475.47325965,19.37886
411,39.90586888,2.453382
412,26.38116126,4.714473
413,NaN,NaN
414,283.56097627,12.05631
415,433.76348558,14.72859
416,1080.43451113,11.01474
417,11.19928883,0.8123701
418,4.80631387,0.7457051
419,10.38814716,2.784078
420,932.64587411,2.962367
421,4.07589114,1.192459
422,38.70095292,23.34813
423,52.07507127,29.13345
424,228.36755325,8.512457
425,816.34248022,13.64727
426,297.82253286,32.55462
427,476.14261126,24.90856
428,43.68724547,6.929842
429,90.61748022,17.71291
430,718.49999339,23.75279
431,246.3023377,12.98272
432,294.68894622,15.51819
433,14.29532422,2.087976
434,105.21136777,16.1219
435,191.37722192,24.20219
436,288.42485831,17.78844
437,711.31094206,21.14031
438,882.35731363,13.96361
439,154.74730551,22.03752
440,493.77357561,19.69132
441,61.76715016,10.15102
442,25.98935098,5.342387
443,487.39570989,26.80572
444,316.36393684,14.93006
445,176.32224319,14.55576
446,848.60835293,14.92251
447,73.33214603,8.125864
448,324.44323373,33.47018
449,245.29702306,10.17218
450,258.61798187,28.94204
451,10.06026599,5.206322
452,247.76083273,5.403807
