,X,Y,srtm30_wgs84-tdx12_abs,srtm30_wgs84-tdx12_color
0,-47.74087693,-22.78546514,2.86716505,255:181:181
1,-47.32313627,-22.00129988,1.57138445,255:214:214
2,-47.01007276,-22.49315617,5.92409261,255:101:101
3,-47.27941309,-22.58257924,5.58261261,255:110:110
4,-47.37521394,-22.67229669,5.06465302,255:123:123
5,-47.71115983,-22.47100634,5.46504486,255:113:113
6,-47.96403197,-22.00058147,3.48363587,255:165:165
7,-47.67726494,-22.1490435,8.75721413,255:27:27
8,-47.84179757,-22.56598962,8.03569839,255:46:46
9,-47.62606468,-22.86826679,0.24816503,255:249:249
10,-47.21396511,-22.39688933,6.73075961,255:80:80
11,-47.52260455,-22.43836379,4.31427679,255:143:143
12,-47.54288525,-22.50359599,3.82797385,255:156:156
13,-47.22723109,-22.26854332,4.73708307,255:132:132
14,-47.24438428,-22.40455765,4.95742562,255:126:126
15,-47.41835928,-22.29841492,0.1521509,255:252:252
16,-47.14581055,-22.39149902,3.12406889,255:174:174
17,-47.66069461,-22.98604123,3.49679475,255:164:164
18,-47.18745508,-22.60768489,5.97082929,255:100:100
19,-47.21877489,-22.76603854,2.37999525,255:193:193
20,-47.18317038,-22.19662496,2.783402,255:183:183
21,-47.18473224,-22.14408934,2.94640511,255:179:179
22,-47.37863458,-22.98014743,5.20687953,255:120:120
23,-47.55446968,-22.71944055,5.99219438,255:99:99
24,-47.07956421,-22.76489205,6.17207898,255:94:94
25,-47.55209842,-22.94059679,3.58234724,255:162:162
26,-47.25215916,-22.47338353,0.3653727,245:245:255
27,-47.54644464,-22.76072567,2.5476845,255:189:189
28,-47.8318844,-22.00776555,3.95779758,255:152:152
29,-47.73354048,-22.32034236,4.62991075,255:135:135
30,-47.24666655,-22.96649166,5.0668986,255:123:123
31,-47.54584023,-22.31356216,8.13981887,255:43:43
32,-47.8362279,-22.9167168,2.3149529,255:195:195
33,-47.12066354,-22.38814766,5.14740199,255:121:121
34,-47.97404907,-22.30976376,3.91059396,255:153:153
35,-47.96371262,-22.99458993,8.24921507,255:40:40
36,-47.1576194,-22.63979474,6.00317012,255:99:99
37,-47.54290418,-22.37383413,5.27312967,255:118:118
38,-47.10311057,-22.35783928,4.79655892,255:130:130
39,-47.35483711,-22.03393227,5.94374661,255:100:100
40,-47.40722432,-22.59749539,5.20476374,255:120:120
41,-47.39928826,-22.55982045,6.74198918,255:79:79
42,-47.52549322,-22.39876378,4.34810098,141:141:255
43,-47.50969946,-22.00016353,5.16154529,255:121:121
44,-47.21328205,-22.06786964,3.66159977,255:160:160
45,-47.61364109,-22.46446078,27.88289382,255:0:0
46,-47.19078754,-22.05188842,7.38198978,255:63:63
47,-47.67944511,-22.21406369,6.03056639,255:98:98
48,-47.54367695,-22.15267868,5.85426198,255:103:103
49,-47.94171618,-22.53856099,2.12118589,255:200:200
50,-47.04124513,-22.29540278,1.83483979,255:208:208
51,-47.42153601,-22.41482357,6.32484211,255:90:90
52,-47.21633001,-22.19484969,4.09387823,255:149:149
53,-47.90691166,-22.86936811,1.56229525,255:215:215
54,-47.24896337,-22.26112705,6.17252695,255:94:94
55,-47.29300442,-22.13904332,6.05556492,255:97:97
56,-47.28426088,-22.27808849,10.1587035,255:0:0
57,-47.63132935,-22.22676351,4.34784529,255:142:142
58,-47.19906138,-22.72089837,7.68036649,255:55:55
59,-47.53915652,-22.56950908,4.83466608,255:129:129
60,-47.4304307,-22.95598167,10.02290095,255:0:0
61,-47.42125075,-22.45208142,3.00409388,255:177:177
62,-47.59485042,-22.90949369,5.35239027,255:116:116
63,-47.50590424,-22.7555808,6.44745977,255:87:87
64,-47.4879031,-22.96210371,4.22026638,255:145:145
65,-47.81788429,-22.54322711,4.71035404,255:133:133
66,-47.64332651,-22.56068708,7.25845388,255:66:66
67,-47.14300741,-22.06394443,4.74311774,255:132:132
68,-47.0073986,-22.80449652,10.66106575,255:0:0
69,-47.13958011,-22.08351196,0.56338918,255:241:241
70,-47.45386255,-22.55601468,3.38266732,255:167:167
71,-47.23467633,-22.71696767,2.58908789,255:188:188
72,-47.83028603,-22.38549455,5.49717269,255:112:112
73,-47.32158903,-22.28941127,3.61391508,255:161:161
74,-47.72650808,-22.63351637,5.27112726,255:118:118
75,-47.88638444,-22.56106586,3.09356936,174:174:255
76,-47.65315006,-22.47744042,3.42078468,255:166:166
77,-47.15171324,-22.19846434,13.94911773,255:0:0
78,-47.1799505,-22.61266051,7.57968901,255:58:58
79,-47.9774082,-22.7900769,4.21778281,255:145:145
80,-47.96236607,-22.97070811,3.94466947,255:153:153
81,-47.14958346,-22.30757967,2.67139252,255:186:186
82,-47.36846015,-22.95148724,4.74867868,255:132:132
83,-47.34446235,-22.75502713,6.19199407,255:94:94
84,-47.70504737,-22.56508628,7.49052913,255:60:60
85,-47.23540296,-22.61951124,4.39105121,255:141:141
86,-47.9419151,-22.25549955,5.98111447,255:99:99
87,-47.15162212,-22.01383793,3.4917891,255:164:164
88,-47.98712656,-22.34955662,7.96077696,255:48:48
89,-47.66929929,-22.01728851,1.09656662,255:227:227
