,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-62.74087693,-0.78546514,4.0,162:162:255
1,-62.32313627,-0.00129988,6.0,255:116:116
2,-62.01007276,-0.49315617,4.0,162:162:255
3,-62.27941309,-0.58257924,6.0,255:116:116
4,-62.37521394,-0.67229669,2.0,208:208:255
5,-62.71115983,-0.47100634,5.0,255:140:140
6,-62.96403197,-0.00058147,5.0,139:139:255
7,-62.67726494,-0.1490435,5.0,139:139:255
8,-62.84179757,-0.56598962,18.0,0:0:255
9,-62.62606468,-0.86826679,8.0,69:69:255
10,-62.21396511,-0.39688933,10.0,255:24:24
11,-62.52260455,-0.43836379,8.0,69:69:255
12,-62.54288525,-0.50359599,1.0,255:232:232
13,-62.22723109,-0.26854332,3.0,255:186:186
14,-62.24438428,-0.40455765,7.0,255:93:93
15,-62.41835928,-0.29841492,5.0,255:140:140
16,-62.14581055,-0.39149902,5.0,255:140:140
17,-62.66069461,-0.98604123,5.0,139:139:255
18,-62.18745508,-0.60768489,1.0,231:231:255
19,-62.21877489,-0.76603854,6.0,255:116:116
20,-62.18317038,-0.19662496,7.0,92:92:255
21,-62.18473224,-0.14408934,0.0,255:255:255
22,-62.37863458,-0.98014743,9.0,255:47:47
23,-62.55446968,-0.71944055,5.0,139:139:255
24,-62.07956421,-0.76489205,5.0,139:139:255
25,-62.55209842,-0.94059679,4.0,162:162:255
26,-62.25215916,-0.47338353,1.0,255:232:232
27,-62.54644464,-0.76072567,7.0,255:93:93
28,-62.8318844,-0.00776555,4.0,255:163:163
29,-62.73354048,-0.32034236,19.0,0:0:255
30,-62.24666655,-0.96649166,5.0,255:140:140
31,-62.54584023,-0.31356216,10.0,23:23:255
32,-62.8362279,-0.9167168,9.0,46:46:255
33,-62.12066354,-0.38814766,12.0,0:0:255
34,-62.97404907,-0.30976376,1.0,231:231:255
35,-62.96371262,-0.99458993,5.0,139:139:255
36,-62.1576194,-0.63979474,9.0,46:46:255
37,-62.54290418,-0.37383413,10.0,23:23:255
38,-62.10311057,-0.35783928,4.0,255:163:163
39,-62.35483711,-0.03393227,2.0,255:209:209
40,-62.40722432,-0.59749539,7.0,92:92:255
41,-62.39928826,-0.55982045,2.0,208:208:255
42,-62.52549322,-0.39876378,23.0,0:0:255
43,-62.50969946,-0.00016353,7.0,255:93:93
44,-62.21328205,-0.06786964,1.0,231:231:255
45,-62.61364109,-0.46446078,10.0,23:23:255
46,-62.19078754,-0.05188842,8.0,255:70:70
47,-62.67944511,-0.21406369,7.0,92:92:255
48,-62.54367695,-0.15267868,2.0,255:209:209
49,-62.94171618,-0.53856099,10.0,255:24:24
50,-62.04124513,-0.29540278,10.0,23:23:255
51,-62.42153601,-0.41482357,2.0,255:209:209
52,-62.21633001,-0.19484969,2.0,255:209:209
53,-62.90691166,-0.86936811,15.0,0:0:255
54,-62.24896337,-0.26112705,12.0,255:0:0
55,-62.29300442,-0.13904332,1.0,231:231:255
56,-62.28426088,-0.27808849,1.0,255:232:232
57,-62.63132935,-0.22676351,9.0,46:46:255
58,-62.19906138,-0.72089837,2.0,255:209:209
59,-62.53915652,-0.56950908,6.0,255:116:116
60,-62.4304307,-0.95598167,8.0,255:70:70
61,-62.42125075,-0.45208142,1.0,255:232:232
62,-62.59485042,-0.90949369,5.0,139:139:255
63,-62.50590424,-0.7555808,4.0,255:163:163
