,tdx12_SantaCatarina,tdx12_slope_SantaCatarina
0,1.438928,0.7359411
1,426.5461,8.810544
2,193.4991,14.67183
3,24.89327,9.615669
4,745.5167,21.11336
5,201.6254,15.33153
6,283.9905,5.712118
7,513.6435,21.00692
8,9.783895,4.144961
9,6.947534,2.068437
10,17.34195,3.989709
11,10.63254,NaN
12,125.8458,16.42276
13,37.40592,21.53602
14,131.1227,12.6626
15,793.9648,15.84805
16,256.7172,27.28209
17,11.70175,4.489034
18,241.8208,12.33074
19,951.0875,18.68559
20,626.6215,28.10314
21,4.003123,0.3873832
22,539.4882,18.98547
23,2.742509,1.014983
24,46.93008,26.14604
25,303.491,8.695083
26,43.20827,32.73307
27,58.18367,30.52398
28,975.7223,12.12026
29,311.1985,4.836332
30,484.5357,7.851152
31,338.6627,34.05788
32,729.377,23.31544
33,607.675,8.992713
34,387.8937,21.36603
35,2.663305,1.242421
36,138.619,19.0506
37,558.2241,31.85892
38,122.6133,29.07617
39,569.4695,24.51893
40,116.5631,19.88413
41,12.26222,5.416394
42,9.053909,12.53201
43,76.73785,6.066443
44,2.104462,0.7067717
45,772.4896,29.7161
46,135.1116,9.360726
47,1.286472,1.085042
48,9.399921,9.750447
49,442.3026,23.78566
50,280.7343,11.97324
51,391.2654,33.34864
52,5.174006,0.6309738
53,1066.624,18.90029
54,19.51728,0.8620697
55,468.1004,12.01535
56,387.7482,11.28155
57,368.8972,31.11665
58,7.654308,9.849403
59,119.0207,5.193489
60,246.9742,27.27046
61,797.9224,30.71075
62,154.6175,19.25057
63,680.5002,28.30286
64,163.3234,7.271988
65,682.2007,21.32948
66,106.0753,16.1948
67,407.1314,20.4401
68,62.0453,13.52
69,4.321623,4.226698
70,799.0144,26.85446
71,16.43306,16.31725
72,45.04465,15.05622
73,1.944992,2.306739
74,412.4569,25.82522
75,265.4386,21.88295
76,27.17616,2.90083
77,198.4831,22.76015
78,180.7656,12.67627
79,3.446511,8.997426
80,129.3724,16.55403
81,605.2341,10.70885
82,52.33107,27.968
83,1.511621,NaN
84,507.483,4.121678
85,1.259242,1.783593
86,294.1651,28.63108
87,16.95667,5.13106
88,272.6945,30.15379
89,115.7494,21.5003
90,75.25959,18.20667
91,546.0881,21.11385
92,116.2597,32.94428
93,385.7992,34.36756
94,8.22204,22.52337
95,4.565346,0.5213423
96,39.07104,11.77943
97,4.797263,0.4423632
98,19.11359,8.068944
99,4.803959,3.968184
100,3.222173,0.6674271
101,250.872,39.64315
102,266.9642,24.04935
103,31.16454,8.993446
104,247.4166,19.66686
105,597.8813,19.55121
106,1183.914,3.729689
107,171.6904,21.79187
108,11.46411,5.438087
109,116.6644,24.17116
110,32.51497,0.6564164
111,11.00321,8.021092
112,327.2777,26.32614
113,445.7546,28.75404
114,10.78018,11.02535
115,7.057815,0.6535157
116,196.3021,7.260474
117,232.9579,3.439145
118,210.232,27.66801
119,743.6226,30.07431
120,197.209,16.54202
121,667.5139,34.29868
122,76.12531,12.23905
123,1.607387,1.161604
124,48.54905,2.080922
125,202.1948,18.30701
126,204.668,13.79811
127,46.64244,29.47429
128,208.8736,6.609175
129,101.4104,4.978373
130,13.47224,0.9162283
131,69.43147,31.73747
132,16.50559,14.04597
133,7.582609,3.572654
134,346.142,6.846511
135,171.1617,29.89864
136,102.7472,15.79685
137,239.9818,28.28028
138,248.5428,18.37513
139,4.406879,3.39094
140,119.1426,30.42599
141,28.05197,16.64695
142,10.56508,0.8900966
143,63.6533,12.25399
144,2.641968,0.3258678
145,289.2527,5.793765
146,77.34123,35.68981
147,302.2663,15.68226
148,100.4862,16.00259
149,823.7416,22.38429
150,257.2609,16.22638
151,66.51314,12.91947
152,127.9591,13.26926
153,111.3373,31.21476
154,1.837504,1.731316
155,46.15768,32.81913
156,562.3451,24.69008
157,424.5575,39.0779
158,74.37603,22.34129
159,3.756827,1.053239
160,3.586209,0.1731839
161,180.6789,26.02322
162,44.92321,26.08921
163,180.1833,41.53001
164,342.0269,21.15729
165,254.8709,25.34872
166,84.65144,27.38609
167,442.0177,25.85311
168,234.4352,21.7455
169,97.97489,38.35505
170,21.65877,16.28743
171,75.34427,18.52464
172,102.7845,7.685883
173,144.3445,25.93573
174,377.9528,26.62193
175,31.63483,6.299203
176,3.281786,1.756817
177,14.40144,0.9511364
178,60.87163,26.0989
179,8.911559,4.972615
180,236.2239,22.75148
181,22.69828,5.17235
182,473.2144,12.95412
183,727.9769,24.50276
184,1.196565,0.953305
185,895.8057,34.72116
186,28.95439,13.1388
187,124.5201,18.79437
188,650.671,4.730525
189,844.4415,10.77868
190,783.153,8.042294
191,273.5997,22.95066
192,646.15,16.04174
193,693.4285,25.47696
194,84.80767,22.85612
195,917.2119,22.61949
