,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
164,33.81458,35.50274,47.0,40.26178518,50.0,43.26178518,43.0,36.26134499
165,45.85822,45.42577,53.0,45.56438858,59.0,51.56438858,54.0,46.56460813
166,39.04241,38.53768,46.0,39.56053723,54.0,47.56053723,NaN,NaN
167,41.71369,42.9108,52.0,43.62191541,42.0,33.62191541,50.0,41.62213086
168,44.37632,45.85369,53.0,45.63901897,48.0,40.63901897,51.0,43.63833305
169,20.89996,23.56782,23.0,16.97876498,53.0,46.97876498,28.0,21.97808165
170,26.62269,26.1933,34.0,26.4196737,37.0,29.4196737,38.0,30.41989323
171,43.32405,42.23993,49.0,41.54149644,48.0,40.54149644,51.0,43.54170675
172,27.83156,26.73604,32.0,26.32229637,33.0,27.32229637,30.0,24.32161368
173,39.01313,38.93321,48.0,39.87923877,53.0,44.87923877,47.0,38.87945794
174,44.81166,45.65243,58.0,50.23661696,52.0,44.23661696,NaN,NaN
175,20.0646,20.29462,27.0,20.40596763,27.0,20.40596763,NaN,NaN
176,28.77399,29.2915,40.0,32.88818023,31.0,23.88818023,40.0,32.88749997
177,36.63667,36.25033,47.0,40.52032764,59.0,52.52032764,NaN,NaN
178,28.3023,24.44843,32.0,26.04212629,38.0,32.04212629,31.0,25.0414432
179,11.49003,13.88476,15.0,7.51327086,22.0,14.51327086,18.0,10.51327086
180,43.01876,42.88059,53.0,45.42932033,52.0,44.42932033,54.0,46.42952879
181,40.72907,39.91133,50.0,42.25365408,51.0,43.25365408,48.0,40.25387014
182,47.97839,43.78403,51.0,44.23260097,51.0,44.23260097,NaN,NaN
183,32.52702,33.22108,40.0,33.48655254,50.0,43.48655254,NaN,NaN
184,23.35769,24.59178,30.0,22.35452018,26.0,18.35452018,29.0,21.35383367
185,43.88971,40.25477,45.0,38.77264274,42.0,35.77264274,50.0,43.7722035
186,39.82588,43.84281,49.0,42.27633118,54.0,47.27633118,NaN,NaN
187,24.14635,24.17208,34.0,25.98554102,33.0,24.98554102,33.0,24.98507499
188,45.27953,46.10271,56.0,48.5232817,47.0,39.5232817,NaN,NaN
189,20.93347,21.65672,31.0,24.35734597,30.0,23.35734597,NaN,NaN
190,48.96562,46.39588,54.0,45.91593886,66.0,57.91593886,56.0,47.91614487
191,43.9267,42.54077,50.0,41.98073554,54.0,45.98073554,50.0,41.98073554
192,50.07027,49.13358,55.0,48.81908905,50.0,43.81908905,55.0,48.81864555
193,45.65063,44.86525,55.0,47.68405127,50.0,42.68405127,55.0,47.68356675
194,26.56477,26.60612,38.0,30.78449822,34.0,26.78449822,36.0,28.78403835
195,49.34247,48.04889,57.0,50.15046905,77.0,70.15046905,NaN,NaN
196,39.56231,40.61024,48.0,39.67118972,58.0,49.67118972,49.0,40.67118972
197,37.1234,36.59724,37.0,31.37193446,48.0,42.37193446,37.0,31.37125259
198,35.89893,40.76491,43.0,35.99270515,40.0,32.99270515,44.0,36.99270515
199,NaN,6.961083,23.0,17.30514256,25.0,19.30514256,27.0,21.30446025
200,49.15977,49.24963,58.0,50.73739933,58.0,50.73739933,NaN,NaN
201,51.84378,51.55896,56.0,49.74078151,43.0,36.74078151,60.0,53.7410104
202,39.51559,39.09633,46.0,37.92837162,46.0,37.92837162,46.0,37.92858723
203,47.99613,47.64739,55.0,47.74342979,53.0,45.74342979,NaN,NaN
204,46.42746,47.19184,59.0,52.18233507,66.0,59.18233507,56.0,49.18186664
205,52.8949,52.7941,54.0,47.83892819,46.0,39.83892819,55.0,48.83847526
206,18.53587,18.47306,27.0,19.65941215,26.0,18.65941215,26.0,18.65941215
207,43.59444,44.14853,52.0,43.59098551,51.0,42.59098551,52.0,43.59051239
208,40.94804,41.38428,46.0,39.76285027,48.0,41.76285027,NaN,NaN
209,37.25451,36.59205,45.0,36.85182168,46.0,37.85182168,43.0,34.85204267
210,34.54441,32.64161,39.0,31.97363838,40.0,32.97363838,45.0,37.97318371
211,41.07187,42.66251,52.0,45.16364793,56.0,49.16364793,54.0,47.16364793
212,48.48241,49.80507,57.0,50.60518253,60.0,53.60518253,55.0,48.60450756
213,39.30928,38.92252,46.0,39.23874754,51.0,44.23874754,NaN,NaN
214,53.12634,50.37654,54.0,47.26194577,54.0,47.26194577,57.0,50.26127033
