,tdx12_RioClaro,tdx30_RioClaro,srtm30_RioClaro,srtm30_wgs84_RioClaro,aster30_RioClaro,aster30_wgs84_RioClaro,aw3d30_RioClaro,aw3d30_wgs84_RioClaro
4359,811.1113,810.7897,822.0,817.58753263,824.0,819.58753263,819.0,814.58753263
4360,552.1634,551.2029,558.0,554.24751495,570.0,566.24751495,562.0,558.24816054
4361,793.8854,794.7134,805.0,800.25644378,809.0,804.25644378,804.0,799.25666257
4362,646.312,645.9645,653.0,648.76856174,653.0,648.76856174,654.0,649.76856174
4363,693.0094,692.1668,711.0,706.64369572,706.0,701.64369572,711.0,706.64389085
4364,577.1312,577.212,586.0,582.17988054,585.0,581.17988054,590.0,586.17988054
4365,526.5912,521.4752,528.0,524.70277832,532.0,528.70277832,535.0,531.70293442
4366,621.5428,623.0483,632.0,628.68040538,630.0,626.68040538,633.0,629.68054103
4367,685.0824,685.1046,696.0,691.90406931,695.0,690.90406931,693.0,688.90359321
4368,513.6469,514.3167,519.0,515.22630851,521.0,517.22630851,522.0,518.22649645
4369,663.7917,663.9619,670.0,666.32907329,660.0,656.32907329,673.0,669.32877291
4370,502.1847,502.8272,510.0,506.76342953,512.0,508.76342953,508.0,504.76357341
4371,584.0784,587.7801,597.0,593.71370689,585.0,581.71370689,590.0,586.71409027
4372,493.2778,490.7159,501.0,497.3522049,504.0,500.3522049,504.0,500.35237501
4373,571.3133,570.3999,580.0,576.44257058,580.0,576.44257058,584.0,580.44257058
4374,662.9147,663.7949,675.0,670.88302602,675.0,670.88302602,671.0,666.88302602
4375,590.8023,592.1841,596.0,592.92700851,576.0,572.92700851,604.0,600.92700851
4376,581.288,581.8084,588.0,583.97639289,590.0,585.97639289,592.0,587.97639289
4377,911.2736,913.0956,924.0,919.25280234,925.0,920.25280234,920.0,915.2530169
4378,629.3621,628.4188,636.0,632.45677827,629.0,625.45677827,637.0,633.45648386
4379,634.767,633.808,646.0,642.92066653,644.0,640.92066653,644.0,640.92077464
4380,626.8326,626.7999,636.0,632.02762352,633.0,629.02762352,637.0,633.02762352
4381,595.4307,593.6562,602.0,598.26089749,606.0,602.26089749,599.0,595.2604552
4382,980.124,979.4025,989.0,984.39542492,1000.0,995.39542492,988.0,983.39542492
4383,781.6536,781.4362,787.0,782.40438235,801.0,796.40438235,790.0,785.40459177
4384,596.912,596.3848,611.0,607.28641185,594.0,590.28641185,606.0,602.28597864
4385,493.4208,493.416,500.0,496.96421054,504.0,500.96421054,502.0,498.96432768
4386,625.9609,624.2971,634.0,630.261877,632.0,628.261877,632.0,628.261877
4387,543.591,540.3094,550.0,546.1795505,556.0,552.1795505,552.0,548.17925348
4388,830.1216,834.3317,840.0,836.06859383,835.0,831.06859383,845.0,841.06829642
4389,554.2889,554.0203,562.0,558.63934309,546.0,542.63934309,564.0,560.63973931
4390,582.6074,582.7375,589.0,585.78846848,586.0,582.78846848,591.0,587.78858607
4391,593.3411,592.8197,601.0,597.60956519,603.0,599.60956519,597.0,593.60956519
4392,506.6204,510.1295,521.0,517.45027872,529.0,525.45027872,517.0,513.45045077
4393,624.5042,624.2292,633.0,628.86169147,631.0,626.86169147,632.0,627.86169147
4394,592.98,593.7623,597.0,593.91198911,594.0,590.91198911,599.0,595.91198911
4395,592.6135,592.4315,602.0,597.84855032,599.0,594.84855032,603.0,598.84871781
4396,539.3038,538.1606,545.0,541.80686333,548.0,544.80686333,547.0,543.8069703
4397,626.2014,626.1972,635.0,631.0155754,634.0,630.0155754,640.0,636.01527595
4398,650.9658,644.7545,656.0,651.78584046,652.0,647.78584046,656.0,651.78601383
4399,599.3925,602.0868,611.0,607.24255593,612.0,608.24255593,610.0,606.24302691
4400,607.1829,607.636,617.0,612.88394894,620.0,615.88394894,612.0,607.8834738
4401,517.2393,517.3237,525.0,521.85702905,525.0,521.85702905,526.0,522.8571578
4402,610.9173,609.2548,622.0,618.37228828,621.0,617.37228828,623.0,619.37244858
4403,457.2643,456.4858,468.0,464.69635954,455.0,451.69635954,464.0,460.6965145
4404,634.6339,634.2595,632.0,627.75487116,626.0,621.75487116,633.0,628.75438859
4405,482.9188,484.6521,490.0,486.73086405,496.0,492.73086405,494.0,490.73101092
4406,588.3865,589.0085,599.0,595.87484204,598.0,594.87484204,598.0,594.87484204
4407,566.7004,566.1605,576.0,572.76072915,578.0,574.76072915,577.0,573.76128217
4408,642.0192,641.8678,657.0,653.81777088,649.0,645.81777088,662.0,658.81789855
4409,597.6508,598.9731,606.0,602.36749092,602.0,598.36749092,605.0,601.36749092
4410,880.2698,880.0506,890.0,885.28987708,897.0,892.28987708,889.0,884.29008699
4411,637.543,637.5414,648.0,644.54844739,640.0,636.54844739,647.0,643.54804125
4412,838.2237,837.168,845.0,840.22550532,856.0,851.22550532,847.0,842.22572264
4413,608.7147,608.3197,615.0,611.8412695,605.0,601.8412695,614.0,610.8412695
4414,594.5614,593.3661,603.0,599.13777092,613.0,609.13777092,600.0,596.13794937
4415,593.7294,594.3641,602.0,597.71336517,586.0,581.71336517,599.0,594.71353522
4416,661.9714,663.0906,672.0,668.09283925,670.0,666.09283925,672.0,668.0930012
4417,579.8912,579.6099,592.0,588.63495146,583.0,579.63495146,587.0,583.63495146
4418,634.7117,634.4247,641.0,637.35543506,643.0,639.35543506,644.0,640.35543506
4419,548.5294,547.979,556.0,552.49309275,558.0,554.49309275,554.0,550.49325854
4420,538.7877,537.5125,556.0,552.84455241,540.0,536.84455241,551.0,547.84455241
4421,519.8574,518.6951,528.0,524.53944405,538.0,534.53944405,528.0,524.54006177
4422,679.1987,680.5545,688.0,685.06132375,675.0,672.06132375,685.0,682.06132375
4423,600.2656,600.1224,610.0,607.0999256,610.0,607.0999256,605.0,602.0999256
4424,591.319,592.5677,601.0,596.76595853,610.0,605.76595853,600.0,595.76595853
4425,560.054,561.1976,569.0,565.86407892,553.0,549.86407892,569.0,565.86407892
4426,854.5267,855.1404,866.0,861.28816091,866.0,861.28816091,864.0,859.28836727
4427,574.4967,574.3322,582.0,578.09407761,589.0,585.09407761,583.0,579.09425634
4428,481.1772,481.0687,492.0,488.8346633,489.0,485.8346633,488.0,484.83480407
4429,519.4461,519.5953,526.0,522.75865811,537.0,533.75865811,526.0,522.75924284
4430,738.095,738.0925,747.0,742.93831596,756.0,751.93831596,747.0,742.93831596
4431,667.2499,667.5057,677.0,672.91408442,677.0,672.91408442,675.0,670.91377685
4432,603.4443,605.0959,613.0,609.09491767,618.0,614.09491767,615.0,611.09509919
4433,764.1727,763.6531,769.0,764.63320888,778.0,773.63320888,788.0,783.63341954
4434,462.8215,462.991,474.0,470.43849822,477.0,473.43849822,472.0,468.43895942
4435,634.894,634.5319,640.0,635.61133886,649.0,644.61133886,645.0,640.61151548
4436,621.4392,620.8556,631.0,627.81884526,611.0,607.81884526,636.0,632.81884526
4437,791.41,792.1538,804.0,799.6984642,805.0,800.6984642,799.0,794.69816193
4438,645.7077,645.3305,654.0,650.83989838,658.0,654.83989838,654.0,650.84001828
4439,503.648,505.3358,514.0,510.82779348,513.0,509.82779348,512.0,508.82779348
4440,632.7191,632.1389,641.0,636.68377508,648.0,643.68377508,641.0,636.68393811
4441,634.8926,635.5443,647.0,643.41146317,638.0,634.41146317,645.0,641.41103601
4442,587.8402,587.8477,595.0,591.74388899,583.0,579.74388899,595.0,591.74427881
4443,639.8734,639.5259,649.0,645.90432228,649.0,645.90432228,651.0,647.90432228
4444,582.3608,583.9382,591.0,586.95586052,593.0,588.95586052,593.0,588.95586052
4445,658.2967,659.39,666.0,663.03816801,657.0,654.03816801,666.0,663.03816801
4446,627.184,626.8184,635.0,631.31135888,650.0,646.31135888,637.0,633.31106292
4447,607.0689,607.6553,618.0,614.95570076,618.0,614.95570076,613.0,609.95570076
4448,709.3951,710.0876,718.0,714.23367824,724.0,720.23367824,717.0,713.23337967
4449,962.8019,963.2219,973.0,968.98707687,972.0,967.98707687,968.0,963.98677916
4450,563.2405,564.6346,572.0,568.49970025,565.0,561.49970025,571.0,567.49970025
4451,658.8863,659.233,667.0,662.94124683,666.0,661.94124683,667.0,662.94124683
4452,629.2659,629.0304,634.0,630.12673944,626.0,622.12673944,641.0,637.12673944
4453,672.1518,677.4324,687.0,682.81526992,685.0,680.81526992,686.0,681.81545121
4454,532.8414,533.4158,543.0,539.86757702,539.0,535.86757702,540.0,536.86757702
4455,785.2731,786.2103,789.0,784.76043662,793.0,788.76043662,780.0,775.76063867
4456,703.9014,705.3558,713.0,708.98318782,712.0,707.98318782,713.0,708.98318782
4457,625.3354,625.7542,630.0,626.6551731,610.0,606.6551731,631.0,627.65556526
4458,685.9285,685.4542,692.0,687.94026856,690.0,685.94026856,695.0,690.93979582
4459,557.6821,557.6694,569.0,565.81738139,567.0,563.81738139,565.0,561.81749342
4460,526.2047,528.413,534.0,530.72726462,553.0,549.72726462,538.0,534.72726462
4461,818.8298,819.1461,827.0,822.67638151,838.0,833.67638151,843.0,838.67607948
4462,644.4973,643.9664,652.0,648.54482235,640.0,636.54482235,651.0,647.54482235
4463,650.7924,650.0282,663.0,658.53258628,659.0,654.53258628,662.0,657.53277055
4464,660.3826,660.3557,670.0,666.17443056,668.0,664.17443056,666.0,662.17443056
4465,649.0578,649.6864,659.0,655.35932639,656.0,652.35932639,658.0,654.35903102
4466,539.5786,539.2511,549.0,545.34682666,547.0,543.34682666,548.0,544.34699955
4467,760.0368,760.6393,769.0,764.68720628,772.0,767.68720628,769.0,764.68740107
4468,599.4752,599.9468,608.0,604.63064366,604.0,600.63064366,610.0,606.63078425
4469,553.5435,551.3831,560.0,556.23550876,566.0,562.23550876,562.0,558.2361623
4470,657.2747,659.2022,666.0,661.7736504,664.0,659.7736504,664.0,659.77384507
4471,647.9086,648.79,658.0,653.31696548,655.0,650.31696548,656.0,651.31666868
4472,504.5077,506.2016,516.0,512.41539595,515.0,511.41539595,512.0,508.41602877
4473,572.1023,570.5161,576.0,572.82896642,577.0,573.82896642,578.0,574.82907316
4474,608.5229,608.5987,617.0,612.80412085,626.0,621.80412085,618.0,613.8036405
4475,693.4094,694.2059,695.0,692.13459309,691.0,688.13459309,701.0,698.13459309
4476,606.5947,605.9518,610.0,605.74421507,610.0,605.74421507,614.0,609.74421507
