azimuth;length
160.55724750812996;6898224.56940145
186.22119724964833;4631297.414248208
162.16323619148045;6677953.927241127
163.32972597763344;7907432.249358391
164.82943527784053;5636432.004645046
204.36506772170966;3850743.42256463
197.17909327362844;4877196.520443688
167.28226627879098;4879229.148574623
50.04173535263967;6273499.218851144
28.780465026952406;4993633.652626724
348.73367773895234;4202808.381499079
12.954236527652123;4498813.027189642
334.06023834748186;4544980.062732001
328.08494534563306;4344296.729642432
21.247955148697518;3581307.883898146
209.02576158788884;4474950.486721509
36.672084374845;4603340.5975918975
26.689371692210084;3603026.285506805
142.5239349596319;7541460.34401969
149.4218416239486;5536256.721494157
160.68467468227283;4420365.4986255225
167.61907047937316;4035014.3381570945
141.9236584483262;6381782.644930289
154.27858162899273;5583652.265960092
310.31568715064793;7146525.260746309
194.32125085521622;6539919.597125469
166.48821453826375;6563273.038744334
215.5572517703644;6891509.871890648
224.09722441201694;7141378.613631292
45.46011479605632;4798658.507668894
7.674427034036787;6488126.845994126
141.44095945934652;6056847.68274795
131.6876060807273;7679440.48661482
145.61199422401535;5472957.749389413
172.6048495208446;2688629.421720923
179.88776135412525;7511379.485240052
183.68062859352003;5157002.263410796
173.924211267643;5456220.991401108
161.2517013269744;5560102.933886903
177.40106006442733;6475941.42986741
181.5087313409585;6083581.103890781
168.34705124756974;5976272.126951972
356.8708546092616;3843766.174946179
22.23019373739771;4034893.621155276
10.302897299966148;4009701.179677956
43.600470923497475;3460551.046481598
36.450615194698436;3259174.5886376696
32.5044259047592;3928169.2504252633
352.63087324230406;4639887.305861257
1.4380637461724486;3353683.2511048117
355.4518053085915;2631147.471097555
355.30549820684087;4297007.726381464
331.70175925224834;6043800.553078832
340.5410937520303;4554769.136948868
333.9348105883252;5053432.6222040495
348.59031555690746;3856853.1860341667
41.25203008910855;3180985.558754503
175.20242501956616;4482727.043248791
161.2385397819324;4303719.593284805
321.87014791655884;2028677.65318937
321.09243089121503;2277975.969035879
321.80029962173234;2479722.3846779163
330.0934027873463;1689463.9111128321
323.14230726649214;4487769.776119095
321.96026753382927;1901144.3282459956
339.50424584014013;2523292.7203254085
327.32474051942177;3300618.580566486
348.4086315072566;3483165.1759072053
342.18445293697476;2365473.5217708936
332.1841795120396;3112384.9703017487
327.36961006130355;1118661.3392531264
331.601766934528;939439.3787773139
325.66877336260626;2656546.891636155
5.547720253124616;3087734.2354305307
341.0179343339147;3756972.211758146
351.9145738606863;3767825.369100811
329.29769474146866;3380707.5453621447
28.02312525754785;2002158.382982073
14.054856929743252;2688336.109285013
28.03404025573303;691918.7976398218
25.95571721903336;1518543.9655413101
29.22389943064479;1748627.1630327923
34.20695073075234;1672596.6784129278
22.72746115338186;1552169.6592778112
354.09942112248183;3200551.580048539
326.41069451044876;3868352.6445231666
329.4565461110598;2666743.305861249
333.56678482300384;3993548.2421416114
321.12855131933503;5820604.276904873
328.94142076875204;3428402.502155955
320.28112536900636;3904775.876152478
321.3711164024402;1362001.8620497654
319.6975072678048;2569875.489718574
321.5506071934107;2475393.9526967453
325.2780535365758;2356173.7860402036
331.19132514886036;2429270.894114968
346.0277553375448;2810721.9098026142
359.3140785805329;3258377.2734498237
345.92499429830144;3714095.1966801696
333.2817090364216;3457156.5757177235
22.04750475792894;2343430.067148746
333.66648652245146;2887693.416132947
324.4709164275048;2995313.099988256
327.66878596642283;3262598.3410401624
359.05302193542354;3705778.9918649495
350.8839180375846;3917303.2186277495
345.0314657794563;3983459.608574967
336.5374401840686;5035911.019596474
333.5598637796541;5527596.241501969
357.84955754226525;2723347.1392162447
28.04720907013746;1620637.1502422544
357.1502641266545;3405439.797117479
351.17361321665027;3418841.4694964397
352.9954680870195;4198060.393874438
325.2554262019545;4869366.280883306
330.70575445164144;4634872.297385265
336.1784084228187;4720775.343294472
345.23696019632575;4732063.3901357865
352.90463422463006;3989843.018130664
5.266773588816088;3764455.8147431146
18.568766639445286;5148028.18856837
47.13541557405908;7107162.331139946
48.088689375493324;5154272.314671807
31.67187922656828;4258862.9913916765
23.42462815200279;3475717.8057034677
17.506876703230844;3815916.4550477373
10.69132024343417;4453293.942293512
4.581834959131226;4881183.298727737
357.49689541671165;7222390.71266356
311.6370478060185;7187492.212838596
313.48991347352995;5811482.993815448
41.03720637008097;7212237.007923145
46.27252371625331;5636799.428980146
329.15543020827846;4053920.326477687
326.52250881103055;3185662.834629148
29.806544923296574;3964550.6511457423
17.696673349406417;4242927.072852072
3.3652614542851897;3800052.2855657106
43.648725873889525;3186987.4577338086
39.40422311004966;3127594.1922738357
35.24845368928928;3371481.4910608362
348.5444593664372;3543568.993985445
339.63632932420524;2951350.921403902
331.9043748883958;2557987.05751522
324.62473543052437;2454634.9141972903
319.1987713808292;2612683.062758195
315.5080811317913;2618199.5881732
325.3427315539614;4606681.497943843
309.71687581773654;6938781.351342907
180.3316838835079;7318647.970736293
179.19168016686922;7361161.620663773
175.05876216516117;6007198.624813119
171.38322778919314;5776611.150610881
166.0176428107298;6182254.941625958
185.62079033844307;4749896.13986246
347.94236958684616;7557516.921103735
2.8069581726142974;6839492.338280725
12.16503116769419;6041576.941624498
18.209355775813926;4919398.92103826
17.688563197624035;3474956.4375846134
16.68388164846994;1379375.8636837974
332.98973282851045;4418625.096185309
326.79812697634634;2630276.7157974937
329.2648786270153;2822810.7859879415
