level,length,count
0,17377.203613,144
2,29569.147159,226
4,52409.203323,356
6,129432.673107,598
8,269476.481066,1281
10,662984.132178,2444
12,1575959.449887,4102
14,3005809.648528,6452
16,4376594.944241,9838
18,6663229.614948,13890
20,9443602.954627,18665
22,12401833.409326,21714
24,13020989.082874,20535
26,12844285.65904,20973
28,14496821.165103,25568
30,17199745.02226,28102
32,17860335.398695,29478
34,17687541.236618,30942
36,18505214.126169,33200
38,20328995.201813,39608
40,24404985.020767,52640
42,31834594.355829,69943
44,40357379.923703,81958
46,43328659.350438,80146
48,34403318.091785,73746
50,19319023.489774,56175
52,7864879.934473,30991
54,2331469.363022,12746
56,533072.08176,3863
58,110953.814648,958
60,33131.361946,232
62,17401.213801,62
64,13456.150767,22
66,12220.816507,13
68,11199.32494,13
70,10151.726278,11
72,9566.394899,12
74,8804.698457,12
76,7930.800178,12
78,6786.219949,12
80,5569.504291,12
82,4537.13564,7
84,3846.0462,6
86,3076.464062,5
88,2705.123456,4
90,2371.390416,4
92,2092.907638,4
94,1514.344096,5
96,916.130008,2
98,604.989293,2
100,317.562173,1
102,168.980321,1
