level,length,count
0,17.217478,1
20,151755.831737,1034
40,19586303.374108,40497
60,12647388.600225,29182
80,3404383.488034,6400
100,1464324.308763,1998
120,918315.519322,675
140,647944.644451,275
160,533665.612754,163
180,465381.614281,130
200,411930.564557,94
220,372514.999354,76
240,342920.593634,78
260,326323.985125,71
280,314270.085119,61
300,309055.082937,78
320,293051.80233,64
340,282057.940351,55
360,275844.288874,59
380,270359.309134,56
400,263174.319715,37
420,258927.221591,42
440,252652.592058,45
460,242859.416825,50
480,230741.355433,48
500,224636.567032,37
520,229509.95596,41
540,230144.274639,34
560,223830.837087,42
580,219505.962695,36
600,218740.208476,27
620,218180.473451,21
640,218342.662861,24
660,224490.676232,27
680,234243.360316,29
700,231183.395564,45
720,250445.454373,66
740,268363.55415,67
760,284243.677278,78
780,323395.070173,107
800,362088.137434,143
820,452902.558882,176
840,460374.80033,186
860,373585.162602,169
880,294468.286923,141
900,233776.765514,93
920,200464.508975,71
940,183276.81533,63
960,171402.661076,50
980,163062.451856,50
1000,161859.266548,47
1020,169662.840869,79
1040,169488.049541,89
1060,193841.46895,118
1080,216915.850878,133
1100,255226.887404,195
1120,234666.25212,147
1140,196487.740432,113
1160,158460.761257,62
1180,141168.81731,61
1200,130645.819593,45
1220,118974.542503,62
1240,136458.178692,81
1260,97411.986909,78
1280,62330.751385,23
1300,56076.639461,22
1320,49703.1849,23
1340,38562.474968,12
1360,30838.765834,10
1380,28425.005713,5
1400,27405.2345,5
1420,24360.02578,3
1440,22682.951679,5
1460,20358.498623,5
1480,21101.594571,7
1500,16969.254629,5
1520,14809.462749,8
1540,10925.158267,5
1560,9256.613832,3
1580,8618.773295,3
1600,7840.151804,3
1620,6954.387488,4
1640,6296.852179,2
1660,4248.721085,2
1680,3314.026707,2
1700,2289.035379,3
1720,1192.221749,2
1740,892.213645,2
1750,428.915333,2
