level,length,count
0,10499.984354,100
20,137173.020788,592
40,9711155.381511,13146
60,6753285.828233,11961
80,3371691.920596,4819
100,1242783.729018,841
120,767038.277885,242
140,621225.443984,153
160,514685.111547,106
180,425092.565625,85
200,352061.602357,75
220,308160.916471,64
240,270960.389326,53
260,250387.908112,43
280,234145.639665,40
300,219158.26766,35
320,213662.228198,27
340,210308.997428,35
360,200995.289417,35
380,189219.92523,31
400,165124.979469,32
420,160202.252195,30
440,151695.157217,39
460,144316.672793,34
480,134715.449254,30
500,129838.711934,37
520,134479.617696,41
540,135578.337911,42
560,111507.482773,35
580,99553.864694,25
600,92496.688443,24
620,88569.524741,18
640,87852.298508,21
660,86781.380635,21
680,89096.823774,21
700,89869.788824,20
720,92742.052918,24
740,97138.634637,25
760,97048.054937,25
780,100089.608974,29
800,104269.789752,27
820,124113.724317,42
840,123101.968763,44
860,93461.731159,44
880,81319.683593,25
900,77025.462898,15
920,76207.935287,9
940,73473.622018,12
960,73642.228104,10
980,72023.896949,10
1000,69962.201669,13
1020,72013.145457,12
1040,94091.09988,26
1060,145434.774851,33
1080,192059.168903,37
1100,244256.164668,73
1120,216531.672249,66
1140,157111.317827,44
1160,126057.991355,18
1180,104609.217404,22
1200,83963.513687,26
1220,75612.120967,19
1240,66279.18314,20
1260,36484.96887,21
1280,20335.35534,6
1300,18092.92002,3
1320,13917.918904,4
1340,10821.88472,3
1360,9159.666154,1
1380,8541.182661,1
1400,7134.329172,2
1420,6266.399328,1
1440,5732.657463,1
1460,4501.018266,1
1480,1710.921343,2
1490,1173.687558,1
