level,length,count
440,177.459337,3
450,155493.103669,401
460,452776.341343,575
470,812302.639566,478
480,1297135.319709,549
490,1774991.444685,634
500,2283584.210505,803
510,2640033.832638,742
520,2828203.108999,775
530,2971764.802128,999
540,3259981.729494,1083
550,3568752.197558,1277
560,3953905.810772,1590
570,4392636.542103,1778
580,4816204.305791,1993
590,5418395.333301,2291
600,5682759.352966,2758
610,5387072.849323,2356
620,5106328.893818,2185
630,4725352.037921,1992
640,4210118.044346,1824
650,3645847.047688,1516
660,3169681.791016,1316
670,2739581.564751,1150
680,2415792.187629,969
690,2114792.294608,707
700,1952877.219542,677
710,1772582.639993,647
720,1642991.922299,565
730,1562005.561663,577
740,1444113.744815,540
750,1376398.992928,493
760,1330534.583922,536
770,1244093.417148,441
780,1174923.644378,434
790,1115098.123142,408
800,1058453.083048,407
810,973634.271009,392
820,855425.418287,315
830,804842.365933,291
840,734896.285949,267
850,668356.968787,218
860,609237.945779,156
870,625604.437057,173
880,637021.537475,163
890,646739.719794,152
900,658608.678966,176
910,624809.215151,176
920,564360.308415,167
930,495883.891018,154
940,422092.367522,137
950,356818.257672,122
960,303431.158099,97
970,271454.128973,67
980,239420.261376,51
990,198940.498853,65
1000,154744.149193,59
1010,99183.927105,70
1020,58546.091131,42
1030,36827.454599,20
1040,26485.722693,19
1050,18959.829945,10
1060,6531.41929,14
1070,1453.098778,1
