level,length,count
0,381.61015,12
20,222950.061642,363
40,1752634.55059,1322
60,3470087.388771,1741
80,4223551.391702,1820
100,4181249.170594,1448
120,4222410.588912,1113
140,4378175.4215,929
160,4627410.043651,917
180,4625484.09001,817
200,4626712.591822,765
220,4648723.038786,812
240,4524227.099512,798
260,4450565.459082,775
280,4408216.795829,795
300,4359309.944878,763
320,4328879.32006,797
340,4087968.375026,770
360,4023585.891489,794
380,3925757.226975,818
400,3885619.490842,839
420,3866560.045605,852
440,3802365.244788,866
460,3877600.977365,946
480,3912552.301151,960
500,3939827.749501,976
520,3970267.164852,980
540,3905541.546023,1045
560,3934574.700369,1096
580,4018221.217438,1205
600,4159685.266067,1178
620,4266237.672235,1373
640,4884007.463404,1804
660,5477474.789274,1997
680,7241977.377367,2420
700,7404270.59883,2658
720,7706243.951436,2845
740,7644178.53867,2651
760,9089072.474734,2692
780,9568785.275494,2645
800,8366993.95683,2795
820,8669583.220907,2732
840,8471146.217597,3056
860,8185014.731101,2901
880,7745962.888171,2849
900,6570015.366356,2500
920,5606885.477654,2174
940,4536742.43646,1833
960,3602287.510655,1349
980,2446115.925473,1124
1000,1347153.900493,780
1020,771799.702653,508
1040,444246.431423,344
1060,259329.889896,172
1080,177079.126964,116
1100,119334.471295,78
1120,73280.567459,52
1140,45393.897138,31
1160,28838.745054,23
1180,16851.407917,17
1200,8531.06228,8
1220,5268.347688,5
1240,4207.597347,3
1260,3033.063173,3
1280,2032.750973,4
1300,366.174695,3
